Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.9834e+03
1.5000e-03	0.0000e+00	4.9846e+03
2.0000e-03	0.0000e+00	4.9855e+03
2.5000e-03	0.0000e+00	4.9861e+03
3.0000e-03	0.0000e+00	4.9866e+03
3.5000e-03	0.0000e+00	4.9871e+03
4.0000e-03	0.0000e+00	4.9875e+03
4.5000e-03	0.0000e+00	4.9878e+03
5.0000e-03	0.0000e+00	4.9881e+03
5.5000e-03	0.0000e+00	4.9884e+03
6.0000e-03	0.0000e+00	4.9886e+03
6.5000e-03	0.0000e+00	4.9888e+03
7.0000e-03	0.0000e+00	4.9890e+03
7.5000e-03	0.0000e+00	4.9892e+03
8.0000e-03	0.0000e+00	4.9894e+03
8.5000e-03	0.0000e+00	4.9896e+03
9.0000e-03	0.0000e+00	4.9898e+03
9.5000e-03	0.0000e+00	4.9899e+03
1.0000e-02	0.0000e+00	4.9900e+03
1.5000e-02	0.0000e+00	4.9912e+03
2.0000e-02	0.0000e+00	4.9921e+03
2.5000e-02	0.0000e+00	4.9929e+03
3.0000e-02	0.0000e+00	4.9936e+03
3.5000e-02	0.0000e+00	4.9942e+03
4.0000e-02	0.0000e+00	4.9950e+03
4.5000e-02	0.0000e+00	4.9958e+03
5.0000e-02	0.0000e+00	4.9965e+03
5.5000e-02	0.0000e+00	4.9973e+03
6.0000e-02	0.0000e+00	4.9981e+03
6.5000e-02	0.0000e+00	4.9991e+03
7.0000e-02	0.0000e+00	5.0001e+03
7.5000e-02	0.0000e+00	5.0010e+03
8.0000e-02	0.0000e+00	5.0019e+03
8.5000e-02	0.0000e+00	5.0028e+03
9.0000e-02	0.0000e+00	5.0036e+03
9.5000e-02	0.0000e+00	5.0045e+03
1.0000e-01	0.0000e+00	5.0055e+03
1.5000e-01	0.0000e+00	5.0150e+03
2.0000e-01	0.0000e+00	5.0246e+03
2.5000e-01	0.0000e+00	5.0342e+03
3.0000e-01	0.0000e+00	5.0439e+03
3.5000e-01	0.0000e+00	5.0535e+03
4.0000e-01	0.0000e+00	5.0632e+03
4.5000e-01	0.0000e+00	5.0729e+03
5.0000e-01	3.6885e+09	5.0814e+03
5.0767e-01	3.5751e+09	5.0825e+03
5.1547e-01	3.4650e+09	5.0837e+03
5.2338e-01	3.3582e+09	5.0849e+03
