# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
1.000000e+00 6.188363e+08
1.011599e+00 6.056948e+08
1.023332e+00 5.928312e+08
1.035202e+00 5.802395e+08
1.047209e+00 5.679141e+08
1.059356e+00 5.558492e+08
1.071643e+00 5.440394e+08
1.084073e+00 5.324793e+08
1.096647e+00 5.211637e+08
1.109367e+00 5.100874e+08
1.122234e+00 4.992453e+08
1.135251e+00 4.886325e+08
1.148418e+00 4.782442e+08
1.161739e+00 4.680756e+08
1.175214e+00 4.581221e+08
1.188845e+00 4.483792e+08
1.202634e+00 4.388423e+08
1.216583e+00 4.295073e+08
1.230694e+00 4.203697e+08
1.244969e+00 4.114254e+08
1.259409e+00 4.026704e+08
1.274017e+00 3.941007e+08
1.288794e+00 3.857123e+08
1.303743e+00 3.775015e+08
1.318865e+00 3.694644e+08
1.334162e+00 3.615974e+08
1.349637e+00 3.538970e+08
1.365291e+00 3.463595e+08
1.381127e+00 3.389508e+08
1.397147e+00 3.316668e+08
1.413352e+00 3.245384e+08
1.429746e+00 3.175623e+08
1.446329e+00 3.107352e+08
1.463105e+00 3.040539e+08
1.480075e+00 2.975154e+08
1.497243e+00 2.911482e+08
1.514609e+00 2.849387e+08
1.532177e+00 2.788607e+08
1.549948e+00 2.729115e+08
1.567926e+00 2.670883e+08
1.586112e+00 2.613885e+08
1.604509e+00 2.558095e+08
1.623120e+00 2.503487e+08
1.641946e+00 2.450037e+08
1.660991e+00 2.397719e+08
1.680257e+00 2.346511e+08
1.699746e+00 2.296388e+08
1.719461e+00 2.247328e+08
1.739405e+00 2.199307e+08
1.759580e+00 2.152306e+08
1.779989e+00 2.106300e+08
1.800635e+00 2.061271e+08
1.821520e+00 2.017196e+08
1.842648e+00 1.974057e+08
1.864021e+00 1.931832e+08
1.885641e+00 1.890503e+08
1.907513e+00 1.850051e+08
1.929638e+00 1.810457e+08
1.952019e+00 1.771704e+08
1.974661e+00 1.733773e+08
1.997565e+00 1.696647e+08
2.020734e+00 1.660309e+08
2.044172e+00 1.624742e+08
2.067883e+00 1.589931e+08
2.091868e+00 1.555858e+08
2.116131e+00 1.522509e+08
2.140676e+00 1.489868e+08
2.165505e+00 1.457921e+08
2.190623e+00 1.426652e+08
2.216032e+00 1.396047e+08
2.241735e+00 1.366092e+08
2.267737e+00 1.336774e+08
2.294040e+00 1.308079e+08
2.320648e+00 1.279993e+08
2.347565e+00 1.252505e+08
2.374795e+00 1.225649e+08
2.402340e+00 1.199416e+08
2.430204e+00 1.173743e+08
2.458392e+00 1.148621e+08
2.486906e+00 1.124036e+08
2.515752e+00 1.099977e+08
2.544932e+00 1.076433e+08
2.574450e+00 1.053393e+08
2.604311e+00 1.030846e+08
2.634518e+00 1.008782e+08
2.665075e+00 9.871901e+07
2.695987e+00 9.660604e+07
2.727258e+00 9.453742e+07
2.758891e+00 9.249661e+07
2.790891e+00 9.049960e+07
2.823262e+00 8.854545e+07
2.856009e+00 8.663323e+07
2.889136e+00 8.476206e+07
2.922647e+00 8.293106e+07
2.956546e+00 8.113936e+07
2.990839e+00 7.939788e+07
3.025529e+00 7.769390e+07
3.060622e+00 7.602650e+07
3.096122e+00 7.439487e+07
3.132033e+00 7.279827e+07
3.168361e+00 7.123593e+07
3.205111e+00 6.970712e+07
3.242287e+00 6.821112e+07
3.279894e+00 6.674722e+07
3.317937e+00 6.531475e+07
