# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
1.000000e+00 2.475345e+09
1.011599e+00 2.422779e+09
1.023332e+00 2.371325e+09
1.035202e+00 2.320958e+09
1.047209e+00 2.271656e+09
1.059356e+00 2.223397e+09
1.071643e+00 2.176158e+09
1.084073e+00 2.129917e+09
1.096647e+00 2.084655e+09
1.109367e+00 2.040350e+09
1.122234e+00 1.996981e+09
1.135251e+00 1.954530e+09
1.148418e+00 1.912977e+09
1.161739e+00 1.872303e+09
1.175214e+00 1.832489e+09
1.188845e+00 1.793517e+09
1.202634e+00 1.755369e+09
1.216583e+00 1.718029e+09
1.230694e+00 1.681479e+09
1.244969e+00 1.645702e+09
1.259409e+00 1.610682e+09
1.274017e+00 1.576403e+09
1.288794e+00 1.542849e+09
1.303743e+00 1.510006e+09
1.318865e+00 1.477858e+09
1.334162e+00 1.446390e+09
1.349637e+00 1.415588e+09
1.365291e+00 1.385438e+09
1.381127e+00 1.355803e+09
1.397147e+00 1.326667e+09
1.413352e+00 1.298154e+09
1.429746e+00 1.270249e+09
1.446329e+00 1.242941e+09
1.463105e+00 1.216216e+09
1.480075e+00 1.190062e+09
1.497243e+00 1.164593e+09
1.514609e+00 1.139755e+09
1.532177e+00 1.115443e+09
1.549948e+00 1.091646e+09
1.567926e+00 1.068353e+09
1.586112e+00 1.045554e+09
1.604509e+00 1.023238e+09
1.623120e+00 1.001395e+09
1.641946e+00 9.800147e+08
1.660991e+00 9.590877e+08
1.680257e+00 9.386043e+08
1.699746e+00 9.185552e+08
1.719461e+00 8.989310e+08
1.739405e+00 8.797230e+08
1.759580e+00 8.609222e+08
1.779989e+00 8.425201e+08
1.800635e+00 8.245083e+08
1.821520e+00 8.068785e+08
1.842648e+00 7.896226e+08
1.864021e+00 7.727328e+08
1.885641e+00 7.562012e+08
1.907513e+00 7.400205e+08
1.929638e+00 7.241830e+08
1.952019e+00 7.086816e+08
1.974661e+00 6.935092e+08
1.997565e+00 6.786587e+08
2.020734e+00 6.641235e+08
2.044172e+00 6.498969e+08
2.067883e+00 6.359722e+08
2.091868e+00 6.223432e+08
2.116131e+00 6.090036e+08
2.140676e+00 5.959473e+08
2.165505e+00 5.831683e+08
2.190623e+00 5.706607e+08
2.216032e+00 5.584188e+08
2.241735e+00 5.464369e+08
2.267737e+00 5.347096e+08
2.294040e+00 5.232316e+08
2.320648e+00 5.119974e+08
2.347565e+00 5.010020e+08
2.374795e+00 4.902598e+08
2.402340e+00 4.797663e+08
2.430204e+00 4.694974e+08
2.458392e+00 4.594482e+08
2.486906e+00 4.496142e+08
2.515752e+00 4.399907e+08
2.544932e+00 4.305732e+08
2.574450e+00 4.213572e+08
2.604311e+00 4.123385e+08
2.634518e+00 4.035128e+08
2.665075e+00 3.948761e+08
2.695987e+00 3.864242e+08
2.727258e+00 3.781497e+08
2.758891e+00 3.699864e+08
2.790891e+00 3.619984e+08
2.823262e+00 3.541818e+08
2.856009e+00 3.465329e+08
2.889136e+00 3.390483e+08
2.922647e+00 3.317242e+08
2.956546e+00 3.245574e+08
2.990839e+00 3.175915e+08
3.025529e+00 3.107756e+08
3.060622e+00 3.041060e+08
3.096122e+00 2.975795e+08
3.132033e+00 2.911931e+08
3.168361e+00 2.849437e+08
3.205111e+00 2.788285e+08
3.242287e+00 2.728445e+08
3.279894e+00 2.669889e+08
3.317937e+00 2.612590e+08
3.356421e+00 2.556520e+08
3.395352e+00 2.501654e+08
3.434734e+00 2.447966e+08
3.474573e+00 2.395429e+08
3.514875e+00 2.343640e+08
3.555643e+00 2.292932e+08
3.596885e+00 2.243321e+08
3.638605e+00 2.194784e+08
3.680809e+00 2.147297e+08
3.723502e+00 2.100776e+08
3.766690e+00 2.055109e+08
3.810380e+00 2.010707e+08
3.854576e+00 1.967256e+08
3.899285e+00 1.924736e+08
3.944512e+00 1.883129e+08
3.990264e+00 1.842422e+08
4.036547e+00 1.802594e+08
4.083367e+00 1.763627e+08
4.130729e+00 1.725503e+08
4.178641e+00 1.688203e+08
4.227109e+00 1.651709e+08
4.276138e+00 1.616090e+08
4.325737e+00 1.581195e+08
4.375911e+00 1.547053e+08
4.426666e+00 1.513648e+08
4.478011e+00 1.480965e+08
4.529951e+00 1.448857e+08
4.582493e+00 1.417413e+08
4.635645e+00 1.386773e+08
4.689414e+00 1.356822e+08
4.743806e+00 1.327571e+08
4.798828e+00 1.298845e+08
4.854490e+00 1.270740e+08
4.910796e+00 1.243243e+08
4.967756e+00 1.216341e+08
5.025377e+00 1.190022e+08
5.083665e+00 1.164272e+08
5.142630e+00 1.139079e+08
5.202279e+00 1.114432e+08
5.262620e+00 1.090532e+08
5.323660e+00 1.066818e+08
5.385409e+00 1.044237e+08
5.447874e+00 1.021768e+08
5.511063e+00 9.994863e+07
5.574985e+00 9.778117e+07
5.639649e+00 9.567297e+07
5.705063e+00 9.360960e+07
5.771235e+00 9.159072e+07
5.838175e+00 8.961539e+07
5.905892e+00 8.768266e+07
5.974393e+00 8.580057e+07
6.043690e+00 8.398077e+07
6.113790e+00 8.220307e+07
6.184703e+00 8.044621e+07
6.256439e+00 7.871402e+07
6.329007e+00 7.703433e+07
6.402416e+00 7.540110e+07
6.476677e+00 7.378090e+07
6.551800e+00 7.217801e+07
6.627793e+00 7.061032e+07
6.704668e+00 6.909019e+07
6.782435e+00 6.760279e+07
6.861104e+00 6.614741e+07
6.940685e+00 6.472135e+07
7.021189e+00 6.332392e+07
7.102627e+00 6.194454e+07
7.185010e+00 6.059100e+07
7.268348e+00 5.928836e+07
7.352653e+00 5.801197e+07
7.437936e+00 5.673870e+07
7.524208e+00 5.549875e+07
7.611480e+00 5.430251e+07
7.699765e+00 5.312626e+07
7.789074e+00 5.196766e+07
7.879418e+00 5.083433e+07
7.970811e+00 4.971770e+07
8.063263e+00 4.864128e+07
8.156788e+00 4.758049e+07
8.251398e+00 4.655842e+07
8.347105e+00 4.555230e+07
8.443923e+00 4.457472e+07
8.541863e+00 4.362317e+07
8.640939e+00 4.269264e+07
8.741164e+00 4.178196e+07
8.842552e+00 4.087406e+07
8.945116e+00 3.998496e+07
9.048869e+00 3.911520e+07
9.153826e+00 3.827564e+07
9.260001e+00 3.746348e+07
9.367406e+00 3.666609e+07
9.476058e+00 3.587332e+07
9.585970e+00 3.510087e+07
9.697157e+00 3.433935e+07
9.809633e+00 3.359921e+07
9.923414e+00 3.287522e+07
1.003851e+01 3.216678e+07
1.015495e+01 3.147360e+07
1.027274e+01 3.080336e+07
1.039189e+01 3.013691e+07
1.051242e+01 2.948285e+07
1.063436e+01 2.885230e+07
