Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.8388e+04
1.5000e-03	0.0000e+00	1.8392e+04
2.0000e-03	0.0000e+00	1.8395e+04
2.5000e-03	0.0000e+00	1.8397e+04
3.0000e-03	0.0000e+00	1.8399e+04
3.5000e-03	0.0000e+00	1.8401e+04
4.0000e-03	0.0000e+00	1.8402e+04
4.5000e-03	0.0000e+00	1.8403e+04
5.0000e-03	0.0000e+00	1.8404e+04
5.5000e-03	0.0000e+00	1.8405e+04
6.0000e-03	0.0000e+00	1.8406e+04
6.5000e-03	0.0000e+00	1.8407e+04
7.0000e-03	0.0000e+00	1.8408e+04
7.5000e-03	0.0000e+00	1.8408e+04
8.0000e-03	0.0000e+00	1.8409e+04
8.5000e-03	0.0000e+00	1.8410e+04
9.0000e-03	0.0000e+00	1.8410e+04
9.5000e-03	0.0000e+00	1.8411e+04
1.0000e-02	0.0000e+00	1.8411e+04
1.5000e-02	0.0000e+00	1.8415e+04
2.0000e-02	0.0000e+00	1.8418e+04
2.5000e-02	0.0000e+00	1.8421e+04
3.0000e-02	0.0000e+00	1.8422e+04
3.5000e-02	0.0000e+00	1.8425e+04
4.0000e-02	0.0000e+00	1.8432e+04
4.5000e-02	0.0000e+00	1.8438e+04
5.0000e-02	0.0000e+00	1.8443e+04
5.5000e-02	0.0000e+00	1.8448e+04
6.0000e-02	0.0000e+00	1.8452e+04
6.5000e-02	0.0000e+00	1.8456e+04
7.0000e-02	0.0000e+00	1.8460e+04
7.5000e-02	0.0000e+00	1.8464e+04
8.0000e-02	0.0000e+00	1.8467e+04
8.5000e-02	0.0000e+00	1.8470e+04
9.0000e-02	0.0000e+00	1.8473e+04
9.5000e-02	0.0000e+00	1.8479e+04
1.0000e-01	0.0000e+00	1.8484e+04
1.5000e-01	0.0000e+00	1.8527e+04
2.0000e-01	0.0000e+00	1.8571e+04
2.5000e-01	0.0000e+00	1.8616e+04
3.0000e-01	0.0000e+00	1.8660e+04
3.5000e-01	0.0000e+00	1.8705e+04
4.0000e-01	0.0000e+00	1.8750e+04
4.5000e-01	0.0000e+00	1.8794e+04
5.0000e-01	0.0000e+00	1.8838e+04
5.5000e-01	0.0000e+00	1.8881e+04
6.0000e-01	0.0000e+00	1.8924e+04
6.5000e-01	0.0000e+00	1.8967e+04
7.0000e-01	0.0000e+00	1.9008e+04
7.5000e-01	0.0000e+00	1.9050e+04
8.0000e-01	0.0000e+00	1.9094e+04
8.5000e-01	0.0000e+00	1.9138e+04
9.0000e-01	0.0000e+00	1.9182e+04
9.5000e-01	0.0000e+00	1.9226e+04
1.0000e+00	6.9213e+08	1.9271e+04
1.0116e+00	6.7720e+08	1.9281e+04
1.0233e+00	6.6257e+08	1.9291e+04
1.0352e+00	6.4825e+08	1.9302e+04
1.0472e+00	6.3424e+08	1.9313e+04
1.0594e+00	6.2053e+08	1.9324e+04
1.0716e+00	6.0712e+08	1.9334e+04
1.0841e+00	5.9400e+08	1.9345e+04
1.0966e+00	5.8116e+08	1.9357e+04
1.1094e+00	5.6859e+08	1.9368e+04
1.1222e+00	5.5630e+08	1.9380e+04
1.1353e+00	5.4427e+08	1.9391e+04
1.1484e+00	5.3250e+08	1.9403e+04
1.1617e+00	5.2098e+08	1.9415e+04
1.1752e+00	5.0971e+08	1.9427e+04
1.1888e+00	4.9868e+08	1.9439e+04
1.2026e+00	4.8789e+08	1.9451e+04
1.2166e+00	4.7729e+08	1.9464e+04
1.2307e+00	4.6692e+08	1.9476e+04
1.2450e+00	4.5677e+08	1.9489e+04
1.2594e+00	4.4685e+08	1.9502e+04
1.2740e+00	4.3713e+08	1.9515e+04
1.2888e+00	4.2764e+08	1.9528e+04
1.3037e+00	4.1852e+08	1.9542e+04
1.3189e+00	4.0960e+08	1.9555e+04
1.3342e+00	4.0076e+08	1.9569e+04
1.3496e+00	3.9211e+08	1.9583e+04
1.3653e+00	3.8365e+08	1.9597e+04
1.3811e+00	3.7536e+08	1.9611e+04
1.3971e+00	3.6723e+08	1.9625e+04
1.4134e+00	3.5927e+08	1.9640e+04
1.4297e+00	3.5148e+08	1.9654e+04
1.4463e+00	3.4386e+08	1.9669e+04
1.4631e+00	3.3640e+08	1.9684e+04
1.4801e+00	3.2911e+08	1.9699e+04
1.4972e+00	3.2197e+08	1.9715e+04
