Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.7240e+04
1.5000e-03	0.0000e+00	1.7244e+04
2.0000e-03	0.0000e+00	1.7246e+04
2.5000e-03	0.0000e+00	1.7248e+04
3.0000e-03	0.0000e+00	1.7250e+04
3.5000e-03	0.0000e+00	1.7252e+04
4.0000e-03	0.0000e+00	1.7253e+04
4.5000e-03	0.0000e+00	1.7254e+04
5.0000e-03	0.0000e+00	1.7255e+04
5.5000e-03	0.0000e+00	1.7256e+04
6.0000e-03	0.0000e+00	1.7257e+04
6.5000e-03	0.0000e+00	1.7257e+04
7.0000e-03	0.0000e+00	1.7258e+04
7.5000e-03	0.0000e+00	1.7259e+04
8.0000e-03	0.0000e+00	1.7259e+04
8.5000e-03	0.0000e+00	1.7260e+04
9.0000e-03	0.0000e+00	1.7261e+04
9.5000e-03	0.0000e+00	1.7261e+04
1.0000e-02	0.0000e+00	1.7262e+04
1.5000e-02	0.0000e+00	1.7265e+04
2.0000e-02	0.0000e+00	1.7268e+04
2.5000e-02	0.0000e+00	1.7270e+04
3.0000e-02	0.0000e+00	1.7272e+04
3.5000e-02	0.0000e+00	1.7274e+04
4.0000e-02	0.0000e+00	1.7281e+04
4.5000e-02	0.0000e+00	1.7286e+04
5.0000e-02	0.0000e+00	1.7291e+04
5.5000e-02	0.0000e+00	1.7296e+04
6.0000e-02	0.0000e+00	1.7300e+04
6.5000e-02	0.0000e+00	1.7304e+04
7.0000e-02	0.0000e+00	1.7307e+04
7.5000e-02	0.0000e+00	1.7311e+04
8.0000e-02	0.0000e+00	1.7314e+04
8.5000e-02	0.0000e+00	1.7317e+04
9.0000e-02	0.0000e+00	1.7320e+04
9.5000e-02	0.0000e+00	1.7325e+04
1.0000e-01	0.0000e+00	1.7330e+04
1.5000e-01	0.0000e+00	1.7370e+04
2.0000e-01	0.0000e+00	1.7411e+04
2.5000e-01	0.0000e+00	1.7453e+04
3.0000e-01	0.0000e+00	1.7495e+04
3.5000e-01	0.0000e+00	1.7537e+04
4.0000e-01	0.0000e+00	1.7578e+04
4.5000e-01	0.0000e+00	1.7620e+04
5.0000e-01	0.0000e+00	1.7661e+04
5.5000e-01	0.0000e+00	1.7702e+04
6.0000e-01	0.0000e+00	1.7742e+04
6.5000e-01	0.0000e+00	1.7781e+04
7.0000e-01	0.0000e+00	1.7820e+04
7.5000e-01	0.0000e+00	1.7859e+04
8.0000e-01	0.0000e+00	1.7900e+04
8.5000e-01	0.0000e+00	1.7942e+04
9.0000e-01	0.0000e+00	1.7983e+04
9.5000e-01	0.0000e+00	1.8024e+04
1.0000e+00	6.1884e+08	1.8066e+04
1.0116e+00	6.0569e+08	1.8076e+04
1.0233e+00	5.9283e+08	1.8085e+04
1.0352e+00	5.8024e+08	1.8095e+04
1.0472e+00	5.6791e+08	1.8105e+04
1.0594e+00	5.5585e+08	1.8115e+04
1.0716e+00	5.4404e+08	1.8126e+04
1.0841e+00	5.3248e+08	1.8136e+04
1.0966e+00	5.2116e+08	1.8146e+04
1.1094e+00	5.1009e+08	1.8157e+04
1.1222e+00	4.9925e+08	1.8168e+04
1.1353e+00	4.8863e+08	1.8179e+04
1.1484e+00	4.7824e+08	1.8190e+04
1.1617e+00	4.6808e+08	1.8201e+04
1.1752e+00	4.5812e+08	1.8212e+04
1.1888e+00	4.4838e+08	1.8223e+04
1.2026e+00	4.3884e+08	1.8235e+04
1.2166e+00	4.2951e+08	1.8247e+04
1.2307e+00	4.2037e+08	1.8259e+04
1.2450e+00	4.1143e+08	1.8270e+04
1.2594e+00	4.0267e+08	1.8282e+04
1.2740e+00	3.9410e+08	1.8295e+04
1.2888e+00	3.8571e+08	1.8307e+04
1.3037e+00	3.7750e+08	1.8319e+04
1.3189e+00	3.6946e+08	1.8332e+04
1.3342e+00	3.6160e+08	1.8345e+04
1.3496e+00	3.5390e+08	1.8358e+04
1.3653e+00	3.4636e+08	1.8371e+04
1.3811e+00	3.3895e+08	1.8384e+04
1.3971e+00	3.3167e+08	1.8398e+04
1.4134e+00	3.2454e+08	1.8411e+04
1.4297e+00	3.1756e+08	1.8425e+04
1.4463e+00	3.1074e+08	1.8439e+04
1.4631e+00	3.0405e+08	1.8453e+04
1.4801e+00	2.9752e+08	1.8467e+04
1.4972e+00	2.9115e+08	1.8481e+04
1.5146e+00	2.8494e+08	1.8496e+04
1.5322e+00	2.7886e+08	1.8511e+04
1.5499e+00	2.7291e+08	1.8526e+04
1.5679e+00	2.6709e+08	1.8541e+04
1.5861e+00	2.6139e+08	1.8556e+04
1.6045e+00	2.5581e+08	1.8571e+04
1.6231e+00	2.5035e+08	1.8587e+04
1.6419e+00	2.4500e+08	1.8603e+04
1.6610e+00	2.3977e+08	1.8619e+04
1.6803e+00	2.3465e+08	1.8635e+04
1.6997e+00	2.2964e+08	1.8651e+04
1.7195e+00	2.2473e+08	1.8668e+04
1.7394e+00	2.1993e+08	1.8684e+04
1.7596e+00	2.1523e+08	1.8701e+04
1.7800e+00	2.1063e+08	1.8718e+04
1.8006e+00	2.0613e+08	1.8736e+04
1.8215e+00	2.0172e+08	1.8753e+04
1.8426e+00	1.9741e+08	1.8771e+04
1.8640e+00	1.9318e+08	1.8789e+04
1.8856e+00	1.8905e+08	1.8807e+04
1.9075e+00	1.8501e+08	1.8826e+04
1.9296e+00	1.8105e+08	1.8844e+04
1.9520e+00	1.7717e+08	1.8863e+04
1.9747e+00	1.7338e+08	1.8882e+04
1.9976e+00	1.6966e+08	1.8901e+04
2.0207e+00	1.6603e+08	1.8921e+04
2.0442e+00	1.6247e+08	1.8940e+04
2.0679e+00	1.5899e+08	1.8960e+04
2.0919e+00	1.5559e+08	1.8980e+04
2.1161e+00	1.5225e+08	1.9001e+04
2.1407e+00	1.4899e+08	1.9021e+04
2.1655e+00	1.4579e+08	1.9042e+04
2.1906e+00	1.4267e+08	1.9063e+04
2.2160e+00	1.3960e+08	1.9085e+04
2.2417e+00	1.3661e+08	1.9106e+04
2.2677e+00	1.3368e+08	1.9128e+04
2.2940e+00	1.3081e+08	1.9150e+04
2.3206e+00	1.2800e+08	1.9173e+04
2.3476e+00	1.2525e+08	1.9196e+04
2.3748e+00	1.2256e+08	1.9218e+04
2.4023e+00	1.1994e+08	1.9242e+04
2.4302e+00	1.1737e+08	1.9265e+04
2.4584e+00	1.1486e+08	1.9289e+04
2.4869e+00	1.1240e+08	1.9313e+04
2.5158e+00	1.1000e+08	1.9337e+04
2.5449e+00	1.0764e+08	1.9362e+04
2.5745e+00	1.0534e+08	1.9347e+04
2.6043e+00	1.0308e+08	1.9329e+04
2.6345e+00	1.0088e+08	1.9348e+04
2.6651e+00	9.8719e+07	1.9369e+04
2.6960e+00	9.6606e+07	1.9396e+04
2.7273e+00	9.4537e+07	1.9422e+04
2.7589e+00	9.2497e+07	1.9449e+04
2.7909e+00	9.0500e+07	1.9476e+04
2.8233e+00	8.8545e+07	1.9503e+04
2.8560e+00	8.6633e+07	1.9531e+04
2.8891e+00	8.4762e+07	1.9558e+04
2.9226e+00	8.2931e+07	1.9587e+04
2.9565e+00	8.1139e+07	1.9615e+04
2.9908e+00	7.9398e+07	1.9644e+04
3.0255e+00	7.7694e+07	1.9674e+04
3.0606e+00	7.6026e+07	1.9703e+04
3.0961e+00	7.4395e+07	1.9733e+04
3.1320e+00	7.2798e+07	1.9764e+04
3.1684e+00	7.1236e+07	1.9794e+04
3.2051e+00	6.9707e+07	1.9825e+04
3.2423e+00	6.8211e+07	1.9857e+04
3.2799e+00	6.6747e+07	1.9889e+04
3.3179e+00	6.5315e+07	1.9921e+04
3.3564e+00	6.3913e+07	1.9953e+04
3.3954e+00	6.2541e+07	1.9986e+04
3.4347e+00	6.1199e+07	2.0020e+04
3.4746e+00	5.9886e+07	2.0053e+04
3.5149e+00	5.8591e+07	2.0087e+04
3.5556e+00	5.7323e+07	2.0122e+04
3.5969e+00	5.6083e+07	2.0157e+04
3.6386e+00	5.4870e+07	2.0192e+04
3.6808e+00	5.3682e+07	2.0228e+04
3.7235e+00	5.2519e+07	2.0264e+04
3.7667e+00	5.1378e+07	2.0301e+04
3.8104e+00	5.0268e+07	2.0338e+04
3.8546e+00	4.9181e+07	2.0375e+04
3.8993e+00	4.8118e+07	2.0413e+04
3.9445e+00	4.7078e+07	2.0452e+04
3.9903e+00	4.6061e+07	2.0491e+04
4.0365e+00	4.5065e+07	2.0530e+04
4.0834e+00	4.4091e+07	2.0570e+04
4.1307e+00	4.3138e+07	2.0610e+04
4.1786e+00	4.2205e+07	2.0651e+04
4.2271e+00	4.1293e+07	2.0692e+04
4.2761e+00	4.0402e+07	2.0734e+04
4.3257e+00	3.9530e+07	2.0776e+04
4.3759e+00	3.8676e+07	2.0819e+04
4.4267e+00	3.7841e+07	2.0862e+04
4.4780e+00	3.7024e+07	2.0906e+04
4.5300e+00	3.6221e+07	2.0950e+04
4.5825e+00	3.5435e+07	2.0995e+04
4.6356e+00	3.4669e+07	2.1040e+04
4.6894e+00	3.3921e+07	2.1086e+04
4.7438e+00	3.3189e+07	2.1132e+04
4.7988e+00	3.2471e+07	2.1179e+04
4.8545e+00	3.1768e+07	2.1226e+04
4.9108e+00	3.1081e+07	2.1274e+04
4.9678e+00	3.0409e+07	2.1323e+04
5.0254e+00	2.9751e+07	2.1372e+04
5.0837e+00	2.9107e+07	2.1421e+04
5.1426e+00	2.8477e+07	2.1471e+04
5.2023e+00	2.7861e+07	2.1522e+04
5.2626e+00	2.7263e+07	2.1569e+04
5.3237e+00	2.6670e+07	2.1614e+04
5.3854e+00	2.6106e+07	2.1666e+04
5.4479e+00	2.5544e+07	2.1719e+04
5.5111e+00	2.4987e+07	2.1772e+04
5.5750e+00	2.4445e+07	2.1826e+04
5.6396e+00	2.3918e+07	2.1881e+04
5.7051e+00	2.3402e+07	2.1937e+04
5.7712e+00	2.2898e+07	2.1993e+04
5.8382e+00	2.2404e+07	2.2050e+04
5.9059e+00	2.1921e+07	2.2107e+04
5.9744e+00	2.1450e+07	2.2165e+04
6.0437e+00	2.0995e+07	2.2224e+04
6.1138e+00	2.0551e+07	2.2283e+04
6.1847e+00	2.0112e+07	2.2343e+04
6.2564e+00	1.9679e+07	2.2404e+04
6.3290e+00	1.9259e+07	2.2466e+04
6.4024e+00	1.8850e+07	2.2528e+04
6.4767e+00	1.8445e+07	2.2591e+04
6.5518e+00	1.8044e+07	2.2654e+04
6.6278e+00	1.7653e+07	2.2718e+04
6.7047e+00	1.7273e+07	2.2783e+04
6.7824e+00	1.6901e+07	2.2849e+04
6.8611e+00	1.6537e+07	2.2916e+04
6.9407e+00	1.6180e+07	2.2983e+04
7.0212e+00	1.5831e+07	2.3051e+04
7.1026e+00	1.5486e+07	2.3120e+04
7.1850e+00	1.5148e+07	2.3190e+04
7.2683e+00	1.4822e+07	2.3260e+04
7.3527e+00	1.4503e+07	2.3331e+04
7.4379e+00	1.4185e+07	2.3403e+04
