Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.5579e+04
1.5000e-03	0.0000e+00	3.5588e+04
2.0000e-03	0.0000e+00	3.5594e+04
2.5000e-03	0.0000e+00	3.5599e+04
3.0000e-03	0.0000e+00	3.5602e+04
3.5000e-03	0.0000e+00	3.5606e+04
4.0000e-03	0.0000e+00	3.5608e+04
4.5000e-03	0.0000e+00	3.5611e+04
5.0000e-03	0.0000e+00	3.5613e+04
5.5000e-03	0.0000e+00	3.5615e+04
6.0000e-03	0.0000e+00	3.5616e+04
6.5000e-03	0.0000e+00	3.5618e+04
7.0000e-03	0.0000e+00	3.5620e+04
7.5000e-03	0.0000e+00	3.5621e+04
8.0000e-03	0.0000e+00	3.5622e+04
8.5000e-03	0.0000e+00	3.5623e+04
9.0000e-03	0.0000e+00	3.5625e+04
9.5000e-03	0.0000e+00	3.5626e+04
1.0000e-02	0.0000e+00	3.5627e+04
1.5000e-02	0.0000e+00	3.5635e+04
2.0000e-02	0.0000e+00	3.5642e+04
2.5000e-02	0.0000e+00	3.5647e+04
3.0000e-02	0.0000e+00	3.5652e+04
3.5000e-02	0.0000e+00	3.5657e+04
4.0000e-02	0.0000e+00	3.5662e+04
4.5000e-02	0.0000e+00	3.5668e+04
5.0000e-02	0.0000e+00	3.5673e+04
5.5000e-02	0.0000e+00	3.5679e+04
6.0000e-02	0.0000e+00	3.5684e+04
6.5000e-02	0.0000e+00	3.5691e+04
7.0000e-02	0.0000e+00	3.5698e+04
7.5000e-02	0.0000e+00	3.5704e+04
8.0000e-02	0.0000e+00	3.5711e+04
8.5000e-02	0.0000e+00	3.5717e+04
9.0000e-02	0.0000e+00	3.5723e+04
9.5000e-02	0.0000e+00	3.5729e+04
1.0000e-01	0.0000e+00	3.5736e+04
1.5000e-01	0.0000e+00	3.5803e+04
2.0000e-01	0.0000e+00	3.5871e+04
2.5000e-01	0.0000e+00	3.5939e+04
3.0000e-01	0.0000e+00	3.6008e+04
3.5000e-01	0.0000e+00	3.6076e+04
4.0000e-01	0.0000e+00	3.6145e+04
4.5000e-01	0.0000e+00	3.6213e+04
5.0000e-01	0.0000e+00	3.6274e+04
5.5000e-01	0.0000e+00	3.6333e+04
6.0000e-01	0.0000e+00	3.6400e+04
6.5000e-01	0.0000e+00	3.6468e+04
7.0000e-01	0.0000e+00	3.6536e+04
7.5000e-01	0.0000e+00	3.6604e+04
8.0000e-01	0.0000e+00	3.6672e+04
8.5000e-01	0.0000e+00	3.6741e+04
9.0000e-01	0.0000e+00	3.6809e+04
9.5000e-01	0.0000e+00	3.6878e+04
1.0000e+00	2.2289e+09	3.6946e+04
1.0116e+00	2.1817e+09	3.6962e+04
1.0233e+00	2.1355e+09	3.6978e+04
1.0352e+00	2.0903e+09	3.6994e+04
1.0472e+00	2.0460e+09	3.7010e+04
1.0594e+00	2.0027e+09	3.7027e+04
1.0716e+00	1.9603e+09	3.7044e+04
1.0841e+00	1.9188e+09	3.7061e+04
1.0966e+00	1.8782e+09	3.7078e+04
1.1094e+00	1.8384e+09	3.7095e+04
1.1222e+00	1.7995e+09	3.7113e+04
1.1353e+00	1.7615e+09	3.7130e+04
1.1484e+00	1.7243e+09	3.7148e+04
1.1617e+00	1.6879e+09	3.7167e+04
1.1752e+00	1.6522e+09	3.7185e+04
1.1888e+00	1.6174e+09	3.7204e+04
1.2026e+00	1.5832e+09	3.7223e+04
1.2166e+00	1.5498e+09	3.7242e+04
1.2307e+00	1.5171e+09	3.7262e+04
1.2450e+00	1.4850e+09	3.7281e+04
1.2594e+00	1.4537e+09	3.7301e+04
1.2740e+00	1.4230e+09	3.7321e+04
1.2888e+00	1.3929e+09	3.7342e+04
1.3037e+00	1.3635e+09	3.7362e+04
1.3189e+00	1.3347e+09	3.7383e+04
1.3342e+00	1.3065e+09	3.7404e+04
1.3496e+00	1.2790e+09	3.7426e+04
1.3653e+00	1.2520e+09	3.7447e+04
1.3811e+00	1.2255e+09	3.7469e+04
1.3971e+00	1.1996e+09	3.7491e+04
1.4134e+00	1.1743e+09	3.7513e+04
1.4297e+00	1.1495e+09	3.7536e+04
1.4463e+00	1.1250e+09	3.7559e+04
1.4631e+00	1.1010e+09	3.7582e+04
1.4801e+00	1.0776e+09	3.7605e+04
1.4972e+00	1.0546e+09	3.7629e+04
1.5146e+00	1.0322e+09	3.7652e+04
1.5322e+00	1.0102e+09	3.7670e+04
1.5499e+00	9.8867e+08	3.7689e+04
1.5679e+00	9.6761e+08	3.7707e+04
1.5861e+00	9.4700e+08	3.7731e+04
1.6045e+00	9.2682e+08	3.7755e+04
1.6231e+00	9.0708e+08	3.7781e+04
1.6419e+00	8.8786e+08	3.7806e+04
1.6610e+00	8.6919e+08	3.7833e+04
1.6803e+00	8.5090e+08	3.7859e+04
1.6997e+00	8.3300e+08	3.7886e+04
1.7195e+00	8.1548e+08	3.7914e+04
1.7394e+00	7.9832e+08	3.7941e+04
1.7596e+00	7.8153e+08	3.7969e+04
1.7800e+00	7.6509e+08	3.7997e+04
1.8006e+00	7.4900e+08	3.8026e+04
1.8215e+00	7.3324e+08	3.8055e+04
1.8426e+00	7.1781e+08	3.8084e+04
1.8640e+00	7.0271e+08	3.8114e+04
1.8856e+00	6.8793e+08	3.8144e+04
1.9075e+00	6.7346e+08	3.8174e+04
1.9296e+00	6.5929e+08	3.8204e+04
1.9520e+00	6.4542e+08	3.8235e+04
1.9747e+00	6.3176e+08	3.8267e+04
1.9976e+00	6.1838e+08	3.8298e+04
2.0207e+00	6.0529e+08	3.8330e+04
2.0442e+00	5.9247e+08	3.8363e+04
2.0679e+00	5.7992e+08	3.8395e+04
2.0919e+00	5.6754e+08	3.8429e+04
2.1161e+00	5.5540e+08	3.8462e+04
2.1407e+00	5.4353e+08	3.8496e+04
2.1655e+00	5.3190e+08	3.8530e+04
2.1906e+00	5.2052e+08	3.8565e+04
2.2160e+00	5.0939e+08	3.8600e+04
2.2417e+00	4.9854e+08	3.8636e+04
2.2677e+00	4.8792e+08	3.8672e+04
2.2940e+00	4.7753e+08	3.8709e+04
2.3206e+00	4.6735e+08	3.8746e+04
2.3476e+00	4.5740e+08	3.8784e+04
2.3748e+00	4.4765e+08	3.8822e+04
2.4023e+00	4.3812e+08	3.8860e+04
2.4302e+00	4.2878e+08	3.8899e+04
2.4584e+00	4.1965e+08	3.8938e+04
2.4869e+00	4.1071e+08	3.8978e+04
2.5158e+00	4.0196e+08	3.9018e+04
2.5449e+00	3.9340e+08	3.9059e+04
2.5745e+00	3.8513e+08	3.9089e+04
2.6043e+00	3.7707e+08	3.9117e+04
2.6345e+00	3.6919e+08	3.9156e+04
2.6651e+00	3.6146e+08	3.9198e+04
2.6960e+00	3.5390e+08	3.9241e+04
2.7273e+00	3.4650e+08	3.9284e+04
2.7589e+00	3.3925e+08	3.9328e+04
2.7909e+00	3.3203e+08	3.9373e+04
2.8233e+00	3.2495e+08	3.9418e+04
2.8560e+00	3.1803e+08	3.9463e+04
2.8891e+00	3.1126e+08	3.9510e+04
2.9226e+00	3.0463e+08	3.9556e+04
2.9565e+00	2.9814e+08	3.9604e+04
2.9908e+00	2.9179e+08	3.9651e+04
3.0255e+00	2.8558e+08	3.9700e+04
3.0606e+00	2.7949e+08	3.9749e+04
3.0961e+00	2.7355e+08	3.9799e+04
3.1320e+00	2.6781e+08	3.9849e+04
3.1684e+00	2.6220e+08	3.9899e+04
3.2051e+00	2.5671e+08	3.9950e+04
3.2423e+00	2.5134e+08	4.0002e+04
3.2799e+00	2.4608e+08	4.0054e+04
3.3179e+00	2.4094e+08	4.0108e+04
3.3564e+00	2.3590e+08	4.0163e+04
3.3954e+00	2.3096e+08	4.0218e+04
3.4347e+00	2.2613e+08	4.0274e+04
3.4746e+00	2.2140e+08	4.0330e+04
3.5149e+00	2.1677e+08	4.0387e+04
3.5556e+00	2.1223e+08	4.0444e+04
3.5969e+00	2.0780e+08	4.0502e+04
3.6386e+00	2.0345e+08	4.0561e+04
3.6808e+00	1.9917e+08	4.0620e+04
3.7235e+00	1.9498e+08	4.0680e+04
3.7667e+00	1.9091e+08	4.0741e+04
3.8104e+00	1.8694e+08	4.0802e+04
3.8546e+00	1.8303e+08	4.0863e+04
3.8993e+00	1.7921e+08	4.0926e+04
3.9445e+00	1.7544e+08	4.0990e+04
3.9903e+00	1.7170e+08	4.1054e+04
4.0365e+00	1.6804e+08	4.1120e+04
4.0834e+00	1.6447e+08	4.1186e+04
4.1307e+00	1.6091e+08	4.1253e+04
4.1786e+00	1.5745e+08	4.1320e+04
4.2271e+00	1.5409e+08	4.1388e+04
4.2761e+00	1.5085e+08	4.1457e+04
4.3257e+00	1.4769e+08	4.1527e+04
4.3759e+00	1.4453e+08	4.1598e+04
4.4267e+00	1.4144e+08	4.1669e+04
4.4780e+00	1.3842e+08	4.1741e+04
4.5300e+00	1.3546e+08	4.1815e+04
4.5825e+00	1.3256e+08	4.1889e+04
4.6356e+00	1.2973e+08	4.1964e+04
4.6894e+00	1.2695e+08	4.2040e+04
4.7438e+00	1.2425e+08	4.2117e+04
4.7988e+00	1.2162e+08	4.2195e+04
4.8545e+00	1.1909e+08	4.2274e+04
4.9108e+00	1.1661e+08	4.2353e+04
4.9678e+00	1.1418e+08	4.2434e+04
5.0254e+00	1.1181e+08	4.2515e+04
5.0837e+00	1.0948e+08	4.2597e+04
5.1426e+00	1.0720e+08	4.2681e+04
5.2023e+00	1.0498e+08	4.2765e+04
5.2626e+00	1.0278e+08	4.2849e+04
5.3237e+00	1.0060e+08	4.2933e+04
5.3854e+00	9.8470e+07	4.3019e+04
5.4479e+00	9.6382e+07	4.3108e+04
5.5111e+00	9.4317e+07	4.3197e+04
5.5750e+00	9.2272e+07	4.3287e+04
5.6396e+00	9.0272e+07	4.3378e+04
5.7051e+00	8.8360e+07	4.3470e+04
5.7712e+00	8.6503e+07	4.3564e+04
5.8382e+00	8.4685e+07	4.3658e+04
5.9059e+00	8.2903e+07	4.3754e+04
5.9744e+00	8.1132e+07	4.3851e+04
6.0437e+00	7.9399e+07	4.3949e+04
6.1138e+00	7.7703e+07	4.4047e+04
6.1847e+00	7.6026e+07	4.4147e+04
6.2564e+00	7.4384e+07	4.4249e+04
