Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.8753e+04
1.5000e-03	0.0000e+00	3.8762e+04
2.0000e-03	0.0000e+00	3.8769e+04
2.5000e-03	0.0000e+00	3.8774e+04
3.0000e-03	0.0000e+00	3.8778e+04
3.5000e-03	0.0000e+00	3.8781e+04
4.0000e-03	0.0000e+00	3.8784e+04
4.5000e-03	0.0000e+00	3.8787e+04
5.0000e-03	0.0000e+00	3.8789e+04
5.5000e-03	0.0000e+00	3.8791e+04
6.0000e-03	0.0000e+00	3.8793e+04
6.5000e-03	0.0000e+00	3.8795e+04
7.0000e-03	0.0000e+00	3.8797e+04
7.5000e-03	0.0000e+00	3.8798e+04
8.0000e-03	0.0000e+00	3.8800e+04
8.5000e-03	0.0000e+00	3.8801e+04
9.0000e-03	0.0000e+00	3.8802e+04
9.5000e-03	0.0000e+00	3.8803e+04
1.0000e-02	0.0000e+00	3.8805e+04
1.5000e-02	0.0000e+00	3.8814e+04
2.0000e-02	0.0000e+00	3.8821e+04
2.5000e-02	0.0000e+00	3.8827e+04
3.0000e-02	0.0000e+00	3.8832e+04
3.5000e-02	0.0000e+00	3.8837e+04
4.0000e-02	0.0000e+00	3.8843e+04
4.5000e-02	0.0000e+00	3.8849e+04
5.0000e-02	0.0000e+00	3.8855e+04
5.5000e-02	0.0000e+00	3.8861e+04
6.0000e-02	0.0000e+00	3.8867e+04
6.5000e-02	0.0000e+00	3.8874e+04
7.0000e-02	0.0000e+00	3.8882e+04
7.5000e-02	0.0000e+00	3.8889e+04
8.0000e-02	0.0000e+00	3.8896e+04
8.5000e-02	0.0000e+00	3.8903e+04
9.0000e-02	0.0000e+00	3.8909e+04
9.5000e-02	0.0000e+00	3.8916e+04
1.0000e-01	0.0000e+00	3.8923e+04
1.5000e-01	0.0000e+00	3.8996e+04
2.0000e-01	0.0000e+00	3.9070e+04
2.5000e-01	0.0000e+00	3.9145e+04
3.0000e-01	0.0000e+00	3.9219e+04
3.5000e-01	0.0000e+00	3.9293e+04
4.0000e-01	0.0000e+00	3.9368e+04
4.5000e-01	0.0000e+00	3.9443e+04
5.0000e-01	0.0000e+00	3.9509e+04
5.5000e-01	0.0000e+00	3.9573e+04
6.0000e-01	0.0000e+00	3.9646e+04
6.5000e-01	0.0000e+00	3.9721e+04
7.0000e-01	0.0000e+00	3.9795e+04
7.5000e-01	0.0000e+00	3.9868e+04
8.0000e-01	0.0000e+00	3.9943e+04
8.5000e-01	0.0000e+00	4.0017e+04
9.0000e-01	0.0000e+00	4.0092e+04
9.5000e-01	0.0000e+00	4.0167e+04
1.0000e+00	2.4753e+09	4.0241e+04
1.0116e+00	2.4228e+09	4.0258e+04
1.0233e+00	2.3713e+09	4.0276e+04
1.0352e+00	2.3210e+09	4.0293e+04
1.0472e+00	2.2717e+09	4.0311e+04
1.0594e+00	2.2234e+09	4.0329e+04
1.0716e+00	2.1762e+09	4.0347e+04
1.0841e+00	2.1299e+09	4.0365e+04
1.0966e+00	2.0847e+09	4.0384e+04
1.1094e+00	2.0404e+09	4.0403e+04
1.1222e+00	1.9970e+09	4.0422e+04
1.1353e+00	1.9545e+09	4.0442e+04
1.1484e+00	1.9130e+09	4.0461e+04
1.1617e+00	1.8723e+09	4.0481e+04
1.1752e+00	1.8325e+09	4.0501e+04
1.1888e+00	1.7935e+09	4.0522e+04
1.2026e+00	1.7554e+09	4.0542e+04
1.2166e+00	1.7180e+09	4.0563e+04
1.2307e+00	1.6815e+09	4.0585e+04
1.2450e+00	1.6457e+09	4.0606e+04
1.2594e+00	1.6107e+09	4.0628e+04
1.2740e+00	1.5764e+09	4.0650e+04
