# Energy(MeV) Phi16_Planar Phi84_Planar
5.000000e-02 1.250010e+11 1.660869e+11
5.083354e-02 1.224337e+11 1.624032e+11
5.168098e-02 1.198052e+11 1.588259e+11
5.254254e-02 1.173237e+11 1.553064e+11
5.341847e-02 1.148468e+11 1.519732e+11
5.430899e-02 1.124125e+11 1.486612e+11
5.521437e-02 1.100297e+11 1.453538e+11
5.613484e-02 1.077407e+11 1.421025e+11
5.707065e-02 1.055002e+11 1.388873e+11
5.802206e-02 1.033222e+11 1.358108e+11
5.898934e-02 1.011915e+11 1.328104e+11
5.997274e-02 9.909516e+10 1.298645e+11
6.097253e-02 9.704225e+10 1.270109e+11
6.198899e-02 9.500828e+10 1.242410e+11
6.302240e-02 9.299875e+10 1.215172e+11
6.407303e-02 9.104312e+10 1.188403e+11
6.514118e-02 8.915756e+10 1.162198e+11
6.622713e-02 8.727394e+10 1.136728e+11
6.733119e-02 8.543375e+10 1.111719e+11
6.845366e-02 8.367738e+10 1.087249e+11
6.959484e-02 8.193462e+10 1.063298e+11
7.075504e-02 8.027166e+10 1.039895e+11
7.193458e-02 7.863055e+10 1.017055e+11
7.313379e-02 7.703339e+10 9.945033e+10
7.435299e-02 7.547300e+10 9.725790e+10
7.559251e-02 7.393395e+10 9.512131e+10
7.685270e-02 7.244183e+10 9.302793e+10
7.813389e-02 7.096708e+10 9.093967e+10
7.943645e-02 6.952228e+10 8.892140e+10
8.076072e-02 6.810679e+10 8.690360e+10
8.210706e-02 6.670304e+10 8.502491e+10
8.347585e-02 6.528321e+10 8.320916e+10
8.486746e-02 6.388925e+10 8.138434e+10
8.628227e-02 6.254163e+10 7.959679e+10
8.772067e-02 6.121707e+10 7.784470e+10
8.918304e-02 5.990066e+10 7.613110e+10
9.066979e-02 5.860847e+10 7.445515e+10
9.218133e-02 5.734911e+10 7.283349e+10
9.371807e-02 5.614221e+10 7.123378e+10
9.528042e-02 5.496508e+10 6.967907e+10
9.686882e-02 5.380954e+10 6.816541e+10
9.848370e-02 5.267934e+10 6.665336e+10
1.001255e-01 5.156467e+10 6.516625e+10
1.017947e-01 5.050550e+10 6.371844e+10
1.034917e-01 4.942601e+10 6.234562e+10
1.052170e-01 4.838464e+10 6.097158e+10
1.069710e-01 4.737288e+10 5.964870e+10
1.087543e-01 4.635023e+10 5.834354e+10
1.105673e-01 4.536751e+10 5.706925e+10
1.124106e-01 4.443034e+10 5.581288e+10
1.142846e-01 4.351399e+10 5.458653e+10
1.161898e-01 4.261120e+10 5.338558e+10
1.181267e-01 4.171147e+10 5.218249e+10
1.200960e-01 4.080761e+10 5.103911e+10
1.220981e-01 3.993617e+10 4.992071e+10
