# Energy(MeV) Phi16_Spherical Phi84_Spherical
5.000000e-02 5.000042e+11 6.643475e+11
5.083354e-02 4.897348e+11 6.496129e+11
5.168098e-02 4.792206e+11 6.353037e+11
5.254254e-02 4.692947e+11 6.212254e+11
5.341847e-02 4.593874e+11 6.078930e+11
5.430899e-02 4.496500e+11 5.946449e+11
5.521437e-02 4.401188e+11 5.814154e+11
5.613484e-02 4.309627e+11 5.684099e+11
5.707065e-02 4.220009e+11 5.555490e+11
5.802206e-02 4.132888e+11 5.432432e+11
5.898934e-02 4.047659e+11 5.312417e+11
5.997274e-02 3.963807e+11 5.194580e+11
6.097253e-02 3.881690e+11 5.080435e+11
6.198899e-02 3.800331e+11 4.969639e+11
6.302240e-02 3.719950e+11 4.860688e+11
6.407303e-02 3.641725e+11 4.753612e+11
6.514118e-02 3.566302e+11 4.648793e+11
6.622713e-02 3.490957e+11 4.546912e+11
6.733119e-02 3.417350e+11 4.446875e+11
6.845366e-02 3.347095e+11 4.348997e+11
6.959484e-02 3.277385e+11 4.253193e+11
7.075504e-02 3.210867e+11 4.159580e+11
7.193458e-02 3.145222e+11 4.068222e+11
7.313379e-02 3.081335e+11 3.978013e+11
7.435299e-02 3.018920e+11 3.890316e+11
7.559251e-02 2.957358e+11 3.804853e+11
7.685270e-02 2.897673e+11 3.721117e+11
7.813389e-02 2.838683e+11 3.637587e+11
7.943645e-02 2.780891e+11 3.556856e+11
8.076072e-02 2.724272e+11 3.476144e+11
8.210706e-02 2.668122e+11 3.400997e+11
8.347585e-02 2.611328e+11 3.328367e+11
8.486746e-02 2.555570e+11 3.255374e+11
8.628227e-02 2.501665e+11 3.183872e+11
8.772067e-02 2.448683e+11 3.113788e+11
8.918304e-02 2.396026e+11 3.045244e+11
9.066979e-02 2.344339e+11 2.978206e+11
9.218133e-02 2.293964e+11 2.913340e+11
9.371807e-02 2.245689e+11 2.849351e+11
9.528042e-02 2.198603e+11 2.787163e+11
9.686882e-02 2.152381e+11 2.726616e+11
9.848370e-02 2.107174e+11 2.666134e+11
1.001255e-01 2.062587e+11 2.606650e+11
1.017947e-01 2.020220e+11 2.548738e+11
1.034917e-01 1.977040e+11 2.493825e+11
1.052170e-01 1.935386e+11 2.438863e+11
1.069710e-01 1.894915e+11 2.385948e+11
1.087543e-01 1.854009e+11 2.333741e+11
1.105673e-01 1.814700e+11 2.282770e+11
1.124106e-01 1.777214e+11 2.232515e+11
1.142846e-01 1.740559e+11 2.183461e+11
1.161898e-01 1.704448e+11 2.135423e+11
1.181267e-01 1.668459e+11 2.087300e+11
1.200960e-01 1.632305e+11 2.041565e+11
1.220981e-01 1.597447e+11 1.996829e+11
1.241336e-01 1.564018e+11 1.953141e+11
1.262030e-01 1.531009e+11 1.910920e+11
1.283069e-01 1.498742e+11 1.870182e+11
1.304459e-01 1.467623e+11 1.829336e+11
1.326205e-01 1.437148e+11 1.789348e+11
1.348314e-01 1.407302e+11 1.750917e+11
1.370791e-01 1.377563e+11 1.713092e+11
1.393644e-01 1.347957e+11 1.675713e+11
1.416877e-01 1.319155e+11 1.639038e+11
1.440497e-01 1.290134e+11 1.603178e+11
1.464512e-01 1.263642e+11 1.568318e+11
1.488926e-01 1.238578e+11 1.533930e+11
1.513748e-01 1.213373e+11 1.500510e+11
1.538983e-01 1.188641e+11 1.467453e+11
1.564639e-01 1.163451e+11 1.435202e+11
1.590723e-01 1.139330e+11 1.403964e+11
1.617242e-01 1.115435e+11 1.373773e+11
1.644202e-01 1.091852e+11 1.343535e+11
1.671612e-01 1.068794e+11 1.313927e+11
1.699480e-01 1.045390e+11 1.285024e+11
1.727811e-01 1.023443e+11 1.256929e+11
1.756615e-01 1.002131e+11 1.229421e+11
1.785899e-01 9.809028e+10 1.202769e+11
1.815672e-01 9.605398e+10 1.176191e+11
1.845941e-01 9.399209e+10 1.150194e+11
1.876714e-01 9.194258e+10 1.123864e+11
1.908000e-01 8.998931e+10 1.099503e+11
1.939808e-01 8.808724e+10 1.075215e+11
1.972146e-01 8.622588e+10 1.051929e+11
2.005023e-01 8.443525e+10 1.028990e+11
2.038449e-01 8.267061e+10 1.006460e+11
2.072431e-01 8.091442e+10 9.845972e+10
2.106980e-01 7.920605e+10 9.634302e+10
2.142105e-01 7.758431e+10 9.415856e+10
2.177816e-01 7.596652e+10 9.202002e+10
2.214122e-01 7.437985e+10 9.000623e+10
2.251033e-01 7.282459e+10 8.810188e+10
2.288560e-01 7.129400e+10 8.622231e+10
2.326712e-01 6.977350e+10 8.424056e+10
2.365500e-01 6.827216e+10 8.231723e+10
2.404935e-01 6.686544e+10 8.048359e+10
2.445027e-01 6.545641e+10 7.871429e+10
2.485788e-01 6.408238e+10 7.701037e+10
2.527228e-01 6.277353e+10 7.534405e+10
2.569359e-01 6.146669e+10 7.370362e+10
2.612192e-01 6.016716e+10 7.208441e+10
2.655739e-01 5.890728e+10 7.053050e+10
2.700012e-01 5.766795e+10 6.899554e+10
2.745024e-01 5.645244e+10 6.747494e+10
2.790786e-01 5.524820e+10 6.602984e+10
2.837310e-01 5.407050e+10 6.459552e+10
2.884610e-01 5.293115e+10 6.317367e+10
2.932699e-01 5.179737e+10 6.181715e+10
2.981590e-01 5.068421e+10 6.046557e+10
3.031295e-01 4.957973e+10 5.914271e+10
3.081829e-01 4.853788e+10 5.785615e+10
3.133206e-01 4.748107e+10 5.657082e+10
3.185439e-01 4.647891e+10 5.532426e+10
3.238543e-01 4.549439e+10 5.412293e+10
3.292532e-01 4.451119e+10 5.292493e+10
3.347421e-01 4.357181e+10 5.176561e+10
3.403225e-01 4.263578e+10 5.065658e+10
3.459960e-01 4.173899e+10 4.949482e+10
3.517640e-01 4.080997e+10 4.841137e+10
3.576282e-01 3.992551e+10 4.734836e+10
3.635901e-01 3.906247e+10 4.630354e+10
3.696515e-01 3.821248e+10 4.528100e+10
3.758138e-01 3.738842e+10 4.429281e+10
3.820790e-01 3.657248e+10 4.329787e+10
3.884485e-01 3.579255e+10 4.235339e+10
3.949243e-01 3.505374e+10 4.142028e+10
4.015080e-01 3.430431e+10 4.051228e+10
4.082014e-01 3.357003e+10 3.963155e+10
4.150065e-01 3.283955e+10 3.876845e+10
4.219250e-01 3.212390e+10 3.792394e+10
4.289588e-01 3.143787e+10 3.710462e+10
4.361099e-01 3.076651e+10 3.630060e+10
4.433802e-01 3.010882e+10 3.551420e+10
4.507717e-01 2.946199e+10 3.472419e+10
4.582864e-01 2.883385e+10 3.396964e+10
4.659264e-01 2.822514e+10 3.320951e+10
4.736938e-01 2.762673e+10 3.248350e+10
4.815906e-01 2.703341e+10 3.178505e+10
4.896191e-01 2.645937e+10 3.108014e+10
4.977815e-01 2.589747e+10 3.040660e+10
5.060799e-01 2.534622e+10 2.974877e+10
5.145167e-01 2.479983e+10 2.909544e+10
5.230941e-01 2.426996e+10 2.846196e+10
5.318145e-01 2.374890e+10 2.784263e+10
5.406802e-01 2.323240e+10 2.723013e+10
5.496938e-01 2.271937e+10 2.662496e+10
5.588576e-01 2.221004e+10 2.603622e+10
5.681742e-01 2.172357e+10 2.546431e+10
5.776462e-01 2.124043e+10 2.489824e+10
5.872760e-01 2.076681e+10 2.433537e+10
5.970663e-01 2.033171e+10 2.379365e+10
6.070199e-01 1.990907e+10 2.326206e+10
6.171394e-01 1.946993e+10 2.275552e+10
6.274276e-01 1.907040e+10 2.226239e+10
6.378874e-01 1.866457e+10 2.177385e+10
6.485214e-01 1.825847e+10 2.129833e+10
6.593328e-01 1.786002e+10 2.083923e+10
6.703244e-01 1.746752e+10 2.039479e+10
6.814993e-01 1.708211e+10 1.996166e+10
6.928604e-01 1.671777e+10 1.952374e+10
7.044109e-01 1.635170e+10 1.909625e+10
7.161540e-01 1.599881e+10 1.867662e+10
7.280929e-01 1.564356e+10 1.827715e+10
7.402308e-01 1.529055e+10 1.786713e+10
7.525710e-01 1.495669e+10 1.748344e+10
7.651170e-01 1.463283e+10 1.710245e+10
7.778721e-01 1.431428e+10 1.672497e+10
7.908399e-01 1.399215e+10 1.635649e+10
8.040238e-01 1.368280e+10 1.599131e+10
8.174275e-01 1.337970e+10 1.564040e+10
8.310547e-01 1.308376e+10 1.529573e+10
8.449090e-01 1.279501e+10 1.495809e+10
8.589943e-01 1.250632e+10 1.463318e+10
