# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
5.000000e-02 5.781023e+11
5.083354e-02 5.656188e+11
5.168098e-02 5.534898e+11
5.254254e-02 5.416645e+11
5.341847e-02 5.300448e+11
5.430899e-02 5.186560e+11
5.521437e-02 5.074508e+11
5.613484e-02 4.966233e+11
5.707065e-02 4.859498e+11
5.802206e-02 4.755735e+11
5.898934e-02 4.654114e+11
5.997274e-02 4.555432e+11
6.097253e-02 4.458787e+11
6.198899e-02 4.364403e+11
6.302240e-02 4.271035e+11
6.407303e-02 4.180363e+11
6.514118e-02 4.090838e+11
6.622713e-02 4.003117e+11
6.733119e-02 3.916985e+11
6.845366e-02 3.832703e+11
6.959484e-02 3.750230e+11
7.075504e-02 3.670618e+11
7.193458e-02 3.591774e+11
7.313379e-02 3.514569e+11
7.435299e-02 3.439019e+11
7.559251e-02 3.363960e+11
7.685270e-02 3.292397e+11
7.813389e-02 3.221842e+11
7.943645e-02 3.151946e+11
8.076072e-02 3.083453e+11
8.210706e-02 3.018549e+11
8.347585e-02 2.953661e+11
8.486746e-02 2.890146e+11
8.628227e-02 2.827801e+11
8.772067e-02 2.767369e+11
8.918304e-02 2.708329e+11
9.066979e-02 2.650546e+11
9.218133e-02 2.593880e+11
9.371807e-02 2.538024e+11
9.528042e-02 2.482831e+11
9.686882e-02 2.429454e+11
9.848370e-02 2.379003e+11
1.001255e-01 2.328505e+11
1.017947e-01 2.277827e+11
1.034917e-01 2.227939e+11
1.052170e-01 2.180895e+11
1.069710e-01 2.134299e+11
1.087543e-01 2.088253e+11
1.105673e-01 2.043041e+11
1.124106e-01 1.998980e+11
1.142846e-01 1.955896e+11
1.161898e-01 1.914176e+11
1.181267e-01 1.872839e+11
1.200960e-01 1.832735e+11
1.220981e-01 1.793480e+11
1.241336e-01 1.755518e+11
1.262030e-01 1.717747e+11
1.283069e-01 1.681434e+11
1.304459e-01 1.645801e+11
1.326205e-01 1.609736e+11
1.348314e-01 1.574499e+11
1.370791e-01 1.540996e+11
1.393644e-01 1.507547e+11
1.416877e-01 1.476128e+11
1.440497e-01 1.444192e+11
1.464512e-01 1.412610e+11
1.488926e-01 1.382136e+11
1.513748e-01 1.352111e+11
1.538983e-01 1.323510e+11
1.564639e-01 1.295345e+11
1.590723e-01 1.267253e+11
1.617242e-01 1.239211e+11
1.644202e-01 1.212614e+11
1.671612e-01 1.185893e+11
1.699480e-01 1.160631e+11
1.727811e-01 1.135960e+11
1.756615e-01 1.112405e+11
1.785899e-01 1.089064e+11
1.815672e-01 1.065970e+11
1.845941e-01 1.043261e+11
1.876714e-01 1.020957e+11
1.908000e-01 9.984498e+10
1.939808e-01 9.771908e+10
1.972146e-01 9.571870e+10
2.005023e-01 9.363915e+10
2.038449e-01 9.160228e+10
2.072431e-01 8.966910e+10
2.106980e-01 8.770528e+10
2.142105e-01 8.583301e+10
2.177816e-01 8.397524e+10
