# Energy(MeV) Phi16_Planar Phi84_Planar
5.000000e-02 1.256735e+11 1.670978e+11
5.083354e-02 1.230996e+11 1.633812e+11
5.168098e-02 1.204987e+11 1.598360e+11
5.254254e-02 1.179576e+11 1.562723e+11
5.341847e-02 1.154462e+11 1.528727e+11
5.430899e-02 1.130009e+11 1.495621e+11
5.521437e-02 1.106291e+11 1.462413e+11
5.613484e-02 1.083304e+11 1.429706e+11
5.707065e-02 1.060866e+11 1.397418e+11
5.802206e-02 1.039007e+11 1.366467e+11
5.898934e-02 1.017598e+11 1.336232e+11
5.997274e-02 9.964898e+10 1.306813e+11
6.097253e-02 9.757140e+10 1.278103e+11
6.198899e-02 9.550118e+10 1.250024e+11
6.302240e-02 9.348833e+10 1.222627e+11
6.407303e-02 9.151918e+10 1.195839e+11
6.514118e-02 8.962141e+10 1.169427e+11
6.622713e-02 8.776634e+10 1.143808e+11
6.733119e-02 8.592510e+10 1.118740e+11
6.845366e-02 8.412806e+10 1.094102e+11
6.959484e-02 8.240911e+10 1.069958e+11
7.075504e-02 8.072297e+10 1.046268e+11
7.193458e-02 7.907304e+10 1.023201e+11
7.313379e-02 7.746396e+10 1.000706e+11
7.435299e-02 7.589322e+10 9.787001e+10
7.559251e-02 7.435424e+10 9.571693e+10
7.685270e-02 7.285795e+10 9.361087e+10
7.813389e-02 7.137629e+10 9.151159e+10
7.943645e-02 6.992467e+10 8.947932e+10
8.076072e-02 6.850248e+10 8.746863e+10
8.210706e-02 6.709739e+10 8.553337e+10
8.347585e-02 6.567285e+10 8.370107e+10
8.486746e-02 6.427072e+10 8.188696e+10
8.628227e-02 6.292767e+10 8.008984e+10
8.772067e-02 6.157865e+10 7.833207e+10
8.918304e-02 6.024996e+10 7.660825e+10
9.066979e-02 5.895388e+10 7.492569e+10
9.218133e-02 5.769263e+10 7.329266e+10
9.371807e-02 5.648269e+10 7.168187e+10
9.528042e-02 5.529270e+10 7.011922e+10
9.686882e-02 5.412416e+10 6.859514e+10
9.848370e-02 5.300648e+10 6.706756e+10
1.001255e-01 5.189044e+10 6.557271e+10
1.017947e-01 5.079740e+10 6.412546e+10
1.034917e-01 4.972759e+10 6.273817e+10
1.052170e-01 4.867187e+10 6.134977e+10
1.069710e-01 4.765629e+10 6.002461e+10
1.087543e-01 4.662831e+10 5.871278e+10
1.105673e-01 4.563576e+10 5.743209e+10
1.124106e-01 4.469403e+10 5.617123e+10
1.142846e-01 4.377452e+10 5.492676e+10
1.161898e-01 4.287353e+10 5.371936e+10
1.181267e-01 4.196998e+10 5.252773e+10
1.200960e-01 4.106085e+10 5.137706e+10
1.220981e-01 4.018049e+10 5.024735e+10
1.241336e-01 3.934682e+10 4.914856e+10
1.262030e-01 3.851341e+10 4.808284e+10
1.283069e-01 3.770202e+10 4.705942e+10
1.304459e-01 3.691988e+10 4.603199e+10
1.326205e-01 3.615389e+10 4.502333e+10
1.348314e-01 3.540372e+10 4.405527e+10
1.370791e-01 3.464372e+10 4.310010e+10
1.393644e-01 3.390675e+10 4.216109e+10
1.416877e-01 3.317624e+10 4.123804e+10
1.440497e-01 3.245521e+10 4.033564e+10
1.464512e-01 3.179748e+10 3.946611e+10
1.488926e-01 3.116890e+10 3.859517e+10
1.513748e-01 3.054101e+10 3.776131e+10
1.538983e-01 2.990386e+10 3.692303e+10
1.564639e-01 2.926218e+10 3.611603e+10
1.590723e-01 2.866897e+10 3.533326e+10
1.617242e-01 2.806500e+10 3.456934e+10
1.644202e-01 2.747054e+10 3.380423e+10
1.671612e-01 2.688144e+10 3.305904e+10
1.699480e-01 2.630177e+10 3.233408e+10
1.727811e-01 2.575536e+10 3.162736e+10
1.756615e-01 2.521700e+10 3.093357e+10
1.785899e-01 2.467969e+10 3.026704e+10
1.815672e-01 2.417200e+10 2.959600e+10
1.845941e-01 2.364568e+10 2.893608e+10
1.876714e-01 2.313809e+10 2.828410e+10
1.908000e-01 2.264581e+10 2.766967e+10
1.939808e-01 2.217058e+10 2.707035e+10
1.972146e-01 2.170439e+10 2.647947e+10
2.005023e-01 2.125054e+10 2.590282e+10
2.038449e-01 2.080654e+10 2.533129e+10
2.072431e-01 2.036527e+10 2.478667e+10
2.106980e-01 1.993809e+10 2.424658e+10
2.142105e-01 1.952976e+10 2.369020e+10
2.177816e-01 1.912221e+10 2.315985e+10
2.214122e-01 1.872119e+10 2.265786e+10
2.251033e-01 1.832814e+10 2.218026e+10
2.288560e-01 1.794239e+10 2.168665e+10
2.326712e-01 1.755724e+10 2.118874e+10
2.365500e-01 1.718917e+10 2.071090e+10
2.404935e-01 1.683578e+10 2.025728e+10
2.445027e-01 1.647265e+10 1.981604e+10
2.485788e-01 1.613677e+10 1.938303e+10
2.527228e-01 1.580455e+10 1.896439e+10
2.569359e-01 1.547111e+10 1.854940e+10
2.612192e-01 1.514490e+10 1.814710e+10
2.655739e-01 1.483095e+10 1.775378e+10
2.700012e-01 1.451502e+10 1.736352e+10
2.745024e-01 1.420459e+10 1.698959e+10
2.790786e-01 1.390628e+10 1.662172e+10
2.837310e-01 1.361080e+10 1.625938e+10
2.884610e-01 1.332092e+10 1.590598e+10
2.932699e-01 1.304183e+10 1.555929e+10
2.981590e-01 1.275242e+10 1.521952e+10
3.031295e-01 1.248191e+10 1.488613e+10
3.081829e-01 1.221637e+10 1.455752e+10
3.133206e-01 1.195361e+10 1.423710e+10
3.185439e-01 1.170376e+10 1.392930e+10
3.238543e-01 1.144650e+10 1.362235e+10
3.292532e-01 1.121018e+10 1.332251e+10
3.347421e-01 1.097035e+10 1.303438e+10
3.403225e-01 1.073540e+10 1.274523e+10
3.459960e-01 1.050121e+10 1.245856e+10
3.517640e-01 1.027073e+10 1.218588e+10
3.576282e-01 1.005150e+10 1.191878e+10
3.635901e-01 9.832342e+09 1.165388e+10
3.696515e-01 9.620940e+09 1.139855e+10
3.758138e-01 9.409655e+09 1.114432e+10
3.820790e-01 9.208900e+09 1.090234e+10
3.884485e-01 9.016299e+09 1.066396e+10
3.949243e-01 8.827738e+09 1.042737e+10
4.015080e-01 8.636554e+09 1.020000e+10
4.082014e-01 8.448869e+09 9.978647e+09
4.150065e-01 8.265431e+09 9.761371e+09
4.219250e-01 8.087361e+09 9.550154e+09
4.289588e-01 7.915306e+09 9.341581e+09
4.361099e-01 7.745254e+09 9.141803e+09
4.433802e-01 7.580154e+09 8.939887e+09
4.507717e-01 7.419070e+09 8.747455e+09
4.582864e-01 7.261870e+09 8.551097e+09
4.659264e-01 7.108385e+09 8.360368e+09
4.736938e-01 6.956538e+09 8.181889e+09
4.815906e-01 6.808234e+09 8.001155e+09
4.896191e-01 6.664195e+09 7.828494e+09
4.977815e-01 6.522579e+09 7.657164e+09
5.060799e-01 6.381484e+09 7.490180e+09
5.145167e-01 6.245260e+09 7.326617e+09
5.230941e-01 6.111899e+09 7.168593e+09
5.318145e-01 5.979979e+09 7.009986e+09
5.406802e-01 5.847159e+09 6.855789e+09
5.496938e-01 5.716334e+09 6.702897e+09
5.588576e-01 5.590231e+09 6.556887e+09
5.681742e-01 5.467590e+09 6.411584e+09
5.776462e-01 5.345726e+09 6.266184e+09
5.872760e-01 5.231554e+09 6.127531e+09
5.970663e-01 5.123825e+09 5.990822e+09
6.070199e-01 5.009660e+09 5.860702e+09
6.171394e-01 4.906390e+09 5.734237e+09
6.274276e-01 4.804431e+09 5.607462e+09
6.378874e-01 4.699911e+09 5.484877e+09
6.485214e-01 4.598056e+09 5.366272e+09
6.593328e-01 4.496458e+09 5.251254e+09
6.703244e-01 4.397770e+09 5.139416e+09
6.814993e-01 4.302749e+09 5.026512e+09
6.928604e-01 4.209367e+09 4.916734e+09
7.044109e-01 4.118087e+09 4.808670e+09
7.161540e-01 4.026696e+09 4.706262e+09
7.280929e-01 3.936636e+09 4.602061e+09
7.402308e-01 3.850416e+09 4.502570e+09
7.525710e-01 3.766666e+09 4.405223e+09
7.651170e-01 3.685183e+09 4.308233e+09
7.778721e-01 3.602272e+09 4.212988e+09
7.908399e-01 3.522589e+09 4.119486e+09
8.040238e-01 3.444876e+09 4.028967e+09
8.174275e-01 3.368872e+09 3.940206e+09
8.310547e-01 3.292844e+09 3.852867e+09
8.449090e-01 3.219123e+09 3.769702e+09
8.589943e-01 3.147341e+09 3.687672e+09
8.733145e-01 3.076976e+09 3.607748e+09
8.878733e-01 3.004718e+09 3.529400e+09
9.026749e-01 2.938248e+09 3.451865e+09
9.177232e-01 2.872590e+09 3.377071e+09
9.330224e-01 2.808998e+09 3.302242e+09
9.485766e-01 2.748007e+09 3.229802e+09
9.643901e-01 2.687365e+09 3.159637e+09
9.804673e-01 2.629194e+09 3.091358e+09
9.968125e-01 2.571916e+09 3.023163e+09
1.013430e+00 2.515359e+09 2.957509e+09
1.030325e+00 2.458989e+09 2.892165e+09
1.047501e+00 2.404491e+09 2.828187e+09
1.064964e+00 2.351457e+09 2.765443e+09
1.082718e+00 2.297635e+09 2.704758e+09
1.100767e+00 2.245595e+09 2.644677e+09
1.119118e+00 2.195037e+09 2.585395e+09
1.137775e+00 2.144103e+09 2.527966e+09
1.156742e+00 2.095642e+09 2.471591e+09
1.176026e+00 2.047875e+09 2.416735e+09
1.195631e+00 2.000660e+09 2.363325e+09
1.215564e+00 1.954933e+09 2.311527e+09
1.235828e+00 1.910024e+09 2.260324e+09
1.256430e+00 1.866742e+09 2.211070e+09
1.277376e+00 1.824548e+09 2.161516e+09
1.298671e+00 1.783386e+09 2.114409e+09
1.320321e+00 1.742533e+09 2.067571e+09
1.342331e+00 1.703065e+09 2.020000e+09
1.364709e+00 1.665034e+09 1.974331e+09
1.387460e+00 1.626947e+09 1.930020e+09
1.410590e+00 1.589701e+09 1.886571e+09
1.434106e+00 1.553408e+09 1.844291e+09
1.458013e+00 1.518559e+09 1.803285e+09
1.482320e+00 1.483155e+09 1.762613e+09
1.507031e+00 1.450370e+09 1.723123e+09
1.532155e+00 1.417331e+09 1.685437e+09
1.557697e+00 1.384767e+09 1.648859e+09
1.583665e+00 1.352960e+09 1.612409e+09
1.610066e+00 1.321801e+09 1.576331e+09
1.636907e+00 1.291425e+09 1.540246e+09
1.664195e+00 1.261750e+09 1.504806e+09
1.691939e+00 1.233002e+09 1.470514e+09
1.720145e+00 1.204771e+09 1.437553e+09
1.748821e+00 1.177347e+09 1.405239e+09
