# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
5.000000e-02 1.453468e+11
5.083354e-02 1.422126e+11
5.168098e-02 1.391763e+11
5.254254e-02 1.362036e+11
5.341847e-02 1.332809e+11
5.430899e-02 1.304266e+11
5.521437e-02 1.276218e+11
5.613484e-02 1.248829e+11
5.707065e-02 1.222027e+11
5.802206e-02 1.196013e+11
5.898934e-02 1.170303e+11
5.997274e-02 1.145342e+11
6.097253e-02 1.120653e+11
6.198899e-02 1.097276e+11
6.302240e-02 1.073797e+11
6.407303e-02 1.051231e+11
6.514118e-02 1.028615e+11
6.622713e-02 1.006665e+11
6.733119e-02 9.850164e+10
6.845366e-02 9.638329e+10
6.959484e-02 9.431040e+10
7.075504e-02 9.230004e+10
7.193458e-02 9.031792e+10
7.313379e-02 8.837751e+10
7.435299e-02 8.647870e+10
7.559251e-02 8.460599e+10
7.685270e-02 8.280236e+10
7.813389e-02 8.102202e+10
7.943645e-02 7.926301e+10
8.076072e-02 7.755274e+10
8.210706e-02 7.590846e+10
8.347585e-02 7.427946e+10
8.486746e-02 7.268295e+10
8.628227e-02 7.111749e+10
8.772067e-02 6.960933e+10
8.918304e-02 6.812507e+10
9.066979e-02 6.667238e+10
9.218133e-02 6.523959e+10
9.371807e-02 6.384039e+10
9.528042e-02 6.245613e+10
9.686882e-02 6.110843e+10
9.848370e-02 5.984392e+10
1.001255e-01 5.856807e+10
1.017947e-01 5.728841e+10
1.034917e-01 5.604432e+10
1.052170e-01 5.485552e+10
1.069710e-01 5.369514e+10
1.087543e-01 5.253149e+10
1.105673e-01 5.138705e+10
1.124106e-01 5.029412e+10
1.142846e-01 4.920182e+10
1.161898e-01 4.814638e+10
1.181267e-01 4.711105e+10
1.200960e-01 4.609441e+10
1.220981e-01 4.512023e+10
1.241336e-01 4.415500e+10
1.262030e-01 4.321133e+10
1.283069e-01 4.229838e+10
1.304459e-01 4.139558e+10
1.326205e-01 4.050505e+10
1.348314e-01 3.961620e+10
1.370791e-01 3.876564e+10
1.393644e-01 3.793659e+10
1.416877e-01 3.714321e+10
1.440497e-01 3.633250e+10
1.464512e-01 3.554166e+10
1.488926e-01 3.477168e+10
1.513748e-01 3.402414e+10
1.538983e-01 3.330954e+10
1.564639e-01 3.259368e+10
1.590723e-01 3.188273e+10
1.617242e-01 3.118417e+10
1.644202e-01 3.050889e+10
1.671612e-01 2.984701e+10
1.699480e-01 2.920998e+10
1.727811e-01 2.858376e+10
1.756615e-01 2.799575e+10
1.785899e-01 2.740656e+10
1.815672e-01 2.682183e+10
1.845941e-01 2.624980e+10
1.876714e-01 2.568343e+10
1.908000e-01 2.512316e+10
1.939808e-01 2.460057e+10
1.972146e-01 2.408804e+10
2.005023e-01 2.356439e+10
2.038449e-01 2.305497e+10
2.072431e-01 2.256328e+10
2.106980e-01 2.207135e+10
2.142105e-01 2.160260e+10
2.177816e-01 2.113135e+10
2.214122e-01 2.066965e+10
2.251033e-01 2.022748e+10
2.288560e-01 1.979867e+10
2.326712e-01 1.937273e+10
2.365500e-01 1.896784e+10
2.404935e-01 1.856561e+10
2.445027e-01 1.816368e+10
2.485788e-01 1.777654e+10
