# Energy(MeV) Phi16_Spherical Phi84_Spherical
5.000000e-02 5.026940e+11 6.683914e+11
5.083354e-02 4.923982e+11 6.535248e+11
5.168098e-02 4.819948e+11 6.393441e+11
5.254254e-02 4.718304e+11 6.250891e+11
5.341847e-02 4.617850e+11 6.114909e+11
5.430899e-02 4.520036e+11 5.982485e+11
5.521437e-02 4.425165e+11 5.849652e+11
5.613484e-02 4.333217e+11 5.718822e+11
5.707065e-02 4.243465e+11 5.589671e+11
5.802206e-02 4.156029e+11 5.465867e+11
5.898934e-02 4.070391e+11 5.344927e+11
5.997274e-02 3.985959e+11 5.227251e+11
6.097253e-02 3.902856e+11 5.112414e+11
6.198899e-02 3.820047e+11 5.000095e+11
6.302240e-02 3.739533e+11 4.890506e+11
6.407303e-02 3.660767e+11 4.783355e+11
6.514118e-02 3.584856e+11 4.677709e+11
6.622713e-02 3.510654e+11 4.575233e+11
6.733119e-02 3.437004e+11 4.474960e+11
6.845366e-02 3.365123e+11 4.376407e+11
6.959484e-02 3.296364e+11 4.279832e+11
7.075504e-02 3.228919e+11 4.185073e+11
7.193458e-02 3.162921e+11 4.092804e+11
7.313379e-02 3.098558e+11 4.002826e+11
7.435299e-02 3.035729e+11 3.914800e+11
7.559251e-02 2.974170e+11 3.828677e+11
7.685270e-02 2.914318e+11 3.744435e+11
7.813389e-02 2.855052e+11 3.660464e+11
7.943645e-02 2.796987e+11 3.579173e+11
8.076072e-02 2.740099e+11 3.498745e+11
8.210706e-02 2.683896e+11 3.421335e+11
8.347585e-02 2.626914e+11 3.348043e+11
8.486746e-02 2.570829e+11 3.275478e+11
8.628227e-02 2.517107e+11 3.203593e+11
8.772067e-02 2.463146e+11 3.133283e+11
8.918304e-02 2.409998e+11 3.064330e+11
9.066979e-02 2.358155e+11 2.997028e+11
9.218133e-02 2.307705e+11 2.931706e+11
9.371807e-02 2.259308e+11 2.867275e+11
9.528042e-02 2.211708e+11 2.804769e+11
9.686882e-02 2.164967e+11 2.743805e+11
9.848370e-02 2.120259e+11 2.682703e+11
1.001255e-01 2.075618e+11 2.622908e+11
1.017947e-01 2.031896e+11 2.565018e+11
1.034917e-01 1.989104e+11 2.509527e+11
1.052170e-01 1.946875e+11 2.453991e+11
1.069710e-01 1.906252e+11 2.400985e+11
1.087543e-01 1.865133e+11 2.348511e+11
1.105673e-01 1.825430e+11 2.297284e+11
1.124106e-01 1.787761e+11 2.246849e+11
1.142846e-01 1.750981e+11 2.197070e+11
1.161898e-01 1.714941e+11 2.148775e+11
1.181267e-01 1.678799e+11 2.101109e+11
1.200960e-01 1.642434e+11 2.055082e+11
1.220981e-01 1.607220e+11 2.009894e+11
1.241336e-01 1.573873e+11 1.965943e+11
1.262030e-01 1.540536e+11 1.923313e+11
1.283069e-01 1.508081e+11 1.882377e+11
1.304459e-01 1.476795e+11 1.841280e+11
1.326205e-01 1.446155e+11 1.800933e+11
1.348314e-01 1.416149e+11 1.762211e+11
1.370791e-01 1.385749e+11 1.724004e+11
1.393644e-01 1.356270e+11 1.686444e+11
1.416877e-01 1.327050e+11 1.649522e+11
1.440497e-01 1.298208e+11 1.613425e+11
1.464512e-01 1.271899e+11 1.578644e+11
1.488926e-01 1.246756e+11 1.543807e+11
1.513748e-01 1.221640e+11 1.510452e+11
1.538983e-01 1.196154e+11 1.476921e+11
1.564639e-01 1.170487e+11 1.444641e+11
1.590723e-01 1.146759e+11 1.413330e+11
1.617242e-01 1.122600e+11 1.382774e+11
1.644202e-01 1.098822e+11 1.352169e+11
1.671612e-01 1.075258e+11 1.322362e+11
1.699480e-01 1.052071e+11 1.293363e+11
1.727811e-01 1.030214e+11 1.265094e+11
1.756615e-01 1.008680e+11 1.237343e+11
1.785899e-01 9.871877e+10 1.210682e+11
1.815672e-01 9.668799e+10 1.183840e+11
1.845941e-01 9.458274e+10 1.157443e+11
1.876714e-01 9.255234e+10 1.131364e+11
1.908000e-01 9.058324e+10 1.106787e+11
1.939808e-01 8.868232e+10 1.082814e+11
1.972146e-01 8.681754e+10 1.059179e+11
2.005023e-01 8.500218e+10 1.036113e+11
2.038449e-01 8.322614e+10 1.013252e+11
2.072431e-01 8.146107e+10 9.914669e+10
2.106980e-01 7.975235e+10 9.698634e+10
2.142105e-01 7.811904e+10 9.476078e+10
2.177816e-01 7.648886e+10 9.263938e+10
2.214122e-01 7.488476e+10 9.063143e+10
2.251033e-01 7.331256e+10 8.872103e+10
2.288560e-01 7.176955e+10 8.674659e+10
2.326712e-01 7.022898e+10 8.475498e+10
2.365500e-01 6.875668e+10 8.284358e+10
2.404935e-01 6.734313e+10 8.102912e+10
2.445027e-01 6.589058e+10 7.926415e+10
2.485788e-01 6.454710e+10 7.753211e+10
2.527228e-01 6.321820e+10 7.585754e+10
2.569359e-01 6.188444e+10 7.419761e+10
