# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
5.000000e-02 5.813870e+11
5.083354e-02 5.688503e+11
5.168098e-02 5.567053e+11
5.254254e-02 5.448145e+11
5.341847e-02 5.331235e+11
5.430899e-02 5.217063e+11
5.521437e-02 5.104873e+11
5.613484e-02 4.995318e+11
5.707065e-02 4.888109e+11
5.802206e-02 4.784050e+11
5.898934e-02 4.681214e+11
5.997274e-02 4.581367e+11
6.097253e-02 4.482611e+11
6.198899e-02 4.389104e+11
6.302240e-02 4.295187e+11
6.407303e-02 4.204924e+11
6.514118e-02 4.114459e+11
6.622713e-02 4.026658e+11
6.733119e-02 3.940066e+11
6.845366e-02 3.855331e+11
6.959484e-02 3.772416e+11
7.075504e-02 3.692002e+11
7.193458e-02 3.612717e+11
7.313379e-02 3.535100e+11
7.435299e-02 3.459148e+11
7.559251e-02 3.384240e+11
7.685270e-02 3.312094e+11
7.813389e-02 3.240881e+11
7.943645e-02 3.170520e+11
8.076072e-02 3.102110e+11
8.210706e-02 3.036339e+11
8.347585e-02 2.971178e+11
8.486746e-02 2.907318e+11
8.628227e-02 2.844700e+11
8.772067e-02 2.784373e+11
8.918304e-02 2.725003e+11
9.066979e-02 2.666895e+11
9.218133e-02 2.609584e+11
9.371807e-02 2.553616e+11
9.528042e-02 2.498245e+11
9.686882e-02 2.444337e+11
9.848370e-02 2.393757e+11
1.001255e-01 2.342723e+11
1.017947e-01 2.291536e+11
1.034917e-01 2.241773e+11
1.052170e-01 2.194221e+11
1.069710e-01 2.147806e+11
1.087543e-01 2.101260e+11
1.105673e-01 2.055482e+11
1.124106e-01 2.011765e+11
1.142846e-01 1.968073e+11
1.161898e-01 1.925855e+11
1.181267e-01 1.884442e+11
1.200960e-01 1.843776e+11
1.220981e-01 1.804809e+11
1.241336e-01 1.766200e+11
1.262030e-01 1.728453e+11
1.283069e-01 1.691935e+11
1.304459e-01 1.655823e+11
1.326205e-01 1.620202e+11
1.348314e-01 1.584648e+11
1.370791e-01 1.550626e+11
1.393644e-01 1.517464e+11
1.416877e-01 1.485729e+11
1.440497e-01 1.453300e+11
1.464512e-01 1.421667e+11
1.488926e-01 1.390867e+11
1.513748e-01 1.360966e+11
1.538983e-01 1.332382e+11
1.564639e-01 1.303747e+11
1.590723e-01 1.275309e+11
1.617242e-01 1.247367e+11
1.644202e-01 1.220356e+11
1.671612e-01 1.193880e+11
1.699480e-01 1.168399e+11
1.727811e-01 1.143350e+11
1.756615e-01 1.119830e+11
1.785899e-01 1.096263e+11
1.815672e-01 1.072873e+11
1.845941e-01 1.049992e+11
1.876714e-01 1.027337e+11
1.908000e-01 1.004927e+11
1.939808e-01 9.840229e+10
1.972146e-01 9.635218e+10
2.005023e-01 9.425756e+10
2.038449e-01 9.221987e+10
2.072431e-01 9.025312e+10
2.106980e-01 8.828542e+10
2.142105e-01 8.641041e+10
2.177816e-01 8.452538e+10
2.214122e-01 8.267858e+10
2.251033e-01 8.090994e+10
2.288560e-01 7.919468e+10
