Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.1693e+04
1.5000e-03	0.0000e+00	2.1698e+04
2.0000e-03	0.0000e+00	2.1701e+04
2.5000e-03	0.0000e+00	2.1704e+04
3.0000e-03	0.0000e+00	2.1706e+04
3.5000e-03	0.0000e+00	2.1708e+04
4.0000e-03	0.0000e+00	2.1709e+04
4.5000e-03	0.0000e+00	2.1711e+04
5.0000e-03	0.0000e+00	2.1712e+04
5.5000e-03	0.0000e+00	2.1713e+04
6.0000e-03	0.0000e+00	2.1714e+04
6.5000e-03	0.0000e+00	2.1715e+04
7.0000e-03	0.0000e+00	2.1716e+04
7.5000e-03	0.0000e+00	2.1716e+04
8.0000e-03	0.0000e+00	2.1717e+04
8.5000e-03	0.0000e+00	2.1718e+04
9.0000e-03	0.0000e+00	2.1719e+04
9.5000e-03	0.0000e+00	2.1719e+04
1.0000e-02	0.0000e+00	2.1720e+04
1.5000e-02	0.0000e+00	2.1724e+04
2.0000e-02	0.0000e+00	2.1728e+04
2.5000e-02	0.0000e+00	2.1730e+04
3.0000e-02	0.0000e+00	2.1732e+04
3.5000e-02	0.0000e+00	2.1735e+04
4.0000e-02	0.0000e+00	2.1743e+04
4.5000e-02	0.0000e+00	2.1749e+04
5.0000e-02	1.2500e+11	2.1755e+04
5.0834e-02	1.2243e+11	2.1756e+04
5.1681e-02	1.1981e+11	2.1757e+04
5.2543e-02	1.1732e+11	2.1758e+04
5.3418e-02	1.1485e+11	2.1759e+04
5.4309e-02	1.1241e+11	2.1760e+04
5.5214e-02	1.1003e+11	2.1761e+04
5.6135e-02	1.0774e+11	2.1762e+04
5.7071e-02	1.0550e+11	2.1763e+04
5.8022e-02	1.0332e+11	2.1764e+04
5.8989e-02	1.0119e+11	2.1765e+04
5.9973e-02	9.9095e+10	2.1766e+04
6.0973e-02	9.7042e+10	2.1767e+04
6.1989e-02	9.5008e+10	2.1768e+04
6.3022e-02	9.2999e+10	2.1769e+04
6.4073e-02	9.1043e+10	2.1770e+04
6.5141e-02	8.9158e+10	2.1771e+04
6.6227e-02	8.7274e+10	2.1772e+04
6.7331e-02	8.5434e+10	2.1772e+04
6.8454e-02	8.3677e+10	2.1773e+04
6.9595e-02	8.1935e+10	2.1774e+04
