Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.4391e+04
1.5000e-03	0.0000e+00	2.4396e+04
2.0000e-03	0.0000e+00	2.4400e+04
2.5000e-03	0.0000e+00	2.4403e+04
3.0000e-03	0.0000e+00	2.4405e+04
3.5000e-03	0.0000e+00	2.4407e+04
4.0000e-03	0.0000e+00	2.4409e+04
4.5000e-03	0.0000e+00	2.4410e+04
5.0000e-03	0.0000e+00	2.4412e+04
5.5000e-03	0.0000e+00	2.4413e+04
6.0000e-03	0.0000e+00	2.4414e+04
6.5000e-03	0.0000e+00	2.4415e+04
7.0000e-03	0.0000e+00	2.4416e+04
7.5000e-03	0.0000e+00	2.4417e+04
8.0000e-03	0.0000e+00	2.4418e+04
8.5000e-03	0.0000e+00	2.4419e+04
9.0000e-03	0.0000e+00	2.4419e+04
9.5000e-03	0.0000e+00	2.4420e+04
1.0000e-02	0.0000e+00	2.4421e+04
1.5000e-02	0.0000e+00	2.4426e+04
2.0000e-02	0.0000e+00	2.4430e+04
2.5000e-02	0.0000e+00	2.4433e+04
3.0000e-02	0.0000e+00	2.4435e+04
3.5000e-02	0.0000e+00	2.4438e+04
4.0000e-02	0.0000e+00	2.4447e+04
4.5000e-02	0.0000e+00	2.4454e+04
5.0000e-02	1.4453e+11	2.4461e+04
5.0834e-02	1.4140e+11	2.4462e+04
5.1681e-02	1.3837e+11	2.4463e+04
5.2543e-02	1.3542e+11	2.4464e+04
5.3418e-02	1.3251e+11	2.4465e+04
5.4309e-02	1.2966e+11	2.4466e+04
5.5214e-02	1.2686e+11	2.4467e+04
5.6135e-02	1.2416e+11	2.4468e+04
5.7071e-02	1.2149e+11	2.4469e+04
5.8022e-02	1.1889e+11	2.4470e+04
5.8989e-02	1.1635e+11	2.4471e+04
5.9973e-02	1.1389e+11	2.4472e+04
6.0973e-02	1.1147e+11	2.4474e+04
6.1989e-02	1.0911e+11	2.4475e+04
6.3022e-02	1.0678e+11	2.4476e+04
6.4073e-02	1.0451e+11	2.4477e+04
6.5141e-02	1.0227e+11	2.4478e+04
6.6227e-02	1.0008e+11	2.4479e+04
6.7331e-02	9.7925e+10	2.4480e+04
6.8454e-02	9.5818e+10	2.4481e+04
6.9595e-02	9.3756e+10	2.4482e+04
7.0755e-02	9.1765e+10	2.4483e+04
7.1935e-02	8.9794e+10	2.4484e+04
7.3134e-02	8.7864e+10	2.4485e+04
7.4353e-02	8.5975e+10	2.4486e+04
7.5593e-02	8.4099e+10	2.4487e+04
7.6853e-02	8.2310e+10	2.4488e+04
7.8134e-02	8.0546e+10	2.4489e+04
7.9436e-02	7.8799e+10	2.4490e+04
8.0761e-02	7.7086e+10	2.4492e+04
8.2107e-02	7.5464e+10	2.4493e+04
8.3476e-02	7.3842e+10	2.4494e+04
8.4867e-02	7.2254e+10	2.4495e+04
8.6282e-02	7.0695e+10	2.4496e+04
8.7721e-02	6.9184e+10	2.4497e+04
8.9183e-02	6.7708e+10	2.4498e+04
9.0670e-02	6.6264e+10	2.4500e+04
9.2181e-02	6.4847e+10	2.4502e+04
9.3718e-02	6.3451e+10	2.4504e+04
9.5280e-02	6.2071e+10	2.4506e+04
9.6869e-02	6.0736e+10	2.4508e+04
9.8484e-02	5.9475e+10	2.4510e+04
1.0013e-01	5.8213e+10	2.4513e+04
1.0179e-01	5.6946e+10	2.4515e+04
1.0349e-01	5.5698e+10	2.4517e+04
1.0522e-01	5.4522e+10	2.4519e+04
1.0697e-01	5.3357e+10	2.4521e+04
1.0875e-01	5.2206e+10	2.4523e+04
1.1057e-01	5.1076e+10	2.4525e+04
1.1241e-01	4.9975e+10	2.4527e+04
1.1428e-01	4.8897e+10	2.4529e+04
1.1619e-01	4.7854e+10	2.4532e+04
1.1813e-01	4.6821e+10	2.4534e+04
1.2010e-01	4.5818e+10	2.4536e+04
1.2210e-01	4.4837e+10	2.4538e+04
1.2413e-01	4.3888e+10	2.4540e+04
1.2620e-01	4.2944e+10	2.4542e+04
1.2831e-01	4.2036e+10	2.4544e+04
1.3045e-01	4.1145e+10	2.4546e+04
1.3262e-01	4.0243e+10	2.4548e+04
1.3483e-01	3.9362e+10	2.4551e+04
1.3708e-01	3.8525e+10	2.4553e+04
1.3936e-01	3.7689e+10	2.4555e+04
1.4169e-01	3.6903e+10	2.4557e+04
1.4405e-01	3.6105e+10	2.4559e+04
1.4645e-01	3.5315e+10	2.4562e+04
1.4889e-01	3.4553e+10	2.4565e+04
1.5137e-01	3.3803e+10	2.4568e+04
1.5390e-01	3.3088e+10	2.4571e+04
1.5646e-01	3.2384e+10	2.4575e+04
1.5907e-01	3.1681e+10	2.4578e+04
1.6172e-01	3.0980e+10	2.4581e+04
1.6442e-01	3.0315e+10	2.4584e+04
1.6716e-01	2.9647e+10	2.4587e+04
1.6995e-01	2.9016e+10	2.4590e+04
1.7278e-01	2.8399e+10	2.4593e+04
1.7566e-01	2.7810e+10	2.4597e+04
1.7859e-01	2.7227e+10	2.4600e+04
1.8157e-01	2.6649e+10	2.4603e+04
1.8459e-01	2.6082e+10	2.4606e+04
1.8767e-01	2.5524e+10	2.4609e+04
1.9080e-01	2.4961e+10	2.4612e+04
1.9398e-01	2.4430e+10	2.4615e+04
1.9721e-01	2.3930e+10	2.4619e+04
2.0050e-01	2.3410e+10	2.4622e+04
2.0384e-01	2.2901e+10	2.4626e+04
2.0724e-01	2.2417e+10	2.4630e+04
2.1070e-01	2.1926e+10	2.4634e+04
2.1421e-01	2.1458e+10	2.4639e+04
2.1778e-01	2.0994e+10	2.4643e+04
2.2141e-01	2.0535e+10	2.4647e+04
2.2510e-01	2.0091e+10	2.4651e+04
2.2886e-01	1.9665e+10	2.4655e+04
2.3267e-01	1.9250e+10	2.4660e+04
2.3655e-01	1.8832e+10	2.4664e+04
2.4049e-01	1.8439e+10	2.4668e+04
2.4450e-01	1.8039e+10	2.4672e+04
2.4858e-01	1.7656e+10	2.4676e+04
2.5272e-01	1.7278e+10	2.4680e+04
2.5694e-01	1.6901e+10	2.4685e+04
2.6122e-01	1.6533e+10	2.4690e+04
2.6557e-01	1.6173e+10	2.4695e+04
2.7000e-01	1.5821e+10	2.4701e+04
2.7450e-01	1.5479e+10	2.4706e+04
2.7908e-01	1.5146e+10	2.4711e+04
2.8373e-01	1.4825e+10	2.4716e+04
2.8846e-01	1.4511e+10	2.4721e+04
2.9327e-01	1.4197e+10	2.4727e+04
2.9816e-01	1.3887e+10	2.4732e+04
3.0313e-01	1.3592e+10	2.4737e+04
3.0818e-01	1.3294e+10	2.4742e+04
3.1332e-01	1.2997e+10	2.4748e+04
3.1854e-01	1.2714e+10	2.4754e+04
3.2385e-01	1.2441e+10	2.4760e+04
3.2925e-01	1.2167e+10	2.4767e+04
3.3474e-01	1.1901e+10	2.4773e+04
3.4032e-01	1.1645e+10	2.4779e+04
3.4600e-01	1.1397e+10	2.4785e+04
3.5176e-01	1.1146e+10	2.4792e+04
3.5763e-01	1.0903e+10	2.4798e+04
3.6359e-01	1.0671e+10	2.4804e+04
3.6965e-01	1.0436e+10	2.4811e+04
3.7581e-01	1.0204e+10	2.4818e+04
3.8208e-01	9.9852e+09	2.4825e+04
3.8845e-01	9.7665e+09	2.4833e+04
3.9492e-01	9.5553e+09	2.4840e+04
4.0151e-01	9.3504e+09	2.4847e+04
4.0820e-01	9.1489e+09	2.4854e+04
4.1501e-01	8.9460e+09	2.4862e+04
4.2192e-01	8.7480e+09	2.4869e+04
4.2896e-01	8.5525e+09	2.4877e+04
4.3611e-01	8.3664e+09	2.4885e+04
4.4338e-01	8.1863e+09	2.4894e+04
4.5077e-01	8.0109e+09	2.4902e+04
4.5829e-01	7.8389e+09	2.4910e+04
4.6593e-01	7.6696e+09	2.4919e+04
4.7369e-01	7.5043e+09	2.4927e+04
