# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
5.000000e-02 1.445256e+11
5.083354e-02 1.414047e+11
5.168098e-02 1.383724e+11
5.254254e-02 1.354161e+11
5.341847e-02 1.325112e+11
5.430899e-02 1.296640e+11
5.521437e-02 1.268627e+11
5.613484e-02 1.241558e+11
5.707065e-02 1.214875e+11
5.802206e-02 1.188934e+11
5.898934e-02 1.163529e+11
5.997274e-02 1.138858e+11
6.097253e-02 1.114697e+11
6.198899e-02 1.091101e+11
6.302240e-02 1.067759e+11
6.407303e-02 1.045091e+11
6.514118e-02 1.022710e+11
6.622713e-02 1.000779e+11
6.733119e-02 9.792463e+10
6.845366e-02 9.581757e+10
6.959484e-02 9.375576e+10
7.075504e-02 9.176546e+10
7.193458e-02 8.979435e+10
7.313379e-02 8.786422e+10
7.435299e-02 8.597549e+10
7.559251e-02 8.409900e+10
7.685270e-02 8.230992e+10
7.813389e-02 8.054605e+10
7.943645e-02 7.879865e+10
8.076072e-02 7.708633e+10
8.210706e-02 7.546373e+10
8.347585e-02 7.384154e+10
8.486746e-02 7.225365e+10
8.628227e-02 7.069503e+10
8.772067e-02 6.918423e+10
8.918304e-02 6.770824e+10
9.066979e-02 6.626365e+10
9.218133e-02 6.484701e+10
9.371807e-02 6.345060e+10
9.528042e-02 6.207077e+10
9.686882e-02 6.073636e+10
9.848370e-02 5.947508e+10
1.001255e-01 5.821264e+10
1.017947e-01 5.694567e+10
1.034917e-01 5.569847e+10
1.052170e-01 5.452238e+10
1.069710e-01 5.335748e+10
1.087543e-01 5.220632e+10
1.105673e-01 5.107604e+10
1.124106e-01 4.997451e+10
1.142846e-01 4.889740e+10
1.161898e-01 4.785439e+10
1.181267e-01 4.682097e+10
1.200960e-01 4.581839e+10
1.220981e-01 4.483700e+10
1.241336e-01 4.388795e+10
1.262030e-01 4.294369e+10
1.283069e-01 4.203586e+10
1.304459e-01 4.114502e+10
1.326205e-01 4.024341e+10
1.348314e-01 3.936248e+10
1.370791e-01 3.852490e+10
1.393644e-01 3.768869e+10
1.416877e-01 3.690321e+10
1.440497e-01 3.610479e+10
1.464512e-01 3.531525e+10
1.488926e-01 3.455341e+10
1.513748e-01 3.380278e+10
1.538983e-01 3.308775e+10
1.564639e-01 3.238362e+10
1.590723e-01 3.168132e+10
1.617242e-01 3.098029e+10
1.644202e-01 3.031535e+10
1.671612e-01 2.964733e+10
1.699480e-01 2.901578e+10
1.727811e-01 2.839901e+10
1.756615e-01 2.781012e+10
1.785899e-01 2.722660e+10
1.815672e-01 2.664924e+10
1.845941e-01 2.608153e+10
1.876714e-01 2.552392e+10
1.908000e-01 2.496125e+10
1.939808e-01 2.442977e+10
1.972146e-01 2.392968e+10
2.005023e-01 2.340979e+10
2.038449e-01 2.290057e+10
2.072431e-01 2.241727e+10
2.106980e-01 2.192632e+10
2.142105e-01 2.145825e+10
2.177816e-01 2.099381e+10
2.214122e-01 2.053505e+10
2.251033e-01 2.009138e+10
2.288560e-01 1.966480e+10
2.326712e-01 1.924971e+10
2.365500e-01 1.883193e+10
2.404935e-01 1.843925e+10
2.445027e-01 1.803877e+10
2.485788e-01 1.765638e+10
2.527228e-01 1.727766e+10
2.569359e-01 1.690114e+10
2.612192e-01 1.653336e+10
2.655739e-01 1.617325e+10
2.700012e-01 1.582070e+10
2.745024e-01 1.547915e+10
2.790786e-01 1.514592e+10
2.837310e-01 1.482521e+10
2.884610e-01 1.451097e+10
2.932699e-01 1.419713e+10
2.981590e-01 1.388697e+10
3.031295e-01 1.359250e+10
3.081829e-01 1.329421e+10
3.133206e-01 1.299721e+10
3.185439e-01 1.271368e+10
3.238543e-01 1.244144e+10
3.292532e-01 1.216727e+10
3.347421e-01 1.190141e+10
3.403225e-01 1.164546e+10
3.459960e-01 1.139694e+10
3.517640e-01 1.114567e+10
3.576282e-01 1.090299e+10
3.635901e-01 1.067083e+10
3.696515e-01 1.043551e+10
3.758138e-01 1.020375e+10
3.820790e-01 9.985231e+09
3.884485e-01 9.766528e+09
3.949243e-01 9.555298e+09
4.015080e-01 9.350436e+09
4.082014e-01 9.148911e+09
4.150065e-01 8.946039e+09
4.219250e-01 8.747984e+09
4.289588e-01 8.552454e+09
4.361099e-01 8.366449e+09
4.433802e-01 8.186300e+09
4.507717e-01 8.010851e+09
4.582864e-01 7.838895e+09
4.659264e-01 7.669575e+09
4.736938e-01 7.504291e+09
4.815906e-01 7.342671e+09
4.896191e-01 7.181154e+09
4.977815e-01 7.024886e+09
5.060799e-01 6.874659e+09
5.145167e-01 6.727419e+09
5.230941e-01 6.582628e+09
5.318145e-01 6.435601e+09
5.406802e-01 6.292889e+09
5.496938e-01 6.155037e+09
5.588576e-01 6.022575e+09
5.681742e-01 5.890262e+09
5.776462e-01 5.758529e+09
5.872760e-01 5.631613e+09
5.970663e-01 5.508662e+09
6.070199e-01 5.388385e+09
6.171394e-01 5.271262e+09
6.274276e-01 5.157049e+09
6.378874e-01 5.045046e+09
6.485214e-01 4.936496e+09
6.593328e-01 4.828222e+09
6.703244e-01 4.723515e+09
6.814993e-01 4.620298e+09
6.928604e-01 4.518181e+09
7.044109e-01 4.417592e+09
7.161540e-01 4.320036e+09
7.280929e-01 4.225259e+09
7.402308e-01 4.132158e+09
7.525710e-01 4.039761e+09
7.651170e-01 3.949937e+09
7.778721e-01 3.862671e+09
7.908399e-01 3.777526e+09
8.040238e-01 3.694288e+09
8.174275e-01 3.612169e+09
8.310547e-01 3.532391e+09
8.449090e-01 3.453556e+09
8.589943e-01 3.378257e+09
8.733145e-01 3.304484e+09
8.878733e-01 3.230811e+09
9.026749e-01 3.160603e+09
9.177232e-01 3.093108e+09
9.330224e-01 3.023835e+09
9.485766e-01 2.955580e+09
9.643901e-01 2.889534e+09
9.804673e-01 2.824140e+09
9.968125e-01 2.762809e+09
1.013430e+00 2.701242e+09
1.030325e+00 2.640942e+09
1.047501e+00 2.581957e+09
1.064964e+00 2.523041e+09
1.082718e+00 2.467324e+09
1.100767e+00 2.412631e+09
1.119118e+00 2.358566e+09
1.137775e+00 2.306292e+09
1.156742e+00 2.254427e+09
1.176026e+00 2.203346e+09
1.195631e+00 2.153677e+09
1.215564e+00 2.106846e+09
1.235828e+00 2.060148e+09
1.256430e+00 2.013189e+09
1.277376e+00 1.968145e+09
1.298671e+00 1.923955e+09
1.320321e+00 1.880919e+09
1.342331e+00 1.838696e+09
1.364709e+00 1.797244e+09
1.387460e+00 1.757082e+09
1.410590e+00 1.716913e+09
1.434106e+00 1.678659e+09
1.458013e+00 1.641629e+09
1.482320e+00 1.605194e+09
1.507031e+00 1.569126e+09
1.532155e+00 1.533561e+09
1.557697e+00 1.499120e+09
1.583665e+00 1.465839e+09
1.610066e+00 1.433429e+09
1.636907e+00 1.400641e+09
1.664195e+00 1.368559e+09
1.691939e+00 1.337379e+09
1.720145e+00 1.307266e+09
1.748821e+00 1.277636e+09
1.777975e+00 1.248489e+09
