Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	6.5646e+04
1.5000e-03	0.0000e+00	6.5658e+04
2.0000e-03	0.0000e+00	6.5665e+04
2.5000e-03	0.0000e+00	6.5672e+04
3.0000e-03	0.0000e+00	6.5676e+04
3.5000e-03	0.0000e+00	6.5680e+04
4.0000e-03	0.0000e+00	6.5684e+04
4.5000e-03	0.0000e+00	6.5687e+04
5.0000e-03	0.0000e+00	6.5690e+04
5.5000e-03	0.0000e+00	6.5692e+04
6.0000e-03	0.0000e+00	6.5694e+04
6.5000e-03	0.0000e+00	6.5697e+04
7.0000e-03	0.0000e+00	6.5698e+04
7.5000e-03	0.0000e+00	6.5700e+04
8.0000e-03	0.0000e+00	6.5702e+04
8.5000e-03	0.0000e+00	6.5704e+04
9.0000e-03	0.0000e+00	6.5705e+04
9.5000e-03	0.0000e+00	6.5707e+04
1.0000e-02	0.0000e+00	6.5708e+04
1.5000e-02	0.0000e+00	6.5719e+04
2.0000e-02	0.0000e+00	6.5727e+04
2.5000e-02	0.0000e+00	6.5733e+04
3.0000e-02	0.0000e+00	6.5738e+04
3.5000e-02	0.0000e+00	6.5744e+04
4.0000e-02	0.0000e+00	6.5750e+04
4.5000e-02	0.0000e+00	6.5756e+04
5.0000e-02	6.6435e+11	6.5763e+04
5.0834e-02	6.4961e+11	6.5764e+04
5.1681e-02	6.3530e+11	6.5765e+04
5.2543e-02	6.2123e+11	6.5766e+04
5.3418e-02	6.0789e+11	6.5767e+04
5.4309e-02	5.9464e+11	6.5768e+04
5.5214e-02	5.8142e+11	6.5769e+04
5.6135e-02	5.6841e+11	6.5770e+04
5.7071e-02	5.5555e+11	6.5772e+04
5.8022e-02	5.4324e+11	6.5773e+04
5.8989e-02	5.3124e+11	6.5774e+04
5.9973e-02	5.1946e+11	6.5775e+04
6.0973e-02	5.0804e+11	6.5776e+04
6.1989e-02	4.9696e+11	6.5777e+04
6.3022e-02	4.8607e+11	6.5778e+04
6.4073e-02	4.7536e+11	6.5779e+04
6.5141e-02	4.6488e+11	6.5780e+04
6.6227e-02	4.5469e+11	6.5782e+04
6.7331e-02	4.4469e+11	6.5783e+04
6.8454e-02	4.3490e+11	6.5784e+04
6.9595e-02	4.2532e+11	6.5785e+04
7.0755e-02	4.1596e+11	6.5786e+04
7.1935e-02	4.0682e+11	6.5787e+04
7.3134e-02	3.9780e+11	6.5789e+04
7.4353e-02	3.8903e+11	6.5790e+04
7.5593e-02	3.8049e+11	6.5791e+04
7.6853e-02	3.7211e+11	6.5793e+04
7.8134e-02	3.6376e+11	6.5794e+04
7.9436e-02	3.5569e+11	6.5795e+04
8.0761e-02	3.4761e+11	6.5797e+04
8.2107e-02	3.4010e+11	6.5799e+04
8.3476e-02	3.3284e+11	6.5801e+04
8.4867e-02	3.2554e+11	6.5803e+04
8.6282e-02	3.1839e+11	6.5805e+04
8.7721e-02	3.1138e+11	6.5807e+04
8.9183e-02	3.0452e+11	6.5808e+04
9.0670e-02	2.9782e+11	6.5810e+04
9.2181e-02	2.9133e+11	6.5812e+04
9.3718e-02	2.8494e+11	6.5814e+04
9.5280e-02	2.7872e+11	6.5816e+04
9.6869e-02	2.7266e+11	6.5818e+04
9.8484e-02	2.6661e+11	6.5820e+04
1.0013e-01	2.6066e+11	6.5822e+04
1.0179e-01	2.5487e+11	6.5825e+04
1.0349e-01	2.4938e+11	6.5827e+04
1.0522e-01	2.4389e+11	6.5829e+04
1.0697e-01	2.3859e+11	6.5831e+04
1.0875e-01	2.3337e+11	6.5833e+04
1.1057e-01	2.2828e+11	6.5836e+04
1.1241e-01	2.2325e+11	6.5838e+04
1.1428e-01	2.1835e+11	6.5840e+04
1.1619e-01	2.1354e+11	6.5843e+04
1.1813e-01	2.0873e+11	6.5845e+04
1.2010e-01	2.0416e+11	6.5847e+04
1.2210e-01	1.9968e+11	6.5850e+04
1.2413e-01	1.9531e+11	6.5853e+04
1.2620e-01	1.9109e+11	6.5856e+04
1.2831e-01	1.8702e+11	6.5859e+04
1.3045e-01	1.8293e+11	6.5862e+04
1.3262e-01	1.7893e+11	6.5865e+04
1.3483e-01	1.7509e+11	6.5868e+04
1.3708e-01	1.7131e+11	6.5871e+04
1.3936e-01	1.6757e+11	6.5875e+04
1.4169e-01	1.6390e+11	6.5878e+04
1.4405e-01	1.6032e+11	6.5881e+04
1.4645e-01	1.5683e+11	6.5885e+04
1.4889e-01	1.5339e+11	6.5888e+04
1.5137e-01	1.5005e+11	6.5891e+04
1.5390e-01	1.4675e+11	6.5895e+04
1.5646e-01	1.4352e+11	6.5898e+04
1.5907e-01	1.4040e+11	6.5902e+04
1.6172e-01	1.3738e+11	6.5905e+04
1.6442e-01	1.3435e+11	6.5909e+04
1.6716e-01	1.3139e+11	6.5914e+04
1.6995e-01	1.2850e+11	6.5918e+04
1.7278e-01	1.2569e+11	6.5922e+04
1.7566e-01	1.2294e+11	6.5927e+04
1.7859e-01	1.2028e+11	6.5931e+04
1.8157e-01	1.1762e+11	6.5935e+04
1.8459e-01	1.1502e+11	6.5940e+04
1.8767e-01	1.1239e+11	6.5944e+04
1.9080e-01	1.0995e+11	6.5948e+04
1.9398e-01	1.0752e+11	6.5953e+04
1.9721e-01	1.0519e+11	6.5957e+04
2.0050e-01	1.0290e+11	6.5962e+04
2.0384e-01	1.0065e+11	6.5967e+04
2.0724e-01	9.8460e+10	6.5971e+04
2.1070e-01	9.6343e+10	6.5977e+04
2.1421e-01	9.4159e+10	6.5982e+04
2.1778e-01	9.2020e+10	6.5987e+04
2.2141e-01	9.0006e+10	6.5993e+04
2.2510e-01	8.8102e+10	6.5998e+04
2.2886e-01	8.6222e+10	6.6004e+04
2.3267e-01	8.4241e+10	6.6009e+04
2.3655e-01	8.2317e+10	6.6015e+04
2.4049e-01	8.0484e+10	6.6020e+04
2.4450e-01	7.8714e+10	6.6026e+04
2.4858e-01	7.7010e+10	6.6032e+04
2.5272e-01	7.5344e+10	6.6038e+04
2.5694e-01	7.3704e+10	6.6044e+04
2.6122e-01	7.2084e+10	6.6051e+04
2.6557e-01	7.0530e+10	6.6057e+04
2.7000e-01	6.8996e+10	6.6063e+04
2.7450e-01	6.7475e+10	6.6070e+04
2.7908e-01	6.6030e+10	6.6076e+04
2.8373e-01	6.4596e+10	6.6082e+04
2.8846e-01	6.3174e+10	6.6089e+04
2.9327e-01	6.1817e+10	6.6095e+04
2.9816e-01	6.0466e+10	6.6102e+04
3.0313e-01	5.9143e+10	6.6110e+04
3.0818e-01	5.7856e+10	6.6117e+04
3.1332e-01	5.6571e+10	6.6124e+04
3.1854e-01	5.5324e+10	6.6132e+04
3.2385e-01	5.4123e+10	6.6139e+04
3.2925e-01	5.2925e+10	6.6147e+04
3.3474e-01	5.1766e+10	6.6156e+04
3.4032e-01	5.0657e+10	6.6164e+04
3.4600e-01	4.9495e+10	6.6172e+04
3.5176e-01	4.8411e+10	6.6180e+04
3.5763e-01	4.7348e+10	6.6188e+04
3.6359e-01	4.6304e+10	6.6197e+04
3.6965e-01	4.5281e+10	6.6205e+04
3.7581e-01	4.4293e+10	6.6214e+04
3.8208e-01	4.3298e+10	6.6223e+04
3.8845e-01	4.2353e+10	6.6232e+04
3.9492e-01	4.1420e+10	6.6241e+04
4.0151e-01	4.0512e+10	6.6250e+04
4.0820e-01	3.9632e+10	6.6260e+04
4.1501e-01	3.8768e+10	6.6270e+04
4.2192e-01	3.7924e+10	6.6280e+04
4.2896e-01	3.7105e+10	6.6291e+04
4.3611e-01	3.6301e+10	6.6301e+04
4.4338e-01	3.5514e+10	6.6311e+04
4.5077e-01	3.4724e+10	6.6322e+04
4.5829e-01	3.3970e+10	6.6332e+04
4.6593e-01	3.3210e+10	6.6343e+04
4.7369e-01	3.2484e+10	6.6354e+04
4.8159e-01	3.1785e+10	6.6365e+04
4.8962e-01	3.1080e+10	6.6377e+04
4.9778e-01	3.0407e+10	6.6389e+04
5.0608e-01	2.9749e+10	6.6401e+04
5.1452e-01	2.9095e+10	6.6413e+04
5.2309e-01	2.8462e+10	6.6425e+04
5.3181e-01	2.7843e+10	6.6438e+04
5.4068e-01	2.7230e+10	6.6451e+04
5.4969e-01	2.6625e+10	6.6463e+04
5.5886e-01	2.6036e+10	6.6477e+04
5.6817e-01	2.5464e+10	6.6491e+04
5.7765e-01	2.4898e+10	6.6505e+04
5.8728e-01	2.4335e+10	6.6519e+04
5.9707e-01	2.3794e+10	6.6534e+04
6.0702e-01	2.3262e+10	6.6549e+04
6.1714e-01	2.2756e+10	6.6564e+04
6.2743e-01	2.2262e+10	6.6579e+04
6.3789e-01	2.1774e+10	6.6595e+04
6.4852e-01	2.1298e+10	6.6612e+04
6.5933e-01	2.0839e+10	6.6629e+04
6.7032e-01	2.0395e+10	6.6647e+04
6.8150e-01	1.9962e+10	6.6665e+04
6.9286e-01	1.9524e+10	6.6682e+04
7.0441e-01	1.9096e+10	6.6701e+04
7.1615e-01	1.8677e+10	6.6719e+04
