Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.9121e+04
1.5000e-03	0.0000e+00	5.9131e+04
2.0000e-03	0.0000e+00	5.9139e+04
2.5000e-03	0.0000e+00	5.9144e+04
3.0000e-03	0.0000e+00	5.9149e+04
3.5000e-03	0.0000e+00	5.9152e+04
4.0000e-03	0.0000e+00	5.9155e+04
4.5000e-03	0.0000e+00	5.9158e+04
5.0000e-03	0.0000e+00	5.9160e+04
5.5000e-03	0.0000e+00	5.9163e+04
6.0000e-03	0.0000e+00	5.9165e+04
6.5000e-03	0.0000e+00	5.9167e+04
7.0000e-03	0.0000e+00	5.9168e+04
7.5000e-03	0.0000e+00	5.9170e+04
8.0000e-03	0.0000e+00	5.9172e+04
8.5000e-03	0.0000e+00	5.9173e+04
9.0000e-03	0.0000e+00	5.9174e+04
9.5000e-03	0.0000e+00	5.9176e+04
1.0000e-02	0.0000e+00	5.9177e+04
1.5000e-02	0.0000e+00	5.9187e+04
2.0000e-02	0.0000e+00	5.9194e+04
2.5000e-02	0.0000e+00	5.9199e+04
3.0000e-02	0.0000e+00	5.9204e+04
3.5000e-02	0.0000e+00	5.9209e+04
4.0000e-02	0.0000e+00	5.9215e+04
4.5000e-02	0.0000e+00	5.9221e+04
5.0000e-02	5.7810e+11	5.9227e+04
5.0834e-02	5.6562e+11	5.9228e+04
5.1681e-02	5.5349e+11	5.9228e+04
5.2543e-02	5.4166e+11	5.9229e+04
5.3418e-02	5.3004e+11	5.9230e+04
5.4309e-02	5.1866e+11	5.9231e+04
5.5214e-02	5.0745e+11	5.9232e+04
5.6135e-02	4.9662e+11	5.9233e+04
5.7071e-02	4.8595e+11	5.9234e+04
5.8022e-02	4.7557e+11	5.9235e+04
5.8989e-02	4.6541e+11	5.9236e+04
5.9973e-02	4.5554e+11	5.9237e+04
6.0973e-02	4.4588e+11	5.9238e+04
6.1989e-02	4.3644e+11	5.9239e+04
6.3022e-02	4.2710e+11	5.9240e+04
6.4073e-02	4.1804e+11	5.9241e+04
6.5141e-02	4.0908e+11	5.9242e+04
6.6227e-02	4.0031e+11	5.9243e+04
6.7331e-02	3.9170e+11	5.9244e+04
6.8454e-02	3.8327e+11	5.9246e+04
6.9595e-02	3.7502e+11	5.9247e+04
7.0755e-02	3.6706e+11	5.9248e+04
7.1935e-02	3.5918e+11	5.9249e+04
7.3134e-02	3.5146e+11	5.9250e+04
7.4353e-02	3.4390e+11	5.9251e+04
7.5593e-02	3.3640e+11	5.9252e+04
7.6853e-02	3.2924e+11	5.9253e+04
7.8134e-02	3.2218e+11	5.9255e+04
7.9436e-02	3.1519e+11	5.9256e+04
8.0761e-02	3.0835e+11	5.9258e+04
8.2107e-02	3.0185e+11	5.9259e+04
8.3476e-02	2.9537e+11	5.9261e+04
8.4867e-02	2.8901e+11	5.9263e+04
8.6282e-02	2.8278e+11	5.9264e+04
8.7721e-02	2.7674e+11	5.9266e+04
8.9183e-02	2.7083e+11	5.9268e+04
9.0670e-02	2.6505e+11	5.9269e+04
9.2181e-02	2.5939e+11	5.9271e+04
9.3718e-02	2.5380e+11	5.9273e+04
9.5280e-02	2.4828e+11	5.9275e+04
9.6869e-02	2.4295e+11	5.9276e+04
9.8484e-02	2.3790e+11	5.9278e+04
1.0013e-01	2.3285e+11	5.9280e+04
1.0179e-01	2.2778e+11	5.9282e+04
1.0349e-01	2.2279e+11	5.9284e+04
1.0522e-01	2.1809e+11	5.9286e+04
1.0697e-01	2.1343e+11	5.9288e+04
1.0875e-01	2.0883e+11	5.9290e+04
1.1057e-01	2.0430e+11	5.9292e+04
1.1241e-01	1.9990e+11	5.9294e+04
1.1428e-01	1.9559e+11	5.9296e+04
1.1619e-01	1.9142e+11	5.9298e+04
1.1813e-01	1.8728e+11	5.9301e+04
1.2010e-01	1.8327e+11	5.9303e+04
1.2210e-01	1.7935e+11	5.9305e+04
1.2413e-01	1.7555e+11	5.9308e+04
1.2620e-01	1.7177e+11	5.9311e+04
1.2831e-01	1.6814e+11	5.9313e+04
1.3045e-01	1.6458e+11	5.9316e+04
1.3262e-01	1.6097e+11	5.9319e+04
1.3483e-01	1.5745e+11	5.9322e+04
1.3708e-01	1.5410e+11	5.9324e+04
1.3936e-01	1.5075e+11	5.9327e+04
1.4169e-01	1.4761e+11	5.9330e+04
1.4405e-01	1.4442e+11	5.9333e+04
1.4645e-01	1.4126e+11	5.9336e+04
1.4889e-01	1.3821e+11	5.9339e+04
1.5137e-01	1.3521e+11	5.9342e+04
1.5390e-01	1.3235e+11	5.9346e+04
1.5646e-01	1.2953e+11	5.9349e+04
1.5907e-01	1.2673e+11	5.9352e+04
1.6172e-01	1.2392e+11	5.9355e+04
1.6442e-01	1.2126e+11	5.9359e+04
1.6716e-01	1.1859e+11	5.9363e+04
1.6995e-01	1.1606e+11	5.9366e+04
1.7278e-01	1.1360e+11	5.9370e+04
1.7566e-01	1.1124e+11	5.9374e+04
1.7859e-01	1.0891e+11	5.9378e+04
1.8157e-01	1.0660e+11	5.9382e+04
1.8459e-01	1.0433e+11	5.9386e+04
1.8767e-01	1.0210e+11	5.9390e+04
1.9080e-01	9.9845e+10	5.9394e+04
1.9398e-01	9.7719e+10	5.9398e+04
1.9721e-01	9.5719e+10	5.9402e+04
2.0050e-01	9.3639e+10	5.9406e+04
2.0384e-01	9.1602e+10	5.9410e+04
2.0724e-01	8.9669e+10	5.9415e+04
2.1070e-01	8.7705e+10	5.9419e+04
2.1421e-01	8.5833e+10	5.9424e+04
2.1778e-01	8.3975e+10	5.9429e+04
2.2141e-01	8.2140e+10	5.9434e+04
2.2510e-01	8.0366e+10	5.9439e+04
2.2886e-01	7.8659e+10	5.9444e+04
2.3267e-01	7.6999e+10	5.9449e+04
2.3655e-01	7.5328e+10	5.9454e+04
2.4049e-01	7.3757e+10	5.9459e+04
2.4450e-01	7.2155e+10	5.9464e+04
2.4858e-01	7.0626e+10	5.9470e+04
2.5272e-01	6.9111e+10	5.9475e+04
2.5694e-01	6.7605e+10	5.9481e+04
2.6122e-01	6.6133e+10	5.9486e+04
2.6557e-01	6.4693e+10	5.9492e+04
2.7000e-01	6.3283e+10	5.9498e+04
2.7450e-01	6.1917e+10	5.9503e+04
2.7908e-01	6.0584e+10	5.9509e+04
2.8373e-01	5.9301e+10	5.9515e+04
2.8846e-01	5.8044e+10	5.9521e+04
2.9327e-01	5.6788e+10	5.9527e+04
2.9816e-01	5.5548e+10	5.9533e+04
3.0313e-01	5.4370e+10	5.9540e+04
3.0818e-01	5.3177e+10	5.9546e+04
3.1332e-01	5.1989e+10	5.9553e+04
3.1854e-01	5.0855e+10	5.9560e+04
3.2385e-01	4.9766e+10	5.9566e+04
3.2925e-01	4.8669e+10	5.9574e+04
3.3474e-01	4.7606e+10	5.9581e+04
3.4032e-01	4.6582e+10	5.9588e+04
3.4600e-01	4.5588e+10	5.9596e+04
3.5176e-01	4.4583e+10	5.9603e+04
3.5763e-01	4.3612e+10	5.9611e+04
3.6359e-01	4.2683e+10	5.9618e+04
3.6965e-01	4.1742e+10	5.9626e+04
3.7581e-01	4.0815e+10	5.9634e+04
3.8208e-01	3.9941e+10	5.9641e+04
3.8845e-01	3.9066e+10	5.9650e+04
3.9492e-01	3.8221e+10	5.9658e+04
4.0151e-01	3.7402e+10	5.9667e+04
4.0820e-01	3.6596e+10	5.9675e+04
4.1501e-01	3.5784e+10	5.9684e+04
4.2192e-01	3.4992e+10	5.9694e+04
4.2896e-01	3.4210e+10	5.9703e+04
4.3611e-01	3.3466e+10	5.9712e+04
4.4338e-01	3.2745e+10	5.9722e+04
4.5077e-01	3.2043e+10	5.9731e+04
4.5829e-01	3.1356e+10	5.9741e+04
4.6593e-01	3.0678e+10	5.9750e+04
4.7369e-01	3.0017e+10	5.9760e+04
4.8159e-01	2.9371e+10	5.9770e+04
4.8962e-01	2.8725e+10	5.9781e+04
4.9778e-01	2.8100e+10	5.9791e+04
5.0608e-01	2.7499e+10	5.9802e+04
5.1452e-01	2.6910e+10	5.9813e+04
5.2309e-01	2.6331e+10	5.9825e+04
5.3181e-01	2.5742e+10	5.9836e+04
5.4068e-01	2.5172e+10	5.9847e+04
5.4969e-01	2.4620e+10	5.9859e+04
5.5886e-01	2.4090e+10	5.9871e+04
5.6817e-01	2.3561e+10	5.9883e+04
5.7765e-01	2.3034e+10	5.9896e+04
5.8728e-01	2.2526e+10	5.9909e+04
5.9707e-01	2.2035e+10	5.9923e+04
6.0702e-01	2.1554e+10	5.9936e+04
6.1714e-01	2.1085e+10	5.9950e+04
6.2743e-01	2.0628e+10	5.9963e+04
6.3789e-01	2.0180e+10	5.9978e+04
6.4852e-01	1.9746e+10	5.9993e+04
6.5933e-01	1.9313e+10	6.0008e+04
6.7032e-01	1.8894e+10	6.0024e+04
6.8150e-01	1.8481e+10	6.0041e+04
6.9286e-01	1.8073e+10	6.0057e+04
7.0441e-01	1.7670e+10	6.0073e+04
7.1615e-01	1.7280e+10	6.0090e+04
7.2809e-01	1.6901e+10	6.0106e+04
7.4023e-01	1.6529e+10	6.0124e+04
7.5257e-01	1.6159e+10	6.0141e+04
7.6512e-01	1.5800e+10	6.0159e+04
7.7787e-01	1.5451e+10	6.0177e+04
7.9084e-01	1.5110e+10	6.0195e+04
8.0402e-01	1.4777e+10	6.0214e+04
8.1743e-01	1.4449e+10	6.0231e+04
8.3105e-01	1.4130e+10	6.0249e+04
8.4491e-01	1.3814e+10	6.0268e+04
8.5899e-01	1.3513e+10	6.0286e+04
8.7331e-01	1.3218e+10	6.0305e+04
8.8787e-01	1.2923e+10	6.0324e+04
9.0267e-01	1.2642e+10	6.0344e+04
9.1772e-01	1.2372e+10	6.0363e+04
9.3302e-01	1.2095e+10	6.0384e+04
9.4858e-01	1.1822e+10	6.0404e+04
9.6439e-01	1.1558e+10	6.0425e+04
9.8047e-01	1.1297e+10	6.0446e+04
9.9681e-01	1.1051e+10	6.0468e+04
1.0134e+00	1.0805e+10	6.0489e+04
1.0303e+00	1.0564e+10	6.0511e+04
1.0475e+00	1.0328e+10	6.0533e+04
1.0650e+00	1.0092e+10	6.0556e+04
1.0827e+00	9.8693e+09	6.0579e+04
1.1008e+00	9.6505e+09	6.0602e+04
1.1191e+00	9.4343e+09	6.0626e+04
1.1378e+00	9.2252e+09	6.0649e+04
1.1567e+00	9.0177e+09	6.0674e+04
1.1760e+00	8.8134e+09	6.0699e+04
1.1956e+00	8.6147e+09	6.0724e+04
1.2156e+00	8.4274e+09	6.0749e+04
1.2358e+00	8.2406e+09	6.0775e+04
1.2564e+00	8.0528e+09	6.0802e+04
1.2774e+00	7.8726e+09	6.0829e+04
1.2987e+00	7.6958e+09	6.0857e+04
1.3203e+00	7.5237e+09	6.0885e+04
1.3423e+00	7.3548e+09	6.0913e+04
1.3647e+00	7.1890e+09	6.0942e+04
1.3875e+00	7.0283e+09	6.0971e+04
1.4106e+00	6.8677e+09	6.1001e+04
1.4341e+00	6.7146e+09	6.1030e+04
1.4580e+00	6.5665e+09	6.1060e+04
1.4823e+00	6.4208e+09	6.1091e+04
1.5070e+00	6.2765e+09	6.1122e+04
1.5322e+00	6.1342e+09	6.1155e+04
1.5577e+00	5.9965e+09	6.1188e+04
1.5837e+00	5.8634e+09	6.1221e+04
1.6101e+00	5.7337e+09	6.1255e+04
1.6369e+00	5.6026e+09	6.1290e+04
1.6642e+00	5.4742e+09	6.1325e+04
1.6919e+00	5.3495e+09	6.1361e+04
1.7201e+00	5.2291e+09	6.1397e+04
1.7488e+00	5.1105e+09	6.1435e+04
1.7780e+00	4.9940e+09	6.1473e+04
1.8076e+00	4.8783e+09	6.1511e+04
1.8377e+00	4.7666e+09	6.1550e+04
1.8684e+00	4.6558e+09	6.1590e+04
1.8995e+00	4.5503e+09	6.1630e+04
1.9312e+00	4.4448e+09	6.1671e+04
1.9634e+00	4.3445e+09	6.1713e+04
1.9961e+00	4.2447e+09	6.1755e+04
2.0294e+00	4.1460e+09	6.1798e+04
2.0632e+00	4.0518e+09	6.1842e+04
2.0976e+00	3.9596e+09	6.1887e+04
2.1326e+00	3.8697e+09	6.1931e+04
2.1682e+00	3.7817e+09	6.1977e+04
2.2043e+00	3.6939e+09	6.2023e+04
2.2410e+00	3.6066e+09	6.2070e+04
2.2784e+00	3.5222e+09	6.2117e+04
2.3164e+00	3.4400e+09	6.2165e+04
2.3550e+00	3.3613e+09	6.2213e+04
2.3943e+00	3.2842e+09	6.2262e+04
2.4342e+00	3.2087e+09	6.2313e+04
2.4748e+00	3.1339e+09	6.2364e+04
2.5160e+00	3.0606e+09	6.2417e+04
2.5580e+00	2.9896e+09	6.2470e+04
2.6006e+00	2.9201e+09	6.2524e+04
2.6440e+00	2.8508e+09	6.2579e+04
2.6880e+00	2.7831e+09	6.2635e+04
2.7328e+00	2.7168e+09	6.2692e+04
2.7784e+00	2.6526e+09	6.2750e+04
2.8247e+00	2.5901e+09	6.2807e+04
2.8718e+00	2.5288e+09	6.2865e+04
2.9197e+00	2.4691e+09	6.2927e+04
2.9684e+00	2.4106e+09	6.2990e+04
3.0178e+00	2.3536e+09	6.3056e+04
3.0682e+00	2.2976e+09	6.3123e+04
3.1193e+00	2.2429e+09	6.3191e+04
3.1713e+00	2.1893e+09	6.3258e+04
3.2242e+00	2.1367e+09	6.3326e+04
3.2779e+00	2.0856e+09	6.3396e+04
3.3326e+00	2.0353e+09	6.3465e+04
3.3881e+00	1.9859e+09	6.3536e+04
3.4446e+00	1.9379e+09	6.3608e+04
3.5020e+00	1.8911e+09	6.3680e+04
3.5604e+00	1.8453e+09	6.3753e+04
3.6198e+00	1.8008e+09	6.3826e+04
3.6801e+00	1.7568e+09	6.3902e+04
3.7415e+00	1.7138e+09	6.3979e+04
3.8038e+00	1.6716e+09	6.4058e+04
3.8672e+00	1.6306e+09	6.4138e+04
3.9317e+00	1.5908e+09	6.4219e+04
3.9973e+00	1.5519e+09	6.4307e+04
4.0639e+00	1.5136e+09	6.4404e+04
4.1317e+00	1.4757e+09	6.4505e+04
4.2005e+00	1.4393e+09	6.4594e+04
4.2706e+00	1.4031e+09	6.4679e+04
4.3417e+00	1.3683e+09	6.4769e+04
4.4141e+00	1.3344e+09	6.4860e+04
4.4877e+00	1.3011e+09	6.4953e+04
4.5625e+00	1.2684e+09	6.5047e+04
4.6386e+00	1.2365e+09	6.5143e+04
4.7159e+00	1.2053e+09	6.5240e+04
4.7945e+00	1.1745e+09	6.5336e+04
4.8745e+00	1.1449e+09	6.5434e+04
4.9557e+00	1.1156e+09	6.5534e+04
5.0383e+00	1.0869e+09	6.5636e+04
5.1223e+00	1.0589e+09	6.5739e+04
5.2077e+00	1.0320e+09	6.5844e+04
5.2945e+00	1.0052e+09	6.5950e+04
5.3828e+00	9.7908e+08	6.6057e+04
5.4725e+00	9.5370e+08	6.6166e+04
5.5638e+00	9.2906e+08	6.6278e+04
5.6565e+00	9.0489e+08	6.6386e+04
5.7508e+00	8.8116e+08	6.6502e+04
5.8467e+00	8.5792e+08	6.6620e+04
5.9442e+00	8.3539e+08	6.6738e+04
6.0433e+00	8.1330e+08	6.6856e+04
6.1440e+00	7.9177e+08	6.6978e+04
6.2464e+00	7.7054e+08	6.7103e+04
6.3506e+00	7.4984e+08	6.7230e+04
6.4564e+00	7.2974e+08	6.7357e+04
6.5641e+00	7.1052e+08	6.7485e+04
6.6735e+00	6.9150e+08	6.7614e+04
6.7848e+00	6.7296e+08	6.7745e+04
6.8979e+00	6.5472e+08	6.7877e+04
7.0129e+00	6.3687e+08	6.8005e+04
7.1298e+00	6.1949e+08	6.8138e+04
7.2486e+00	6.0255e+08	6.8275e+04
7.3695e+00	5.8594e+08	6.8421e+04
7.4923e+00	5.6980e+08	6.8565e+04
7.6172e+00	5.5399e+08	6.8710e+04
7.7442e+00	5.3867e+08	6.8857e+04
7.8733e+00	5.2360e+08	6.9005e+04
8.0046e+00	5.0875e+08	6.9156e+04
8.1380e+00	4.9445e+08	6.9307e+04
8.2737e+00	4.8067e+08	6.9460e+04
8.4116e+00	4.6729e+08	6.9605e+04
8.5518e+00	4.5390e+08	6.9763e+04
8.6944e+00	4.4115e+08	6.9924e+04
8.8393e+00	4.2855e+08	7.0088e+04
8.9867e+00	4.1604e+08	7.0253e+04
9.1365e+00	4.0429e+08	7.0422e+04
9.2888e+00	3.9260e+08	7.0593e+04
9.4437e+00	3.8116e+08	7.0768e+04
9.6011e+00	3.7007e+08	7.0944e+04
9.7612e+00	3.5929e+08	7.1124e+04
9.9239e+00	3.4871e+08	7.1309e+04
1.0089e+01	3.3830e+08	7.1494e+04
1.0258e+01	3.2822e+08	7.1678e+04
1.0429e+01	3.1830e+08	7.1863e+04
1.0602e+01	3.0877e+08	7.2056e+04
1.0779e+01	2.9944e+08	7.2242e+04
1.0959e+01	2.9024e+08	7.2426e+04
1.1142e+01	2.8123e+08	7.2620e+04
1.1327e+01	2.7267e+08	7.2815e+04
1.1516e+01	2.6424e+08	7.3013e+04
1.1708e+01	2.5611e+08	7.3220e+04
1.1903e+01	2.4819e+08	7.3425e+04
1.2102e+01	2.4039e+08	7.3628e+04
1.2303e+01	2.3279e+08	7.3841e+04
1.2509e+01	2.2523e+08	7.4055e+04
1.2717e+01	2.1801e+08	7.4276e+04
1.2929e+01	2.1077e+08	7.4491e+04
1.3145e+01	2.0390e+08	7.4704e+04
1.3364e+01	1.9722e+08	7.4909e+04
1.3587e+01	1.9071e+08	7.5120e+04
1.3813e+01	1.8442e+08	7.5344e+04
1.4043e+01	1.7815e+08	7.5564e+04
1.4277e+01	1.7231e+08	7.5788e+04
1.4515e+01	1.6647e+08	7.5999e+04
1.4757e+01	1.6078e+08	7.6232e+04
1.5003e+01	1.5541e+08	7.6470e+04
1.5254e+01	1.5012e+08	7.6698e+04
1.5508e+01	1.4488e+08	7.6930e+04
1.5766e+01	1.3983e+08	7.7144e+04
1.6029e+01	1.3505e+08	7.7389e+04
1.6296e+01	1.3040e+08	7.7625e+04
1.6568e+01	1.2578e+08	7.7863e+04
1.6844e+01	1.2132e+08	7.8099e+04
1.7125e+01	1.1698e+08	7.8358e+04
1.7411e+01	1.1274e+08	7.8605e+04
1.7701e+01	1.0869e+08	7.8843e+04
1.7996e+01	1.0479e+08	7.9095e+04
1.8296e+01	1.0087e+08	7.9341e+04
1.8601e+01	9.7159e+07	7.9579e+04
1.8911e+01	9.3555e+07	7.9825e+04
1.9226e+01	9.0044e+07	8.0093e+04
1.9547e+01	8.6602e+07	8.0349e+04
1.9873e+01	8.3347e+07	8.0593e+04
2.0204e+01	8.0148e+07	8.0862e+04
2.0541e+01	7.7110e+07	8.1100e+04
2.0883e+01	7.4154e+07	8.1338e+04
2.1231e+01	7.1235e+07	8.1612e+04
2.1585e+01	6.8513e+07	8.1857e+04
2.1945e+01	6.5809e+07	8.2103e+04
2.2311e+01	6.3262e+07	8.2389e+04
2.2683e+01	6.0782e+07	8.2627e+04
2.3061e+01	5.8408e+07	8.2863e+04
2.3446e+01	5.6047e+07	8.3107e+04
2.3836e+01	5.3728e+07	8.3331e+04
2.4234e+01	5.1496e+07	8.3546e+04
2.4638e+01	4.9409e+07	8.3753e+04
2.5049e+01	4.7385e+07	8.3969e+04
2.5466e+01	4.5411e+07	8.4182e+04
2.5891e+01	4.3497e+07	8.4380e+04
2.6322e+01	4.1649e+07	8.4574e+04
2.6761e+01	3.9829e+07	8.4771e+04
2.7207e+01	3.8081e+07	8.4968e+04
2.7661e+01	3.6431e+07	8.5147e+04
2.8122e+01	3.4813e+07	8.5324e+04
2.8591e+01	3.3303e+07	8.5499e+04
2.9067e+01	3.1846e+07	8.5680e+04
2.9552e+01	3.0406e+07	8.5858e+04
3.0045e+01	2.9036e+07	8.6016e+04
3.0545e+01	2.7686e+07	8.6175e+04
3.1055e+01	2.6385e+07	8.6330e+04
3.1572e+01	2.5142e+07	8.6479e+04
3.2099e+01	2.3956e+07	8.6617e+04
3.2634e+01	2.2801e+07	8.6750e+04
3.3178e+01	2.1726e+07	8.6874e+04
3.3731e+01	2.0688e+07	8.6983e+04
3.4293e+01	1.9685e+07	8.7078e+04
3.4865e+01	1.8740e+07	8.7173e+04
3.5446e+01	1.7803e+07	8.7232e+04
3.6037e+01	1.6928e+07	8.7315e+04
3.6638e+01	1.6082e+07	8.7374e+04
3.7249e+01	1.5269e+07	8.7411e+04
3.7870e+01	1.4486e+07	8.7426e+04
3.8501e+01	1.3762e+07	8.7430e+04
3.9143e+01	1.3058e+07	8.7426e+04
3.9795e+01	1.2374e+07	8.7412e+04
4.0459e+01	1.1712e+07	8.7383e+04
4.1133e+01	1.1082e+07	8.7340e+04
4.1819e+01	1.0501e+07	8.7269e+04
4.2516e+01	9.9379e+06	8.7206e+04
4.3225e+01	9.4103e+06	8.7123e+04
4.3945e+01	8.9104e+06	8.7023e+04
4.4678e+01	8.4366e+06	8.6897e+04
