# Energy(MeV) Fluence_Planare_Median(p/cm2)
1.000000e+00 3.141593e+15
1.013939e+00 3.141593e+15
1.028073e+00 3.141593e+15
1.042404e+00 3.141593e+15
1.056935e+00 3.141593e+15
1.071668e+00 3.141593e+15
1.086606e+00 3.141593e+15
1.101753e+00 3.141593e+15
1.117111e+00 3.141593e+15
1.132683e+00 3.141593e+15
1.148472e+00 3.141593e+15
1.164481e+00 3.141593e+15
1.180713e+00 3.141593e+15
1.197171e+00 3.141593e+15
1.213859e+00 3.141593e+15
1.230780e+00 3.141593e+15
1.247936e+00 3.141593e+15
1.265332e+00 3.141593e+15
1.282970e+00 3.141593e+15
1.300854e+00 3.141593e+15
1.318987e+00 3.141593e+15
1.337373e+00 3.141593e+15
1.356015e+00 3.141593e+15
1.374917e+00 3.141593e+15
1.394083e+00 3.141593e+15
1.413516e+00 3.141593e+15
1.433219e+00 3.141593e+15
1.453198e+00 3.141593e+15
1.473454e+00 3.141593e+15
1.493993e+00 3.141593e+15
1.514819e+00 3.141593e+15
1.535935e+00 3.141593e+15
1.557345e+00 3.141593e+15
1.579053e+00 3.141593e+15
1.601064e+00 3.141593e+15
1.623382e+00 3.141593e+15
1.646012e+00 3.141593e+15
1.668956e+00 3.141593e+15
1.692220e+00 3.141593e+15
1.715809e+00 3.141593e+15
1.739726e+00 3.141593e+15
1.763977e+00 3.141593e+15
1.788566e+00 3.141593e+15
1.813498e+00 3.141593e+15
1.838777e+00 3.141593e+15
1.864409e+00 3.141593e+15
1.890397e+00 3.141593e+15
1.916748e+00 3.141593e+15
1.943467e+00 3.141593e+15
1.970558e+00 3.141593e+15
1.998026e+00 3.141593e+15
2.025878e+00 3.141593e+15
2.054117e+00 3.141593e+15
2.082751e+00 3.141593e+15
2.111783e+00 3.141593e+15
2.141220e+00 3.141593e+15
2.171068e+00 3.141593e+15
2.201331e+00 3.141593e+15
2.232016e+00 3.141593e+15
2.263130e+00 3.141593e+15
2.294676e+00 3.141593e+15
2.326663e+00 3.141593e+15
2.359095e+00 3.141593e+15
2.391980e+00 3.141593e+15
2.425323e+00 3.141593e+15
2.459130e+00 3.141593e+15
2.493409e+00 3.141593e+15
2.528166e+00 3.141593e+15
2.563407e+00 3.141593e+15
2.599140e+00 3.141593e+15
2.635371e+00 3.141593e+15
2.672106e+00 3.141593e+15
2.709354e+00 3.141593e+15
2.747121e+00 3.141593e+15
2.785414e+00 3.141593e+15
2.824241e+00 3.141593e+15
2.863610e+00 3.141593e+15
2.903527e+00 3.141593e+15
2.944000e+00 3.141593e+15
2.985038e+00 3.141593e+15
3.026648e+00 3.141593e+15
3.068838e+00 3.141593e+15
3.111616e+00 3.141593e+15
3.154990e+00 3.141593e+15
3.198969e+00 3.141593e+15
3.243561e+00 3.141593e+15
3.288774e+00 3.141593e+15
3.334618e+00 3.141593e+15
3.381101e+00 3.141593e+15
3.428231e+00 3.141593e+15
3.476019e+00 3.141593e+15
3.524473e+00 3.141593e+15
3.573602e+00 3.141593e+15
3.623416e+00 3.141593e+15
3.673925e+00 3.141593e+15
3.725137e+00 3.141593e+15
3.777064e+00 3.141593e+15
3.829714e+00 3.141593e+15
3.883098e+00 3.141593e+15
3.937226e+00 3.141593e+15
3.992109e+00 3.141593e+15
4.047757e+00 3.141593e+15
4.104181e+00 3.141593e+15
4.161391e+00 3.141593e+15
4.219398e+00 3.141593e+15
4.278214e+00 3.141593e+15
4.337850e+00 3.141593e+15
4.398317e+00 3.141593e+15
4.459628e+00 3.141593e+15
4.521792e+00 3.141593e+15
4.584824e+00 3.141593e+15
4.648734e+00 3.141593e+15
4.713535e+00 3.141593e+15
4.779239e+00 3.141593e+15
4.845859e+00 3.141593e+15
4.913407e+00 3.141593e+15
4.981898e+00 3.141593e+15
5.051342e+00 3.141593e+15
5.121755e+00 3.141593e+15
5.193150e+00 3.141593e+15
5.265540e+00 3.141593e+15
5.338938e+00 3.141593e+15
5.413360e+00 3.141593e+15
5.488820e+00 3.141593e+15
5.565331e+00 3.141593e+15
5.642908e+00 3.141593e+15
5.721568e+00 3.141593e+15
5.801323e+00 3.141593e+15
5.882190e+00 3.141593e+15
5.964185e+00 3.141593e+15
6.047322e+00 3.141593e+15
6.131619e+00 3.141593e+15
6.217090e+00 3.141593e+15
6.303753e+00 3.141593e+15
6.391624e+00 3.141593e+15
6.480720e+00 3.141593e+15
6.571058e+00 3.141593e+15
6.662655e+00 3.141593e+15
6.755528e+00 3.141593e+15
6.849697e+00 3.141593e+15
6.945178e+00 3.141593e+15
7.041990e+00 3.141593e+15
7.140151e+00 3.141593e+15
7.239681e+00 3.141593e+15
7.340598e+00 3.141593e+15
7.442922e+00 3.141593e+15
7.546673e+00 3.141593e+15
7.651869e+00 3.141593e+15
7.758532e+00 3.141593e+15
7.866682e+00 3.141593e+15
7.976339e+00 3.141593e+15
8.087525e+00 3.141593e+15
8.200261e+00 3.141593e+15
8.314568e+00 3.141593e+15
8.430468e+00 3.141593e+15
8.547985e+00 3.141593e+15
8.667139e+00 3.141593e+15
8.787954e+00 3.141593e+15
8.910453e+00 3.141593e+15
9.034660e+00 3.141593e+15
9.160598e+00 3.141593e+15
9.288292e+00 3.141593e+15
9.417766e+00 3.141593e+15
9.549045e+00 3.141593e+15
9.682153e+00 3.141593e+15
9.817117e+00 3.141593e+15
9.953962e+00 3.141593e+15
1.009272e+01 3.141593e+15
1.023340e+01 3.141593e+15
1.037605e+01 3.141593e+15
1.052069e+01 3.141593e+15
1.066734e+01 3.141593e+15
1.081604e+01 3.141593e+15
1.096681e+01 3.141593e+15
1.111968e+01 3.141593e+15
1.127468e+01 3.141593e+15
1.143184e+01 3.141593e+15
1.159120e+01 3.141593e+15
1.175277e+01 3.141593e+15
1.191660e+01 3.141593e+15
1.208271e+01 3.141593e+15
1.225114e+01 3.141593e+15
1.242191e+01 3.141593e+15
1.259506e+01 3.141593e+15
1.277063e+01 3.141593e+15
1.294865e+01 3.141593e+15
1.312915e+01 3.141593e+15
1.331216e+01 3.141593e+15
1.349772e+01 3.141593e+15
1.368587e+01 3.141593e+15
1.387665e+01 3.141593e+15
1.407008e+01 3.141593e+15
1.426621e+01 3.141593e+15
1.446507e+01 3.141593e+15
1.466671e+01 3.141593e+15
1.487115e+01 3.141593e+15
1.507845e+01 3.141593e+15
1.528864e+01 3.141593e+15
1.550175e+01 3.141593e+15
1.571784e+01 3.141593e+15
1.593694e+01 3.141593e+15
1.615909e+01 3.141593e+15
1.638434e+01 3.141593e+15
1.661273e+01 3.141593e+15
1.684430e+01 3.141593e+15
1.707910e+01 3.141593e+15
1.731717e+01 3.141593e+15
1.755856e+01 3.141593e+15
1.780332e+01 3.141593e+15
1.805149e+01 3.141593e+15
1.830312e+01 3.141593e+15
1.855825e+01 3.141593e+15
1.881694e+01 3.141593e+15
1.907924e+01 3.141593e+15
1.934520e+01 3.141593e+15
1.961486e+01 3.141593e+15
1.988828e+01 3.141593e+15
2.016551e+01 3.141593e+15
2.044661e+01 3.141593e+15
2.073162e+01 3.141593e+15
2.102061e+01 3.141593e+15
2.131362e+01 3.141593e+15
2.161073e+01 3.141593e+15
2.191197e+01 3.141593e+15
2.221741e+01 3.141593e+15
2.252711e+01 3.141593e+15
2.284112e+01 3.141593e+15
2.315951e+01 3.141593e+15
2.348235e+01 3.141593e+15
2.380968e+01 3.141593e+15
2.414157e+01 3.141593e+15
2.447809e+01 3.141593e+15
2.481930e+01 3.141593e+15
2.516527e+01 3.141593e+15
2.551606e+01 3.141593e+15
2.587174e+01 3.141593e+15
2.623238e+01 3.141593e+15
2.659804e+01 3.141593e+15
2.696881e+01 3.141593e+15
2.734474e+01 3.141593e+15
2.772591e+01 3.141593e+15
2.811239e+01 3.141593e+15
2.850426e+01 3.141593e+15
2.890160e+01 3.141593e+15
2.930447e+01 3.141593e+15
2.971296e+01 3.141593e+15
3.012714e+01 3.141593e+15
3.054710e+01 3.141593e+15
3.097291e+01 3.141593e+15
3.140465e+01 3.141593e+15
3.184242e+01 3.141593e+15
3.228628e+01 3.141593e+15
3.273634e+01 3.141593e+15
3.319266e+01 3.141593e+15
3.365535e+01 3.141593e+15
3.412449e+01 3.141593e+15
3.460016e+01 3.141593e+15
3.508247e+01 3.141593e+15
3.557150e+01 3.141593e+15
3.606735e+01 3.141593e+15
3.657011e+01 3.141593e+15
3.707988e+01 3.141593e+15
3.759675e+01 3.141593e+15
3.812083e+01 3.141593e+15
3.865221e+01 3.141593e+15
3.919100e+01 3.141593e+15
3.973730e+01 3.141593e+15
4.029122e+01 3.141593e+15
4.085286e+01 3.141593e+15
4.142232e+01 3.141593e+15
4.199973e+01 3.141593e+15
4.258518e+01 3.141593e+15
4.317880e+01 3.141593e+15
4.378069e+01 3.141593e+15
4.439097e+01 3.141593e+15
4.500975e+01 3.141593e+15
4.563716e+01 3.141593e+15
4.627332e+01 3.141593e+15
4.691835e+01 3.141593e+15
4.757236e+01 3.141593e+15
4.823549e+01 3.141593e+15
4.890787e+01 3.141593e+15
4.958962e+01 3.141593e+15
5.028087e+01 3.141593e+15
5.098176e+01 3.141593e+15
5.169242e+01 3.141593e+15
5.241298e+01 3.141593e+15
5.314359e+01 3.141593e+15
5.388438e+01 3.141593e+15
5.463550e+01 3.141593e+15
5.539709e+01 3.141593e+15
5.616930e+01 3.141593e+15
5.695227e+01 3.141593e+15
5.774615e+01 3.141593e+15
5.855110e+01 3.141593e+15
5.936727e+01 3.141593e+15
6.019482e+01 3.141593e+15
6.103390e+01 3.141593e+15
6.188468e+01 3.141593e+15
6.274732e+01 3.141593e+15
6.362198e+01 3.141593e+15
6.450884e+01 3.141593e+15
6.540806e+01 3.141593e+15
6.631981e+01 3.141593e+15
6.724427e+01 3.141593e+15
6.818162e+01 3.141593e+15
6.913204e+01 3.141593e+15
7.009570e+01 3.141593e+15
7.107280e+01 3.141593e+15
7.206351e+01 3.141593e+15
7.306804e+01 3.141593e+15
7.408657e+01 3.141593e+15
7.511929e+01 3.141593e+15
7.616642e+01 3.141593e+15
7.722814e+01 3.141593e+15
7.830465e+01 3.141593e+15
7.939618e+01 3.141593e+15
8.050292e+01 3.141593e+15
8.162509e+01 3.141593e+15
8.276289e+01 3.141593e+15
8.391656e+01 3.141593e+15
8.508632e+01 3.141593e+15
8.627237e+01 3.141593e+15
8.747496e+01 3.141593e+15
8.869432e+01 3.141593e+15
8.993067e+01 3.141593e+15
9.118425e+01 3.141593e+15
9.245531e+01 3.141593e+15
9.374409e+01 3.141593e+15
9.505083e+01 3.141593e+15
9.637579e+01 3.141593e+15
9.771921e+01 3.141593e+15
9.908137e+01 3.141593e+15
1.004625e+02 3.141593e+15
1.018629e+02 3.141593e+15
1.032828e+02 3.141593e+15
1.047225e+02 3.141593e+15
1.061823e+02 3.141593e+15
1.076624e+02 3.141593e+15
1.091632e+02 3.141593e+15
1.106848e+02 3.141593e+15
1.122277e+02 3.141593e+15
1.137921e+02 3.141593e+15
1.153783e+02 3.141593e+15
1.169866e+02 3.141593e+15
1.186174e+02 3.141593e+15
1.202708e+02 3.141593e+15
1.219473e+02 3.141593e+15
1.236472e+02 3.141593e+15
1.253708e+02 3.141593e+15
1.271184e+02 3.141593e+15
1.288904e+02 3.141593e+15
1.306870e+02 3.141593e+15
1.325087e+02 3.141593e+15
1.343558e+02 3.141593e+15
1.362287e+02 3.141593e+15
1.381276e+02 3.141593e+15
1.400531e+02 3.141593e+15
1.420053e+02 3.141593e+15
1.439848e+02 3.141593e+15
1.459919e+02 3.141593e+15
1.480269e+02 3.141593e+15
1.500903e+02 3.141593e+15
1.521825e+02 3.141593e+15
1.543038e+02 3.141593e+15
1.564548e+02 3.141593e+15
1.586357e+02 3.141593e+15
1.608469e+02 3.141593e+15
1.630891e+02 3.141593e+15
1.653624e+02 3.141593e+15
1.676675e+02 3.141593e+15
1.700047e+02 3.141593e+15
1.723745e+02 3.141593e+15
1.747773e+02 3.141593e+15
1.772136e+02 3.141593e+15
1.796838e+02 3.141593e+15
1.821885e+02 3.141593e+15
1.847281e+02 3.141593e+15
1.873032e+02 3.141593e+15
1.899141e+02 3.141593e+15
1.925614e+02 3.141593e+15
1.952456e+02 3.141593e+15
1.979672e+02 3.141593e+15
2.007267e+02 3.141593e+15
2.035248e+02 3.141593e+15
2.063618e+02 3.141593e+15
2.092383e+02 3.141593e+15
2.121550e+02 3.141593e+15
2.151123e+02 3.141593e+15
2.181109e+02 3.141593e+15
2.211512e+02 3.141593e+15
2.242340e+02 3.141593e+15
2.273597e+02 3.141593e+15
2.305289e+02 3.141593e+15
2.337424e+02 3.141593e+15
2.370006e+02 3.141593e+15
2.403043e+02 3.141593e+15
2.436540e+02 3.141593e+15
2.470504e+02 3.141593e+15
2.504942e+02 3.141593e+15
2.539859e+02 3.141593e+15
2.575263e+02 3.141593e+15
2.611161e+02 3.141593e+15
2.647559e+02 3.141593e+15
2.684465e+02 3.141593e+15
2.721885e+02 3.141593e+15
2.759826e+02 3.141593e+15
2.798297e+02 3.141593e+15
2.837304e+02 3.141593e+15
