Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.9522e+00
1.5000e-03	0.0000e+00	1.9526e+00
2.0000e-03	0.0000e+00	1.9529e+00
2.5000e-03	0.0000e+00	1.9531e+00
3.0000e-03	0.0000e+00	1.9533e+00
3.5000e-03	0.0000e+00	1.9534e+00
4.0000e-03	0.0000e+00	1.9536e+00
4.5000e-03	0.0000e+00	1.9537e+00
5.0000e-03	0.0000e+00	1.9538e+00
5.5000e-03	0.0000e+00	1.9539e+00
6.0000e-03	0.0000e+00	1.9540e+00
6.5000e-03	0.0000e+00	1.9541e+00
7.0000e-03	0.0000e+00	1.9541e+00
7.5000e-03	0.0000e+00	1.9542e+00
8.0000e-03	0.0000e+00	1.9543e+00
8.5000e-03	0.0000e+00	1.9543e+00
9.0000e-03	0.0000e+00	1.9544e+00
9.5000e-03	0.0000e+00	1.9545e+00
1.0000e-02	0.0000e+00	1.9545e+00
1.5000e-02	0.0000e+00	1.9549e+00
2.0000e-02	0.0000e+00	1.9552e+00
2.5000e-02	0.0000e+00	1.9554e+00
3.0000e-02	0.0000e+00	1.9556e+00
3.5000e-02	0.0000e+00	1.9559e+00
4.0000e-02	0.0000e+00	1.9565e+00
4.5000e-02	0.0000e+00	1.9571e+00
5.0000e-02	0.0000e+00	1.9577e+00
5.5000e-02	0.0000e+00	1.9581e+00
6.0000e-02	0.0000e+00	1.9586e+00
6.5000e-02	0.0000e+00	1.9590e+00
7.0000e-02	0.0000e+00	1.9594e+00
7.5000e-02	0.0000e+00	1.9597e+00
8.0000e-02	0.0000e+00	1.9600e+00
8.5000e-02	0.0000e+00	1.9603e+00
9.0000e-02	0.0000e+00	1.9607e+00
9.5000e-02	0.0000e+00	1.9612e+00
1.0000e-01	0.0000e+00	1.9617e+00
1.5000e-01	0.0000e+00	1.9660e+00
2.0000e-01	0.0000e+00	1.9703e+00
2.5000e-01	0.0000e+00	1.9747e+00
3.0000e-01	0.0000e+00	1.9791e+00
3.5000e-01	0.0000e+00	1.9835e+00
4.0000e-01	0.0000e+00	1.9879e+00
4.5000e-01	0.0000e+00	1.9922e+00
5.0000e-01	0.0000e+00	1.9965e+00
5.5000e-01	0.0000e+00	2.0008e+00
6.0000e-01	0.0000e+00	2.0050e+00
6.5000e-01	0.0000e+00	2.0091e+00
7.0000e-01	0.0000e+00	2.0132e+00
7.5000e-01	0.0000e+00	2.0173e+00
8.0000e-01	0.0000e+00	2.0215e+00
8.5000e-01	0.0000e+00	2.0258e+00
9.0000e-01	0.0000e+00	2.0302e+00
9.5000e-01	0.0000e+00	2.0345e+00
1.0000e+00	4.7109e+06	2.0388e+00
1.0139e+00	4.5960e+06	2.0400e+00
1.0281e+00	4.4860e+06	2.0412e+00
1.0424e+00	4.3825e+06	2.0425e+00
1.0569e+00	4.2768e+06	2.0438e+00
1.0717e+00	4.1756e+06	2.0451e+00
1.0866e+00	4.0705e+06	2.0463e+00
1.1018e+00	3.9733e+06	2.0477e+00
1.1171e+00	3.8852e+06	2.0490e+00
1.1327e+00	3.7928e+06	2.0504e+00
1.1485e+00	3.6961e+06	2.0517e+00
1.1645e+00	3.6054e+06	2.0531e+00
1.1807e+00	3.5171e+06	2.0546e+00
1.1972e+00	3.4298e+06	2.0560e+00
1.2139e+00	3.3437e+06	2.0574e+00
1.2308e+00	3.2602e+06	2.0589e+00
1.2479e+00	3.1808e+06	2.0604e+00
1.2653e+00	3.1005e+06	2.0619e+00
1.2830e+00	3.0226e+06	2.0635e+00
1.3009e+00	2.9481e+06	2.0650e+00
1.3190e+00	2.8737e+06	2.0666e+00
1.3374e+00	2.8002e+06	2.0682e+00
1.3560e+00	2.7314e+06	2.0698e+00
1.3749e+00	2.6627e+06	2.0714e+00
1.3941e+00	2.5982e+06	2.0731e+00
1.4135e+00	2.5323e+06	2.0748e+00
1.4332e+00	2.4652e+06	2.0765e+00
1.4532e+00	2.4033e+06	2.0783e+00
1.4735e+00	2.3436e+06	2.0800e+00
1.4940e+00	2.2868e+06	2.0818e+00
1.5148e+00	2.2294e+06	2.0836e+00
1.5359e+00	2.1720e+06	2.0854e+00
1.5573e+00	2.1165e+06	2.0873e+00
1.5791e+00	2.0599e+06	2.0892e+00
1.6011e+00	2.0072e+06	2.0911e+00
1.6234e+00	1.9575e+06	2.0931e+00
1.6460e+00	1.9092e+06	2.0950e+00
1.6690e+00	1.8616e+06	2.0970e+00
1.6922e+00	1.8158e+06	2.0990e+00
1.7158e+00	1.7697e+06	2.1011e+00
1.7397e+00	1.7250e+06	2.1032e+00
1.7640e+00	1.6818e+06	2.1053e+00
1.7886e+00	1.6383e+06	2.1074e+00
1.8135e+00	1.5937e+06	2.1096e+00
1.8388e+00	1.5537e+06	2.1118e+00
