# Energy(MeV) Phi16 Phi84
5.000000e-01 2.472827e+11 3.142106e+11
5.076744e-01 2.417747e+11 3.071662e+11
5.154667e-01 2.363866e+11 3.002759e+11
5.233785e-01 2.311157e+11 2.935365e+11
5.314118e-01 2.259595e+11 2.869547e+11
5.395683e-01 2.209155e+11 2.805345e+11
5.478501e-01 2.159814e+11 2.742542e+11
5.562590e-01 2.111489e+11 2.681043e+11
5.647969e-01 2.064034e+11 2.620804e+11
5.734659e-01 2.017619e+11 2.561718e+11
5.822680e-01 1.972221e+11 2.503892e+11
5.912051e-01 1.927819e+11 2.447337e+11
6.002795e-01 1.884391e+11 2.391999e+11
6.094931e-01 1.841915e+11 2.337875e+11
6.188481e-01 1.800388e+11 2.284943e+11
6.283467e-01 1.759812e+11 2.233176e+11
6.379911e-01 1.720126e+11 2.182550e+11
6.477836e-01 1.681372e+11 2.133067e+11
6.577263e-01 1.643660e+11 2.084735e+11
6.678217e-01 1.606770e+11 2.037461e+11
6.780720e-01 1.570668e+11 1.991218e+11
6.884796e-01 1.535117e+11 1.945994e+11
6.990470e-01 1.500346e+11 1.901767e+11
7.097766e-01 1.466340e+11 1.858500e+11
7.206709e-01 1.433082e+11 1.816105e+11
7.317324e-01 1.400556e+11 1.774647e+11
7.429636e-01 1.368725e+11 1.734094e+11
7.543673e-01 1.337437e+11 1.694608e+11
7.659460e-01 1.306841e+11 1.656024e+11
7.777024e-01 1.276923e+11 1.618165e+11
7.896392e-01 1.247668e+11 1.581143e+11
8.017593e-01 1.219061e+11 1.544917e+11
8.140654e-01 1.191089e+11 1.509494e+11
8.265604e-01 1.163769e+11 1.474857e+11
8.392472e-01 1.137143e+11 1.440988e+11
8.521287e-01 1.111290e+11 1.407912e+11
8.652079e-01 1.086071e+11 1.375913e+11
8.784878e-01 1.061417e+11 1.344342e+11
8.919716e-01 1.037240e+11 1.313404e+11
9.056624e-01 1.013434e+11 1.283152e+11
9.195633e-01 9.901538e+10 1.253572e+11
9.336776e-01 9.673893e+10 1.224793e+11
9.480084e-01 9.451290e+10 1.196705e+11
9.625593e-01 9.233801e+10 1.169140e+11
9.773335e-01 9.021269e+10 1.142155e+11
9.923345e-01 8.812161e+10 1.115770e+11
1.007566e+00 8.610673e+10 1.089971e+11
1.023031e+00 8.413526e+10 1.064746e+11
1.038733e+00 8.219667e+10 1.040082e+11
1.054676e+00 8.029860e+10 1.015933e+11
1.070865e+00 7.844181e+10 9.923223e+10
1.087301e+00 7.662626e+10 9.692388e+10
1.103990e+00 7.485156e+10 9.466707e+10
1.120935e+00 7.312697e+10 9.246069e+10
1.138140e+00 7.144048e+10 9.030362e+10
1.155609e+00 6.978939e+10 8.819480e+10
1.173346e+00 6.816940e+10 8.613317e+10
1.191356e+00 6.658542e+10 8.411771e+10
1.209642e+00 6.503666e+10 8.215023e+10
1.228209e+00 6.352238e+10 8.023167e+10
1.247060e+00 6.204181e+10 7.835600e+10
1.266201e+00 6.059423e+10 7.651429e+10
1.285636e+00 5.917893e+10 7.471291e+10
1.305369e+00 5.779519e+10 7.295203e+10
1.325405e+00 5.644235e+10 7.123934e+10
1.345748e+00 5.511973e+10 6.957558e+10
1.366404e+00 5.382667e+10 6.794885e+10
1.387377e+00 5.256253e+10 6.635835e+10
1.408672e+00 5.132669e+10 6.480175e+10
1.430293e+00 5.011853e+10 6.327536e+10
1.452247e+00 4.893744e+10 6.178323e+10
1.474537e+00 4.778285e+10 6.032463e+10
1.497169e+00 4.665417e+10 5.889881e+10
1.520149e+00 4.555084e+10 5.750507e+10
1.543482e+00 4.447231e+10 5.614270e+10
1.567172e+00 4.341553e+10 5.480967e+10
1.591227e+00 4.237380e+10 5.350577e+10
1.615650e+00 4.135614e+10 5.223134e+10
1.640449e+00 4.036170e+10 5.098575e+10
1.665628e+00 3.938996e+10 4.976836e+10
1.691193e+00 3.844043e+10 4.857856e+10
1.717151e+00 3.751261e+10 4.741573e+10
1.743508e+00 3.661132e+10 4.627090e+10
1.770268e+00 3.573495e+10 4.515782e+10
1.797440e+00 3.487976e+10 4.406959e+10
1.825029e+00 3.404449e+10 4.300534e+10
1.853041e+00 3.322812e+10 4.196538e+10
1.881483e+00 3.243024e+10 4.094918e+10
1.910362e+00 3.165045e+10 3.995621e+10
1.939683e+00 3.088836e+10 3.898598e+10
1.969455e+00 3.014357e+10 3.803896e+10
1.999684e+00 2.941571e+10 3.712094e+10
2.030377e+00 2.870442e+10 3.622380e+10
2.061541e+00 2.800932e+10 3.534689e+10
2.093184e+00 2.733007e+10 3.448962e+10
2.125312e+00 2.666632e+10 3.365191e+10
2.157933e+00 2.601378e+10 3.283335e+10
2.191055e+00 2.537602e+10 3.203318e+10
2.224685e+00 2.475294e+10 3.124507e+10
2.258831e+00 2.414422e+10 3.047366e+10
2.293502e+00 2.354953e+10 2.971988e+10
2.328704e+00 2.296858e+10 2.898296e+10
2.364447e+00 2.240106e+10 2.826367e+10
2.400739e+00 2.184667e+10 2.756134e+10
2.437588e+00 2.130548e+10 2.687134e+10
2.475002e+00 2.077952e+10 2.619733e+10
