# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-01 2.821750e+11
5.076744e-01 2.758802e+11
5.154667e-01 2.697225e+11
5.233785e-01 2.636989e+11
5.314118e-01 2.578067e+11
5.395683e-01 2.520399e+11
5.478501e-01 2.463836e+11
5.562590e-01 2.408512e+11
5.647969e-01 2.354399e+11
5.734659e-01 2.301471e+11
5.822680e-01 2.249703e+11
5.912051e-01 2.199070e+11
6.002795e-01 2.149546e+11
6.094931e-01 2.101109e+11
6.188481e-01 2.053734e+11
6.283467e-01 2.007475e+11
6.379911e-01 1.962296e+11
6.477836e-01 1.918105e+11
6.577263e-01 1.874864e+11
6.678217e-01 1.832442e+11
6.780720e-01 1.790954e+11
6.884796e-01 1.750378e+11
6.990470e-01 1.710695e+11
7.097766e-01 1.671837e+11
7.206709e-01 1.633821e+11
7.317324e-01 1.596768e+11
7.429636e-01 1.560529e+11
7.543673e-01 1.525164e+11
7.659460e-01 1.490617e+11
7.777024e-01 1.456827e+11
7.896392e-01 1.423780e+11
8.017593e-01 1.391457e+11
8.140654e-01 1.359845e+11
8.265604e-01 1.328905e+11
8.392472e-01 1.298426e+11
8.521287e-01 1.268623e+11
8.652079e-01 1.239480e+11
8.784878e-01 1.210984e+11
8.919716e-01 1.183120e+11
9.056624e-01 1.155874e+11
9.195633e-01 1.129204e+11
9.336776e-01 1.103246e+11
9.480084e-01 1.077867e+11
9.625593e-01 1.053050e+11
9.773335e-01 1.028784e+11
9.923345e-01 1.005057e+11
1.007566e+00 9.818559e+10
1.023031e+00 9.591706e+10
1.038733e+00 9.370917e+10
1.054676e+00 9.155534e+10
1.070865e+00 8.944627e+10
1.087301e+00 8.738160e+10
1.103990e+00 8.535656e+10
1.120935e+00 8.336781e+10
1.138140e+00 8.142350e+10
1.155609e+00 7.952266e+10
1.173346e+00 7.766434e+10
1.191356e+00 7.584761e+10
1.209642e+00 7.407156e+10
1.228209e+00 7.233617e+10
1.247060e+00 7.064639e+10
1.266201e+00 6.899556e+10
1.285636e+00 6.738164e+10
1.305369e+00 6.580383e+10
1.325405e+00 6.426134e+10
1.345748e+00 6.275339e+10
1.366404e+00 6.127924e+10
1.387377e+00 5.983816e+10
1.408672e+00 5.842941e+10
1.430293e+00 5.704992e+10
1.452247e+00 5.569935e+10
1.474537e+00 5.437922e+10
1.497169e+00 5.308885e+10
1.520149e+00 5.182761e+10
1.543482e+00 5.059485e+10
1.567172e+00 4.938995e+10
1.591227e+00 4.821231e+10
1.615650e+00 4.706132e+10
1.640449e+00 4.593782e+10
1.665628e+00 4.484352e+10
1.691193e+00 4.377397e+10
1.717151e+00 4.272582e+10
1.743508e+00 4.170136e+10
1.770268e+00 4.070016e+10
1.797440e+00 3.972173e+10
1.825029e+00 3.876053e+10
1.853041e+00 3.781976e+10
1.881483e+00 3.690058e+10
1.910362e+00 3.600468e+10
1.939683e+00 3.513560e+10
1.969455e+00 3.429038e+10
1.999684e+00 3.345717e+10
2.030377e+00 3.264565e+10
2.061541e+00 3.185206e+10
2.093184e+00 3.107460e+10
2.125312e+00 3.031409e+10
2.157933e+00 2.957322e+10
2.191055e+00 2.885063e+10
2.224685e+00 2.814216e+10
2.258831e+00 2.745011e+10
2.293502e+00 2.677486e+10
2.328704e+00 2.611521e+10
2.364447e+00 2.547082e+10
2.400739e+00 2.484230e+10
2.437588e+00 2.422900e+10
2.475002e+00 2.362815e+10
2.512990e+00 2.304104e+10
2.551562e+00 2.246844e+10
2.590725e+00 2.191082e+10
2.630490e+00 2.136615e+10
2.670865e+00 2.083413e+10
2.711860e+00 2.031449e+10
2.753484e+00 1.980815e+10
2.795747e+00 1.931274e+10
2.838658e+00 1.882802e+10
2.882229e+00 1.835232e+10
2.926468e+00 1.788871e+10
2.971386e+00 1.743608e+10
3.016993e+00 1.699727e+10
3.063300e+00 1.656873e+10
3.110319e+00 1.615024e+10
3.158058e+00 1.574157e+10
3.206531e+00 1.534251e+10
3.255748e+00 1.495193e+10
3.305720e+00 1.456780e+10
3.356459e+00 1.419282e+10
3.407977e+00 1.382635e+10
3.460285e+00 1.346982e+10
3.513397e+00 1.312297e+10
3.567323e+00 1.278403e+10
3.622078e+00 1.245308e+10
3.677673e+00 1.212892e+10
3.734121e+00 1.181172e+10
3.791435e+00 1.150220e+10
3.849630e+00 1.120018e+10
3.908717e+00 1.090532e+10
3.968711e+00 1.061779e+10
4.029627e+00 1.033726e+10
4.091477e+00 1.006399e+10
4.154276e+00 9.797995e+09
4.218040e+00 9.538249e+09
4.282782e+00 9.284846e+09
4.348518e+00 9.037642e+09
4.415263e+00 8.796494e+09
4.483032e+00 8.561590e+09
4.551842e+00 8.332775e+09
4.621707e+00 8.109629e+09
4.692645e+00 7.892175e+09
4.764672e+00 7.678935e+09
4.837804e+00 7.470977e+09
4.912059e+00 7.268181e+09
4.987454e+00 7.071020e+09
5.064006e+00 6.879350e+09
5.141732e+00 6.692436e+09
5.220652e+00 6.510168e+09
5.300783e+00 6.332441e+09
5.382144e+00 6.158860e+09
5.464754e+00 5.988714e+09
5.548632e+00 5.822863e+09
5.633797e+00 5.661208e+09
5.720270e+00 5.503947e+09
5.808069e+00 5.351188e+09
5.897217e+00 5.202728e+09
5.987732e+00 5.058022e+09
6.079637e+00 4.916709e+09
6.172953e+00 4.778222e+09
6.267701e+00 4.643860e+09
