# Energy(MeV) Phi16 Phi84
5.000000e-01 9.891307e+11 1.256842e+12
5.076744e-01 9.670989e+11 1.228665e+12
5.154667e-01 9.455463e+11 1.201103e+12
5.233785e-01 9.244627e+11 1.174146e+12
5.314118e-01 9.038379e+11 1.147819e+12
5.395683e-01 8.836622e+11 1.122138e+12
5.478501e-01 8.639257e+11 1.097017e+12
5.562590e-01 8.445955e+11 1.072417e+12
5.647969e-01 8.256135e+11 1.048322e+12
5.734659e-01 8.070474e+11 1.024687e+12
5.822680e-01 7.888884e+11 1.001557e+12
5.912051e-01 7.711276e+11 9.789349e+11
6.002795e-01 7.537563e+11 9.567996e+11
6.094931e-01 7.367661e+11 9.351501e+11
6.188481e-01 7.201551e+11 9.139771e+11
6.283467e-01 7.039248e+11 8.932705e+11
6.379911e-01 6.880504e+11 8.730200e+11
6.477836e-01 6.725488e+11 8.532269e+11
6.577263e-01 6.574641e+11 8.338938e+11
6.678217e-01 6.427080e+11 8.149845e+11
6.780720e-01 6.282673e+11 7.964873e+11
6.884796e-01 6.140467e+11 7.783977e+11
6.990470e-01 6.001385e+11 7.607069e+11
7.097766e-01 5.865362e+11 7.434002e+11
7.206709e-01 5.732329e+11 7.264419e+11
7.317324e-01 5.602223e+11 7.098588e+11
7.429636e-01 5.474901e+11 6.936377e+11
7.543673e-01 5.349748e+11 6.778433e+11
7.659460e-01 5.227366e+11 6.624094e+11
7.777024e-01 5.107694e+11 6.472659e+11
7.896392e-01 4.990673e+11 6.324571e+11
8.017593e-01 4.876245e+11 6.179667e+11
8.140654e-01 4.764355e+11 6.037976e+11
8.265604e-01 4.655075e+11 5.899427e+11
8.392472e-01 4.548572e+11 5.763951e+11
8.521287e-01 4.445159e+11 5.631646e+11
8.652079e-01 4.344283e+11 5.503652e+11
8.784878e-01 4.245668e+11 5.377370e+11
8.919716e-01 4.148960e+11 5.253615e+11
9.056624e-01 4.053734e+11 5.132608e+11
9.195633e-01 3.960615e+11 5.014290e+11
9.336776e-01 3.869557e+11 4.899172e+11
9.480084e-01 3.780516e+11 4.786820e+11
9.625593e-01 3.693520e+11 4.676559e+11
9.773335e-01 3.608508e+11 4.568620e+11
9.923345e-01 3.524864e+11 4.463079e+11
1.007566e+00 3.444269e+11 4.359885e+11
1.023031e+00 3.365410e+11 4.258985e+11
1.038733e+00 3.287867e+11 4.160327e+11
1.054676e+00 3.211944e+11 4.063731e+11
1.070865e+00 3.137673e+11 3.969289e+11
1.087301e+00 3.065050e+11 3.876955e+11
1.103990e+00 2.994062e+11 3.786683e+11
1.120935e+00 2.925079e+11 3.698428e+11
1.138140e+00 2.857619e+11 3.612145e+11
1.155609e+00 2.791575e+11 3.527792e+11
1.173346e+00 2.726776e+11 3.445327e+11
1.191356e+00 2.663417e+11 3.364708e+11
1.209642e+00 2.601467e+11 3.286009e+11
1.228209e+00 2.540895e+11 3.209267e+11
1.247060e+00 2.481672e+11 3.134240e+11
1.266201e+00 2.423769e+11 3.060572e+11
1.285636e+00 2.367157e+11 2.988517e+11
1.305369e+00 2.311808e+11 2.918081e+11
1.325405e+00 2.257694e+11 2.849574e+11
1.345748e+00 2.204789e+11 2.783023e+11
1.366404e+00 2.153067e+11 2.717954e+11
1.387377e+00 2.102501e+11 2.654334e+11
1.408672e+00 2.053068e+11 2.592070e+11
1.430293e+00 2.004741e+11 2.531014e+11
1.452247e+00 1.957498e+11 2.471329e+11
1.474537e+00 1.911314e+11 2.412985e+11
1.497169e+00 1.866167e+11 2.355952e+11
1.520149e+00 1.822034e+11 2.300203e+11
1.543482e+00 1.778892e+11 2.245708e+11
1.567172e+00 1.736621e+11 2.192387e+11
1.591227e+00 1.694952e+11 2.140231e+11
1.615650e+00 1.654246e+11 2.089254e+11
1.640449e+00 1.614468e+11 2.039430e+11
1.665628e+00 1.575599e+11 1.990734e+11
1.691193e+00 1.537617e+11 1.943142e+11
1.717151e+00 1.500505e+11 1.896629e+11
1.743508e+00 1.464453e+11 1.850836e+11
1.770268e+00 1.429398e+11 1.806313e+11
1.797440e+00 1.395191e+11 1.762784e+11
1.825029e+00 1.361780e+11 1.720214e+11
1.853041e+00 1.329125e+11 1.678615e+11
1.881483e+00 1.297210e+11 1.637967e+11
1.910362e+00 1.266018e+11 1.598249e+11
1.939683e+00 1.235534e+11 1.559439e+11
1.969455e+00 1.205743e+11 1.521559e+11
1.999684e+00 1.176628e+11 1.484838e+11
2.030377e+00 1.148177e+11 1.448952e+11
2.061541e+00 1.120373e+11 1.413875e+11
2.093184e+00 1.093203e+11 1.379585e+11
2.125312e+00 1.066653e+11 1.346077e+11
2.157933e+00 1.040551e+11 1.313334e+11
2.191055e+00 1.015041e+11 1.281327e+11
2.224685e+00 9.901176e+10 1.249803e+11
2.258831e+00 9.657687e+10 1.218946e+11
2.293502e+00 9.419814e+10 1.188795e+11
2.328704e+00 9.187433e+10 1.159318e+11
2.364447e+00 8.960424e+10 1.130547e+11
2.400739e+00 8.738668e+10 1.102453e+11
2.437588e+00 8.522192e+10 1.074853e+11
2.475002e+00 8.311807e+10 1.047893e+11
2.512990e+00 8.106799e+10 1.021636e+11
2.551562e+00 7.906568e+10 9.959941e+10
2.590725e+00 7.710523e+10 9.709550e+10
2.630490e+00 7.517051e+10 9.465048e+10
2.670865e+00 7.328162e+10 9.226303e+10
2.711860e+00 7.144925e+10 8.993187e+10
2.753484e+00 6.965964e+10 8.765573e+10
2.795747e+00 6.791316e+10 8.543978e+10
2.838658e+00 6.620967e+10 8.328850e+10
2.882229e+00 6.454597e+10 8.118783e+10
2.926468e+00 6.292118e+10 7.913663e+10
2.971386e+00 6.132981e+10 7.713380e+10
3.016993e+00 5.977069e+10 7.517298e+10
3.063300e+00 5.825836e+10 7.325110e+10
3.110319e+00 5.676085e+10 7.137421e+10
3.158058e+00 5.530275e+10 6.954198e+10
3.206531e+00 5.388209e+10 6.776143e+10
3.255748e+00 5.249767e+10 6.602653e+10
3.305720e+00 5.114905e+10 6.432604e+10
3.356459e+00 4.984210e+10 6.266617e+10
3.407977e+00 4.856780e+10 6.104445e+10
3.460285e+00 4.732375e+10 5.947656e+10
3.513397e+00 4.610927e+10 5.794392e+10
3.567323e+00 4.491180e+10 5.643898e+10
3.622078e+00 4.374012e+10 5.497027e+10
3.677673e+00 4.260053e+10 5.353696e+10
3.734121e+00 4.148479e+10 5.213696e+10
3.791435e+00 4.040018e+10 5.076922e+10
3.849630e+00 3.934642e+10 4.943467e+10
3.908717e+00 3.831802e+10 4.813255e+10
3.968711e+00 3.731443e+10 4.686627e+10
4.029627e+00 3.633597e+10 4.563134e+10
4.091477e+00 3.538184e+10 4.442638e+10
4.154276e+00 3.445080e+10 4.325072e+10
4.218040e+00 3.354233e+10 4.210194e+10
4.282782e+00 3.265592e+10 4.097781e+10
4.348518e+00 3.179107e+10 3.988133e+10
4.415263e+00 3.094729e+10 3.881186e+10
4.483032e+00 3.012410e+10 3.776878e+10
4.551842e+00 2.932104e+10 3.675148e+10
4.621707e+00 2.853765e+10 3.576546e+10
4.692645e+00 2.777347e+10 3.481205e+10
4.764672e+00 2.701948e+10 3.388198e+10
4.837804e+00 2.628335e+10 3.297469e+10
4.912059e+00 2.557282e+10 3.208295e+10
4.987454e+00 2.488038e+10 3.121503e+10
5.064006e+00 2.420513e+10 3.036523e+10
5.141732e+00 2.354667e+10 2.953445e+10
5.220652e+00 2.290089e+10 2.873197e+10
5.300783e+00 2.227017e+10 2.795416e+10
5.382144e+00 2.165631e+10 2.719560e+10
5.464754e+00 2.105706e+10 2.645584e+10
5.548632e+00 2.047184e+10 2.572869e+10
5.633797e+00 1.990146e+10 2.501444e+10
5.720270e+00 1.934558e+10 2.431757e+10
5.808069e+00 1.880791e+10 2.363767e+10
5.897217e+00 1.828633e+10 2.297508e+10
5.987732e+00 1.777477e+10 2.233670e+10
6.079637e+00 1.727561e+10 2.171906e+10
6.172953e+00 1.678922e+10 2.111690e+10
6.267701e+00 1.631681e+10 2.052277e+10
6.363903e+00 1.585867e+10 1.994386e+10
6.461581e+00 1.541182e+10 1.938374e+10
6.560759e+00 1.497212e+10 1.883812e+10
6.661460e+00 1.454383e+10 1.830648e+10
6.763706e+00 1.412667e+10 1.778406e+10
