# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-01 1.128700e+12
5.076744e-01 1.103521e+12
5.154667e-01 1.078890e+12
5.233785e-01 1.054796e+12
5.314118e-01 1.031227e+12
5.395683e-01 1.008160e+12
5.478501e-01 9.855345e+11
5.562590e-01 9.634047e+11
5.647969e-01 9.417595e+11
5.734659e-01 9.205884e+11
5.822680e-01 8.998812e+11
5.912051e-01 8.796279e+11
6.002795e-01 8.598186e+11
6.094931e-01 8.404437e+11
6.188481e-01 8.214938e+11
6.283467e-01 8.029901e+11
6.379911e-01 7.849184e+11
6.477836e-01 7.672421e+11
6.577263e-01 7.499456e+11
6.678217e-01 7.329770e+11
6.780720e-01 7.163815e+11
6.884796e-01 7.001511e+11
6.990470e-01 6.842778e+11
7.097766e-01 6.687349e+11
7.206709e-01 6.535286e+11
7.317324e-01 6.387073e+11
7.429636e-01 6.242117e+11
7.543673e-01 6.100655e+11
7.659460e-01 5.962466e+11
7.777024e-01 5.827309e+11
7.896392e-01 5.695118e+11
8.017593e-01 5.565829e+11
8.140654e-01 5.439380e+11
8.265604e-01 5.315619e+11
8.392472e-01 5.193704e+11
8.521287e-01 5.074491e+11
8.652079e-01 4.957921e+11
8.784878e-01 4.843935e+11
8.919716e-01 4.732479e+11
9.056624e-01 4.623496e+11
9.195633e-01 4.516816e+11
9.336776e-01 4.412984e+11
9.480084e-01 4.311467e+11
9.625593e-01 4.212201e+11
9.773335e-01 4.115137e+11
9.923345e-01 4.020227e+11
1.007566e+00 3.927424e+11
1.023031e+00 3.836682e+11
1.038733e+00 3.748367e+11
1.054676e+00 3.662214e+11
1.070865e+00 3.577851e+11
1.087301e+00 3.495264e+11
1.103990e+00 3.414262e+11
1.120935e+00 3.334713e+11
1.138140e+00 3.256940e+11
1.155609e+00 3.180906e+11
1.173346e+00 3.106574e+11
1.191356e+00 3.033904e+11
1.209642e+00 2.962863e+11
1.228209e+00 2.893447e+11
1.247060e+00 2.825855e+11
1.266201e+00 2.759822e+11
1.285636e+00 2.695266e+11
1.305369e+00 2.632153e+11
1.325405e+00 2.570453e+11
1.345748e+00 2.510136e+11
1.366404e+00 2.451170e+11
1.387377e+00 2.393526e+11
1.408672e+00 2.337176e+11
1.430293e+00 2.281997e+11
1.452247e+00 2.227974e+11
1.474537e+00 2.175169e+11
1.497169e+00 2.123554e+11
1.520149e+00 2.073104e+11
1.543482e+00 2.023794e+11
1.567172e+00 1.975598e+11
1.591227e+00 1.928492e+11
1.615650e+00 1.882453e+11
1.640449e+00 1.837513e+11
1.665628e+00 1.793741e+11
1.691193e+00 1.750959e+11
1.717151e+00 1.709033e+11
1.743508e+00 1.668054e+11
