# Energy(MeV) Phi16 Phi84
5.000000e-01 3.107446e+12 3.948487e+12
5.076744e-01 3.038231e+12 3.859964e+12
5.154667e-01 2.970521e+12 3.773378e+12
5.233785e-01 2.904285e+12 3.688688e+12
5.314118e-01 2.839491e+12 3.605979e+12
5.395683e-01 2.776107e+12 3.525300e+12
5.478501e-01 2.714103e+12 3.446380e+12
5.562590e-01 2.653375e+12 3.369097e+12
5.647969e-01 2.593741e+12 3.293399e+12
5.734659e-01 2.535414e+12 3.219150e+12
5.822680e-01 2.478366e+12 3.146484e+12
5.912051e-01 2.422569e+12 3.075415e+12
6.002795e-01 2.367995e+12 3.005875e+12
6.094931e-01 2.314619e+12 2.937861e+12
6.188481e-01 2.262434e+12 2.871344e+12
6.283467e-01 2.211445e+12 2.806292e+12
6.379911e-01 2.161574e+12 2.742673e+12
6.477836e-01 2.112874e+12 2.680491e+12
6.577263e-01 2.065484e+12 2.619755e+12
6.678217e-01 2.019127e+12 2.560349e+12
6.780720e-01 1.973760e+12 2.502238e+12
6.884796e-01 1.929085e+12 2.445408e+12
6.990470e-01 1.885391e+12 2.389831e+12
7.097766e-01 1.842658e+12 2.335461e+12
7.206709e-01 1.800864e+12 2.282184e+12
7.317324e-01 1.759990e+12 2.230087e+12
7.429636e-01 1.719991e+12 2.179127e+12
7.543673e-01 1.680673e+12 2.129507e+12
7.659460e-01 1.642225e+12 2.081021e+12
7.777024e-01 1.604629e+12 2.033446e+12
7.896392e-01 1.567866e+12 1.986923e+12
8.017593e-01 1.531918e+12 1.941400e+12
8.140654e-01 1.496766e+12 1.896886e+12
8.265604e-01 1.462435e+12 1.853360e+12
8.392472e-01 1.428976e+12 1.810799e+12
8.521287e-01 1.396488e+12 1.769234e+12
8.652079e-01 1.364797e+12 1.729023e+12
8.784878e-01 1.333816e+12 1.689351e+12
8.919716e-01 1.303434e+12 1.650472e+12
9.056624e-01 1.273518e+12 1.612456e+12
9.195633e-01 1.244264e+12 1.575286e+12
9.336776e-01 1.215657e+12 1.539120e+12
9.480084e-01 1.187684e+12 1.503824e+12
9.625593e-01 1.160354e+12 1.469184e+12
9.773335e-01 1.133646e+12 1.435274e+12
9.923345e-01 1.107369e+12 1.402118e+12
1.007566e+00 1.082049e+12 1.369698e+12
1.023031e+00 1.057275e+12 1.338000e+12
1.038733e+00 1.032914e+12 1.307005e+12
1.054676e+00 1.009062e+12 1.276659e+12
1.070865e+00 9.857289e+11 1.246989e+12
1.087301e+00 9.629140e+11 1.217981e+12
1.103990e+00 9.406124e+11 1.189622e+12
1.120935e+00 9.189407e+11 1.161895e+12
1.138140e+00 8.977476e+11 1.134789e+12
1.155609e+00 8.769993e+11 1.108289e+12
1.173346e+00 8.566419e+11 1.082381e+12
1.191356e+00 8.367370e+11 1.057054e+12
1.209642e+00 8.172748e+11 1.032330e+12
1.228209e+00 7.982457e+11 1.008221e+12
1.247060e+00 7.796404e+11 9.846505e+11
1.266201e+00 7.614496e+11 9.615070e+11
1.285636e+00 7.436643e+11 9.388702e+11
1.305369e+00 7.262758e+11 9.167422e+11
1.325405e+00 7.092755e+11 8.952200e+11
1.345748e+00 6.926550e+11 8.743125e+11
1.366404e+00 6.764059e+11 8.538704e+11
1.387377e+00 6.605203e+11 8.338837e+11
1.408672e+00 6.449902e+11 8.143228e+11
1.430293e+00 6.298080e+11 7.951416e+11
1.452247e+00 6.149660e+11 7.763910e+11
1.474537e+00 6.004570e+11 7.580616e+11
1.497169e+00 5.862736e+11 7.401443e+11
1.520149e+00 5.724087e+11 7.226300e+11
1.543482e+00 5.588556e+11 7.055100e+11
1.567172e+00 5.455756e+11 6.887586e+11
1.591227e+00 5.324849e+11 6.723733e+11
1.615650e+00 5.196966e+11 6.563584e+11
1.640449e+00 5.072001e+11 6.407059e+11
1.665628e+00 4.949889e+11 6.254077e+11
1.691193e+00 4.830567e+11 6.104561e+11
1.717151e+00 4.713974e+11 5.958436e+11
1.743508e+00 4.600714e+11 5.814572e+11
1.770268e+00 4.490587e+11 5.674699e+11
1.797440e+00 4.383120e+11 5.537948e+11
1.825029e+00 4.278157e+11 5.404210e+11
1.853041e+00 4.175569e+11 5.273525e+11
1.881483e+00 4.075305e+11 5.145825e+11
1.910362e+00 3.977313e+11 5.021046e+11
1.939683e+00 3.881545e+11 4.899123e+11
1.969455e+00 3.787953e+11 4.780117e+11
1.999684e+00 3.696487e+11 4.664755e+11
2.030377e+00 3.607103e+11 4.552017e+11
2.061541e+00 3.519755e+11 4.441821e+11
2.093184e+00 3.434398e+11 4.334093e+11
2.125312e+00 3.350989e+11 4.228824e+11
2.157933e+00 3.268988e+11 4.125960e+11
2.191055e+00 3.188845e+11 4.025408e+11
2.224685e+00 3.110546e+11 3.926371e+11
2.258831e+00 3.034052e+11 3.829433e+11
2.293502e+00 2.959322e+11 3.734710e+11
2.328704e+00 2.886317e+11 3.642106e+11
2.364447e+00 2.815000e+11 3.551718e+11
2.400739e+00 2.745333e+11 3.463460e+11
2.437588e+00 2.677325e+11 3.376752e+11
2.475002e+00 2.611231e+11 3.292054e+11
2.512990e+00 2.546826e+11 3.209563e+11
2.551562e+00 2.483921e+11 3.129008e+11
2.590725e+00 2.422332e+11 3.050345e+11
2.630490e+00 2.361551e+11 2.973532e+11
2.670865e+00 2.302210e+11 2.898529e+11
2.711860e+00 2.244645e+11 2.825293e+11
2.753484e+00 2.188422e+11 2.753786e+11
2.795747e+00 2.133555e+11 2.684170e+11
