# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-01 3.545915e+12
5.076744e-01 3.466812e+12
5.154667e-01 3.389432e+12
5.233785e-01 3.313739e+12
5.314118e-01 3.239695e+12
5.395683e-01 3.167227e+12
5.478501e-01 3.096148e+12
5.562590e-01 3.026625e+12
5.647969e-01 2.958625e+12
5.734659e-01 2.892114e+12
5.822680e-01 2.827060e+12
5.912051e-01 2.763432e+12
6.002795e-01 2.701200e+12
6.094931e-01 2.640332e+12
6.188481e-01 2.580799e+12
6.283467e-01 2.522668e+12
6.379911e-01 2.465894e+12
6.477836e-01 2.410362e+12
6.577263e-01 2.356024e+12
6.678217e-01 2.302715e+12
6.780720e-01 2.250579e+12
6.884796e-01 2.199590e+12
6.990470e-01 2.149722e+12
7.097766e-01 2.100893e+12
7.206709e-01 2.053121e+12
7.317324e-01 2.006558e+12
7.429636e-01 1.961019e+12
7.543673e-01 1.916577e+12
7.659460e-01 1.873164e+12
7.777024e-01 1.830703e+12
7.896392e-01 1.789174e+12
8.017593e-01 1.748557e+12
8.140654e-01 1.708831e+12
8.265604e-01 1.669951e+12
8.392472e-01 1.631650e+12
8.521287e-01 1.594198e+12
8.652079e-01 1.557577e+12
8.784878e-01 1.521767e+12
8.919716e-01 1.486752e+12
9.056624e-01 1.452514e+12
9.195633e-01 1.419000e+12
9.336776e-01 1.386380e+12
9.480084e-01 1.354487e+12
9.625593e-01 1.323302e+12
9.773335e-01 1.292808e+12
9.923345e-01 1.262991e+12
1.007566e+00 1.233837e+12
1.023031e+00 1.205329e+12
1.038733e+00 1.177584e+12
1.054676e+00 1.150518e+12
1.070865e+00 1.124015e+12
1.087301e+00 1.098070e+12
1.103990e+00 1.072622e+12
1.120935e+00 1.047631e+12
1.138140e+00 1.023198e+12
1.155609e+00 9.993112e+11
1.173346e+00 9.759589e+11
1.191356e+00 9.531292e+11
1.209642e+00 9.308107e+11
1.228209e+00 9.090031e+11
1.247060e+00 8.877687e+11
1.266201e+00 8.670238e+11
1.285636e+00 8.467427e+11
1.305369e+00 8.269153e+11
1.325405e+00 8.075318e+11
1.345748e+00 7.885824e+11
1.366404e+00 7.700577e+11
1.387377e+00 7.519485e+11
1.408672e+00 7.342457e+11
1.430293e+00 7.169105e+11
1.452247e+00 6.999387e+11
1.474537e+00 6.833494e+11
1.497169e+00 6.671342e+11
1.520149e+00 6.512849e+11
1.543482e+00 6.357936e+11
1.567172e+00 6.206524e+11
1.591227e+00 6.058537e+11
1.615650e+00 5.913900e+11
1.640449e+00 5.772716e+11
1.665628e+00 5.635203e+11
1.691193e+00 5.500799e+11
1.717151e+00 5.369085e+11
1.743508e+00 5.240347e+11
1.770268e+00 5.114533e+11
1.797440e+00 4.991580e+11
1.825029e+00 4.870792e+11
1.853041e+00 4.752571e+11
1.881483e+00 4.637064e+11
1.910362e+00 4.524482e+11
1.939683e+00 4.415270e+11
1.969455e+00 4.309056e+11
1.999684e+00 4.204352e+11
2.030377e+00 4.102373e+11
2.061541e+00 4.002648e+11
2.093184e+00 3.904949e+11
2.125312e+00 3.809380e+11
2.157933e+00 3.716281e+11
2.191055e+00 3.625477e+11
2.224685e+00 3.536448e+11
2.258831e+00 3.449483e+11
2.293502e+00 3.364628e+11
2.328704e+00 3.281735e+11
2.364447e+00 3.200758e+11
2.400739e+00 3.121776e+11
2.437588e+00 3.044706e+11
2.475002e+00 2.969201e+11
2.512990e+00 2.895422e+11
2.551562e+00 2.823467e+11
2.590725e+00 2.753395e+11
2.630490e+00 2.684950e+11
2.670865e+00 2.618094e+11
2.711860e+00 2.552795e+11
2.753484e+00 2.489165e+11
2.795747e+00 2.426910e+11
2.838658e+00 2.365998e+11
2.882229e+00 2.306220e+11
2.926468e+00 2.247961e+11
2.971386e+00 2.191082e+11
3.016993e+00 2.135939e+11
3.063300e+00 2.082088e+11
3.110319e+00 2.029499e+11
3.158058e+00 1.978144e+11
3.206531e+00 1.927997e+11
3.255748e+00 1.878915e+11
3.305720e+00 1.830643e+11
3.356459e+00 1.783522e+11
3.407977e+00 1.737471e+11
3.460285e+00 1.692667e+11
3.513397e+00 1.649082e+11
3.567323e+00 1.606489e+11
3.622078e+00 1.564900e+11
3.677673e+00 1.524165e+11
