Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	6.0367e+06
1.5000e-03	0.0000e+00	6.0380e+06
2.0000e-03	0.0000e+00	6.0389e+06
2.5000e-03	0.0000e+00	6.0396e+06
3.0000e-03	0.0000e+00	6.0402e+06
3.5000e-03	0.0000e+00	6.0407e+06
4.0000e-03	0.0000e+00	6.0411e+06
4.5000e-03	0.0000e+00	6.0414e+06
5.0000e-03	0.0000e+00	6.0418e+06
5.5000e-03	0.0000e+00	6.0421e+06
6.0000e-03	0.0000e+00	6.0423e+06
6.5000e-03	0.0000e+00	6.0426e+06
7.0000e-03	0.0000e+00	6.0428e+06
7.5000e-03	0.0000e+00	6.0430e+06
8.0000e-03	0.0000e+00	6.0432e+06
8.5000e-03	0.0000e+00	6.0434e+06
9.0000e-03	0.0000e+00	6.0436e+06
9.5000e-03	0.0000e+00	6.0438e+06
1.0000e-02	0.0000e+00	6.0439e+06
1.5000e-02	0.0000e+00	6.0452e+06
2.0000e-02	0.0000e+00	6.0461e+06
2.5000e-02	0.0000e+00	6.0468e+06
3.0000e-02	0.0000e+00	6.0474e+06
3.5000e-02	0.0000e+00	6.0481e+06
4.0000e-02	0.0000e+00	6.0502e+06
4.5000e-02	0.0000e+00	6.0520e+06
5.0000e-02	0.0000e+00	6.0536e+06
5.5000e-02	0.0000e+00	6.0551e+06
6.0000e-02	0.0000e+00	6.0564e+06
6.5000e-02	0.0000e+00	6.0577e+06
7.0000e-02	0.0000e+00	6.0588e+06
7.5000e-02	0.0000e+00	6.0599e+06
8.0000e-02	0.0000e+00	6.0609e+06
8.5000e-02	0.0000e+00	6.0618e+06
9.0000e-02	0.0000e+00	6.0628e+06
9.5000e-02	0.0000e+00	6.0645e+06
1.0000e-01	0.0000e+00	6.0660e+06
1.5000e-01	0.0000e+00	6.0791e+06
2.0000e-01	0.0000e+00	6.0923e+06
2.5000e-01	0.0000e+00	6.1059e+06
3.0000e-01	0.0000e+00	6.1194e+06
3.5000e-01	0.0000e+00	6.1328e+06
4.0000e-01	0.0000e+00	6.1463e+06
4.5000e-01	0.0000e+00	6.1597e+06
5.0000e-01	3.9485e+12	6.1729e+06
5.0767e-01	3.8600e+12	6.1749e+06
5.1547e-01	3.7734e+12	6.1769e+06
5.2338e-01	3.6887e+12	6.1790e+06
5.3141e-01	3.6060e+12	6.1810e+06
5.3957e-01	3.5253e+12	6.1832e+06
5.4785e-01	3.4464e+12	6.1854e+06
5.5626e-01	3.3691e+12	6.1876e+06
5.6480e-01	3.2934e+12	6.1898e+06
5.7347e-01	3.2192e+12	6.1920e+06
5.8227e-01	3.1465e+12	6.1942e+06
5.9121e-01	3.0754e+12	6.1965e+06
6.0028e-01	3.0059e+12	6.1989e+06
6.0949e-01	2.9379e+12	6.2013e+06
6.1885e-01	2.8713e+12	6.2037e+06
6.2835e-01	2.8063e+12	6.2061e+06
6.3799e-01	2.7427e+12	6.2084e+06
6.4778e-01	2.6805e+12	6.2109e+06
6.5773e-01	2.6198e+12	6.2134e+06
6.6782e-01	2.5603e+12	6.2160e+06
6.7807e-01	2.5022e+12	6.2185e+06
6.8848e-01	2.4454e+12	6.2210e+06
6.9905e-01	2.3898e+12	6.2236e+06
7.0978e-01	2.3355e+12	6.2263e+06
7.2067e-01	2.2822e+12	6.2291e+06
7.3173e-01	2.2301e+12	6.2319e+06
7.4296e-01	2.1791e+12	6.2347e+06
7.5437e-01	2.1295e+12	6.2375e+06
7.6595e-01	2.0810e+12	6.2406e+06
7.7770e-01	2.0334e+12	6.2437e+06
7.8964e-01	1.9869e+12	6.2468e+06
8.0176e-01	1.9414e+12	6.2500e+06
8.1407e-01	1.8969e+12	6.2532e+06
8.2656e-01	1.8534e+12	6.2565e+06
8.3925e-01	1.8108e+12	6.2599e+06
8.5213e-01	1.7692e+12	6.2632e+06
8.6521e-01	1.7290e+12	6.2666e+06
8.7849e-01	1.6894e+12	6.2702e+06
8.9197e-01	1.6505e+12	6.2738e+06
9.0566e-01	1.6125e+12	6.2774e+06
9.1956e-01	1.5753e+12	6.2810e+06
9.3368e-01	1.5391e+12	6.2848e+06
9.4801e-01	1.5038e+12	6.2887e+06
9.6256e-01	1.4692e+12	6.2925e+06
9.7733e-01	1.4353e+12	6.2963e+06
9.9233e-01	1.4021e+12	6.3004e+06
1.0076e+00	1.3697e+12	6.3045e+06
1.0230e+00	1.3380e+12	6.3086e+06
1.0387e+00	1.3070e+12	6.3128e+06
1.0547e+00	1.2767e+12	6.3171e+06
1.0709e+00	1.2470e+12	6.3214e+06
1.0873e+00	1.2180e+12	6.3257e+06
1.1040e+00	1.1896e+12	6.3302e+06
1.1209e+00	1.1619e+12	6.3348e+06
1.1381e+00	1.1348e+12	6.3393e+06
1.1556e+00	1.1083e+12	6.3440e+06
1.1733e+00	1.0824e+12	6.3487e+06
1.1914e+00	1.0571e+12	6.3535e+06
1.2096e+00	1.0323e+12	6.3584e+06
1.2282e+00	1.0082e+12	6.3634e+06
1.2471e+00	9.8465e+11	6.3684e+06
1.2662e+00	9.6151e+11	6.3735e+06
1.2856e+00	9.3887e+11	6.3787e+06
1.3054e+00	9.1674e+11	6.3839e+06
1.3254e+00	8.9522e+11	6.3893e+06
1.3457e+00	8.7431e+11	6.3947e+06
1.3664e+00	8.5387e+11	6.4002e+06
1.3874e+00	8.3388e+11	6.4058e+06
1.4087e+00	8.1432e+11	6.4115e+06
1.4303e+00	7.9514e+11	6.4172e+06
1.4522e+00	7.7639e+11	6.4231e+06
1.4745e+00	7.5806e+11	6.4290e+06
1.4972e+00	7.4014e+11	6.4350e+06
1.5201e+00	7.2263e+11	6.4412e+06
1.5435e+00	7.0551e+11	6.4474e+06
1.5672e+00	6.8876e+11	6.4537e+06
1.5912e+00	6.7237e+11	6.4600e+06
1.6157e+00	6.5636e+11	6.4666e+06
1.6404e+00	6.4071e+11	6.4732e+06
1.6656e+00	6.2541e+11	6.4799e+06
1.6912e+00	6.1046e+11	6.4867e+06
1.7172e+00	5.9584e+11	6.4936e+06
1.7435e+00	5.8146e+11	6.5006e+06
1.7703e+00	5.6747e+11	6.5077e+06
1.7974e+00	5.5379e+11	6.5150e+06
1.8250e+00	5.4042e+11	6.5223e+06
1.8530e+00	5.2735e+11	6.5297e+06
1.8815e+00	5.1458e+11	6.5373e+06
1.9104e+00	5.0210e+11	6.5450e+06
1.9397e+00	4.8991e+11	6.5528e+06
1.9695e+00	4.7801e+11	6.5607e+06
1.9997e+00	4.6648e+11	6.5687e+06
2.0304e+00	4.5520e+11	6.5768e+06
2.0615e+00	4.4418e+11	6.5851e+06
2.0932e+00	4.3341e+11	6.5935e+06
2.1253e+00	4.2288e+11	6.6021e+06
2.1579e+00	4.1260e+11	6.6107e+06
2.1911e+00	4.0254e+11	6.6195e+06
2.2247e+00	3.9264e+11	6.6284e+06
2.2588e+00	3.8294e+11	6.6375e+06
2.2935e+00	3.7347e+11	6.6467e+06
2.3287e+00	3.6421e+11	6.6560e+06
2.3644e+00	3.5517e+11	6.6655e+06
2.4007e+00	3.4635e+11	6.6751e+06
2.4376e+00	3.3768e+11	6.6848e+06
2.4750e+00	3.2921e+11	6.6948e+06
