Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.3191e+06
1.5000e-03	0.0000e+00	5.3202e+06
2.0000e-03	0.0000e+00	5.3210e+06
2.5000e-03	0.0000e+00	5.3216e+06
3.0000e-03	0.0000e+00	5.3222e+06
3.5000e-03	0.0000e+00	5.3226e+06
4.0000e-03	0.0000e+00	5.3229e+06
4.5000e-03	0.0000e+00	5.3233e+06
5.0000e-03	0.0000e+00	5.3236e+06
5.5000e-03	0.0000e+00	5.3238e+06
6.0000e-03	0.0000e+00	5.3241e+06
6.5000e-03	0.0000e+00	5.3243e+06
7.0000e-03	0.0000e+00	5.3245e+06
7.5000e-03	0.0000e+00	5.3247e+06
8.0000e-03	0.0000e+00	5.3249e+06
8.5000e-03	0.0000e+00	5.3250e+06
9.0000e-03	0.0000e+00	5.3252e+06
9.5000e-03	0.0000e+00	5.3253e+06
1.0000e-02	0.0000e+00	5.3255e+06
1.5000e-02	0.0000e+00	5.3266e+06
2.0000e-02	0.0000e+00	5.3274e+06
2.5000e-02	0.0000e+00	5.3280e+06
3.0000e-02	0.0000e+00	5.3285e+06
3.5000e-02	0.0000e+00	5.3292e+06
4.0000e-02	0.0000e+00	5.3310e+06
4.5000e-02	0.0000e+00	5.3326e+06
5.0000e-02	0.0000e+00	5.3340e+06
5.5000e-02	0.0000e+00	5.3353e+06
6.0000e-02	0.0000e+00	5.3365e+06
6.5000e-02	0.0000e+00	5.3376e+06
7.0000e-02	0.0000e+00	5.3386e+06
7.5000e-02	0.0000e+00	5.3395e+06
8.0000e-02	0.0000e+00	5.3404e+06
8.5000e-02	0.0000e+00	5.3412e+06
9.0000e-02	0.0000e+00	5.3421e+06
9.5000e-02	0.0000e+00	5.3435e+06
1.0000e-01	0.0000e+00	5.3449e+06
1.5000e-01	0.0000e+00	5.3564e+06
2.0000e-01	0.0000e+00	5.3681e+06
2.5000e-01	0.0000e+00	5.3800e+06
3.0000e-01	0.0000e+00	5.3919e+06
3.5000e-01	0.0000e+00	5.4037e+06
4.0000e-01	0.0000e+00	5.4156e+06
4.5000e-01	0.0000e+00	5.4274e+06
5.0000e-01	3.5459e+12	5.4390e+06
5.0767e-01	3.4668e+12	5.4408e+06
5.1547e-01	3.3894e+12	5.4426e+06
