# Energy(MeV) Phi16 Phi84
5.000000e-01 1.242978e+13 1.579395e+13
5.076744e-01 1.215292e+13 1.543986e+13
5.154667e-01 1.188209e+13 1.509351e+13
5.233785e-01 1.161714e+13 1.475475e+13
5.314118e-01 1.135796e+13 1.442392e+13
5.395683e-01 1.110443e+13 1.410120e+13
5.478501e-01 1.085641e+13 1.378552e+13
5.562590e-01 1.061350e+13 1.347639e+13
5.647969e-01 1.037496e+13 1.317360e+13
5.734659e-01 1.014166e+13 1.287660e+13
5.822680e-01 9.913464e+12 1.258593e+13
5.912051e-01 9.690275e+12 1.230166e+13
6.002795e-01 9.471981e+12 1.202350e+13
6.094931e-01 9.258476e+12 1.175144e+13
6.188481e-01 9.049735e+12 1.148538e+13
6.283467e-01 8.845780e+12 1.122517e+13
6.379911e-01 8.646297e+12 1.097069e+13
6.477836e-01 8.451497e+12 1.072196e+13
6.577263e-01 8.261937e+12 1.047902e+13
6.678217e-01 8.076507e+12 1.024140e+13
6.780720e-01 7.895040e+12 1.000895e+13
6.884796e-01 7.716338e+12 9.781633e+12
6.990470e-01 7.541563e+12 9.559325e+12
7.097766e-01 7.370631e+12 9.341842e+12
7.206709e-01 7.203457e+12 9.128738e+12
7.317324e-01 7.039961e+12 8.920349e+12
7.429636e-01 6.879963e+12 8.716508e+12
7.543673e-01 6.722692e+12 8.518030e+12
7.659460e-01 6.568902e+12 8.324082e+12
7.777024e-01 6.418517e+12 8.133783e+12
7.896392e-01 6.271464e+12 7.947690e+12
8.017593e-01 6.127670e+12 7.765599e+12
8.140654e-01 5.987065e+12 7.587544e+12
8.265604e-01 5.849740e+12 7.413438e+12
8.392472e-01 5.715905e+12 7.243195e+12
8.521287e-01 5.585951e+12 7.076935e+12
8.652079e-01 5.459187e+12 6.916094e+12
8.784878e-01 5.335264e+12 6.757402e+12
8.919716e-01 5.213737e+12 6.601887e+12
9.056624e-01 5.094073e+12 6.449825e+12
9.195633e-01 4.977056e+12 6.301142e+12
9.336776e-01 4.862629e+12 6.156481e+12
9.480084e-01 4.750737e+12 6.015295e+12
9.625593e-01 4.641414e+12 5.876738e+12
9.773335e-01 4.534584e+12 5.741097e+12
9.923345e-01 4.429475e+12 5.608471e+12
1.007566e+00 4.328196e+12 5.478793e+12
1.023031e+00 4.229100e+12 5.351999e+12
1.038733e+00 4.131655e+12 5.228021e+12
1.054676e+00 4.036248e+12 5.106635e+12
1.070865e+00 3.942916e+12 4.987956e+12
1.087301e+00 3.851656e+12 4.871926e+12
1.103990e+00 3.762450e+12 4.758486e+12
1.120935e+00 3.675763e+12 4.647581e+12
1.138140e+00 3.590990e+12 4.539155e+12
1.155609e+00 3.507997e+12 4.433154e+12
1.173346e+00 3.426568e+12 4.329526e+12
1.191356e+00 3.346948e+12 4.228217e+12
