# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-01 1.418366e+13
5.076744e-01 1.386725e+13
5.154667e-01 1.355773e+13
5.233785e-01 1.325495e+13
5.314118e-01 1.295878e+13
5.395683e-01 1.266891e+13
5.478501e-01 1.238459e+13
5.562590e-01 1.210650e+13
5.647969e-01 1.183450e+13
5.734659e-01 1.156846e+13
5.822680e-01 1.130824e+13
5.912051e-01 1.105373e+13
6.002795e-01 1.080480e+13
6.094931e-01 1.056133e+13
6.188481e-01 1.032320e+13
6.283467e-01 1.009067e+13
6.379911e-01 9.863575e+12
6.477836e-01 9.641449e+12
6.577263e-01 9.424094e+12
6.678217e-01 9.210861e+12
6.780720e-01 9.002316e+12
6.884796e-01 8.798359e+12
6.990470e-01 8.598889e+12
7.097766e-01 8.403571e+12
7.206709e-01 8.212482e+12
7.317324e-01 8.026232e+12
7.429636e-01 7.844075e+12
7.543673e-01 7.666309e+12
7.659460e-01 7.492656e+12
7.777024e-01 7.322813e+12
7.896392e-01 7.156697e+12
8.017593e-01 6.994227e+12
8.140654e-01 6.835326e+12
8.265604e-01 6.679804e+12
8.392472e-01 6.526602e+12
8.521287e-01 6.376794e+12
8.652079e-01 6.230307e+12
8.784878e-01 6.087069e+12
8.919716e-01 5.947008e+12
9.056624e-01 5.810056e+12
9.195633e-01 5.675999e+12
9.336776e-01 5.545519e+12
9.480084e-01 5.417949e+12
9.625593e-01 5.293208e+12
9.773335e-01 5.171234e+12
9.923345e-01 5.051966e+12
1.007566e+00 4.935346e+12
1.023031e+00 4.821317e+12
1.038733e+00 4.710337e+12
1.054676e+00 4.602073e+12
1.070865e+00 4.496060e+12
1.087301e+00 4.392278e+12
1.103990e+00 4.290489e+12
1.120935e+00 4.190523e+12
1.138140e+00 4.092792e+12
1.155609e+00 3.997245e+12
1.173346e+00 3.903835e+12
1.191356e+00 3.812517e+12
1.209642e+00 3.723243e+12
1.228209e+00 3.636012e+12
1.247060e+00 3.551075e+12
1.266201e+00 3.468095e+12
1.285636e+00 3.386971e+12
1.305369e+00 3.307661e+12
1.325405e+00 3.230127e+12
1.345748e+00 3.154329e+12
1.366404e+00 3.080231e+12
1.387377e+00 3.007794e+12
1.408672e+00 2.936983e+12
1.430293e+00 2.867642e+12
1.452247e+00 2.799755e+12
1.474537e+00 2.733398e+12
1.497169e+00 2.668537e+12
1.520149e+00 2.605140e+12
1.543482e+00 2.543174e+12
1.567172e+00 2.482610e+12
1.591227e+00 2.423415e+12
1.615650e+00 2.365560e+12
1.640449e+00 2.309086e+12
1.665628e+00 2.254081e+12
1.691193e+00 2.200320e+12
1.717151e+00 2.147634e+12
1.743508e+00 2.096139e+12
1.770268e+00 2.045813e+12
1.797440e+00 1.996632e+12
1.825029e+00 1.948317e+12
1.853041e+00 1.901028e+12
1.881483e+00 1.854825e+12
1.910362e+00 1.809793e+12
1.939683e+00 1.766108e+12
1.969455e+00 1.723622e+12
1.999684e+00 1.681741e+12
2.030377e+00 1.640949e+12
2.061541e+00 1.601059e+12
2.093184e+00 1.561980e+12
2.125312e+00 1.523752e+12
2.157933e+00 1.486512e+12
2.191055e+00 1.450191e+12
2.224685e+00 1.414579e+12
2.258831e+00 1.379793e+12
2.293502e+00 1.345851e+12
2.328704e+00 1.312694e+12
2.364447e+00 1.280303e+12
2.400739e+00 1.248710e+12
2.437588e+00 1.217883e+12
2.475002e+00 1.187680e+12
2.512990e+00 1.158169e+12
2.551562e+00 1.129387e+12
2.590725e+00 1.101358e+12
2.630490e+00 1.073980e+12
2.670865e+00 1.047238e+12
2.711860e+00 1.021118e+12
2.753484e+00 9.956660e+11
2.795747e+00 9.707640e+11
2.838658e+00 9.463993e+11
2.882229e+00 9.224882e+11
2.926468e+00 8.991846e+11
2.971386e+00 8.764327e+11
3.016993e+00 8.543758e+11
3.063300e+00 8.328352e+11
3.110319e+00 8.117996e+11
3.158058e+00 7.912578e+11
3.206531e+00 7.711988e+11
3.255748e+00 7.515658e+11
3.305720e+00 7.322573e+11
3.356459e+00 7.134087e+11
3.407977e+00 6.949884e+11
3.460285e+00 6.770669e+11
3.513397e+00 6.596327e+11
3.567323e+00 6.425957e+11
3.622078e+00 6.259600e+11
3.677673e+00 6.096662e+11
3.734121e+00 5.937220e+11
3.791435e+00 5.781637e+11
3.849630e+00 5.629826e+11
3.908717e+00 5.481611e+11
3.968711e+00 5.337085e+11
4.029627e+00 5.196073e+11
4.091477e+00 5.058715e+11
4.154276e+00 4.925009e+11
4.218040e+00 4.794447e+11
