# Energy(MeV) Phi_16_Planar Phi_84_Planar
1.000000e+00 3.646097e+09 4.668808e+09
1.013939e+00 3.574673e+09 4.581372e+09
1.028073e+00 3.506045e+09 4.495726e+09
1.042404e+00 3.438783e+09 4.414555e+09
1.056935e+00 3.372775e+09 4.330804e+09
1.071668e+00 3.308159e+09 4.248967e+09
1.086606e+00 3.244567e+09 4.172413e+09
1.101753e+00 3.181084e+09 4.093830e+09
1.117111e+00 3.119276e+09 4.016670e+09
1.132683e+00 3.055922e+09 3.940908e+09
1.148472e+00 2.994159e+09 3.866582e+09
1.164481e+00 2.936172e+09 3.793149e+09
1.180713e+00 2.880293e+09 3.722339e+09
1.197171e+00 2.825144e+09 3.652302e+09
1.213859e+00 2.769592e+09 3.583175e+09
1.230780e+00 2.715053e+09 3.515118e+09
1.247936e+00 2.663957e+09 3.447936e+09
1.265332e+00 2.611689e+09 3.383596e+09
1.282970e+00 2.559553e+09 3.320129e+09
1.300854e+00 2.509712e+09 3.257892e+09
1.318987e+00 2.460181e+09 3.194764e+09
1.337373e+00 2.411417e+09 3.132654e+09
1.356015e+00 2.364345e+09 3.071608e+09
1.374917e+00 2.318497e+09 3.011701e+09
1.394083e+00 2.273290e+09 2.952806e+09
1.413516e+00 2.228536e+09 2.895200e+09
1.433219e+00 2.184970e+09 2.838926e+09
1.453198e+00 2.142225e+09 2.785358e+09
1.473454e+00 2.100022e+09 2.733205e+09
1.493993e+00 2.058818e+09 2.681093e+09
1.514819e+00 2.018320e+09 2.630337e+09
1.535935e+00 1.978279e+09 2.580093e+09
1.557345e+00 1.937825e+09 2.530579e+09
1.579053e+00 1.900650e+09 2.481959e+09
1.601064e+00 1.862453e+09 2.434036e+09
1.623382e+00 1.824663e+09 2.386256e+09
1.646012e+00 1.787524e+09 2.340407e+09
1.668956e+00 1.751237e+09 2.295620e+09
1.692220e+00 1.715654e+09 2.251341e+09
1.715809e+00 1.680794e+09 2.207428e+09
1.739726e+00 1.646871e+09 2.164605e+09
1.763977e+00 1.613652e+09 2.122702e+09
1.788566e+00 1.581166e+09 2.081035e+09
1.813498e+00 1.549115e+09 2.040593e+09
1.838777e+00 1.517549e+09 2.001027e+09
1.864409e+00 1.486534e+09 1.962032e+09
1.890397e+00 1.456939e+09 1.922662e+09
1.916748e+00 1.427573e+09 1.884700e+09
1.943467e+00 1.398832e+09 1.848214e+09
1.970558e+00 1.370467e+09 1.810584e+09
1.998026e+00 1.342805e+09 1.774525e+09
2.025878e+00 1.315582e+09 1.739818e+09
2.054117e+00 1.289184e+09 1.705347e+09
2.082751e+00 1.262701e+09 1.672930e+09
2.111783e+00 1.237570e+09 1.640250e+09
2.141220e+00 1.213190e+09 1.607725e+09
2.171068e+00 1.189128e+09 1.574810e+09
2.201331e+00 1.164948e+09 1.542898e+09
2.232016e+00 1.140578e+09 1.512863e+09
2.263130e+00 1.116731e+09 1.481681e+09
2.294676e+00 1.093547e+09 1.452141e+09
2.326663e+00 1.071091e+09 1.422437e+09
2.359095e+00 1.049202e+09 1.394375e+09
2.391980e+00 1.027748e+09 1.366972e+09
2.425323e+00 1.006716e+09 1.338664e+09
2.459130e+00 9.860983e+08 1.311636e+09
2.493409e+00 9.662823e+08 1.285108e+09
2.528166e+00 9.466778e+08 1.259630e+09
2.563407e+00 9.270862e+08 1.234443e+09
2.599140e+00 9.078778e+08 1.209184e+09
2.635371e+00 8.890386e+08 1.183967e+09
2.672106e+00 8.706627e+08 1.158964e+09
2.709354e+00 8.524255e+08 1.134463e+09
2.747121e+00 8.347707e+08 1.112717e+09
2.785414e+00 8.173400e+08 1.090570e+09
2.824241e+00 8.004863e+08 1.068491e+09
2.863610e+00 7.837317e+08 1.046646e+09
2.903527e+00 7.674983e+08 1.025137e+09
2.944000e+00 7.509008e+08 1.004040e+09
2.985038e+00 7.351263e+08 9.837012e+08
3.026648e+00 7.193682e+08 9.639385e+08
3.068838e+00 7.041609e+08 9.434159e+08
3.111616e+00 6.892431e+08 9.232563e+08
3.154990e+00 6.741454e+08 9.039448e+08
3.198969e+00 6.597268e+08 8.845158e+08
3.243561e+00 6.456321e+08 8.654436e+08
3.288774e+00 6.321591e+08 8.473098e+08
3.334618e+00 6.186910e+08 8.299619e+08
3.381101e+00 6.056347e+08 8.124994e+08
3.428231e+00 5.926593e+08 7.962291e+08
3.476019e+00 5.800292e+08 7.799830e+08
3.524473e+00 5.678639e+08 7.636526e+08
3.573602e+00 5.553146e+08 7.475409e+08
3.623416e+00 5.433550e+08 7.317505e+08
3.673925e+00 5.314933e+08 7.160770e+08
3.725137e+00 5.200818e+08 7.001911e+08
3.777064e+00 5.088782e+08 6.853550e+08
3.829714e+00 4.978387e+08 6.701989e+08
3.883098e+00 4.869676e+08 6.565893e+08
3.937226e+00 4.763582e+08 6.434054e+08
3.992109e+00 4.660417e+08 6.289242e+08
4.047757e+00 4.561741e+08 6.153671e+08
4.104181e+00 4.462565e+08 6.024787e+08
4.161391e+00 4.365544e+08 5.894250e+08
4.219398e+00 4.269192e+08 5.770564e+08
4.278214e+00 4.173083e+08 5.640222e+08
4.337850e+00 4.079734e+08 5.506220e+08
4.398317e+00 3.990192e+08 5.376862e+08
4.459628e+00 3.899112e+08 5.256532e+08
4.521792e+00 3.813737e+08 5.142726e+08
4.584824e+00 3.728357e+08 5.029657e+08
4.648734e+00 3.642415e+08 4.912259e+08
4.713535e+00 3.556446e+08 4.799239e+08
4.779239e+00 3.473968e+08 4.693592e+08
4.845859e+00 3.384561e+08 4.588697e+08
4.913407e+00 3.305372e+08 4.490149e+08
4.981898e+00 3.233008e+08 4.391090e+08
5.051342e+00 3.155064e+08 4.291937e+08
5.121755e+00 3.074540e+08 4.199053e+08
5.193150e+00 2.999076e+08 4.103513e+08
5.265540e+00 2.930921e+08 4.007074e+08
5.338938e+00 2.861996e+08 3.916501e+08
5.413360e+00 2.792107e+08 3.828671e+08
5.488820e+00 2.723644e+08 3.743684e+08
5.565331e+00 2.656286e+08 3.660422e+08
5.642908e+00 2.590249e+08 3.577805e+08
5.721568e+00 2.526528e+08 3.496339e+08
5.801323e+00 2.466296e+08 3.416321e+08
5.882190e+00 2.406413e+08 3.335350e+08
5.964185e+00 2.346143e+08 3.257619e+08
6.047322e+00 2.291880e+08 3.179394e+08
6.131619e+00 2.238596e+08 3.107940e+08
6.217090e+00 2.186024e+08 3.034885e+08
6.303753e+00 2.132438e+08 2.961383e+08
6.391624e+00 2.082960e+08 2.891113e+08
6.480720e+00 2.031750e+08 2.822258e+08
6.571058e+00 1.976290e+08 2.757416e+08
6.662655e+00 1.921236e+08 2.691655e+08
6.755528e+00 1.870983e+08 2.628395e+08
6.849697e+00 1.818174e+08 2.566915e+08
6.945178e+00 1.772432e+08 2.501882e+08
7.041990e+00 1.728949e+08 2.442840e+08
7.140151e+00 1.684621e+08 2.385264e+08
7.239681e+00 1.641641e+08 2.327891e+08
7.340598e+00 1.601172e+08 2.271132e+08
7.442922e+00 1.563076e+08 2.212723e+08
7.546673e+00 1.525435e+08 2.157152e+08
7.651869e+00 1.488443e+08 2.105733e+08
7.758532e+00 1.449356e+08 2.055316e+08
7.866682e+00 1.413732e+08 2.005022e+08
7.976339e+00 1.375051e+08 1.956068e+08
8.087525e+00 1.340597e+08 1.908403e+08
8.200261e+00 1.306380e+08 1.861689e+08
8.314568e+00 1.275247e+08 1.816986e+08
8.430468e+00 1.244425e+08 1.771427e+08
8.547985e+00 1.213207e+08 1.726442e+08
8.667139e+00 1.176928e+08 1.682622e+08
8.787954e+00 1.147280e+08 1.641282e+08
8.910453e+00 1.116748e+08 1.598889e+08
9.034660e+00 1.088091e+08 1.558171e+08
9.160598e+00 1.060145e+08 1.518147e+08
9.288292e+00 1.033364e+08 1.478589e+08
9.417766e+00 1.005521e+08 1.439476e+08
9.549045e+00 9.802736e+07 1.402799e+08
9.682153e+00 9.559028e+07 1.365352e+08
9.817117e+00 9.316706e+07 1.328288e+08
9.953962e+00 9.052713e+07 1.294310e+08
1.009272e+01 8.793879e+07 1.261531e+08
1.023340e+01 8.539417e+07 1.229225e+08
1.037605e+01 8.313431e+07 1.196443e+08
1.052069e+01 8.055044e+07 1.166490e+08
1.066734e+01 7.806460e+07 1.135694e+08
1.081604e+01 7.578005e+07 1.105194e+08
1.096681e+01 7.366830e+07 1.075924e+08
1.111968e+01 7.131099e+07 1.046345e+08
1.127468e+01 6.929731e+07 1.017391e+08
1.143184e+01 6.748351e+07 9.896307e+07
1.159120e+01 6.539267e+07 9.624345e+07
1.175277e+01 6.337929e+07 9.365203e+07
1.191660e+01 6.140580e+07 9.103169e+07
1.208271e+01 5.976169e+07 8.857263e+07
1.225114e+01 5.799110e+07 8.618261e+07
1.242191e+01 5.618682e+07 8.372088e+07
1.259506e+01 5.448460e+07 8.126691e+07
1.277063e+01 5.296996e+07 7.903583e+07
1.294865e+01 5.149037e+07 7.683354e+07
1.312915e+01 4.990053e+07 7.457214e+07
1.331216e+01 4.819096e+07 7.246192e+07
1.349772e+01 4.660502e+07 7.025201e+07
1.368587e+01 4.520824e+07 6.836115e+07
1.387665e+01 4.389108e+07 6.626706e+07
1.407008e+01 4.259273e+07 6.444319e+07
1.426621e+01 4.126628e+07 6.256941e+07
1.446507e+01 3.998121e+07 6.074529e+07
1.466671e+01 3.879553e+07 5.908110e+07
1.487115e+01 3.761429e+07 5.737876e+07
1.507845e+01 3.648979e+07 5.577289e+07
1.528864e+01 3.534908e+07 5.406365e+07
1.550175e+01 3.422685e+07 5.235328e+07
1.571784e+01 3.317336e+07 5.084605e+07
1.593694e+01 3.216054e+07 4.934741e+07
1.615909e+01 3.114850e+07 4.792711e+07
1.638434e+01 3.013136e+07 4.650184e+07
1.661273e+01 2.918158e+07 4.509444e+07
1.684430e+01 2.822034e+07 4.368954e+07
1.707910e+01 2.730383e+07 4.233596e+07
1.731717e+01 2.634798e+07 4.100721e+07
1.755856e+01 2.545421e+07 3.973072e+07
1.780332e+01 2.457225e+07 3.849204e+07
1.805149e+01 2.376279e+07 3.731544e+07
1.830312e+01 2.299245e+07 3.621670e+07
1.855825e+01 2.224276e+07 3.505481e+07
1.881694e+01 2.147165e+07 3.388941e+07
1.907924e+01 2.071396e+07 3.287051e+07
1.934520e+01 2.008177e+07 3.189084e+07
1.961486e+01 1.944820e+07 3.090041e+07
1.988828e+01 1.878847e+07 2.989100e+07
2.016551e+01 1.819385e+07 2.893766e+07
2.044661e+01 1.759776e+07 2.794455e+07
2.073162e+01 1.702951e+07 2.697710e+07
2.102061e+01 1.645336e+07 2.604535e+07
2.131362e+01 1.593262e+07 2.521355e+07
2.161073e+01 1.540438e+07 2.437377e+07
2.191197e+01 1.489479e+07 2.357584e+07
2.221741e+01 1.439975e+07 2.279296e+07
2.252711e+01 1.391369e+07 2.203051e+07
2.284112e+01 1.342034e+07 2.129789e+07
2.315951e+01 1.300008e+07 2.062956e+07
2.348235e+01 1.253921e+07 1.993032e+07
2.380968e+01 1.208770e+07 1.925129e+07
2.414157e+01 1.165537e+07 1.866129e+07
2.447809e+01 1.123759e+07 1.805711e+07
2.481930e+01 1.085412e+07 1.744594e+07
2.516527e+01 1.048559e+07 1.682880e+07
2.551606e+01 1.014635e+07 1.625038e+07
2.587174e+01 9.827480e+06 1.566128e+07
2.623238e+01 9.506846e+06 1.511837e+07
2.659804e+01 9.154685e+06 1.460029e+07
2.696881e+01 8.827673e+06 1.405850e+07
2.734474e+01 8.528125e+06 1.355451e+07
2.772591e+01 8.244428e+06 1.307517e+07
2.811239e+01 7.965535e+06 1.260942e+07
2.850426e+01 7.691885e+06 1.215077e+07
2.890160e+01 7.415868e+06 1.171876e+07
2.930447e+01 7.144814e+06 1.130908e+07
2.971296e+01 6.899583e+06 1.093002e+07
3.012714e+01 6.666830e+06 1.056649e+07
3.054710e+01 6.416315e+06 1.017374e+07
3.097291e+01 6.211969e+06 9.791203e+06
3.140465e+01 6.011819e+06 9.438665e+06
3.184242e+01 5.804302e+06 9.085510e+06
3.228628e+01 5.596375e+06 8.780324e+06
3.273634e+01 5.398490e+06 8.474675e+06
3.319266e+01 5.202014e+06 8.163602e+06
3.365535e+01 5.014659e+06 7.851303e+06
3.412449e+01 4.834727e+06 7.560846e+06
3.460016e+01 4.671383e+06 7.289324e+06
3.508247e+01 4.499100e+06 7.040597e+06
3.557150e+01 4.344668e+06 6.774354e+06
3.606735e+01 4.184476e+06 6.529254e+06
3.657011e+01 4.042632e+06 6.301402e+06
3.707988e+01 3.894292e+06 6.070030e+06
3.759675e+01 3.746134e+06 5.842400e+06
3.812083e+01 3.611745e+06 5.631177e+06
3.865221e+01 3.478151e+06 5.424164e+06
3.919100e+01 3.354036e+06 5.225341e+06
