# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
1.000000e+00 1.458439e+10 1.867523e+10
1.013939e+00 1.429869e+10 1.832549e+10
1.028073e+00 1.402418e+10 1.798290e+10
1.042404e+00 1.375513e+10 1.765822e+10
1.056935e+00 1.349110e+10 1.732322e+10
1.071668e+00 1.323264e+10 1.699587e+10
1.086606e+00 1.297827e+10 1.668965e+10
1.101753e+00 1.272434e+10 1.637532e+10
1.117111e+00 1.247710e+10 1.606668e+10
1.132683e+00 1.222369e+10 1.576363e+10
1.148472e+00 1.197664e+10 1.546633e+10
1.164481e+00 1.174469e+10 1.517259e+10
1.180713e+00 1.152117e+10 1.488936e+10
1.197171e+00 1.130057e+10 1.460921e+10
1.213859e+00 1.107837e+10 1.433270e+10
1.230780e+00 1.086021e+10 1.406047e+10
1.247936e+00 1.065583e+10 1.379174e+10
1.265332e+00 1.044675e+10 1.353438e+10
1.282970e+00 1.023821e+10 1.328052e+10
1.300854e+00 1.003885e+10 1.303157e+10
1.318987e+00 9.840724e+09 1.277906e+10
1.337373e+00 9.645667e+09 1.253061e+10
1.356015e+00 9.457379e+09 1.228643e+10
1.374917e+00 9.273986e+09 1.204681e+10
1.394083e+00 9.093160e+09 1.181123e+10
1.413516e+00 8.914143e+09 1.158080e+10
1.433219e+00 8.739880e+09 1.135570e+10
1.453198e+00 8.568901e+09 1.114143e+10
1.473454e+00 8.400088e+09 1.093282e+10
1.493993e+00 8.235273e+09 1.072437e+10
1.514819e+00 8.073281e+09 1.052135e+10
1.535935e+00 7.913115e+09 1.032037e+10
1.557345e+00 7.751298e+09 1.012232e+10
1.579053e+00 7.602600e+09 9.927836e+09
1.601064e+00 7.449811e+09 9.736145e+09
1.623382e+00 7.298652e+09 9.545025e+09
1.646012e+00 7.150095e+09 9.361627e+09
1.668956e+00 7.004949e+09 9.182479e+09
1.692220e+00 6.862617e+09 9.005363e+09
1.715809e+00 6.723176e+09 8.829713e+09
1.739726e+00 6.587483e+09 8.658418e+09
1.763977e+00 6.454606e+09 8.490807e+09
1.788566e+00 6.324663e+09 8.324141e+09
1.813498e+00 6.196460e+09 8.162371e+09
1.838777e+00 6.070195e+09 8.004108e+09
1.864409e+00 5.946134e+09 7.848127e+09
1.890397e+00 5.827755e+09 7.690648e+09
1.916748e+00 5.710292e+09 7.538801e+09
1.943467e+00 5.595328e+09 7.392857e+09
1.970558e+00 5.481869e+09 7.242336e+09
1.998026e+00 5.371219e+09 7.098098e+09
2.025878e+00 5.262327e+09 6.959271e+09
2.054117e+00 5.156734e+09 6.821387e+09
2.082751e+00 5.050803e+09 6.691721e+09
2.111783e+00 4.950281e+09 6.560999e+09
2.141220e+00 4.852760e+09 6.430900e+09
2.171068e+00 4.756513e+09 6.299241e+09
2.201331e+00 4.659793e+09 6.171593e+09
2.232016e+00 4.562312e+09 6.051452e+09
2.263130e+00 4.466925e+09 5.926724e+09
2.294676e+00 4.374187e+09 5.808565e+09
2.326663e+00 4.284364e+09 5.689750e+09
2.359095e+00 4.196810e+09 5.577500e+09
2.391980e+00 4.110992e+09 5.467887e+09
2.425323e+00 4.026865e+09 5.354657e+09
2.459130e+00 3.944393e+09 5.246542e+09
2.493409e+00 3.865129e+09 5.140432e+09
2.528166e+00 3.786711e+09 5.038521e+09
2.563407e+00 3.708345e+09 4.937770e+09
2.599140e+00 3.631511e+09 4.836736e+09
2.635371e+00 3.556154e+09 4.735868e+09
2.672106e+00 3.482651e+09 4.635858e+09
2.709354e+00 3.409702e+09 4.537851e+09
2.747121e+00 3.339083e+09 4.450867e+09
2.785414e+00 3.269360e+09 4.362281e+09
2.824241e+00 3.201945e+09 4.273964e+09
