Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.9153e+04
1.5000e-03	0.0000e+00	4.9164e+04
2.0000e-03	0.0000e+00	4.9171e+04
2.5000e-03	0.0000e+00	4.9177e+04
3.0000e-03	0.0000e+00	4.9182e+04
3.5000e-03	0.0000e+00	4.9186e+04
4.0000e-03	0.0000e+00	4.9190e+04
4.5000e-03	0.0000e+00	4.9193e+04
5.0000e-03	0.0000e+00	4.9196e+04
5.5000e-03	0.0000e+00	4.9198e+04
6.0000e-03	0.0000e+00	4.9200e+04
6.5000e-03	0.0000e+00	4.9203e+04
7.0000e-03	0.0000e+00	4.9205e+04
7.5000e-03	0.0000e+00	4.9206e+04
8.0000e-03	0.0000e+00	4.9208e+04
8.5000e-03	0.0000e+00	4.9210e+04
9.0000e-03	0.0000e+00	4.9211e+04
9.5000e-03	0.0000e+00	4.9213e+04
1.0000e-02	0.0000e+00	4.9214e+04
1.5000e-02	0.0000e+00	4.9225e+04
2.0000e-02	0.0000e+00	4.9232e+04
2.5000e-02	0.0000e+00	4.9238e+04
3.0000e-02	0.0000e+00	4.9243e+04
3.5000e-02	0.0000e+00	4.9250e+04
4.0000e-02	0.0000e+00	4.9267e+04
4.5000e-02	0.0000e+00	4.9283e+04
5.0000e-02	1.7793e+11	4.9297e+04
5.1002e-02	1.7350e+11	4.9299e+04
5.2025e-02	1.6923e+11	4.9302e+04
5.3067e-02	1.6527e+11	4.9305e+04
5.4131e-02	1.6122e+11	4.9307e+04
5.5216e-02	1.5711e+11	4.9310e+04
5.6323e-02	1.5327e+11	4.9312e+04
5.7452e-02	1.4959e+11	4.9315e+04
5.8604e-02	1.4602e+11	4.9318e+04
5.9778e-02	1.4254e+11	4.9320e+04
6.0977e-02	1.3914e+11	4.9323e+04
6.2199e-02	1.3565e+11	4.9325e+04
6.3446e-02	1.3244e+11	4.9328e+04
6.4717e-02	1.2923e+11	4.9331e+04
6.6015e-02	1.2595e+11	4.9333e+04
6.7338e-02	1.2286e+11	4.9336e+04
6.8688e-02	1.1990e+11	4.9339e+04
7.0065e-02	1.1701e+11	4.9341e+04
7.1469e-02	1.1406e+11	4.9344e+04
7.2902e-02	1.1114e+11	4.9346e+04
7.4363e-02	1.0835e+11	4.9349e+04
7.5853e-02	1.0570e+11	4.9352e+04
7.7374e-02	1.0319e+11	4.9354e+04
7.8925e-02	1.0072e+11	4.9357e+04
8.0507e-02	9.8309e+10	4.9360e+04
8.2121e-02	9.5872e+10	4.9362e+04
8.3767e-02	9.3429e+10	4.9365e+04
8.5446e-02	9.1236e+10	4.9367e+04
8.7159e-02	8.9040e+10	4.9370e+04
8.8906e-02	8.6807e+10	4.9373e+04
9.0688e-02	8.4570e+10	4.9377e+04
9.2506e-02	8.2443e+10	4.9382e+04
9.4360e-02	8.0445e+10	4.9388e+04
9.6251e-02	7.8495e+10	4.9393e+04
9.8181e-02	7.6518e+10	4.9398e+04
1.0015e-01	7.4552e+10	4.9403e+04
1.0216e-01	7.2723e+10	4.9409e+04
1.0420e-01	7.0934e+10	4.9414e+04
1.0629e-01	6.9106e+10	4.9419e+04
1.0842e-01	6.7300e+10	4.9424e+04
1.1060e-01	6.5589e+10	4.9430e+04
1.1281e-01	6.3968e+10	4.9435e+04
1.1507e-01	6.2330e+10	4.9440e+04
1.1738e-01	6.0853e+10	4.9445e+04
1.1973e-01	5.9421e+10	4.9451e+04
1.2213e-01	5.7915e+10	4.9456e+04
1.2458e-01	5.6488e+10	4.9461e+04
1.2708e-01	5.5044e+10	4.9466e+04
1.2963e-01	5.3637e+10	4.9472e+04
1.3223e-01	5.2324e+10	4.9477e+04
1.3488e-01	5.1019e+10	4.9482e+04
1.3758e-01	4.9764e+10	4.9487e+04
1.4034e-01	4.8536e+10	4.9493e+04
1.4315e-01	4.7342e+10	4.9498e+04
1.4602e-01	4.6164e+10	4.9504e+04
1.4895e-01	4.5025e+10	4.9512e+04
1.5193e-01	4.3934e+10	4.9520e+04
1.5498e-01	4.2793e+10	4.9528e+04
1.5808e-01	4.1735e+10	4.9535e+04
1.6125e-01	4.0705e+10	4.9543e+04
1.6449e-01	3.9697e+10	4.9551e+04
1.6778e-01	3.8667e+10	4.9559e+04
1.7115e-01	3.7688e+10	4.9567e+04
1.7458e-01	3.6736e+10	4.9574e+04
1.7808e-01	3.5811e+10	4.9582e+04
1.8165e-01	3.4913e+10	4.9590e+04
1.8529e-01	3.4059e+10	4.9598e+04
1.8900e-01	3.3213e+10	4.9606e+04
1.9279e-01	3.2405e+10	4.9613e+04
1.9665e-01	3.1611e+10	4.9621e+04
2.0060e-01	3.0804e+10	4.9630e+04
2.0462e-01	3.0042e+10	4.9640e+04
2.0872e-01	2.9298e+10	4.9650e+04
2.1290e-01	2.8577e+10	4.9661e+04
2.1717e-01	2.7874e+10	4.9671e+04
2.2152e-01	2.7180e+10	4.9681e+04
2.2596e-01	2.6497e+10	4.9692e+04
2.3049e-01	2.5813e+10	4.9702e+04
2.3511e-01	2.5147e+10	4.9712e+04
2.3983e-01	2.4514e+10	4.9723e+04
2.4463e-01	2.3898e+10	4.9733e+04
2.4954e-01	2.3270e+10	4.9743e+04
2.5454e-01	2.2694e+10	4.9754e+04
2.5964e-01	2.2121e+10	4.9766e+04
2.6484e-01	2.1558e+10	4.9779e+04
2.7015e-01	2.1028e+10	4.9792e+04
2.7557e-01	2.0480e+10	4.9805e+04
2.8109e-01	1.9944e+10	4.9818e+04
2.8673e-01	1.9438e+10	4.9831e+04
2.9247e-01	1.8935e+10	4.9844e+04
2.9834e-01	1.8461e+10	4.9857e+04
3.0432e-01	1.8001e+10	4.9869e+04
3.1042e-01	1.7552e+10	4.9882e+04
3.1664e-01	1.7110e+10	4.9898e+04
3.2299e-01	1.6664e+10	4.9913e+04
3.2946e-01	1.6232e+10	4.9929e+04
3.3606e-01	1.5821e+10	4.9944e+04
3.4280e-01	1.5443e+10	4.9959e+04
3.4967e-01	1.5049e+10	4.9975e+04
3.5668e-01	1.4661e+10	4.9990e+04
3.6383e-01	1.4279e+10	5.0006e+04
3.7112e-01	1.3914e+10	5.0023e+04
3.7856e-01	1.3563e+10	5.0041e+04
3.8615e-01	1.3221e+10	5.0059e+04
3.9389e-01	1.2886e+10	5.0077e+04
4.0179e-01	1.2560e+10	5.0095e+04
4.0984e-01	1.2242e+10	5.0113e+04
4.1806e-01	1.1926e+10	5.0131e+04
4.2644e-01	1.1609e+10	5.0150e+04
4.3498e-01	1.1300e+10	5.0171e+04
4.4370e-01	1.0999e+10	5.0191e+04
4.5260e-01	1.0719e+10	5.0212e+04
4.6167e-01	1.0451e+10	5.0232e+04
4.7092e-01	1.0176e+10	5.0253e+04
4.8036e-01	9.9108e+09	5.0274e+04
4.8999e-01	9.6517e+09	5.0297e+04
4.9981e-01	9.3971e+09	5.0319e+04
5.0983e-01	9.1557e+09	5.0342e+04
5.2005e-01	8.9151e+09	5.0365e+04
5.3048e-01	8.6828e+09	5.0387e+04
5.4111e-01	8.4526e+09	5.0412e+04
5.5196e-01	8.2358e+09	5.0437e+04
5.6302e-01	8.0180e+09	5.0461e+04
5.7431e-01	7.8084e+09	5.0486e+04
5.8582e-01	7.5960e+09	5.0511e+04
5.9756e-01	7.3904e+09	5.0537e+04
6.0954e-01	7.1999e+09	5.0564e+04
6.2176e-01	7.0023e+09	5.0591e+04
6.3422e-01	6.8120e+09	5.0618e+04
6.4693e-01	6.6356e+09	5.0645e+04
6.5990e-01	6.4659e+09	5.0674e+04
6.7313e-01	6.2917e+09	5.0702e+04
6.8662e-01	6.1281e+09	5.0731e+04
7.0038e-01	5.9609e+09	5.0759e+04
7.1442e-01	5.8053e+09	5.0791e+04
7.2874e-01	5.6465e+09	5.0822e+04
7.4335e-01	5.4992e+09	5.0853e+04
7.5825e-01	5.3560e+09	5.0886e+04
