Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.6019e+04
1.5000e-03	0.0000e+00	5.6031e+04
2.0000e-03	0.0000e+00	5.6040e+04
2.5000e-03	0.0000e+00	5.6046e+04
3.0000e-03	0.0000e+00	5.6052e+04
3.5000e-03	0.0000e+00	5.6056e+04
4.0000e-03	0.0000e+00	5.6060e+04
4.5000e-03	0.0000e+00	5.6064e+04
5.0000e-03	0.0000e+00	5.6067e+04
5.5000e-03	0.0000e+00	5.6070e+04
6.0000e-03	0.0000e+00	5.6073e+04
6.5000e-03	0.0000e+00	5.6075e+04
7.0000e-03	0.0000e+00	5.6077e+04
7.5000e-03	0.0000e+00	5.6079e+04
8.0000e-03	0.0000e+00	5.6081e+04
8.5000e-03	0.0000e+00	5.6083e+04
9.0000e-03	0.0000e+00	5.6085e+04
9.5000e-03	0.0000e+00	5.6087e+04
1.0000e-02	0.0000e+00	5.6088e+04
1.5000e-02	0.0000e+00	5.6100e+04
2.0000e-02	0.0000e+00	5.6109e+04
2.5000e-02	0.0000e+00	5.6116e+04
3.0000e-02	0.0000e+00	5.6121e+04
3.5000e-02	0.0000e+00	5.6129e+04
4.0000e-02	0.0000e+00	5.6149e+04
4.5000e-02	0.0000e+00	5.6166e+04
5.0000e-02	2.0864e+11	5.6182e+04
5.1002e-02	2.0331e+11	5.6185e+04
5.2025e-02	1.9812e+11	5.6188e+04
5.3067e-02	1.9306e+11	5.6191e+04
5.4131e-02	1.8812e+11	5.6194e+04
5.5216e-02	1.8333e+11	5.6197e+04
5.6323e-02	1.7864e+11	5.6200e+04
5.7452e-02	1.7412e+11	5.6203e+04
5.8604e-02	1.6972e+11	5.6206e+04
5.9778e-02	1.6533e+11	5.6209e+04
6.0977e-02	1.6117e+11	5.6212e+04
6.2199e-02	1.5709e+11	5.6215e+04
6.3446e-02	1.5310e+11	5.6218e+04
6.4717e-02	1.4924e+11	5.6221e+04
6.6015e-02	1.4541e+11	5.6224e+04
6.7338e-02	1.4168e+11	5.6227e+04
6.8688e-02	1.3808e+11	5.6230e+04
7.0065e-02	1.3456e+11	5.6233e+04
7.1469e-02	1.3112e+11	5.6236e+04
7.2902e-02	1.2777e+11	5.6239e+04
7.4363e-02	1.2453e+11	5.6242e+04
7.5853e-02	1.2135e+11	5.6245e+04
7.7374e-02	1.1825e+11	5.6248e+04
7.8925e-02	1.1523e+11	5.6251e+04
8.0507e-02	1.1227e+11	5.6254e+04
8.2121e-02	1.0936e+11	5.6257e+04
8.3767e-02	1.0656e+11	5.6260e+04
8.5446e-02	1.0384e+11	5.6263e+04
8.7159e-02	1.0118e+11	5.6266e+04
8.8906e-02	9.8618e+10	5.6269e+04
9.0688e-02	9.6082e+10	5.6274e+04
9.2506e-02	9.3624e+10	5.6280e+04
9.4360e-02	9.1206e+10	5.6286e+04
9.6251e-02	8.8866e+10	5.6292e+04
9.8181e-02	8.6586e+10	5.6298e+04
1.0015e-01	8.4394e+10	5.6304e+04
1.0216e-01	8.2224e+10	5.6310e+04
1.0420e-01	8.0131e+10	5.6316e+04
1.0629e-01	7.8080e+10	5.6322e+04
1.0842e-01	7.6081e+10	5.6328e+04
1.1060e-01	7.4118e+10	5.6334e+04
1.1281e-01	7.2214e+10	5.6340e+04
