Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	9.1251e+04
1.5000e-03	0.0000e+00	9.1273e+04
2.0000e-03	0.0000e+00	9.1289e+04
2.5000e-03	0.0000e+00	9.1301e+04
3.0000e-03	0.0000e+00	9.1310e+04
3.5000e-03	0.0000e+00	9.1318e+04
4.0000e-03	0.0000e+00	9.1325e+04
4.5000e-03	0.0000e+00	9.1331e+04
5.0000e-03	0.0000e+00	9.1336e+04
5.5000e-03	0.0000e+00	9.1341e+04
6.0000e-03	0.0000e+00	9.1346e+04
6.5000e-03	0.0000e+00	9.1350e+04
7.0000e-03	0.0000e+00	9.1354e+04
7.5000e-03	0.0000e+00	9.1357e+04
8.0000e-03	0.0000e+00	9.1361e+04
8.5000e-03	0.0000e+00	9.1364e+04
9.0000e-03	0.0000e+00	9.1367e+04
9.5000e-03	0.0000e+00	9.1369e+04
1.0000e-02	0.0000e+00	9.1372e+04
1.5000e-02	0.0000e+00	9.1393e+04
2.0000e-02	0.0000e+00	9.1410e+04
2.5000e-02	0.0000e+00	9.1424e+04
3.0000e-02	0.0000e+00	9.1436e+04
3.5000e-02	0.0000e+00	9.1448e+04
4.0000e-02	0.0000e+00	9.1462e+04
4.5000e-02	0.0000e+00	9.1477e+04
5.0000e-02	7.1171e+11	9.1491e+04
5.1002e-02	6.9399e+11	9.1493e+04
5.2025e-02	6.7692e+11	9.1496e+04
5.3067e-02	6.6108e+11	9.1499e+04
5.4131e-02	6.4488e+11	9.1503e+04
5.5216e-02	6.2844e+11	9.1506e+04
5.6323e-02	6.1306e+11	9.1509e+04
5.7452e-02	5.9837e+11	9.1512e+04
5.8604e-02	5.8409e+11	9.1515e+04
5.9778e-02	5.7016e+11	9.1519e+04
6.0977e-02	5.5656e+11	9.1523e+04
6.2199e-02	5.4261e+11	9.1527e+04
6.3446e-02	5.2976e+11	9.1531e+04
6.4717e-02	5.1691e+11	9.1536e+04
6.6015e-02	5.0380e+11	9.1541e+04
6.7338e-02	4.9143e+11	9.1546e+04
6.8688e-02	4.7958e+11	9.1550e+04
7.0065e-02	4.6802e+11	9.1555e+04
7.1469e-02	4.5625e+11	9.1560e+04
7.2902e-02	4.4456e+11	9.1565e+04
7.4363e-02	4.3341e+11	9.1570e+04
7.5853e-02	4.2279e+11	9.1575e+04
7.7374e-02	4.1275e+11	9.1580e+04
7.8925e-02	4.0289e+11	9.1585e+04
8.0507e-02	3.9324e+11	9.1590e+04
8.2121e-02	3.8349e+11	9.1595e+04
8.3767e-02	3.7372e+11	9.1601e+04
8.5446e-02	3.6495e+11	9.1606e+04
8.7159e-02	3.5616e+11	9.1612e+04
8.8906e-02	3.4723e+11	9.1617e+04
9.0688e-02	3.3828e+11	9.1623e+04
9.2506e-02	3.2977e+11	9.1628e+04
9.4360e-02	3.2178e+11	9.1635e+04
9.6251e-02	3.1398e+11	9.1641e+04
9.8181e-02	3.0607e+11	9.1648e+04
1.0015e-01	2.9821e+11	9.1655e+04
1.0216e-01	2.9089e+11	9.1661e+04
1.0420e-01	2.8374e+11	9.1668e+04
1.0629e-01	2.7643e+11	9.1676e+04
1.0842e-01	2.6920e+11	9.1683e+04
1.1060e-01	2.6236e+11	9.1690e+04
1.1281e-01	2.5587e+11	9.1698e+04
1.1507e-01	2.4932e+11	9.1705e+04
1.1738e-01	2.4341e+11	9.1713e+04
1.1973e-01	2.3768e+11	9.1722e+04
1.2213e-01	2.3166e+11	9.1730e+04
1.2458e-01	2.2595e+11	9.1739e+04
1.2708e-01	2.2017e+11	9.1748e+04
1.2963e-01	2.1455e+11	9.1757e+04
1.3223e-01	2.0930e+11	9.1767e+04
1.3488e-01	2.0408e+11	9.1776e+04
1.3758e-01	1.9905e+11	9.1785e+04
1.4034e-01	1.9414e+11	9.1795e+04
1.4315e-01	1.8937e+11	9.1804e+04
1.4602e-01	1.8465e+11	9.1814e+04
1.4895e-01	1.8010e+11	9.1824e+04
1.5193e-01	1.7573e+11	9.1835e+04
1.5498e-01	1.7117e+11	9.1846e+04
1.5808e-01	1.6694e+11	9.1857e+04
1.6125e-01	1.6282e+11	9.1868e+04
1.6449e-01	1.5879e+11	9.1879e+04
1.6778e-01	1.5467e+11	9.1890e+04
1.7115e-01	1.5075e+11	9.1902e+04
1.7458e-01	1.4695e+11	9.1914e+04
1.7808e-01	1.4324e+11	9.1926e+04
1.8165e-01	1.3965e+11	9.1939e+04
1.8529e-01	1.3623e+11	9.1952e+04
1.8900e-01	1.3285e+11	9.1966e+04
1.9279e-01	1.2962e+11	9.1979e+04
1.9665e-01	1.2644e+11	9.1993e+04
2.0060e-01	1.2322e+11	9.2006e+04
2.0462e-01	1.2017e+11	9.2020e+04
2.0872e-01	1.1719e+11	9.2034e+04
2.1290e-01	1.1431e+11	9.2049e+04
2.1717e-01	1.1150e+11	9.2065e+04
2.2152e-01	1.0872e+11	9.2080e+04
2.2596e-01	1.0599e+11	9.2095e+04
2.3049e-01	1.0325e+11	9.2111e+04
2.3511e-01	1.0059e+11	9.2127e+04
2.3983e-01	9.8056e+10	9.2144e+04
2.4463e-01	9.5592e+10	9.2161e+04
2.4954e-01	9.3080e+10	9.2179e+04
2.5454e-01	9.0774e+10	9.2196e+04
2.5964e-01	8.8485e+10	9.2215e+04
2.6484e-01	8.6232e+10	9.2234e+04
2.7015e-01	8.4111e+10	9.2252e+04
2.7557e-01	8.1921e+10	9.2271e+04
2.8109e-01	7.9774e+10	9.2291e+04
2.8673e-01	7.7751e+10	9.2310e+04
2.9247e-01	7.5739e+10	9.2330e+04
2.9834e-01	7.3846e+10	9.2351e+04
3.0432e-01	7.2006e+10	9.2372e+04
3.1042e-01	7.0210e+10	9.2393e+04
3.1664e-01	6.8439e+10	9.2415e+04
3.2299e-01	6.6655e+10	9.2439e+04
3.2946e-01	6.4926e+10	9.2462e+04
3.3606e-01	6.3286e+10	9.2485e+04
3.4280e-01	6.1774e+10	9.2508e+04
3.4967e-01	6.0196e+10	9.2532e+04
3.5668e-01	5.8643e+10	9.2557e+04
3.6383e-01	5.7116e+10	9.2582e+04
3.7112e-01	5.5658e+10	9.2607e+04
3.7856e-01	5.4251e+10	9.2634e+04
3.8615e-01	5.2883e+10	9.2661e+04
3.9389e-01	5.1542e+10	9.2689e+04
4.0179e-01	5.0239e+10	9.2717e+04
4.0984e-01	4.8966e+10	9.2745e+04
4.1806e-01	4.7705e+10	9.2774e+04
4.2644e-01	4.6435e+10	9.2803e+04
4.3498e-01	4.5200e+10	9.2834e+04
4.4370e-01	4.3998e+10	9.2865e+04
4.5260e-01	4.2875e+10	9.2896e+04
4.6167e-01	4.1802e+10	9.2928e+04
4.7092e-01	4.0704e+10	9.2960e+04
4.8036e-01	3.9643e+10	9.2988e+04
4.8999e-01	3.8607e+10	9.3015e+04
4.9981e-01	3.7588e+10	9.3041e+04
5.0983e-01	3.6623e+10	9.3069e+04
5.2005e-01	3.5660e+10	9.3097e+04
5.3048e-01	3.4731e+10	9.3125e+04
5.4111e-01	3.3810e+10	9.3160e+04
5.5196e-01	3.2943e+10	9.3198e+04
5.6302e-01	3.2072e+10	9.3236e+04
5.7431e-01	3.1234e+10	9.3275e+04
5.8582e-01	3.0384e+10	9.3314e+04
5.9756e-01	2.9562e+10	9.3355e+04
6.0954e-01	2.8799e+10	9.3398e+04
6.2176e-01	2.8009e+10	9.3441e+04
6.3422e-01	2.7248e+10	9.3485e+04
6.4693e-01	2.6543e+10	9.3529e+04
6.5990e-01	2.5864e+10	9.3575e+04
6.7313e-01	2.5167e+10	9.3621e+04
6.8662e-01	2.4512e+10	9.3668e+04
7.0038e-01	2.3843e+10	9.3716e+04
7.1442e-01	2.3221e+10	9.3765e+04
7.2874e-01	2.2586e+10	9.3815e+04
7.4335e-01	2.1997e+10	9.3866e+04
7.5825e-01	2.1424e+10	9.3918e+04
