Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0373e+05
1.5000e-03	0.0000e+00	1.0375e+05
2.0000e-03	0.0000e+00	1.0377e+05
2.5000e-03	0.0000e+00	1.0379e+05
3.0000e-03	0.0000e+00	1.0380e+05
3.5000e-03	0.0000e+00	1.0381e+05
4.0000e-03	0.0000e+00	1.0381e+05
4.5000e-03	0.0000e+00	1.0382e+05
5.0000e-03	0.0000e+00	1.0383e+05
5.5000e-03	0.0000e+00	1.0383e+05
6.0000e-03	0.0000e+00	1.0384e+05
6.5000e-03	0.0000e+00	1.0384e+05
7.0000e-03	0.0000e+00	1.0385e+05
7.5000e-03	0.0000e+00	1.0385e+05
8.0000e-03	0.0000e+00	1.0385e+05
8.5000e-03	0.0000e+00	1.0386e+05
9.0000e-03	0.0000e+00	1.0386e+05
9.5000e-03	0.0000e+00	1.0386e+05
1.0000e-02	0.0000e+00	1.0387e+05
1.5000e-02	0.0000e+00	1.0389e+05
2.0000e-02	0.0000e+00	1.0391e+05
2.5000e-02	0.0000e+00	1.0393e+05
3.0000e-02	0.0000e+00	1.0394e+05
3.5000e-02	0.0000e+00	1.0395e+05
4.0000e-02	0.0000e+00	1.0397e+05
4.5000e-02	0.0000e+00	1.0399e+05
5.0000e-02	8.3454e+11	1.0400e+05
5.1002e-02	8.1324e+11	1.0400e+05
5.2025e-02	7.9249e+11	1.0401e+05
5.3067e-02	7.7226e+11	1.0401e+05
5.4131e-02	7.5250e+11	1.0402e+05
5.5216e-02	7.3333e+11	1.0402e+05
5.6323e-02	7.1456e+11	1.0402e+05
5.7452e-02	6.9646e+11	1.0403e+05
5.8604e-02	6.7890e+11	1.0403e+05
5.9778e-02	6.6130e+11	1.0403e+05
6.0977e-02	6.4467e+11	1.0404e+05
6.2199e-02	6.2836e+11	1.0404e+05
6.3446e-02	6.1239e+11	1.0405e+05
6.4717e-02	5.9696e+11	1.0405e+05
6.6015e-02	5.8162e+11	1.0406e+05
6.7338e-02	5.6673e+11	1.0406e+05
6.8688e-02	5.5230e+11	1.0407e+05
7.0065e-02	5.3825e+11	1.0408e+05
7.1469e-02	5.2447e+11	1.0408e+05
7.2902e-02	5.1109e+11	1.0409e+05
7.4363e-02	4.9810e+11	1.0409e+05
7.5853e-02	4.8540e+11	1.0410e+05
7.7374e-02	4.7299e+11	1.0410e+05
7.8925e-02	4.6091e+11	1.0411e+05
8.0507e-02	4.4907e+11	1.0411e+05
8.2121e-02	4.3744e+11	1.0412e+05
8.3767e-02	4.2623e+11	1.0413e+05
8.5446e-02	4.1538e+11	1.0413e+05
8.7159e-02	4.0470e+11	1.0414e+05
8.8906e-02	3.9447e+11	1.0415e+05
9.0688e-02	3.8433e+11	1.0415e+05
9.2506e-02	3.7449e+11	1.0416e+05
9.4360e-02	3.6482e+11	1.0417e+05
9.6251e-02	3.5546e+11	1.0417e+05
9.8181e-02	3.4634e+11	1.0418e+05
1.0015e-01	3.3758e+11	1.0419e+05
1.0216e-01	3.2889e+11	1.0420e+05
1.0420e-01	3.2052e+11	1.0420e+05
1.0629e-01	3.1232e+11	1.0421e+05
1.0842e-01	3.0432e+11	1.0422e+05
1.1060e-01	2.9647e+11	1.0423e+05
1.1281e-01	2.8885e+11	1.0424e+05
1.1507e-01	2.8156e+11	1.0425e+05
1.1738e-01	2.7432e+11	1.0425e+05
1.1973e-01	2.6738e+11	1.0426e+05
