# Energy(MeV) Phi16 Phi84
5.000000e-02 1.875624e+11 2.770638e+11
5.100225e-02 1.828838e+11 2.695937e+11
5.202458e-02 1.783518e+11 2.623103e+11
5.306741e-02 1.739524e+11 2.552650e+11
5.413114e-02 1.696643e+11 2.482089e+11
5.521620e-02 1.655085e+11 2.413310e+11
5.632300e-02 1.614619e+11 2.346459e+11
5.745199e-02 1.574948e+11 2.284172e+11
5.860361e-02 1.536068e+11 2.223535e+11
5.977832e-02 1.498426e+11 2.163443e+11
6.097657e-02 1.460529e+11 2.104144e+11
6.219884e-02 1.423939e+11 2.045644e+11
6.344561e-02 1.389321e+11 1.988244e+11
6.471737e-02 1.354842e+11 1.932666e+11
6.601463e-02 1.321215e+11 1.879240e+11
6.733789e-02 1.288739e+11 1.829496e+11
6.868767e-02 1.257424e+11 1.780617e+11
7.006451e-02 1.225304e+11 1.731765e+11
7.146895e-02 1.194428e+11 1.684236e+11
7.290154e-02 1.165306e+11 1.638009e+11
7.436284e-02 1.137361e+11 1.593038e+11
7.585344e-02 1.109093e+11 1.549471e+11
7.737392e-02 1.081081e+11 1.507161e+11
7.892487e-02 1.054923e+11 1.466005e+11
8.050691e-02 1.029669e+11 1.428388e+11
8.212067e-02 1.004974e+11 1.389585e+11
8.376677e-02 9.806248e+10 1.351314e+11
8.544587e-02 9.573391e+10 1.315176e+11
8.715862e-02 9.330402e+10 1.279412e+11
8.890571e-02 9.087270e+10 1.245160e+11
9.068782e-02 8.854039e+10 1.211931e+11
9.250565e-02 8.635153e+10 1.177765e+11
9.435992e-02 8.425133e+10 1.145810e+11
9.625136e-02 8.220261e+10 1.115298e+11
9.818071e-02 8.024708e+10 1.084458e+11
1.001487e-01 7.831793e+10 1.054470e+11
1.021562e-01 7.630272e+10 1.025310e+11
1.042039e-01 7.442070e+10 9.969547e+10
1.062927e-01 7.258946e+10 9.694406e+10
1.084233e-01 7.079370e+10 9.428112e+10
1.105966e-01 6.895724e+10 9.168717e+10
1.128135e-01 6.724206e+10 8.921389e+10
1.150749e-01 6.555660e+10 8.684029e+10
1.173816e-01 6.387071e+10 8.453385e+10
1.197345e-01 6.222823e+10 8.221172e+10
