# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-02 2.283990e+11
5.100225e-02 2.224034e+11
5.202458e-02 2.166998e+11
5.306741e-02 2.111041e+11
5.413114e-02 2.057436e+11
5.521620e-02 2.004179e+11
5.632300e-02 1.952144e+11
5.745199e-02 1.902257e+11
5.860361e-02 1.854621e+11
5.977832e-02 1.807256e+11
6.097657e-02 1.758389e+11
6.219884e-02 1.713102e+11
6.344561e-02 1.668766e+11
6.471737e-02 1.623780e+11
6.601463e-02 1.581309e+11
6.733789e-02 1.540886e+11
6.868767e-02 1.501602e+11
7.006451e-02 1.462509e+11
7.146895e-02 1.424611e+11
7.290154e-02 1.388004e+11
7.436284e-02 1.351880e+11
7.585344e-02 1.317353e+11
7.737392e-02 1.283455e+11
7.892487e-02 1.250390e+11
8.050691e-02 1.218311e+11
8.212067e-02 1.187008e+11
8.376677e-02 1.155569e+11
8.544587e-02 1.125245e+11
8.715862e-02 1.096398e+11
8.890571e-02 1.067755e+11
9.068782e-02 1.040136e+11
9.250565e-02 1.012983e+11
9.435992e-02 9.864937e+10
9.625136e-02 9.607065e+10
9.818071e-02 9.357380e+10
1.001487e-01 9.112618e+10
1.021562e-01 8.874649e+10
1.042039e-01 8.648359e+10
1.062927e-01 8.418297e+10
1.084233e-01 8.197423e+10
1.105966e-01 7.980272e+10
1.128135e-01 7.770201e+10
1.150749e-01 7.567609e+10
1.173816e-01 7.364765e+10
1.197345e-01 7.169733e+10
1.221345e-01 6.977375e+10
1.245827e-01 6.792674e+10
1.270800e-01 6.619265e+10
1.296273e-01 6.449653e+10
1.322256e-01 6.281211e+10
1.348761e-01 6.116308e+10
1.375797e-01 5.954600e+10
1.403374e-01 5.796572e+10
1.431505e-01 5.645478e+10
1.460199e-01 5.498576e+10
1.489469e-01 5.356087e+10
1.519325e-01 5.219893e+10
1.549780e-01 5.083974e+10
1.580845e-01 4.951818e+10
1.612533e-01 4.824613e+10
1.644856e-01 4.698715e+10
1.677827e-01 4.571887e+10
1.711459e-01 4.453634e+10
1.745765e-01 4.339262e+10
1.780759e-01 4.223864e+10
1.816454e-01 4.111743e+10
1.852865e-01 4.006425e+10
1.890005e-01 3.905042e+10
1.927890e-01 3.805306e+10
1.966535e-01 3.703711e+10
2.005954e-01 3.607760e+10
2.046163e-01 3.514238e+10
2.087178e-01 3.420290e+10
2.129015e-01 3.330802e+10
2.171691e-01 3.243784e+10
2.215223e-01 3.158560e+10
2.259627e-01 3.074618e+10
2.304921e-01 2.995354e+10
2.351123e-01 2.917764e+10
2.398251e-01 2.841845e+10
2.446324e-01 2.767280e+10
2.495360e-01 2.692920e+10
2.545379e-01 2.623220e+10
2.596401e-01 2.553606e+10
2.648446e-01 2.486755e+10
2.701534e-01 2.421039e+10
2.755686e-01 2.358544e+10
2.810923e-01 2.297328e+10
2.867268e-01 2.238210e+10
2.924742e-01 2.180161e+10
2.983368e-01 2.122414e+10
3.043170e-01 2.067377e+10
3.104170e-01 2.013887e+10
3.166393e-01 1.961923e+10
3.229863e-01 1.910247e+10
3.294605e-01 1.860132e+10
3.360645e-01 1.810012e+10
3.428009e-01 1.761741e+10
3.496723e-01 1.714256e+10
3.566815e-01 1.669837e+10
3.638311e-01 1.625724e+10
3.711241e-01 1.583595e+10
3.785633e-01 1.540774e+10
3.861515e-01 1.500199e+10
3.938919e-01 1.460175e+10
4.017874e-01 1.421559e+10
4.098412e-01 1.384609e+10
4.180565e-01 1.348629e+10
4.264364e-01 1.312840e+10
4.349843e-01 1.277990e+10
4.437035e-01 1.244338e+10
4.525975e-01 1.211193e+10
4.616698e-01 1.179446e+10
4.709239e-01 1.148550e+10
4.803635e-01 1.118251e+10
4.899924e-01 1.088958e+10
4.998143e-01 1.059138e+10
5.098330e-01 1.031803e+10
5.200526e-01 1.004163e+10
5.304770e-01 9.774468e+09
5.411103e-01 9.514354e+09
5.519569e-01 9.258507e+09
5.630208e-01 9.016087e+09
5.743065e-01 8.776662e+09
5.858184e-01 8.545416e+09
5.975611e-01 8.315613e+09
6.095392e-01 8.095237e+09
6.217573e-01 7.874374e+09
6.342204e-01 7.663683e+09
6.469333e-01 7.456354e+09
6.599011e-01 7.253506e+09
6.731287e-01 7.060183e+09
6.866215e-01 6.869366e+09
7.003848e-01 6.687223e+09
7.144240e-01 6.511170e+09
7.287445e-01 6.339110e+09
7.433522e-01 6.165187e+09
7.582526e-01 6.000919e+09
7.734517e-01 5.838614e+09
7.889555e-01 5.683798e+09
8.047701e-01 5.532010e+09
8.209016e-01 5.383700e+09
8.373565e-01 5.238312e+09
8.541413e-01 5.096254e+09
8.712625e-01 4.958704e+09
8.887268e-01 4.824212e+09
9.065413e-01 4.693337e+09
9.247129e-01 4.566879e+09
9.432487e-01 4.447238e+09
9.621560e-01 4.324484e+09
9.814423e-01 4.206304e+09
1.001115e+00 4.093424e+09
1.021183e+00 3.982428e+09
1.041652e+00 3.874077e+09
1.062532e+00 3.768639e+09
1.083830e+00 3.666725e+09
1.105556e+00 3.568158e+09
1.127716e+00 3.471869e+09
1.150321e+00 3.378541e+09
1.173379e+00 3.286745e+09
1.196900e+00 3.197609e+09
1.220892e+00 3.112387e+09
1.245364e+00 3.028773e+09
1.270327e+00 2.947066e+09
1.295791e+00 2.868393e+09
1.321765e+00 2.790882e+09
1.348260e+00 2.715447e+09
1.375286e+00 2.641859e+09
1.402853e+00 2.569854e+09
1.430973e+00 2.499768e+09
1.459657e+00 2.431777e+09
1.488916e+00 2.362677e+09
1.518761e+00 2.298178e+09
1.549204e+00 2.235128e+09
1.580258e+00 2.174287e+09
1.611934e+00 2.113714e+09
1.644245e+00 2.055487e+09
1.677204e+00 1.998783e+09
1.710823e+00 1.944296e+09
1.745117e+00 1.889971e+09
1.780097e+00 1.837269e+09
1.815779e+00 1.788013e+09
1.852176e+00 1.737939e+09
