# Energy(MeV) Phi16 Phi84
5.000000e-02 7.502498e+11 1.108255e+12
5.100225e-02 7.315353e+11 1.078375e+12
5.202458e-02 7.134073e+11 1.049241e+12
5.306741e-02 6.958096e+11 1.021060e+12
5.413114e-02 6.786570e+11 9.928356e+11
5.521620e-02 6.620339e+11 9.653241e+11
5.632300e-02 6.458477e+11 9.385837e+11
5.745199e-02 6.299790e+11 9.136688e+11
5.860361e-02 6.144272e+11 8.894142e+11
5.977832e-02 5.993703e+11 8.653772e+11
6.097657e-02 5.842116e+11 8.416577e+11
6.219884e-02 5.695754e+11 8.182577e+11
6.344561e-02 5.557285e+11 7.952978e+11
6.471737e-02 5.419366e+11 7.730663e+11
6.601463e-02 5.284861e+11 7.516962e+11
6.733789e-02 5.154957e+11 7.317983e+11
6.868767e-02 5.029696e+11 7.122470e+11
7.006451e-02 4.901218e+11 6.927059e+11
7.146895e-02 4.777712e+11 6.736943e+11
7.290154e-02 4.661224e+11 6.552038e+11
7.436284e-02 4.549444e+11 6.372153e+11
7.585344e-02 4.436371e+11 6.197885e+11
7.737392e-02 4.324326e+11 6.028645e+11
7.892487e-02 4.219692e+11 5.864020e+11
8.050691e-02 4.118678e+11 5.713551e+11
8.212067e-02 4.019898e+11 5.558342e+11
8.376677e-02 3.922499e+11 5.405257e+11
8.544587e-02 3.829356e+11 5.260703e+11
8.715862e-02 3.732161e+11 5.117647e+11
8.890571e-02 3.634908e+11 4.980641e+11
9.068782e-02 3.541616e+11 4.847723e+11
9.250565e-02 3.454061e+11 4.711060e+11
9.435992e-02 3.370053e+11 4.583240e+11
9.625136e-02 3.288105e+11 4.461190e+11
9.818071e-02 3.209883e+11 4.337834e+11
1.001487e-01 3.132717e+11 4.217882e+11
1.021562e-01 3.052109e+11 4.101241e+11
1.042039e-01 2.976828e+11 3.987819e+11
1.062927e-01 2.903578e+11 3.877763e+11
1.084233e-01 2.831748e+11 3.771245e+11
1.105966e-01 2.758290e+11 3.667487e+11
1.128135e-01 2.689682e+11 3.568556e+11
1.150749e-01 2.622264e+11 3.473612e+11
1.173816e-01 2.554828e+11 3.381354e+11
