# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 9.135959e+11
5.100225e-02 8.896137e+11
5.202458e-02 8.667994e+11
5.306741e-02 8.444166e+11
5.413114e-02 8.229745e+11
5.521620e-02 8.016717e+11
5.632300e-02 7.808576e+11
5.745199e-02 7.609027e+11
5.860361e-02 7.418485e+11
5.977832e-02 7.229025e+11
6.097657e-02 7.033558e+11
6.219884e-02 6.852407e+11
6.344561e-02 6.675063e+11
6.471737e-02 6.495121e+11
6.601463e-02 6.325237e+11
6.733789e-02 6.163545e+11
6.868767e-02 6.006409e+11
7.006451e-02 5.850037e+11
7.146895e-02 5.698444e+11
7.290154e-02 5.552018e+11
7.436284e-02 5.407520e+11
7.585344e-02 5.269412e+11
7.737392e-02 5.133822e+11
7.892487e-02 5.001559e+11
8.050691e-02 4.873244e+11
8.212067e-02 4.748034e+11
8.376677e-02 4.622276e+11
8.544587e-02 4.500978e+11
8.715862e-02 4.385592e+11
8.890571e-02 4.271019e+11
9.068782e-02 4.160543e+11
9.250565e-02 4.051934e+11
9.435992e-02 3.945975e+11
9.625136e-02 3.842826e+11
9.818071e-02 3.742952e+11
1.001487e-01 3.645047e+11
1.021562e-01 3.549859e+11
1.042039e-01 3.459344e+11
1.062927e-01 3.367319e+11
1.084233e-01 3.278969e+11
1.105966e-01 3.192109e+11
1.128135e-01 3.108081e+11
1.150749e-01 3.027044e+11
1.173816e-01 2.945906e+11
1.197345e-01 2.867893e+11
1.221345e-01 2.790950e+11
1.245827e-01 2.717070e+11
1.270800e-01 2.647706e+11
1.296273e-01 2.579861e+11
1.322256e-01 2.512484e+11
1.348761e-01 2.446523e+11
1.375797e-01 2.381840e+11
1.403374e-01 2.318629e+11
1.431505e-01 2.258191e+11
1.460199e-01 2.199430e+11
1.489469e-01 2.142435e+11
1.519325e-01 2.087957e+11
1.549780e-01 2.033590e+11
1.580845e-01 1.980727e+11
1.612533e-01 1.929845e+11
1.644856e-01 1.879486e+11
1.677827e-01 1.828755e+11
1.711459e-01 1.781454e+11
1.745765e-01 1.735705e+11
1.780759e-01 1.689546e+11
1.816454e-01 1.644697e+11
1.852865e-01 1.602570e+11
1.890005e-01 1.562017e+11
1.927890e-01 1.522122e+11
1.966535e-01 1.481484e+11
2.005954e-01 1.443104e+11
2.046163e-01 1.405695e+11
2.087178e-01 1.368116e+11
2.129015e-01 1.332321e+11
2.171691e-01 1.297514e+11
2.215223e-01 1.263424e+11
2.259627e-01 1.229847e+11
2.304921e-01 1.198142e+11
2.351123e-01 1.167106e+11
2.398251e-01 1.136738e+11
2.446324e-01 1.106912e+11
2.495360e-01 1.077168e+11
2.545379e-01 1.049288e+11
2.596401e-01 1.021443e+11
2.648446e-01 9.947019e+10
2.701534e-01 9.684154e+10
2.755686e-01 9.434174e+10
2.810923e-01 9.189312e+10
2.867268e-01 8.952842e+10
2.924742e-01 8.720645e+10
2.983368e-01 8.489655e+10
3.043170e-01 8.269510e+10
3.104170e-01 8.055547e+10
3.166393e-01 7.847692e+10
3.229863e-01 7.640986e+10
3.294605e-01 7.440527e+10
3.360645e-01 7.240049e+10
3.428009e-01 7.046964e+10
3.496723e-01 6.857025e+10
3.566815e-01 6.679348e+10
3.638311e-01 6.502898e+10
3.711241e-01 6.334380e+10
3.785633e-01 6.163098e+10
3.861515e-01 6.000797e+10
3.938919e-01 5.840701e+10
4.017874e-01 5.686237e+10
4.098412e-01 5.538437e+10
4.180565e-01 5.394514e+10
4.264364e-01 5.251362e+10
4.349843e-01 5.111961e+10
4.437035e-01 4.977350e+10
4.525975e-01 4.844771e+10
4.616698e-01 4.717786e+10
4.709239e-01 4.594201e+10
4.803635e-01 4.473006e+10
4.899924e-01 4.355834e+10
4.998143e-01 4.236551e+10
5.098330e-01 4.127210e+10
5.200526e-01 4.016654e+10
5.304770e-01 3.909787e+10
5.411103e-01 3.805742e+10
5.519569e-01 3.703403e+10
5.630208e-01 3.606435e+10
5.743065e-01 3.510665e+10
5.858184e-01 3.418166e+10
5.975611e-01 3.326245e+10
6.095392e-01 3.238095e+10
6.217573e-01 3.149750e+10
