# Energy(MeV) Phi16 Phi84
5.000000e-02 1.773439e+11 2.446770e+11
5.100225e-02 1.729128e+11 2.380516e+11
5.202458e-02 1.686883e+11 2.315804e+11
5.306741e-02 1.646043e+11 2.256225e+11
5.413114e-02 1.605532e+11 2.194913e+11
5.521620e-02 1.566458e+11 2.136564e+11
5.632300e-02 1.527925e+11 2.078222e+11
5.745199e-02 1.490590e+11 2.023060e+11
5.860361e-02 1.455270e+11 1.968793e+11
5.977832e-02 1.419927e+11 1.917321e+11
6.097657e-02 1.385212e+11 1.866982e+11
6.219884e-02 1.351871e+11 1.818403e+11
6.344561e-02 1.319455e+11 1.770995e+11
6.471737e-02 1.288014e+11 1.724396e+11
6.601463e-02 1.257257e+11 1.679572e+11
6.733789e-02 1.226631e+11 1.634984e+11
6.868767e-02 1.196974e+11 1.590473e+11
7.006451e-02 1.167998e+11 1.548469e+11
7.146895e-02 1.139564e+11 1.507684e+11
7.290154e-02 1.112071e+11 1.467620e+11
7.436284e-02 1.085373e+11 1.429114e+11
7.585344e-02 1.059254e+11 1.391307e+11
7.737392e-02 1.033964e+11 1.354726e+11
7.892487e-02 1.009549e+11 1.319220e+11
8.050691e-02 9.850421e+10 1.284567e+11
8.212067e-02 9.608609e+10 1.250774e+11
8.376677e-02 9.372532e+10 1.216945e+11
8.544587e-02 9.142674e+10 1.183658e+11
8.715862e-02 8.910347e+10 1.151986e+11
8.890571e-02 8.685598e+10 1.119312e+11
9.068782e-02 8.478110e+10 1.088434e+11
9.250565e-02 8.281494e+10 1.059696e+11
9.435992e-02 8.082874e+10 1.032834e+11
9.625136e-02 7.887474e+10 1.005264e+11
9.818071e-02 7.698627e+10 9.781970e+10
1.001487e-01 7.510001e+10 9.521379e+10
1.021562e-01 7.324406e+10 9.277406e+10
1.042039e-01 7.145662e+10 9.036716e+10
1.062927e-01 6.970489e+10 8.795595e+10
1.084233e-01 6.800281e+10 8.556464e+10
1.105966e-01 6.635069e+10 8.332120e+10
1.128135e-01 6.473325e+10 8.107696e+10
1.150749e-01 6.310774e+10 7.895225e+10
1.173816e-01 6.157723e+10 7.692925e+10
1.197345e-01 6.004926e+10 7.495573e+10
1.221345e-01 5.853628e+10 7.308085e+10
1.245827e-01 5.709856e+10 7.116490e+10
1.270800e-01 5.567722e+10 6.930028e+10
1.296273e-01 5.423093e+10 6.747808e+10
1.322256e-01 5.288175e+10 6.568045e+10
1.348761e-01 5.158569e+10 6.394023e+10
1.375797e-01 5.032303e+10 6.226190e+10
1.403374e-01 4.908409e+10 6.061441e+10
1.431505e-01 4.784747e+10 5.904947e+10
1.460199e-01 4.662699e+10 5.748555e+10
1.489469e-01 4.547401e+10 5.600922e+10
1.519325e-01 4.436480e+10 5.455562e+10
1.549780e-01 4.324113e+10 5.312676e+10
1.580845e-01 4.215470e+10 5.177402e+10
1.612533e-01 4.111232e+10 5.044547e+10
1.644856e-01 4.006108e+10 4.914914e+10
1.677827e-01 3.904393e+10 4.780136e+10
1.711459e-01 3.810975e+10 4.651025e+10
1.745765e-01 3.714401e+10 4.527017e+10
1.780759e-01 3.620116e+10 4.416124e+10
1.816454e-01 3.528833e+10 4.300404e+10
1.852865e-01 3.441298e+10 4.186953e+10
1.890005e-01 3.354864e+10 4.074582e+10
1.927890e-01 3.272168e+10 3.969451e+10
1.966535e-01 3.188876e+10 3.865370e+10
2.005954e-01 3.107852e+10 3.763368e+10
2.046163e-01 3.029156e+10 3.666897e+10
2.087178e-01 2.953850e+10 3.572356e+10
2.129015e-01 2.879290e+10 3.479734e+10
2.171691e-01 2.804611e+10 3.387177e+10
2.215223e-01 2.734369e+10 3.298437e+10
2.259627e-01 2.665456e+10 3.210758e+10
2.304921e-01 2.596158e+10 3.127220e+10
2.351123e-01 2.529026e+10 3.045453e+10
2.398251e-01 2.466148e+10 2.965154e+10
2.446324e-01 2.402658e+10 2.884529e+10
2.495360e-01 2.340817e+10 2.808680e+10
2.545379e-01 2.279531e+10 2.735323e+10
2.596401e-01 2.222041e+10 2.661690e+10
2.648446e-01 2.167450e+10 2.591017e+10
2.701534e-01 2.114425e+10 2.526578e+10
2.755686e-01 2.062276e+10 2.459658e+10
