# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-02 2.072569e+11
5.100225e-02 2.018877e+11
5.202458e-02 1.968871e+11
5.306741e-02 1.919234e+11
5.413114e-02 1.868477e+11
5.521620e-02 1.820077e+11
5.632300e-02 1.773480e+11
5.745199e-02 1.728450e+11
5.860361e-02 1.683760e+11
5.977832e-02 1.641020e+11
6.097657e-02 1.599780e+11
6.219884e-02 1.558989e+11
6.344561e-02 1.519337e+11
6.471737e-02 1.480858e+11
6.601463e-02 1.443495e+11
6.733789e-02 1.406807e+11
6.868767e-02 1.371150e+11
7.006451e-02 1.336206e+11
7.146895e-02 1.301667e+11
7.290154e-02 1.269025e+11
7.436284e-02 1.236767e+11
7.585344e-02 1.205677e+11
7.737392e-02 1.175035e+11
7.892487e-02 1.145146e+11
8.050691e-02 1.115760e+11
8.212067e-02 1.087450e+11
8.376677e-02 1.060084e+11
8.544587e-02 1.033248e+11
8.715862e-02 1.005675e+11
8.890571e-02 9.795584e+10
9.068782e-02 9.546376e+10
9.250565e-02 9.300579e+10
9.435992e-02 9.062315e+10
9.625136e-02 8.834472e+10
9.818071e-02 8.613480e+10
1.001487e-01 8.393718e+10
1.021562e-01 8.181202e+10
1.042039e-01 7.975490e+10
1.062927e-01 7.776755e+10
1.084233e-01 7.579938e+10
1.105966e-01 7.390221e+10
1.128135e-01 7.199635e+10
1.150749e-01 7.015795e+10
1.173816e-01 6.838779e+10
1.197345e-01 6.662780e+10
1.221345e-01 6.489013e+10
1.245827e-01 6.322349e+10
1.270800e-01 6.161843e+10
1.296273e-01 6.004083e+10
1.322256e-01 5.852031e+10
1.348761e-01 5.704495e+10
1.375797e-01 5.557608e+10
1.403374e-01 5.418356e+10
1.431505e-01 5.279414e+10
1.460199e-01 5.143935e+10
1.489469e-01 5.013120e+10
1.519325e-01 4.888699e+10
1.549780e-01 4.765057e+10
1.580845e-01 4.644503e+10
1.612533e-01 4.526073e+10
1.644856e-01 4.410572e+10
1.677827e-01 4.298719e+10
1.711459e-01 4.186839e+10
1.745765e-01 4.079833e+10
1.780759e-01 3.978246e+10
1.816454e-01 3.877970e+10
1.852865e-01 3.782598e+10
1.890005e-01 3.688379e+10
1.927890e-01 3.594124e+10
1.966535e-01 3.503187e+10
2.005954e-01 3.411662e+10
2.046163e-01 3.324927e+10
2.087178e-01 3.240533e+10
2.129015e-01 3.155735e+10
2.171691e-01 3.076071e+10
2.215223e-01 2.996566e+10
2.259627e-01 2.919250e+10
2.304921e-01 2.844037e+10
2.351123e-01 2.770552e+10
2.398251e-01 2.699708e+10
2.446324e-01 2.630971e+10
2.495360e-01 2.564315e+10
2.545379e-01 2.497437e+10
2.596401e-01 2.431887e+10
2.648446e-01 2.369516e+10
2.701534e-01 2.309501e+10
2.755686e-01 2.249506e+10
2.810923e-01 2.192085e+10
2.867268e-01 2.136363e+10
2.924742e-01 2.081042e+10
2.983368e-01 2.028501e+10
3.043170e-01 1.975612e+10
3.104170e-01 1.923691e+10
3.166393e-01 1.874277e+10
3.229863e-01 1.827868e+10
3.294605e-01 1.781177e+10
3.360645e-01 1.735157e+10
3.428009e-01 1.689400e+10
3.496723e-01 1.645875e+10
3.566815e-01 1.604591e+10
3.638311e-01 1.562446e+10
3.711241e-01 1.522125e+10
3.785633e-01 1.483024e+10
3.861515e-01 1.445615e+10
3.938919e-01 1.407900e+10
