# Energy(MeV) Phi16 Phi84
5.000000e-02 7.093754e+11 9.787078e+11
5.100225e-02 6.916513e+11 9.522063e+11
5.202458e-02 6.747531e+11 9.263215e+11
5.306741e-02 6.584171e+11 9.024900e+11
5.413114e-02 6.422130e+11 8.779652e+11
5.521620e-02 6.265833e+11 8.546257e+11
5.632300e-02 6.111700e+11 8.312888e+11
5.745199e-02 5.962360e+11 8.092238e+11
5.860361e-02 5.821078e+11 7.875172e+11
5.977832e-02 5.679709e+11 7.669285e+11
6.097657e-02 5.540849e+11 7.467930e+11
6.219884e-02 5.407482e+11 7.273612e+11
6.344561e-02 5.277820e+11 7.083981e+11
6.471737e-02 5.152056e+11 6.897585e+11
6.601463e-02 5.029028e+11 6.718286e+11
6.733789e-02 4.906525e+11 6.539935e+11
6.868767e-02 4.787898e+11 6.361892e+11
7.006451e-02 4.671993e+11 6.193876e+11
7.146895e-02 4.558254e+11 6.030735e+11
7.290154e-02 4.448284e+11 5.870479e+11
7.436284e-02 4.341493e+11 5.716456e+11
7.585344e-02 4.237016e+11 5.565228e+11
7.737392e-02 4.135856e+11 5.418906e+11
7.892487e-02 4.038197e+11 5.276879e+11
8.050691e-02 3.940168e+11 5.138268e+11
8.212067e-02 3.843444e+11 5.003097e+11
8.376677e-02 3.749013e+11 4.867778e+11
8.544587e-02 3.657069e+11 4.734631e+11
8.715862e-02 3.564139e+11 4.607945e+11
8.890571e-02 3.474239e+11 4.477249e+11
9.068782e-02 3.391244e+11 4.353734e+11
9.250565e-02 3.312598e+11 4.238784e+11
9.435992e-02 3.233150e+11 4.131336e+11
9.625136e-02 3.154990e+11 4.021057e+11
9.818071e-02 3.079451e+11 3.912788e+11
1.001487e-01 3.004000e+11 3.808552e+11
1.021562e-01 2.929762e+11 3.710962e+11
1.042039e-01 2.858265e+11 3.614686e+11
1.062927e-01 2.788196e+11 3.518238e+11
1.084233e-01 2.720113e+11 3.422586e+11
1.105966e-01 2.654028e+11 3.332848e+11
1.128135e-01 2.589330e+11 3.243078e+11
1.150749e-01 2.524310e+11 3.158090e+11
1.173816e-01 2.463089e+11 3.077170e+11
1.197345e-01 2.401970e+11 2.998229e+11
1.221345e-01 2.341451e+11 2.923234e+11
1.245827e-01 2.283942e+11 2.846596e+11
1.270800e-01 2.227089e+11 2.772011e+11
1.296273e-01 2.169237e+11 2.699123e+11
1.322256e-01 2.115270e+11 2.627218e+11
1.348761e-01 2.063428e+11 2.557609e+11
1.375797e-01 2.012921e+11 2.490476e+11
1.403374e-01 1.963364e+11 2.424577e+11
1.431505e-01 1.913899e+11 2.361979e+11
1.460199e-01 1.865079e+11 2.299422e+11
1.489469e-01 1.818960e+11 2.240369e+11
1.519325e-01 1.774592e+11 2.182225e+11
1.549780e-01 1.729645e+11 2.125070e+11
1.580845e-01 1.686188e+11 2.070961e+11
1.612533e-01 1.644493e+11 2.017819e+11
1.644856e-01 1.602443e+11 1.965965e+11
1.677827e-01 1.561757e+11 1.912054e+11
1.711459e-01 1.524390e+11 1.860410e+11
1.745765e-01 1.485760e+11 1.810807e+11
1.780759e-01 1.448046e+11 1.766450e+11
1.816454e-01 1.411533e+11 1.720162e+11
1.852865e-01 1.376519e+11 1.674781e+11
1.890005e-01 1.341946e+11 1.629833e+11
1.927890e-01 1.308867e+11 1.587781e+11
