# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-02 8.290277e+11
5.100225e-02 8.075509e+11
5.202458e-02 7.875483e+11
5.306741e-02 7.676934e+11
5.413114e-02 7.473907e+11
5.521620e-02 7.280307e+11
5.632300e-02 7.093918e+11
5.745199e-02 6.913799e+11
5.860361e-02 6.735040e+11
5.977832e-02 6.564079e+11
6.097657e-02 6.399120e+11
6.219884e-02 6.235957e+11
6.344561e-02 6.077347e+11
6.471737e-02 5.923433e+11
6.601463e-02 5.773981e+11
6.733789e-02 5.627229e+11
6.868767e-02 5.484600e+11
7.006451e-02 5.344825e+11
7.146895e-02 5.206666e+11
7.290154e-02 5.076099e+11
7.436284e-02 4.947070e+11
7.585344e-02 4.822708e+11
7.737392e-02 4.700141e+11
7.892487e-02 4.580585e+11
8.050691e-02 4.463042e+11
8.212067e-02 4.349801e+11
8.376677e-02 4.240336e+11
8.544587e-02 4.132993e+11
8.715862e-02 4.022698e+11
8.890571e-02 3.918234e+11
9.068782e-02 3.818550e+11
9.250565e-02 3.720232e+11
9.435992e-02 3.624926e+11
9.625136e-02 3.533789e+11
9.818071e-02 3.445392e+11
1.001487e-01 3.357487e+11
1.021562e-01 3.272481e+11
1.042039e-01 3.190196e+11
1.062927e-01 3.110702e+11
1.084233e-01 3.031975e+11
1.105966e-01 2.956088e+11
1.128135e-01 2.879854e+11
1.150749e-01 2.806318e+11
1.173816e-01 2.735512e+11
1.197345e-01 2.665112e+11
1.221345e-01 2.595605e+11
1.245827e-01 2.528940e+11
1.270800e-01 2.464737e+11
1.296273e-01 2.401633e+11
1.322256e-01 2.340813e+11
1.348761e-01 2.281798e+11
1.375797e-01 2.223043e+11
1.403374e-01 2.167342e+11
1.431505e-01 2.111766e+11
1.460199e-01 2.057574e+11
1.489469e-01 2.005248e+11
1.519325e-01 1.955480e+11
1.549780e-01 1.906023e+11
1.580845e-01 1.857801e+11
1.612533e-01 1.810429e+11
1.644856e-01 1.764229e+11
1.677827e-01 1.719488e+11
1.711459e-01 1.674735e+11
1.745765e-01 1.631933e+11
1.780759e-01 1.591298e+11
1.816454e-01 1.551188e+11
1.852865e-01 1.513039e+11
1.890005e-01 1.475352e+11
1.927890e-01 1.437649e+11
1.966535e-01 1.401275e+11
2.005954e-01 1.364665e+11
2.046163e-01 1.329971e+11
2.087178e-01 1.296213e+11
2.129015e-01 1.262294e+11
2.171691e-01 1.230428e+11
2.215223e-01 1.198626e+11
2.259627e-01 1.167700e+11
2.304921e-01 1.137615e+11
2.351123e-01 1.108221e+11
2.398251e-01 1.079883e+11
2.446324e-01 1.052388e+11
2.495360e-01 1.025726e+11
2.545379e-01 9.989747e+10
2.596401e-01 9.727549e+10
2.648446e-01 9.478064e+10
2.701534e-01 9.238004e+10
2.755686e-01 8.998024e+10
2.810923e-01 8.768342e+10
2.867268e-01 8.545452e+10
2.924742e-01 8.324170e+10
2.983368e-01 8.114003e+10
3.043170e-01 7.902449e+10
3.104170e-01 7.694765e+10
3.166393e-01 7.497108e+10
3.229863e-01 7.311471e+10
3.294605e-01 7.124708e+10
3.360645e-01 6.940628e+10
3.428009e-01 6.757598e+10
3.496723e-01 6.583500e+10
3.566815e-01 6.418364e+10
3.638311e-01 6.249786e+10
3.711241e-01 6.088501e+10
3.785633e-01 5.932097e+10
3.861515e-01 5.782462e+10
3.938919e-01 5.631602e+10
4.017874e-01 5.488097e+10
4.098412e-01 5.347137e+10
4.180565e-01 5.208375e+10
4.264364e-01 5.072024e+10
4.349843e-01 4.939703e+10
4.437035e-01 4.814251e+10
4.525975e-01 4.690574e+10
4.616698e-01 4.568760e+10
4.709239e-01 4.452769e+10
4.803635e-01 4.340383e+10
4.899924e-01 4.228181e+10
4.998143e-01 4.117046e+10
5.098330e-01 4.009657e+10
5.200526e-01 3.905982e+10
5.304770e-01 3.803384e+10
5.411103e-01 3.703225e+10
5.519569e-01 3.606714e+10
5.630208e-01 3.511365e+10
5.743065e-01 3.419630e+10
5.858184e-01 3.330539e+10
5.975611e-01 3.247401e+10
6.095392e-01 3.163564e+10
6.217573e-01 3.080872e+10
6.342204e-01 3.000356e+10
6.469333e-01 2.921638e+10
6.599011e-01 2.843696e+10
6.731287e-01 2.769289e+10
6.866215e-01 2.697578e+10
7.003848e-01 2.628030e+10
7.144240e-01 2.559298e+10
7.287445e-01 2.494646e+10
7.433522e-01 2.428966e+10
7.582526e-01 2.365148e+10
7.734517e-01 2.302298e+10
7.889555e-01 2.240891e+10
8.047701e-01 2.181545e+10
8.209016e-01 2.123920e+10
8.373565e-01 2.067334e+10
8.541413e-01 2.012435e+10
8.712625e-01 1.959451e+10
8.887268e-01 1.907216e+10
9.065413e-01 1.855555e+10
9.247129e-01 1.805839e+10
9.432487e-01 1.758374e+10
9.621560e-01 1.712022e+10
9.814423e-01 1.667147e+10
1.001115e+00 1.622874e+10
1.021183e+00 1.580158e+10
1.041652e+00 1.537653e+10
1.062532e+00 1.496516e+10
1.083830e+00 1.456284e+10
1.105556e+00 1.416783e+10
1.127716e+00 1.379621e+10
1.150321e+00 1.342336e+10
1.173379e+00 1.305890e+10
1.196900e+00 1.270214e+10
1.220892e+00 1.236435e+10
1.245364e+00 1.203676e+10
1.270327e+00 1.171229e+10
1.295791e+00 1.139296e+10
