# Energy(MeV) Phi16 Phi84
1.000000e+00 8.576721e+09 1.306753e+10
1.013939e+00 8.403759e+09 1.276908e+10
1.028073e+00 8.234243e+09 1.247979e+10
1.042404e+00 8.068105e+09 1.219785e+10
1.056935e+00 7.905277e+09 1.192252e+10
1.071668e+00 7.745694e+09 1.165347e+10
1.086606e+00 7.588653e+09 1.138988e+10
1.101753e+00 7.433089e+09 1.113277e+10
1.117111e+00 7.281378e+09 1.088113e+10
1.132683e+00 7.134300e+09 1.063473e+10
1.148472e+00 6.990152e+09 1.039495e+10
1.164481e+00 6.849003e+09 1.015910e+10
1.180713e+00 6.710695e+09 9.926304e+09
1.197171e+00 6.576767e+09 9.701196e+09
1.213859e+00 6.445577e+09 9.480982e+09
1.230780e+00 6.316198e+09 9.263468e+09
1.247936e+00 6.190895e+09 9.051060e+09
1.265332e+00 6.068021e+09 8.844134e+09
1.282970e+00 5.947757e+09 8.642072e+09
1.300854e+00 5.829939e+09 8.444580e+09
1.318987e+00 5.712368e+09 8.251554e+09
1.337373e+00 5.596706e+09 8.062895e+09
1.356015e+00 5.482808e+09 7.878504e+09
1.374917e+00 5.371187e+09 7.698031e+09
1.394083e+00 5.262199e+09 7.521508e+09
1.413516e+00 5.155483e+09 7.349703e+09
1.433219e+00 5.050891e+09 7.181758e+09
1.453198e+00 4.948380e+09 7.016371e+09
1.473454e+00 4.847910e+09 6.855271e+09
1.493993e+00 4.749541e+09 6.700408e+09
1.514819e+00 4.653966e+09 6.547070e+09
1.535935e+00 4.560021e+09 6.397160e+09
1.557345e+00 4.467912e+09 6.250641e+09
1.579053e+00 4.376459e+09 6.107435e+09
1.601064e+00 4.287499e+09 5.967468e+09
1.623382e+00 4.202028e+09 5.830668e+09
1.646012e+00 4.116951e+09 5.696880e+09
1.668956e+00 4.033556e+09 5.566023e+09
1.692220e+00 3.951809e+09 5.438477e+09
1.715809e+00 3.871679e+09 5.314319e+09
1.739726e+00 3.793134e+09 5.192980e+09
1.763977e+00 3.716143e+09 5.073913e+09
1.788566e+00 3.639557e+09 4.957527e+09
1.813498e+00 3.564011e+09 4.843558e+09
1.838777e+00 3.490003e+09 4.731886e+09
1.864409e+00 3.417501e+09 4.622127e+09
1.890397e+00 3.346476e+09 4.516780e+09
1.916748e+00 3.276780e+09 4.414140e+09
1.943467e+00 3.208494e+09 4.314214e+09
1.970558e+00 3.142919e+09 4.216292e+09
1.998026e+00 3.079407e+09 4.119822e+09
2.025878e+00 3.016010e+09 4.026228e+09
2.054117e+00 2.954188e+09 3.933899e+09
2.082751e+00 2.893458e+09 3.843649e+09
2.111783e+00 2.834037e+09 3.752097e+09
2.141220e+00 2.775309e+09 3.667471e+09
2.171068e+00 2.718473e+09 3.583519e+09
2.201331e+00 2.661583e+09 3.502508e+09
2.232016e+00 2.607531e+09 3.422132e+09
2.263130e+00 2.553809e+09 3.343904e+09
2.294676e+00 2.501108e+09 3.267327e+09
2.326663e+00 2.449465e+09 3.192533e+09
2.359095e+00 2.398858e+09 3.119323e+09
2.391980e+00 2.348274e+09 3.049314e+09
2.425323e+00 2.300137e+09 2.978320e+09
2.459130e+00 2.253055e+09 2.907463e+09
2.493409e+00 2.205536e+09 2.840086e+09
2.528166e+00 2.158933e+09 2.774169e+09
2.563407e+00 2.114155e+09 2.708832e+09
2.599140e+00 2.070490e+09 2.646123e+09
2.635371e+00 2.027876e+09 2.585159e+09
2.672106e+00 1.985180e+09 2.526467e+09
2.709354e+00 1.944829e+09 2.467397e+09
2.747121e+00 1.903911e+09 2.410030e+09
2.785414e+00 1.864192e+09 2.354317e+09
2.824241e+00 1.825263e+09 2.299451e+09
2.863610e+00 1.787215e+09 2.246860e+09
2.903527e+00 1.749950e+09 2.194178e+09
2.944000e+00 1.713192e+09 2.142047e+09
2.985038e+00 1.676819e+09 2.092357e+09
3.026648e+00 1.641831e+09 2.044712e+09
3.068838e+00 1.608066e+09 1.996445e+09
3.111616e+00 1.573972e+09 1.949636e+09
3.154990e+00 1.540497e+09 1.903624e+09
3.198969e+00 1.508191e+09 1.859483e+09
3.243561e+00 1.476037e+09 1.816839e+09
3.288774e+00 1.444696e+09 1.775214e+09
3.334618e+00 1.414248e+09 1.733203e+09
3.381101e+00 1.384574e+09 1.692732e+09
3.428231e+00 1.355457e+09 1.653724e+09
