# Energy(MeV) Phi16 Phi84
1.000000e+00 4.381782e+05 9.795414e+09
1.013939e+00 4.240649e+05 9.562155e+09
1.028073e+00 4.104069e+05 9.326921e+09
1.042404e+00 3.971893e+05 9.124450e+09
1.056935e+00 3.843981e+05 8.911361e+09
1.071668e+00 3.721993e+05 8.698280e+09
1.086606e+00 3.610658e+05 8.498393e+09
1.101753e+00 3.502659e+05 8.297725e+09
1.117111e+00 3.397895e+05 8.135310e+09
1.132683e+00 3.296271e+05 7.936153e+09
1.148472e+00 3.198623e+05 7.722459e+09
1.164481e+00 3.104277e+05 7.522913e+09
1.180713e+00 3.011165e+05 7.349001e+09
1.197171e+00 2.916724e+05 7.176507e+09
1.213859e+00 2.825245e+05 7.007931e+09
1.230780e+00 2.736637e+05 6.843183e+09
1.247936e+00 2.650809e+05 6.681215e+09
1.265332e+00 2.567673e+05 6.517780e+09
1.282970e+00 2.487145e+05 6.360007e+09
1.300854e+00 2.409143e+05 6.215738e+09
1.318987e+00 2.333785e+05 6.085201e+09
1.337373e+00 2.260944e+05 5.946696e+09
1.356015e+00 2.190729e+05 5.823804e+09
1.374917e+00 2.125918e+05 5.699036e+09
1.394083e+00 2.063278e+05 5.575469e+09
1.413516e+00 2.002717e+05 5.451638e+09
1.433219e+00 1.943935e+05 5.309877e+09
1.453198e+00 1.886878e+05 5.180107e+09
1.473454e+00 1.831496e+05 5.054617e+09
1.493993e+00 1.777739e+05 4.941527e+09
1.514819e+00 1.725561e+05 4.822512e+09
1.535935e+00 1.674914e+05 4.704073e+09
1.557345e+00 1.625754e+05 4.603064e+09
1.579053e+00 1.578038e+05 4.488565e+09
1.601064e+00 1.531722e+05 4.388989e+09
1.623382e+00 1.486765e+05 4.264342e+09
1.646012e+00 1.443128e+05 4.156128e+09
1.668956e+00 1.400772e+05 4.039155e+09
1.692220e+00 1.359660e+05 3.925377e+09
1.715809e+00 1.319754e+05 3.825876e+09
1.739726e+00 1.281019e+05 3.732923e+09
1.763977e+00 1.243422e+05 3.665766e+09
1.788566e+00 1.206928e+05 3.602711e+09
1.813498e+00 1.171506e+05 3.514005e+09
1.838777e+00 1.137123e+05 3.452914e+09
1.864409e+00 1.103604e+05 3.372041e+09
1.890397e+00 1.069507e+05 3.275442e+09
1.916748e+00 1.036464e+05 3.203077e+09
1.943467e+00 1.004442e+05 3.131494e+09
1.970558e+00 9.734092e+04 3.061419e+09
1.998026e+00 9.433353e+04 2.987992e+09
2.025878e+00 9.141907e+04 2.914096e+09
2.054117e+00 8.859467e+04 2.845870e+09
2.082751e+00 8.585753e+04 2.786643e+09
2.111783e+00 8.320497e+04 2.726365e+09
2.141220e+00 8.063436e+04 2.672615e+09
2.171068e+00 7.814319e+04 2.620927e+09
2.201331e+00 7.572899e+04 2.567734e+09
2.232016e+00 7.338938e+04 2.509507e+09
2.263130e+00 7.112774e+04 2.440727e+09
2.294676e+00 6.895710e+04 2.386714e+09
2.326663e+00 6.685280e+04 2.334780e+09
2.359095e+00 6.481282e+04 2.280176e+09
2.391980e+00 6.293410e+04 2.230525e+09
2.425323e+00 6.115387e+04 2.170193e+09
2.459130e+00 5.942409e+04 2.108353e+09
2.493409e+00 5.774332e+04 2.061107e+09
2.528166e+00 5.611018e+04 2.017249e+09
2.563407e+00 5.452331e+04 1.973886e+09
2.599140e+00 5.298140e+04 1.934749e+09
2.635371e+00 5.148318e+04 1.898022e+09
2.672106e+00 5.002739e+04 1.861859e+09
2.709354e+00 4.861528e+04 1.824884e+09
2.747121e+00 4.724749e+04 1.780969e+09
2.785414e+00 4.591822e+04 1.740506e+09
2.824241e+00 4.462639e+04 1.708029e+09
2.863610e+00 4.337093e+04 1.669984e+09
2.903527e+00 4.215083e+04 1.632643e+09
2.944000e+00 4.096508e+04 1.595163e+09
2.985038e+00 3.981272e+04 1.561942e+09
3.026648e+00 3.869280e+04 1.529019e+09
3.068838e+00 3.760442e+04 1.495929e+09
3.111616e+00 3.654668e+04 1.469718e+09
3.154990e+00 3.551872e+04 1.439341e+09
3.198969e+00 3.449073e+04 1.414026e+09
3.243561e+00 3.341630e+04 1.381011e+09
3.288774e+00 3.237535e+04 1.353183e+09
3.334618e+00 3.136683e+04 1.332259e+09
3.381101e+00 3.038973e+04 1.304715e+09
3.428231e+00 2.944307e+04 1.277047e+09
3.476019e+00 2.852591e+04 1.254196e+09
3.524473e+00 2.763733e+04 1.234011e+09
3.573602e+00 2.677643e+04 1.204979e+09
3.623416e+00 2.594235e+04 1.182113e+09
3.673925e+00 2.513426e+04 1.162420e+09
3.725137e+00 2.435134e+04 1.142497e+09
3.777064e+00 2.359282e+04 1.119928e+09
3.829714e+00 2.285793e+04 1.100663e+09
3.883098e+00 2.214593e+04 1.080534e+09
3.937226e+00 2.145611e+04 1.064852e+09
3.992109e+00 2.078779e+04 1.049867e+09
4.047757e+00 2.014249e+04 1.032990e+09
4.104181e+00 1.951803e+04 1.017761e+09
4.161391e+00 1.891293e+04 1.001405e+09
4.219398e+00 1.832660e+04 9.848037e+08
4.278214e+00 1.775847e+04 9.646014e+08
4.337850e+00 1.720795e+04 9.463639e+08
4.398317e+00 1.667451e+04 9.292570e+08
4.459628e+00 1.615762e+04 9.154943e+08
4.521792e+00 1.565677e+04 9.023114e+08
4.584824e+00 1.517144e+04 8.852665e+08
4.648734e+00 1.470117e+04 8.700861e+08
4.713535e+00 1.424549e+04 8.579271e+08
4.779239e+00 1.380394e+04 8.462056e+08
4.845859e+00 1.337609e+04 8.322729e+08
4.913407e+00 1.296150e+04 8.197173e+08
4.981898e+00 1.255977e+04 8.074561e+08
5.051342e+00 1.217051e+04 7.959424e+08
5.121755e+00 1.179331e+04 7.825809e+08
5.193150e+00 1.143103e+04 7.703875e+08
5.265540e+00 1.109332e+04 7.549789e+08
5.338938e+00 1.076559e+04 7.425017e+08
5.413360e+00 1.044755e+04 7.309982e+08
5.488820e+00 1.013892e+04 7.191680e+08
5.565331e+00 9.839406e+03 7.069960e+08
5.642908e+00 9.548749e+03 6.955959e+08
5.721568e+00 9.266684e+03 6.838955e+08
5.801323e+00 8.992956e+03 6.724417e+08
5.882190e+00 8.727320e+03 6.613633e+08
5.964185e+00 8.470431e+03 6.501565e+08
6.047322e+00 8.222800e+03 6.387921e+08
6.131619e+00 7.982409e+03 6.278013e+08
6.217090e+00 7.749045e+03 6.158397e+08
6.303753e+00 7.522504e+03 6.045892e+08
6.391624e+00 7.302586e+03 5.940054e+08
6.480720e+00 7.089096e+03 5.834589e+08
6.571058e+00 6.881849e+03 5.726016e+08
6.662655e+00 6.680660e+03 5.628115e+08
6.755528e+00 6.485353e+03 5.524192e+08
6.849697e+00 6.295755e+03 5.411466e+08
6.945178e+00 6.111701e+03 5.318155e+08
7.041990e+00 5.933027e+03 5.208552e+08
7.140151e+00 5.759577e+03 5.117858e+08
7.239681e+00 5.591197e+03 5.016948e+08
7.340598e+00 5.427741e+03 4.918418e+08
7.442922e+00 5.269062e+03 4.817651e+08
7.546673e+00 5.115023e+03 4.708147e+08
7.651869e+00 4.965487e+03 4.609130e+08
7.758532e+00 4.820323e+03 4.518701e+08
7.866682e+00 4.679402e+03 4.421607e+08
7.976339e+00 4.542602e+03 4.320684e+08
8.087525e+00 4.409801e+03 4.232237e+08
8.200261e+00 4.280882e+03 4.143392e+08
8.314568e+00 4.155732e+03 4.059577e+08
8.430468e+00 4.034240e+03 3.968516e+08
8.547985e+00 3.916301e+03 3.879778e+08
8.667139e+00 3.801809e+03 3.785607e+08
8.787954e+00 3.690665e+03 3.694145e+08
8.910453e+00 3.582770e+03 3.614749e+08
9.034660e+00 3.478029e+03 3.531185e+08
9.160598e+00 3.376350e+03 3.440327e+08
9.288292e+00 3.277518e+03 3.358750e+08
9.417766e+00 3.172062e+03 3.267514e+08
9.549045e+00 3.070003e+03 3.187555e+08
9.682153e+00 2.971233e+03 3.113392e+08
9.817117e+00 2.875645e+03 3.033969e+08
9.953962e+00 2.783136e+03 2.960533e+08
1.009272e+01 2.693607e+03 2.885099e+08
1.023340e+01 2.606963e+03 2.807450e+08
1.037605e+01 2.523109e+03 2.731677e+08
1.052069e+01 2.445416e+03 2.662886e+08
1.066734e+01 2.372222e+03 2.601846e+08
1.081604e+01 2.301222e+03 2.528857e+08
1.096681e+01 2.232350e+03 2.462537e+08
1.111968e+01 2.165544e+03 2.400538e+08
1.127468e+01 2.100739e+03 2.340068e+08
1.143184e+01 2.037877e+03 2.273960e+08
1.159120e+01 1.976899e+03 2.202129e+08
1.175277e+01 1.917749e+03 2.139040e+08
1.191660e+01 1.860371e+03 2.074979e+08
1.208271e+01 1.804713e+03 2.012236e+08
1.225114e+01 1.750723e+03 1.951206e+08
1.242191e+01 1.698350e+03 1.891425e+08
1.259506e+01 1.647546e+03 1.831501e+08
1.277063e+01 1.598694e+03 1.772251e+08
1.294865e+01 1.551501e+03 1.717781e+08
1.312915e+01 1.505700e+03 1.663693e+08
1.331216e+01 1.461252e+03 1.614395e+08
1.349772e+01 1.418117e+03 1.564440e+08
1.368587e+01 1.376254e+03 1.515312e+08
1.387665e+01 1.335628e+03 1.460794e+08
1.407008e+01 1.296363e+03 1.414209e+08
1.426621e+01 1.258692e+03 1.372399e+08
1.446507e+01 1.222117e+03 1.329767e+08
1.466671e+01 1.186605e+03 1.286867e+08
1.487115e+01 1.152126e+03 1.246003e+08
1.507845e+01 1.118650e+03 1.206015e+08
1.528864e+01 1.086147e+03 1.169097e+08
1.550175e+01 1.054589e+03 1.132300e+08
1.571784e+01 1.023949e+03 1.096198e+08
1.593694e+01 9.941995e+02 1.062849e+08
1.615909e+01 9.653153e+02 1.028330e+08
1.638434e+01 9.372709e+02 9.952120e+07
1.661273e+01 9.100420e+02 9.642273e+07
1.684430e+01 8.836047e+02 9.358058e+07
1.707910e+01 8.579360e+02 9.062895e+07
1.731717e+01 8.330136e+02 8.773927e+07
1.755856e+01 8.088158e+02 8.487904e+07
1.780332e+01 7.853215e+02 8.210915e+07
1.805149e+01 7.625102e+02 7.939723e+07
1.830312e+01 7.403620e+02 7.678301e+07
1.855825e+01 7.188577e+02 7.425294e+07
1.881694e+01 6.979785e+02 7.183763e+07
1.907924e+01 6.777062e+02 6.949946e+07
