# Energy(MeV) Planare_Pi_Fluence(cm^-2*MeV^-1)
1.000000e+00 1.889034e+09
1.013939e+00 1.883088e+09
1.028073e+00 1.877089e+09
1.042404e+00 1.870132e+09
1.056935e+00 1.862873e+09
1.071668e+00 1.855575e+09
1.086606e+00 1.848238e+09
1.101753e+00 1.840862e+09
1.117111e+00 1.832447e+09
1.132683e+00 1.823952e+09
1.148472e+00 1.814604e+09
1.164481e+00 1.803132e+09
1.180713e+00 1.790341e+09
1.197171e+00 1.777586e+09
1.213859e+00 1.765275e+09
1.230780e+00 1.756714e+09
1.247936e+00 1.748121e+09
1.265332e+00 1.741688e+09
1.282970e+00 1.736116e+09
1.300854e+00 1.729786e+09
1.318987e+00 1.720316e+09
1.337373e+00 1.710312e+09
1.356015e+00 1.698707e+09
1.374917e+00 1.685770e+09
1.394083e+00 1.674545e+09
1.413516e+00 1.665188e+09
1.433219e+00 1.655815e+09
1.453198e+00 1.646908e+09
1.473454e+00 1.638471e+09
1.493993e+00 1.629946e+09
1.514819e+00 1.620473e+09
1.535935e+00 1.611177e+09
1.557345e+00 1.602133e+09
1.579053e+00 1.589838e+09
1.601064e+00 1.579409e+09
1.623382e+00 1.567742e+09
1.646012e+00 1.558048e+09
1.668956e+00 1.546601e+09
1.692220e+00 1.536925e+09
1.715809e+00 1.527307e+09
1.739726e+00 1.512933e+09
1.763977e+00 1.504494e+09
1.788566e+00 1.496013e+09
1.813498e+00 1.484576e+09
1.838777e+00 1.474372e+09
1.864409e+00 1.465466e+09
1.890397e+00 1.455255e+09
1.916748e+00 1.443152e+09
1.943467e+00 1.431072e+09
1.970558e+00 1.421540e+09
1.998026e+00 1.412232e+09
2.025878e+00 1.404269e+09
2.054117e+00 1.393367e+09
2.082751e+00 1.383369e+09
2.111783e+00 1.372784e+09
2.141220e+00 1.360539e+09
2.171068e+00 1.349526e+09
2.201331e+00 1.339582e+09
2.232016e+00 1.329714e+09
2.263130e+00 1.316709e+09
2.294676e+00 1.306023e+09
2.326663e+00 1.292704e+09
2.359095e+00 1.283642e+09
2.391980e+00 1.274240e+09
2.425323e+00 1.261078e+09
2.459130e+00 1.246909e+09
2.493409e+00 1.232104e+09
2.528166e+00 1.219804e+09
2.563407e+00 1.206401e+09
2.599140e+00 1.191595e+09
2.635371e+00 1.180160e+09
2.672106e+00 1.163984e+09
2.709354e+00 1.150874e+09
2.747121e+00 1.138692e+09
2.785414e+00 1.117861e+09
2.824241e+00 1.102301e+09
2.863610e+00 1.086533e+09
2.903527e+00 1.073037e+09
2.944000e+00 1.061122e+09
2.985038e+00 1.050523e+09
3.026648e+00 1.036227e+09
3.068838e+00 1.022537e+09
3.111616e+00 1.012871e+09
3.154990e+00 1.001199e+09
3.198969e+00 9.884309e+08
3.243561e+00 9.767508e+08
3.288774e+00 9.603601e+08
3.334618e+00 9.465008e+08
3.381101e+00 9.312890e+08
3.428231e+00 9.208319e+08
3.476019e+00 9.087663e+08
3.524473e+00 8.942819e+08
3.573602e+00 8.806963e+08
3.623416e+00 8.634952e+08
3.673925e+00 8.454989e+08
3.725137e+00 8.328618e+08
3.777064e+00 8.200173e+08
3.829714e+00 8.068190e+08
3.883098e+00 7.930993e+08
3.937226e+00 7.814628e+08
3.992109e+00 7.678753e+08
4.047757e+00 7.539126e+08
4.104181e+00 7.412814e+08
4.161391e+00 7.295443e+08
4.219398e+00 7.189505e+08
4.278214e+00 7.057473e+08
4.337850e+00 6.925703e+08
4.398317e+00 6.846232e+08
4.459628e+00 6.778905e+08
4.521792e+00 6.648726e+08
4.584824e+00 6.531354e+08
4.648734e+00 6.431057e+08
4.713535e+00 6.296298e+08
4.779239e+00 6.159359e+08
4.845859e+00 6.041362e+08
4.913407e+00 5.924806e+08
4.981898e+00 5.815568e+08
5.051342e+00 5.721203e+08
5.121755e+00 5.606818e+08
5.193150e+00 5.508338e+08
5.265540e+00 5.391595e+08
5.338938e+00 5.310820e+08
5.413360e+00 5.174062e+08
5.488820e+00 5.065781e+08
5.565331e+00 4.965915e+08
5.642908e+00 4.858408e+08
5.721568e+00 4.750372e+08
5.801323e+00 4.641447e+08
5.882190e+00 4.532762e+08
5.964185e+00 4.421963e+08
6.047322e+00 4.315384e+08
6.131619e+00 4.217940e+08
6.217090e+00 4.136078e+08
6.303753e+00 4.044145e+08
