# Energy(MeV) Phi16 Phi84
1.000000e+00 1.752713e+06 3.918166e+10
1.013939e+00 1.696260e+06 3.824862e+10
1.028073e+00 1.641627e+06 3.730768e+10
1.042404e+00 1.588757e+06 3.649780e+10
1.056935e+00 1.537592e+06 3.564544e+10
1.071668e+00 1.488797e+06 3.479312e+10
1.086606e+00 1.444263e+06 3.399357e+10
1.101753e+00 1.401063e+06 3.319090e+10
1.117111e+00 1.359158e+06 3.254124e+10
1.132683e+00 1.318508e+06 3.174461e+10
1.148472e+00 1.279449e+06 3.088984e+10
1.164481e+00 1.241711e+06 3.009165e+10
1.180713e+00 1.204466e+06 2.939600e+10
1.197171e+00 1.166690e+06 2.870603e+10
1.213859e+00 1.130098e+06 2.803172e+10
1.230780e+00 1.094655e+06 2.737273e+10
1.247936e+00 1.060323e+06 2.672486e+10
1.265332e+00 1.027069e+06 2.607112e+10
1.282970e+00 9.948579e+05 2.544003e+10
1.300854e+00 9.636572e+05 2.486295e+10
1.318987e+00 9.335140e+05 2.434080e+10
1.337373e+00 9.043777e+05 2.378678e+10
1.356015e+00 8.762917e+05 2.329522e+10
1.374917e+00 8.503673e+05 2.279614e+10
1.394083e+00 8.253111e+05 2.230188e+10
1.413516e+00 8.010869e+05 2.180655e+10
1.433219e+00 7.775739e+05 2.123951e+10
1.453198e+00 7.547511e+05 2.072043e+10
1.473454e+00 7.325982e+05 2.021847e+10
1.493993e+00 7.110957e+05 1.976611e+10
1.514819e+00 6.902244e+05 1.929005e+10
1.535935e+00 6.699657e+05 1.881629e+10
1.557345e+00 6.503018e+05 1.841226e+10
1.579053e+00 6.312151e+05 1.795426e+10
1.601064e+00 6.126886e+05 1.755596e+10
1.623382e+00 5.947060e+05 1.705737e+10
1.646012e+00 5.772513e+05 1.662451e+10
1.668956e+00 5.603089e+05 1.615662e+10
1.692220e+00 5.438638e+05 1.570151e+10
1.715809e+00 5.279015e+05 1.530350e+10
1.739726e+00 5.124078e+05 1.493169e+10
1.763977e+00 4.973688e+05 1.466306e+10
1.788566e+00 4.827713e+05 1.441084e+10
1.813498e+00 4.686022e+05 1.405602e+10
1.838777e+00 4.548491e+05 1.381165e+10
1.864409e+00 4.414416e+05 1.348816e+10
1.890397e+00 4.278029e+05 1.310177e+10
1.916748e+00 4.145856e+05 1.281231e+10
1.943467e+00 4.017768e+05 1.252598e+10
1.970558e+00 3.893637e+05 1.224568e+10
1.998026e+00 3.773341e+05 1.195197e+10
2.025878e+00 3.656763e+05 1.165638e+10
2.054117e+00 3.543787e+05 1.138348e+10
2.082751e+00 3.434301e+05 1.114657e+10
2.111783e+00 3.328199e+05 1.090546e+10
2.141220e+00 3.225375e+05 1.069046e+10
2.171068e+00 3.125728e+05 1.048371e+10
2.201331e+00 3.029159e+05 1.027094e+10
2.232016e+00 2.935575e+05 1.003803e+10
2.263130e+00 2.845110e+05 9.762906e+09
2.294676e+00 2.758284e+05 9.546855e+09
2.326663e+00 2.674112e+05 9.339120e+09
2.359095e+00 2.592513e+05 9.120705e+09
2.391980e+00 2.517364e+05 8.922099e+09
2.425323e+00 2.446155e+05 8.680771e+09
2.459130e+00 2.376964e+05 8.433414e+09
2.493409e+00 2.309733e+05 8.244426e+09
2.528166e+00 2.244407e+05 8.068998e+09
2.563407e+00 2.180933e+05 7.895546e+09
2.599140e+00 2.119256e+05 7.738998e+09
2.635371e+00 2.059327e+05 7.592089e+09
2.672106e+00 2.001096e+05 7.447436e+09
2.709354e+00 1.944611e+05 7.299538e+09
2.747121e+00 1.889900e+05 7.123877e+09
2.785414e+00 1.836729e+05 6.962026e+09
2.824241e+00 1.785056e+05 6.832117e+09
2.863610e+00 1.734837e+05 6.679937e+09
2.903527e+00 1.686033e+05 6.530571e+09
2.944000e+00 1.638603e+05 6.380653e+09
2.985038e+00 1.592509e+05 6.247766e+09
3.026648e+00 1.547712e+05 6.116076e+09
3.068838e+00 1.504177e+05 5.983717e+09
3.111616e+00 1.461867e+05 5.878873e+09
3.154990e+00 1.420749e+05 5.757365e+09
3.198969e+00 1.379629e+05 5.656105e+09
3.243561e+00 1.336652e+05 5.524044e+09
3.288774e+00 1.295014e+05 5.412730e+09
3.334618e+00 1.254673e+05 5.329034e+09
3.381101e+00 1.215589e+05 5.218860e+09
3.428231e+00 1.177723e+05 5.108188e+09
3.476019e+00 1.141037e+05 5.016785e+09
3.524473e+00 1.105493e+05 4.936042e+09
3.573602e+00 1.071057e+05 4.819915e+09
3.623416e+00 1.037694e+05 4.728450e+09
3.673925e+00 1.005370e+05 4.649680e+09
3.725137e+00 9.740537e+04 4.569989e+09
3.777064e+00 9.437127e+04 4.479713e+09
3.829714e+00 9.143170e+04 4.402651e+09
3.883098e+00 8.858372e+04 4.322135e+09
3.937226e+00 8.582446e+04 4.259409e+09
3.992109e+00 8.315117e+04 4.199470e+09
4.047757e+00 8.056998e+04 4.131959e+09
4.104181e+00 7.807210e+04 4.071045e+09
4.161391e+00 7.565172e+04 4.005622e+09
4.219398e+00 7.330641e+04 3.939215e+09
4.278214e+00 7.103386e+04 3.858406e+09
4.337850e+00 6.883181e+04 3.785455e+09
4.398317e+00 6.669806e+04 3.717028e+09
4.459628e+00 6.463049e+04 3.661977e+09
4.521792e+00 6.262706e+04 3.609245e+09
4.584824e+00 6.068577e+04 3.541066e+09
4.648734e+00 5.880470e+04 3.480344e+09
4.713535e+00 5.698197e+04 3.431709e+09
4.779239e+00 5.521577e+04 3.384822e+09
4.845859e+00 5.350435e+04 3.329092e+09
4.913407e+00 5.184601e+04 3.278869e+09
4.981898e+00 5.023910e+04 3.229825e+09
5.051342e+00 4.868202e+04 3.183770e+09
5.121755e+00 4.717324e+04 3.130324e+09
5.193150e+00 4.572410e+04 3.081550e+09
5.265540e+00 4.437326e+04 3.019916e+09
5.338938e+00 4.306236e+04 2.970007e+09
5.413360e+00 4.179021e+04 2.923993e+09
5.488820e+00 4.055567e+04 2.876672e+09
5.565331e+00 3.935763e+04 2.827984e+09
5.642908e+00 3.819500e+04 2.782384e+09
5.721568e+00 3.706674e+04 2.735582e+09
5.801323e+00 3.597183e+04 2.689767e+09
5.882190e+00 3.490928e+04 2.645453e+09
5.964185e+00 3.388173e+04 2.600626e+09
6.047322e+00 3.289120e+04 2.555168e+09
6.131619e+00 3.192964e+04 2.511205e+09
6.217090e+00 3.099618e+04 2.463359e+09
6.303753e+00 3.009002e+04 2.418357e+09
6.391624e+00 2.921034e+04 2.376022e+09
6.480720e+00 2.835639e+04 2.333836e+09
6.571058e+00 2.752739e+04 2.290406e+09
6.662655e+00 2.672264e+04 2.251246e+09
6.755528e+00 2.594141e+04 2.209677e+09
6.849697e+00 2.518302e+04 2.164586e+09
6.945178e+00 2.444680e+04 2.127262e+09
7.041990e+00 2.373211e+04 2.083421e+09
7.140151e+00 2.303831e+04 2.047143e+09
7.239681e+00 2.236479e+04 2.006779e+09
7.340598e+00 2.171096e+04 1.967367e+09
7.442922e+00 2.107625e+04 1.927060e+09
7.546673e+00 2.046009e+04 1.883259e+09
7.651869e+00 1.986195e+04 1.843652e+09
7.758532e+00 1.928129e+04 1.807480e+09
7.866682e+00 1.871761e+04 1.768643e+09
7.976339e+00 1.817041e+04 1.728274e+09
8.087525e+00 1.763920e+04 1.692895e+09
8.200261e+00 1.712353e+04 1.657357e+09
8.314568e+00 1.662293e+04 1.623831e+09
8.430468e+00 1.613696e+04 1.587406e+09
8.547985e+00 1.566520e+04 1.551911e+09
8.667139e+00 1.520724e+04 1.514243e+09
8.787954e+00 1.476266e+04 1.477658e+09
8.910453e+00 1.433108e+04 1.445900e+09
9.034660e+00 1.391212e+04 1.412474e+09
9.160598e+00 1.350540e+04 1.376131e+09
9.288292e+00 1.311007e+04 1.343500e+09
9.417766e+00 1.268825e+04 1.307005e+09
9.549045e+00 1.228001e+04 1.275022e+09
9.682153e+00 1.188493e+04 1.245357e+09
9.817117e+00 1.150258e+04 1.213588e+09
9.953962e+00 1.113254e+04 1.184213e+09
1.009272e+01 1.077443e+04 1.154039e+09
1.023340e+01 1.042785e+04 1.122980e+09
1.037605e+01 1.009244e+04 1.092671e+09
1.052069e+01 9.781663e+03 1.065155e+09
1.066734e+01 9.488886e+03 1.040738e+09
1.081604e+01 9.204887e+03 1.011543e+09
1.096681e+01 8.929402e+03 9.850149e+08
1.111968e+01 8.662175e+03 9.602152e+08
1.127468e+01 8.402957e+03 9.360273e+08
1.143184e+01 8.151509e+03 9.095839e+08
1.159120e+01 7.907598e+03 8.808517e+08
1.175277e+01 7.670996e+03 8.556160e+08
1.191660e+01 7.441485e+03 8.299916e+08
1.208271e+01 7.218852e+03 8.048945e+08
1.225114e+01 7.002890e+03 7.804825e+08
1.242191e+01 6.793399e+03 7.565701e+08
1.259506e+01 6.590185e+03 7.326004e+08
1.277063e+01 6.394776e+03 7.089003e+08
1.294865e+01 6.206002e+03 6.871125e+08
1.312915e+01 6.022802e+03 6.654773e+08
1.331216e+01 5.845010e+03 6.457580e+08
1.349772e+01 5.672467e+03 6.257761e+08
1.368587e+01 5.505017e+03 6.061248e+08
1.387665e+01 5.342511e+03 5.843175e+08
1.407008e+01 5.185454e+03 5.656834e+08
1.426621e+01 5.034770e+03 5.489596e+08
1.446507e+01 4.888468e+03 5.319067e+08
1.466671e+01 4.746421e+03 5.147466e+08
1.487115e+01 4.608504e+03 4.984013e+08
1.507845e+01 4.474599e+03 4.824060e+08
1.528864e+01 4.344587e+03 4.676388e+08
1.550175e+01 4.218356e+03 4.529198e+08
1.571784e+01 4.095795e+03 4.384792e+08
1.593694e+01 3.976798e+03 4.251398e+08
1.615909e+01 3.861261e+03 4.113322e+08
1.638434e+01 3.749084e+03 3.980848e+08
1.661273e+01 3.640168e+03 3.856909e+08
1.684430e+01 3.534419e+03 3.743223e+08
1.707910e+01 3.431744e+03 3.625158e+08
1.731717e+01 3.332055e+03 3.509571e+08
1.755856e+01 3.235263e+03 3.395162e+08
1.780332e+01 3.141286e+03 3.284366e+08
1.805149e+01 3.050041e+03 3.175889e+08
1.830312e+01 2.961448e+03 3.071320e+08
1.855825e+01 2.875431e+03 2.970118e+08
1.881694e+01 2.791914e+03 2.873505e+08
1.907924e+01 2.710825e+03 2.779978e+08
1.934520e+01 2.634943e+03 2.689037e+08
1.961486e+01 2.562490e+03 2.605947e+08
1.988828e+01 2.492032e+03 2.521837e+08
2.016551e+01 2.423512e+03 2.438636e+08
2.044661e+01 2.356879e+03 2.362517e+08
2.073162e+01 2.292079e+03 2.287763e+08
2.102061e+01 2.229062e+03 2.216085e+08
2.131362e+01 2.167779e+03 2.147231e+08
2.161073e+01 2.108183e+03 2.076177e+08
2.191197e+01 2.050227e+03 2.012548e+08
2.221741e+01 1.993865e+03 1.951492e+08
2.252711e+01 1.939054e+03 1.891670e+08
2.284112e+01 1.885751e+03 1.833785e+08
2.315951e+01 1.833915e+03 1.775156e+08
2.348235e+01 1.783505e+03 1.718058e+08
2.380968e+01 1.734482e+03 1.663619e+08
2.414157e+01 1.686807e+03 1.608399e+08
2.447809e+01 1.640445e+03 1.554806e+08
2.481930e+01 1.594937e+03 1.505201e+08
2.516527e+01 1.548310e+03 1.456921e+08
2.551606e+01 1.503047e+03 1.411332e+08
2.587174e+01 1.459106e+03 1.366001e+08
2.623238e+01 1.416450e+03 1.322126e+08
2.659804e+01 1.375042e+03 1.279656e+08
2.696881e+01 1.334844e+03 1.238749e+08
2.734474e+01 1.295821e+03 1.200662e+08
2.772591e+01 1.257938e+03 1.162443e+08
2.811239e+01 1.221164e+03 1.125573e+08
2.850426e+01 1.185464e+03 1.088843e+08
2.890160e+01 1.150808e+03 1.055506e+08
2.930447e+01 1.117165e+03 1.021880e+08
2.971296e+01 1.084506e+03 9.911416e+07
3.012714e+01 1.052801e+03 9.601532e+07
3.054710e+01 1.022024e+03 9.301777e+07
3.097291e+01 9.921457e+02 9.008875e+07
3.140465e+01 9.631412e+02 8.728636e+07
3.184242e+01 9.349847e+02 8.446351e+07
3.228628e+01 9.076513e+02 8.180622e+07
3.273634e+01 8.811169e+02 7.920875e+07
3.319266e+01 8.553583e+02 7.669377e+07
3.365535e+01 8.303527e+02 7.446058e+07
3.412449e+01 8.060781e+02 7.213567e+07
3.460016e+01 7.825132e+02 6.994906e+07
3.508247e+01 7.596372e+02 6.771055e+07
3.557150e+01 7.374299e+02 6.533022e+07
3.606735e+01 7.158719e+02 6.323016e+07
3.657011e+01 6.949441e+02 6.122897e+07
3.707988e+01 6.746281e+02 5.923884e+07
3.759675e+01 6.549060e+02 5.736051e+07
3.812083e+01 6.357605e+02 5.551840e+07
3.865221e+01 6.171746e+02 5.372078e+07
3.919100e+01 5.991322e+02 5.206724e+07
3.973730e+01 5.816171e+02 5.041589e+07
4.029122e+01 5.646142e+02 4.887812e+07
4.085286e+01 5.481082e+02 4.734980e+07
4.142232e+01 5.320849e+02 4.580410e+07
4.199973e+01 5.165299e+02 4.425887e+07
4.258518e+01 5.014297e+02 4.283185e+07
4.317880e+01 4.867709e+02 4.147189e+07
4.378069e+01 4.725407e+02 4.022082e+07
4.439097e+01 4.587265e+02 3.900660e+07
4.500975e+01 4.453161e+02 3.782906e+07
4.563716e+01 4.322977e+02 3.668577e+07
4.627332e+01 4.196600e+02 3.547127e+07
4.691835e+01 4.073917e+02 3.434361e+07
4.757236e+01 3.954820e+02 3.326957e+07
4.823549e+01 3.839205e+02 3.225753e+07
4.890787e+01 3.726970e+02 3.125969e+07
4.958962e+01 3.617764e+02 3.029954e+07
5.028087e+01 3.506496e+02 2.933191e+07
5.098176e+01 3.398652e+02 2.838125e+07
5.169242e+01 3.294126e+02 2.745999e+07
5.241298e+01 3.192816e+02 2.658135e+07
5.314359e+01 3.094623e+02 2.574218e+07
5.388438e+01 2.999450e+02 2.492951e+07
5.463550e+01 2.907206e+02 2.414250e+07
5.539709e+01 2.817799e+02 2.338033e+07
5.616930e+01 2.731143e+02 2.263367e+07
5.695227e+01 2.647153e+02 2.191617e+07
5.774615e+01 2.565747e+02 2.123743e+07
5.855110e+01 2.483007e+02 2.059220e+07
5.936727e+01 2.399558e+02 1.991625e+07
6.019482e+01 2.318922e+02 1.928778e+07
6.103390e+01 2.241004e+02 1.872438e+07
6.188468e+01 2.165711e+02 1.817371e+07
6.274732e+01 2.092956e+02 1.759347e+07
6.362198e+01 2.022652e+02 1.703889e+07
6.450884e+01 1.960223e+02 1.652139e+07
6.540806e+01 1.902814e+02 1.602255e+07
6.631981e+01 1.847086e+02 1.552025e+07
6.724427e+01 1.793804e+02 1.501811e+07
6.818162e+01 1.742183e+02 1.455223e+07
6.913204e+01 1.692049e+02 1.408308e+07
7.009570e+01 1.643357e+02 1.362788e+07
7.107280e+01 1.596066e+02 1.318693e+07
7.206351e+01 1.550137e+02 1.276024e+07
7.306804e+01 1.505529e+02 1.236061e+07
7.408657e+01 1.462205e+02 1.197602e+07
7.511929e+01 1.417434e+02 1.160405e+07
7.616642e+01 1.373855e+02 1.123292e+07
7.722814e+01 1.331615e+02 1.087367e+07
7.830465e+01 1.290971e+02 1.052590e+07
7.939618e+01 1.252678e+02 1.019426e+07
8.050292e+01 1.215522e+02 9.869282e+06
8.162509e+01 1.179469e+02 9.563086e+06
8.276289e+01 1.144485e+02 9.266391e+06
8.391656e+01 1.110539e+02 8.978901e+06
8.508632e+01 1.077600e+02 8.700332e+06
8.627237e+01 1.045639e+02 8.426114e+06
8.747496e+01 1.014626e+02 8.161454e+06
8.869432e+01 9.845334e+01 7.911089e+06
8.993067e+01 9.553335e+01 7.664520e+06
9.118425e+01 9.270000e+01 7.419629e+06
9.245531e+01 8.995071e+01 7.183021e+06
9.374409e+01 8.728299e+01 6.955091e+06
