# Energy(MeV) Sferica_4Pi_Fluence(cm^-2*MeV^-1)
1.000000e+00 7.556135e+09
1.013939e+00 7.532352e+09
1.028073e+00 7.508358e+09
1.042404e+00 7.480527e+09
1.056935e+00 7.451491e+09
1.071668e+00 7.422300e+09
1.086606e+00 7.392953e+09
1.101753e+00 7.363448e+09
1.117111e+00 7.329787e+09
1.132683e+00 7.295809e+09
1.148472e+00 7.258416e+09
1.164481e+00 7.212527e+09
1.180713e+00 7.161366e+09
1.197171e+00 7.110346e+09
1.213859e+00 7.061100e+09
1.230780e+00 7.026855e+09
1.247936e+00 6.992485e+09
1.265332e+00 6.966750e+09
1.282970e+00 6.944464e+09
1.300854e+00 6.919144e+09
1.318987e+00 6.881265e+09
1.337373e+00 6.841247e+09
1.356015e+00 6.794828e+09
1.374917e+00 6.743081e+09
1.394083e+00 6.698180e+09
1.413516e+00 6.660752e+09
1.433219e+00 6.623259e+09
1.453198e+00 6.587631e+09
1.473454e+00 6.553884e+09
1.493993e+00 6.519784e+09
1.514819e+00 6.481893e+09
1.535935e+00 6.444708e+09
1.557345e+00 6.408532e+09
1.579053e+00 6.359353e+09
1.601064e+00 6.317635e+09
1.623382e+00 6.270968e+09
1.646012e+00 6.232190e+09
1.668956e+00 6.186404e+09
1.692220e+00 6.147700e+09
1.715809e+00 6.109227e+09
1.739726e+00 6.051731e+09
1.763977e+00 6.017977e+09
1.788566e+00 5.984050e+09
1.813498e+00 5.938304e+09
1.838777e+00 5.897489e+09
1.864409e+00 5.861863e+09
1.890397e+00 5.821020e+09
1.916748e+00 5.772609e+09
1.943467e+00 5.724290e+09
1.970558e+00 5.686159e+09
1.998026e+00 5.648926e+09
2.025878e+00 5.617077e+09
2.054117e+00 5.573468e+09
2.082751e+00 5.533475e+09
2.111783e+00 5.491136e+09
2.141220e+00 5.442155e+09
2.171068e+00 5.398105e+09
2.201331e+00 5.358326e+09
2.232016e+00 5.318858e+09
2.263130e+00 5.266838e+09
2.294676e+00 5.224090e+09
2.326663e+00 5.170817e+09
2.359095e+00 5.134570e+09
2.391980e+00 5.096959e+09
2.425323e+00 5.044312e+09
2.459130e+00 4.987636e+09
2.493409e+00 4.928414e+09
2.528166e+00 4.879216e+09
2.563407e+00 4.825603e+09
2.599140e+00 4.766382e+09
2.635371e+00 4.720640e+09
2.672106e+00 4.655936e+09
2.709354e+00 4.603496e+09
2.747121e+00 4.554767e+09
2.785414e+00 4.471444e+09
2.824241e+00 4.409204e+09
2.863610e+00 4.346132e+09
2.903527e+00 4.292147e+09
2.944000e+00 4.244488e+09
2.985038e+00 4.202093e+09
3.026648e+00 4.144908e+09
3.068838e+00 4.090149e+09
3.111616e+00 4.051483e+09
