# Energy(MeV) Phi16 Phi84
1.000000e+00 3.430688e+10 5.227012e+10
1.013939e+00 3.361504e+10 5.107633e+10
1.028073e+00 3.293697e+10 4.991917e+10
1.042404e+00 3.227242e+10 4.879142e+10
1.056935e+00 3.162111e+10 4.769009e+10
1.071668e+00 3.098278e+10 4.661387e+10
1.086606e+00 3.035461e+10 4.555951e+10
1.101753e+00 2.973236e+10 4.453109e+10
1.117111e+00 2.912551e+10 4.352452e+10
1.132683e+00 2.853720e+10 4.253892e+10
1.148472e+00 2.796061e+10 4.157982e+10
1.164481e+00 2.739601e+10 4.063639e+10
1.180713e+00 2.684278e+10 3.970522e+10
1.197171e+00 2.630707e+10 3.880479e+10
1.213859e+00 2.578231e+10 3.792393e+10
1.230780e+00 2.526479e+10 3.705387e+10
1.247936e+00 2.476358e+10 3.620424e+10
1.265332e+00 2.427208e+10 3.537653e+10
1.282970e+00 2.379103e+10 3.456829e+10
1.300854e+00 2.331976e+10 3.377832e+10
1.318987e+00 2.284947e+10 3.300622e+10
1.337373e+00 2.238683e+10 3.225158e+10
1.356015e+00 2.193123e+10 3.151401e+10
1.374917e+00 2.148475e+10 3.079212e+10
1.394083e+00 2.104880e+10 3.008603e+10
1.413516e+00 2.062193e+10 2.939881e+10
1.433219e+00 2.020356e+10 2.872703e+10
1.453198e+00 1.979352e+10 2.806548e+10
1.473454e+00 1.939164e+10 2.742108e+10
1.493993e+00 1.899816e+10 2.680163e+10
1.514819e+00 1.861586e+10 2.618828e+10
1.535935e+00 1.824008e+10 2.558864e+10
1.557345e+00 1.787165e+10 2.500256e+10
1.579053e+00 1.750584e+10 2.442974e+10
1.601064e+00 1.715000e+10 2.386987e+10
1.623382e+00 1.680811e+10 2.332267e+10
1.646012e+00 1.646780e+10 2.278752e+10
1.668956e+00 1.613422e+10 2.226409e+10
1.692220e+00 1.580724e+10 2.175391e+10
1.715809e+00 1.548672e+10 2.125728e+10
1.739726e+00 1.517254e+10 2.077192e+10
1.763977e+00 1.486457e+10 2.029565e+10
1.788566e+00 1.455823e+10 1.983011e+10
1.813498e+00 1.425604e+10 1.937423e+10
1.838777e+00 1.396001e+10 1.892755e+10
1.864409e+00 1.367001e+10 1.848851e+10
1.890397e+00 1.338590e+10 1.806712e+10
1.916748e+00 1.310712e+10 1.765656e+10
1.943467e+00 1.283398e+10 1.725685e+10
1.970558e+00 1.257168e+10 1.686517e+10
1.998026e+00 1.231763e+10 1.647929e+10
2.025878e+00 1.206404e+10 1.610491e+10
2.054117e+00 1.181675e+10 1.573560e+10
2.082751e+00 1.157383e+10 1.537460e+10
2.111783e+00 1.133615e+10 1.500839e+10
2.141220e+00 1.110124e+10 1.466988e+10
2.171068e+00 1.087389e+10 1.433408e+10
2.201331e+00 1.064633e+10 1.401003e+10
2.232016e+00 1.043012e+10 1.368853e+10
2.263130e+00 1.021524e+10 1.337562e+10
2.294676e+00 1.000443e+10 1.306931e+10
2.326663e+00 9.797859e+09 1.277013e+10
2.359095e+00 9.595432e+09 1.247729e+10
2.391980e+00 9.393095e+09 1.219726e+10
2.425323e+00 9.200547e+09 1.191328e+10
2.459130e+00 9.012218e+09 1.162985e+10
2.493409e+00 8.822142e+09 1.136034e+10
2.528166e+00 8.635733e+09 1.109668e+10
2.563407e+00 8.456620e+09 1.083533e+10
2.599140e+00 8.281960e+09 1.058449e+10
2.635371e+00 8.111505e+09 1.034064e+10
2.672106e+00 7.940720e+09 1.010587e+10
2.709354e+00 7.779318e+09 9.869590e+09
2.747121e+00 7.615644e+09 9.640122e+09
2.785414e+00 7.456768e+09 9.417269e+09
2.824241e+00 7.301053e+09 9.197804e+09
2.863610e+00 7.148859e+09 8.987440e+09
2.903527e+00 6.999801e+09 8.776711e+09
2.944000e+00 6.852769e+09 8.568188e+09
2.985038e+00 6.707277e+09 8.369427e+09
3.026648e+00 6.567324e+09 8.178848e+09
3.068838e+00 6.432266e+09 7.985780e+09
3.111616e+00 6.295889e+09 7.798543e+09
3.154990e+00 6.161989e+09 7.614496e+09
3.198969e+00 6.032762e+09 7.437932e+09
3.243561e+00 5.904147e+09 7.267358e+09
3.288774e+00 5.778782e+09 7.100855e+09
3.334618e+00 5.656991e+09 6.932811e+09
3.381101e+00 5.538295e+09 6.770927e+09
3.428231e+00 5.421830e+09 6.614896e+09
3.476019e+00 5.304960e+09 6.459202e+09
3.524473e+00 5.193054e+09 6.308079e+09
3.573602e+00 5.084435e+09 6.157415e+09
3.623416e+00 4.978326e+09 6.017032e+09
3.673925e+00 4.872798e+09 5.875804e+09
3.725137e+00 4.767481e+09 5.737508e+09
3.777064e+00 4.667021e+09 5.602697e+09
3.829714e+00 4.567128e+09 5.470971e+09
3.883098e+00 4.470195e+09 5.341271e+09
3.937226e+00 4.375319e+09 5.213882e+09
3.992109e+00 4.284307e+09 5.093663e+09
4.047757e+00 4.194423e+09 4.975997e+09
4.104181e+00 4.105318e+09 4.862017e+09
4.161391e+00 4.018069e+09 4.750523e+09
4.219398e+00 3.931389e+09 4.638373e+09
4.278214e+00 3.844984e+09 4.528030e+09
4.337850e+00 3.762733e+09 4.420481e+09
4.398317e+00 3.680827e+09 4.314354e+09
4.459628e+00 3.602145e+09 4.212151e+09
4.521792e+00 3.524577e+09 4.113178e+09
4.584824e+00 3.448363e+09 4.016194e+09
4.648734e+00 3.373768e+09 3.922986e+09
4.713535e+00 3.301126e+09 3.830418e+09
4.779239e+00 3.229270e+09 3.740730e+09
4.845859e+00 3.156297e+09 3.653563e+09
4.913407e+00 3.087199e+09 3.567874e+09
4.981898e+00 3.020073e+09 3.482938e+09
5.051342e+00 2.954900e+09 3.401662e+09
5.121755e+00 2.890831e+09 3.319528e+09
5.193150e+00 2.828468e+09 3.240765e+09
5.265540e+00 2.766802e+09 3.165238e+09
5.338938e+00 2.705634e+09 3.091025e+09
5.413360e+00 2.645938e+09 3.016989e+09
5.488820e+00 2.586205e+09 2.947342e+09
5.565331e+00 2.528564e+09 2.877785e+09
5.642908e+00 2.473002e+09 2.809074e+09
5.721568e+00 2.415789e+09 2.741895e+09
5.801323e+00 2.363041e+09 2.677399e+09
5.882190e+00 2.310707e+09 2.614073e+09
5.964185e+00 2.259879e+09 2.552566e+09
6.047322e+00 2.207319e+09 2.491414e+09
6.131619e+00 2.159199e+09 2.432725e+09
6.217090e+00 2.111002e+09 2.375819e+09
6.303753e+00 2.062457e+09 2.320522e+09
6.391624e+00 2.015316e+09 2.265726e+09
6.480720e+00 1.969296e+09 2.211106e+09
6.571058e+00 1.924342e+09 2.158613e+09
6.662655e+00 1.880147e+09 2.107145e+09
6.755528e+00 1.837034e+09 2.056693e+09
6.849697e+00 1.794883e+09 2.006992e+09
6.945178e+00 1.753609e+09 1.959119e+09
7.041990e+00 1.713906e+09 1.912830e+09
7.140151e+00 1.675804e+09 1.865172e+09
7.239681e+00 1.638017e+09 1.820597e+09
7.340598e+00 1.600321e+09 1.777036e+09
7.442922e+00 1.562362e+09 1.734731e+09
7.546673e+00 1.525958e+09 1.692959e+09
7.651869e+00 1.491077e+09 1.652007e+09
7.758532e+00 1.455776e+09 1.611586e+09
7.866682e+00 1.421068e+09 1.573269e+09
7.976339e+00 1.387354e+09 1.535499e+09
8.087525e+00 1.354247e+09 1.498492e+09
8.200261e+00 1.321945e+09 1.461955e+09
8.314568e+00 1.290346e+09 1.426078e+09
8.430468e+00 1.259930e+09 1.392140e+09
8.547985e+00 1.229602e+09 1.358191e+09
8.667139e+00 1.200260e+09 1.325127e+09
8.787954e+00 1.171051e+09 1.292274e+09
8.910453e+00 1.143188e+09 1.260264e+09
9.034660e+00 1.115247e+09 1.229105e+09
9.160598e+00 1.088448e+09 1.199205e+09
9.288292e+00 1.062610e+09 1.170247e+09
9.417766e+00 1.037187e+09 1.141613e+09
9.549045e+00 1.012349e+09 1.113595e+09
9.682153e+00 9.880394e+08 1.086508e+09
9.817117e+00 9.640686e+08 1.059337e+09
9.953962e+00 9.409617e+08 1.033262e+09
1.009272e+01 9.183606e+08 1.007913e+09
1.023340e+01 8.959035e+08 9.828757e+08
1.037605e+01 8.736284e+08 9.582616e+08
1.052069e+01 8.521595e+08 9.345928e+08
1.066734e+01 8.309036e+08 9.112568e+08
1.081604e+01 8.101211e+08 8.885255e+08
1.096681e+01 7.905161e+08 8.664318e+08
1.111968e+01 7.708163e+08 8.448537e+08
1.127468e+01 7.520355e+08 8.239383e+08
1.143184e+01 7.327970e+08 8.031737e+08
1.159120e+01 7.143493e+08 7.832145e+08
1.175277e+01 6.964477e+08 7.635761e+08
1.191660e+01 6.790516e+08 7.442048e+08
1.208271e+01 6.623667e+08 7.257512e+08
1.225114e+01 6.455981e+08 7.077761e+08
1.242191e+01 6.289999e+08 6.896947e+08
1.259506e+01 6.130952e+08 6.721447e+08
1.277063e+01 5.974438e+08 6.549901e+08
1.294865e+01 5.824992e+08 6.380464e+08
1.312915e+01 5.675255e+08 6.217485e+08
1.331216e+01 5.529399e+08 6.057819e+08
1.349772e+01 5.387324e+08 5.903164e+08
1.368587e+01 5.250672e+08 5.753029e+08
1.387665e+01 5.117688e+08 5.603981e+08
1.407008e+01 4.985596e+08 5.459516e+08
1.426621e+01 4.852879e+08 5.318460e+08
1.446507e+01 4.724989e+08 5.179123e+08
1.466671e+01 4.599441e+08 5.043438e+08
1.487115e+01 4.479582e+08 4.913810e+08
1.507845e+01 4.362873e+08 4.787443e+08
1.528864e+01 4.248452e+08 4.663242e+08
1.550175e+01 4.133753e+08 4.540198e+08
1.571784e+01 4.023570e+08 4.420585e+08
1.593694e+01 3.917811e+08 4.304132e+08
1.615909e+01 3.812537e+08 4.189072e+08
1.638434e+01 3.710038e+08 4.078591e+08
1.661273e+01 3.609109e+08 3.970304e+08
1.684430e+01 3.511782e+08 3.862493e+08
1.707910e+01 3.418063e+08 3.760394e+08
1.731717e+01 3.325976e+08 3.660614e+08
1.755856e+01 3.234873e+08 3.562487e+08
1.780332e+01 3.146775e+08 3.467231e+08
1.805149e+01 3.062597e+08 3.373995e+08
1.830312e+01 2.977421e+08 3.282093e+08
1.855825e+01 2.896352e+08 3.191088e+08
1.881694e+01 2.815210e+08 3.103357e+08
1.907924e+01 2.737291e+08 3.017628e+08
1.934520e+01 2.661077e+08 2.934825e+08
1.961486e+01 2.587075e+08 2.853324e+08
1.988828e+01 2.513920e+08 2.774107e+08
2.016551e+01 2.443083e+08 2.695773e+08
2.044661e+01 2.375217e+08 2.619333e+08
2.073162e+01 2.306916e+08 2.546032e+08
2.102061e+01 2.239280e+08 2.473780e+08
2.131362e+01 2.174625e+08 2.404754e+08
2.161073e+01 2.112016e+08 2.338055e+08
2.191197e+01 2.051785e+08 2.272413e+08
2.221741e+01 1.991492e+08 2.208055e+08
2.252711e+01 1.933242e+08 2.144070e+08
2.284112e+01 1.876980e+08 2.082637e+08
2.315951e+01 1.822711e+08 2.022878e+08
2.348235e+01 1.770360e+08 1.964621e+08
2.380968e+01 1.717906e+08 1.907700e+08
2.414157e+01 1.667967e+08 1.852129e+08
2.447809e+01 1.616593e+08 1.797747e+08
2.481930e+01 1.567906e+08 1.744863e+08
2.516527e+01 1.521312e+08 1.693203e+08
2.551606e+01 1.476631e+08 1.643469e+08
2.587174e+01 1.431278e+08 1.595359e+08
2.623238e+01 1.387409e+08 1.547534e+08
2.659804e+01 1.344699e+08 1.501580e+08
2.696881e+01 1.303091e+08 1.455971e+08
2.734474e+01 1.263465e+08 1.412580e+08
2.772591e+01 1.224391e+08 1.368932e+08
2.811239e+01 1.185205e+08 1.327022e+08
2.850426e+01 1.147903e+08 1.286125e+08
2.890160e+01 1.112389e+08 1.245870e+08
2.930447e+01 1.077838e+08 1.206889e+08
2.971296e+01 1.043038e+08 1.169759e+08
3.012714e+01 1.009404e+08 1.133572e+08
3.054710e+01 9.777011e+07 1.098421e+08
3.097291e+01 9.462995e+07 1.064191e+08
3.140465e+01 9.160766e+07 1.030986e+08
3.184242e+01 8.868206e+07 9.987806e+07
3.228628e+01 8.589791e+07 9.672519e+07
3.273634e+01 8.313549e+07 9.365627e+07
3.319266e+01 8.040660e+07 9.068275e+07
3.365535e+01 7.777498e+07 8.778253e+07
3.412449e+01 7.520096e+07 8.497015e+07
3.460016e+01 7.271825e+07 8.222914e+07
3.508247e+01 7.033925e+07 7.955004e+07
3.557150e+01 6.800139e+07 7.697000e+07
3.606735e+01 6.568294e+07 7.443459e+07
3.657011e+01 6.338192e+07 7.200187e+07
3.707988e+01 6.123397e+07 6.962005e+07
3.759675e+01 5.916710e+07 6.729451e+07
3.812083e+01 5.714959e+07 6.502721e+07
3.865221e+01 5.515409e+07 6.284139e+07
3.919100e+01 5.324279e+07 6.073628e+07
3.973730e+01 5.141828e+07 5.870092e+07
4.029122e+01 4.960288e+07 5.671473e+07
4.085286e+01 4.787157e+07 5.473890e+07
4.142232e+01 4.616075e+07 5.281883e+07
4.199973e+01 4.452031e+07 5.097600e+07
4.258518e+01 4.294039e+07 4.920446e+07
4.317880e+01 4.139475e+07 4.748197e+07
4.378069e+01 3.991730e+07 4.581795e+07
4.439097e+01 3.844483e+07 4.418628e+07
4.500975e+01 3.702843e+07 4.260433e+07
4.563716e+01 3.562072e+07 4.107141e+07
4.627332e+01 3.426944e+07 3.959365e+07
4.691835e+01 3.298345e+07 3.815007e+07
4.757236e+01 3.176962e+07 3.676798e+07
4.823549e+01 3.054606e+07 3.541584e+07
4.890787e+01 2.934901e+07 3.411731e+07
