# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 1.058353e+10
1.013939e+00 1.035985e+10
1.028073e+00 1.013744e+10
1.042404e+00 9.919749e+09
1.056935e+00 9.706690e+09
1.071668e+00 9.498270e+09
1.086606e+00 9.292143e+09
1.101753e+00 9.087383e+09
1.117111e+00 8.889815e+09
1.132683e+00 8.697483e+09
1.148472e+00 8.509268e+09
1.164481e+00 8.325719e+09
1.180713e+00 8.148739e+09
1.197171e+00 7.975470e+09
1.213859e+00 7.805835e+09
1.230780e+00 7.635427e+09
1.247936e+00 7.468668e+09
1.265332e+00 7.306049e+09
1.282970e+00 7.147208e+09
1.300854e+00 6.995314e+09
1.318987e+00 6.842888e+09
1.337373e+00 6.694740e+09
1.356015e+00 6.554638e+09
1.374917e+00 6.414453e+09
1.394083e+00 6.275561e+09
1.413516e+00 6.135541e+09
1.433219e+00 6.005075e+09
1.453198e+00 5.877263e+09
1.473454e+00 5.751977e+09
1.493993e+00 5.626233e+09
1.514819e+00 5.502104e+09
1.535935e+00 5.381932e+09
1.557345e+00 5.263764e+09
1.579053e+00 5.148788e+09
1.601064e+00 5.036251e+09
1.623382e+00 4.928674e+09
1.646012e+00 4.823843e+09
1.668956e+00 4.723509e+09
1.692220e+00 4.619281e+09
1.715809e+00 4.518658e+09
1.739726e+00 4.421080e+09
1.763977e+00 4.323186e+09
1.788566e+00 4.229291e+09
1.813498e+00 4.136536e+09
1.838777e+00 4.045901e+09
1.864409e+00 3.959112e+09
1.890397e+00 3.870126e+09
1.916748e+00 3.784293e+09
1.943467e+00 3.702471e+09
1.970558e+00 3.623088e+09
1.998026e+00 3.544500e+09
2.025878e+00 3.469513e+09
2.054117e+00 3.396526e+09
2.082751e+00 3.323331e+09
2.111783e+00 3.250581e+09
2.141220e+00 3.181446e+09
2.171068e+00 3.112322e+09
2.201331e+00 3.045675e+09
2.232016e+00 2.980913e+09
2.263130e+00 2.916931e+09
2.294676e+00 2.852716e+09
2.326663e+00 2.789709e+09
2.359095e+00 2.728062e+09
2.391980e+00 2.667747e+09
2.425323e+00 2.608735e+09
2.459130e+00 2.550229e+09
2.493409e+00 2.494431e+09
2.528166e+00 2.439924e+09
2.563407e+00 2.386222e+09
2.599140e+00 2.334165e+09
2.635371e+00 2.282174e+09
2.672106e+00 2.232560e+09
2.709354e+00 2.182885e+09
2.747121e+00 2.133270e+09
2.785414e+00 2.087334e+09
2.824241e+00 2.043420e+09
2.863610e+00 1.998301e+09
2.903527e+00 1.955166e+09
2.944000e+00 1.912112e+09
2.985038e+00 1.870257e+09
3.026648e+00 1.826857e+09
3.068838e+00 1.785234e+09
3.111616e+00 1.745763e+09
3.154990e+00 1.706536e+09
3.198969e+00 1.668248e+09
3.243561e+00 1.630828e+09
3.288774e+00 1.596042e+09
3.334618e+00 1.561629e+09
3.381101e+00 1.526797e+09
3.428231e+00 1.492666e+09
3.476019e+00 1.458957e+09
3.524473e+00 1.426733e+09
3.573602e+00 1.395769e+09
3.623416e+00 1.364698e+09
3.673925e+00 1.334845e+09
3.725137e+00 1.304876e+09
3.777064e+00 1.275949e+09
3.829714e+00 1.247088e+09
3.883098e+00 1.218954e+09
3.937226e+00 1.191815e+09
3.992109e+00 1.164517e+09
4.047757e+00 1.138296e+09
4.104181e+00 1.112652e+09
4.161391e+00 1.087081e+09
4.219398e+00 1.062321e+09
4.278214e+00 1.038911e+09
4.337850e+00 1.015397e+09
4.398317e+00 9.924293e+08
4.459628e+00 9.688651e+08
4.521792e+00 9.469467e+08
4.584824e+00 9.259040e+08
4.648734e+00 9.050472e+08
4.713535e+00 8.848070e+08
4.779239e+00 8.651874e+08
4.845859e+00 8.447299e+08
4.913407e+00 8.255444e+08
4.981898e+00 8.067776e+08
5.051342e+00 7.882545e+08
5.121755e+00 7.703185e+08
5.193150e+00 7.528970e+08
5.265540e+00 7.345052e+08
5.338938e+00 7.181158e+08
5.413360e+00 7.019225e+08
5.488820e+00 6.852573e+08
5.565331e+00 6.690666e+08
5.642908e+00 6.536071e+08
5.721568e+00 6.387570e+08
5.801323e+00 6.240814e+08
5.882190e+00 6.101933e+08
5.964185e+00 5.960386e+08
6.047322e+00 5.823719e+08
6.131619e+00 5.682730e+08
6.217090e+00 5.548733e+08
6.303753e+00 5.419167e+08
6.391624e+00 5.286358e+08
6.480720e+00 5.165817e+08
6.571058e+00 5.046241e+08
6.662655e+00 4.929388e+08
6.755528e+00 4.816836e+08
6.849697e+00 4.704655e+08
6.945178e+00 4.595662e+08
7.041990e+00 4.485568e+08
7.140151e+00 4.378022e+08
7.239681e+00 4.275015e+08
7.340598e+00 4.172362e+08
7.442922e+00 4.072274e+08
7.546673e+00 3.969839e+08
7.651869e+00 3.872524e+08
7.758532e+00 3.779007e+08
7.866682e+00 3.688198e+08
7.976339e+00 3.601574e+08
8.087525e+00 3.517881e+08
8.200261e+00 3.431831e+08
8.314568e+00 3.350763e+08
8.430468e+00 3.269616e+08
8.547985e+00 3.189278e+08
8.667139e+00 3.109678e+08
8.787954e+00 3.034070e+08
8.910453e+00 2.961106e+08
9.034660e+00 2.888263e+08
9.160598e+00 2.817293e+08
9.288292e+00 2.749004e+08
9.417766e+00 2.681366e+08
9.549045e+00 2.616615e+08
9.682153e+00 2.551468e+08
9.817117e+00 2.490065e+08
9.953962e+00 2.429912e+08
1.009272e+01 2.370371e+08
1.023340e+01 2.311211e+08
1.037605e+01 2.254710e+08
1.052069e+01 2.199532e+08
1.066734e+01 2.142203e+08
1.081604e+01 2.088805e+08
1.096681e+01 2.037762e+08
1.111968e+01 1.988022e+08
1.127468e+01 1.939831e+08
1.143184e+01 1.890766e+08
1.159120e+01 1.843571e+08
1.175277e+01 1.796481e+08
1.191660e+01 1.749632e+08
1.208271e+01 1.705997e+08
1.225114e+01 1.662583e+08
1.242191e+01 1.619896e+08
1.259506e+01 1.578155e+08
1.277063e+01 1.537606e+08
1.294865e+01 1.498329e+08
1.312915e+01 1.460232e+08
1.331216e+01 1.422459e+08
1.349772e+01 1.385107e+08
1.368587e+01 1.348780e+08
1.387665e+01 1.314340e+08
1.407008e+01 1.279892e+08
1.426621e+01 1.246932e+08
1.446507e+01 1.213627e+08
1.466671e+01 1.181304e+08
1.487115e+01 1.150229e+08
1.507845e+01 1.120425e+08
1.528864e+01 1.090904e+08
1.550175e+01 1.062484e+08
1.571784e+01 1.034023e+08
1.593694e+01 1.006126e+08
1.615909e+01 9.792939e+07
1.638434e+01 9.534388e+07
1.661273e+01 9.276950e+07
1.684430e+01 9.026298e+07
1.707910e+01 8.784589e+07
1.731717e+01 8.550186e+07
1.755856e+01 8.311921e+07
1.780332e+01 8.087499e+07
1.805149e+01 7.865725e+07
1.830312e+01 7.652348e+07
1.855825e+01 7.443018e+07
1.881694e+01 7.236794e+07
1.907924e+01 7.034657e+07
1.934520e+01 6.836957e+07
1.961486e+01 6.646751e+07
1.988828e+01 6.456098e+07
2.016551e+01 6.273839e+07
2.044661e+01 6.100497e+07
2.073162e+01 5.927773e+07
2.102061e+01 5.761109e+07
2.131362e+01 5.599721e+07
2.161073e+01 5.439496e+07
2.191197e+01 5.282224e+07
2.221741e+01 5.127234e+07
2.252711e+01 4.979968e+07
2.284112e+01 4.837429e+07
2.315951e+01 4.690202e+07
2.348235e+01 4.550037e+07
2.380968e+01 4.421648e+07
2.414157e+01 4.291620e+07
2.447809e+01 4.162377e+07
2.481930e+01 4.037180e+07
2.516527e+01 3.917495e+07
2.551606e+01 3.798492e+07
2.587174e+01 3.685246e+07
2.623238e+01 3.573695e+07
2.659804e+01 3.463140e+07
2.696881e+01 3.358056e+07
2.734474e+01 3.252925e+07
2.772591e+01 3.151036e+07
2.811239e+01 3.052673e+07
