# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 4.233410e+10
1.013939e+00 4.143941e+10
1.028073e+00 4.054974e+10
1.042404e+00 3.967899e+10
1.056935e+00 3.882676e+10
1.071668e+00 3.799308e+10
1.086606e+00 3.716857e+10
1.101753e+00 3.634953e+10
1.117111e+00 3.555926e+10
1.132683e+00 3.478993e+10
1.148472e+00 3.403707e+10
1.164481e+00 3.330287e+10
1.180713e+00 3.259496e+10
1.197171e+00 3.190188e+10
1.213859e+00 3.122334e+10
1.230780e+00 3.054171e+10
1.247936e+00 2.987467e+10
1.265332e+00 2.922420e+10
1.282970e+00 2.858883e+10
1.300854e+00 2.798125e+10
1.318987e+00 2.737155e+10
1.337373e+00 2.677896e+10
1.356015e+00 2.621855e+10
1.374917e+00 2.565781e+10
1.394083e+00 2.510225e+10
1.413516e+00 2.454216e+10
1.433219e+00 2.402030e+10
1.453198e+00 2.350905e+10
1.473454e+00 2.300791e+10
1.493993e+00 2.250493e+10
1.514819e+00 2.200841e+10
1.535935e+00 2.152773e+10
1.557345e+00 2.105505e+10
1.579053e+00 2.059515e+10
1.601064e+00 2.014500e+10
1.623382e+00 1.971469e+10
1.646012e+00 1.929537e+10
1.668956e+00 1.889403e+10
1.692220e+00 1.847712e+10
1.715809e+00 1.807463e+10
1.739726e+00 1.768432e+10
1.763977e+00 1.729274e+10
1.788566e+00 1.691717e+10
1.813498e+00 1.654614e+10
1.838777e+00 1.618360e+10
1.864409e+00 1.583645e+10
1.890397e+00 1.548050e+10
1.916748e+00 1.513717e+10
1.943467e+00 1.480989e+10
1.970558e+00 1.449235e+10
1.998026e+00 1.417800e+10
2.025878e+00 1.387805e+10
2.054117e+00 1.358610e+10
2.082751e+00 1.329332e+10
2.111783e+00 1.300232e+10
2.141220e+00 1.272579e+10
2.171068e+00 1.244929e+10
2.201331e+00 1.218270e+10
2.232016e+00 1.192365e+10
2.263130e+00 1.166772e+10
2.294676e+00 1.141086e+10
2.326663e+00 1.115884e+10
2.359095e+00 1.091225e+10
2.391980e+00 1.067099e+10
2.425323e+00 1.043494e+10
2.459130e+00 1.020092e+10
2.493409e+00 9.977723e+09
2.528166e+00 9.759695e+09
2.563407e+00 9.544889e+09
2.599140e+00 9.336660e+09
2.635371e+00 9.128696e+09
2.672106e+00 8.930242e+09
2.709354e+00 8.731542e+09
2.747121e+00 8.533079e+09
2.785414e+00 8.349337e+09
2.824241e+00 8.173681e+09
2.863610e+00 7.993203e+09
2.903527e+00 7.820663e+09
2.944000e+00 7.648450e+09
2.985038e+00 7.481030e+09
3.026648e+00 7.307429e+09
3.068838e+00 7.140934e+09
3.111616e+00 6.983053e+09
3.154990e+00 6.826146e+09
3.198969e+00 6.672990e+09
3.243561e+00 6.523314e+09
3.288774e+00 6.384169e+09
3.334618e+00 6.246516e+09
3.381101e+00 6.107188e+09
3.428231e+00 5.970662e+09
3.476019e+00 5.835829e+09
3.524473e+00 5.706930e+09
3.573602e+00 5.583076e+09
3.623416e+00 5.458790e+09
3.673925e+00 5.339378e+09
3.725137e+00 5.219504e+09
3.777064e+00 5.103797e+09
3.829714e+00 4.988351e+09
3.883098e+00 4.875818e+09
3.937226e+00 4.767259e+09
3.992109e+00 4.658066e+09
4.047757e+00 4.553182e+09
4.104181e+00 4.450608e+09
4.161391e+00 4.348324e+09
4.219398e+00 4.249285e+09
4.278214e+00 4.155645e+09
4.337850e+00 4.061587e+09
4.398317e+00 3.969717e+09
4.459628e+00 3.875460e+09
4.521792e+00 3.787787e+09
4.584824e+00 3.703616e+09
4.648734e+00 3.620189e+09
4.713535e+00 3.539228e+09
4.779239e+00 3.460750e+09
4.845859e+00 3.378919e+09
4.913407e+00 3.302178e+09
4.981898e+00 3.227110e+09
5.051342e+00 3.153018e+09
5.121755e+00 3.081274e+09
5.193150e+00 3.011588e+09
5.265540e+00 2.938021e+09
5.338938e+00 2.872463e+09
5.413360e+00 2.807690e+09
5.488820e+00 2.741029e+09
5.565331e+00 2.676266e+09
5.642908e+00 2.614428e+09
5.721568e+00 2.555028e+09
5.801323e+00 2.496326e+09
5.882190e+00 2.440773e+09
5.964185e+00 2.384155e+09
6.047322e+00 2.329488e+09
6.131619e+00 2.273092e+09
6.217090e+00 2.219493e+09
6.303753e+00 2.167667e+09
6.391624e+00 2.114543e+09
6.480720e+00 2.066327e+09
6.571058e+00 2.018496e+09
6.662655e+00 1.971755e+09
6.755528e+00 1.926735e+09
6.849697e+00 1.881862e+09
6.945178e+00 1.838265e+09
7.041990e+00 1.794227e+09
7.140151e+00 1.751209e+09
7.239681e+00 1.710006e+09
7.340598e+00 1.668945e+09
7.442922e+00 1.628909e+09
7.546673e+00 1.587936e+09
7.651869e+00 1.549009e+09
7.758532e+00 1.511603e+09
7.866682e+00 1.475279e+09
7.976339e+00 1.440630e+09
8.087525e+00 1.407153e+09
8.200261e+00 1.372732e+09
8.314568e+00 1.340305e+09
8.430468e+00 1.307847e+09
8.547985e+00 1.275711e+09
8.667139e+00 1.243871e+09
8.787954e+00 1.213628e+09
8.910453e+00 1.184442e+09
9.034660e+00 1.155305e+09
9.160598e+00 1.126917e+09
9.288292e+00 1.099602e+09
9.417766e+00 1.072547e+09
9.549045e+00 1.046646e+09
9.682153e+00 1.020587e+09
9.817117e+00 9.960261e+08
9.953962e+00 9.719649e+08
1.009272e+01 9.481484e+08
1.023340e+01 9.244843e+08
1.037605e+01 9.018839e+08
1.052069e+01 8.798129e+08
1.066734e+01 8.568811e+08
1.081604e+01 8.355219e+08
1.096681e+01 8.151048e+08
1.111968e+01 7.952087e+08
1.127468e+01 7.759325e+08
1.143184e+01 7.563065e+08
1.159120e+01 7.374284e+08
1.175277e+01 7.185923e+08
1.191660e+01 6.998526e+08
1.208271e+01 6.823988e+08
1.225114e+01 6.650332e+08
1.242191e+01 6.479585e+08
1.259506e+01 6.312620e+08
1.277063e+01 6.150424e+08
1.294865e+01 5.993318e+08
1.312915e+01 5.840928e+08
1.331216e+01 5.689835e+08
1.349772e+01 5.540427e+08
1.368587e+01 5.395122e+08
1.387665e+01 5.257361e+08
1.407008e+01 5.119568e+08
1.426621e+01 4.987726e+08
1.446507e+01 4.854507e+08
1.466671e+01 4.725216e+08
1.487115e+01 4.600916e+08
1.507845e+01 4.481701e+08
1.528864e+01 4.363617e+08
1.550175e+01 4.249935e+08
1.571784e+01 4.136093e+08
1.593694e+01 4.024503e+08
1.615909e+01 3.917175e+08
1.638434e+01 3.813755e+08
