Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.5884e+05
1.5000e-03	0.0000e+00	3.5892e+05
2.0000e-03	0.0000e+00	3.5898e+05
2.5000e-03	0.0000e+00	3.5903e+05
3.0000e-03	0.0000e+00	3.5907e+05
3.5000e-03	0.0000e+00	3.5910e+05
4.0000e-03	0.0000e+00	3.5912e+05
4.5000e-03	0.0000e+00	3.5915e+05
5.0000e-03	0.0000e+00	3.5917e+05
5.5000e-03	0.0000e+00	3.5919e+05
6.0000e-03	0.0000e+00	3.5921e+05
6.5000e-03	0.0000e+00	3.5922e+05
7.0000e-03	0.0000e+00	3.5924e+05
7.5000e-03	0.0000e+00	3.5925e+05
8.0000e-03	0.0000e+00	3.5926e+05
8.5000e-03	0.0000e+00	3.5928e+05
9.0000e-03	0.0000e+00	3.5929e+05
9.5000e-03	0.0000e+00	3.5930e+05
1.0000e-02	0.0000e+00	3.5931e+05
1.5000e-02	0.0000e+00	3.5939e+05
2.0000e-02	0.0000e+00	3.5946e+05
2.5000e-02	0.0000e+00	3.5951e+05
3.0000e-02	0.0000e+00	3.5956e+05
3.5000e-02	0.0000e+00	3.5961e+05
4.0000e-02	0.0000e+00	3.5966e+05
4.5000e-02	0.0000e+00	3.5972e+05
5.0000e-02	0.0000e+00	3.5977e+05
5.5000e-02	0.0000e+00	3.5983e+05
6.0000e-02	0.0000e+00	3.5988e+05
6.5000e-02	0.0000e+00	3.5995e+05
7.0000e-02	0.0000e+00	3.6001e+05
7.5000e-02	0.0000e+00	3.6008e+05
8.0000e-02	0.0000e+00	3.6014e+05
8.5000e-02	0.0000e+00	3.6020e+05
9.0000e-02	0.0000e+00	3.6026e+05
9.5000e-02	0.0000e+00	3.6033e+05
1.0000e-01	0.0000e+00	3.6039e+05
1.5000e-01	0.0000e+00	3.6106e+05
2.0000e-01	0.0000e+00	3.6173e+05
2.5000e-01	0.0000e+00	3.6241e+05
3.0000e-01	0.0000e+00	3.6308e+05
3.5000e-01	0.0000e+00	3.6376e+05
4.0000e-01	0.0000e+00	3.6444e+05
4.5000e-01	0.0000e+00	3.6512e+05
5.0000e-01	0.0000e+00	3.6572e+05
5.5000e-01	0.0000e+00	3.6630e+05
6.0000e-01	0.0000e+00	3.6696e+05
6.5000e-01	0.0000e+00	3.6764e+05
7.0000e-01	0.0000e+00	3.6831e+05
7.5000e-01	0.0000e+00	3.6898e+05
8.0000e-01	0.0000e+00	3.6966e+05
8.5000e-01	0.0000e+00	3.7034e+05
9.0000e-01	0.0000e+00	3.7101e+05
9.5000e-01	0.0000e+00	3.7169e+05
1.0000e+00	0.0000e+00	3.7237e+05
1.5000e+00	0.0000e+00	3.7916e+05
2.0000e+00	0.0000e+00	3.8576e+05
2.5000e+00	0.0000e+00	3.9262e+05
3.0000e+00	0.0000e+00	3.9918e+05
3.5000e+00	0.0000e+00	4.0610e+05
4.0000e+00	1.7361e+09	4.1301e+05
4.0520e+00	1.7133e+09	4.1373e+05
4.1048e+00	1.6893e+09	4.1447e+05
4.1582e+00	1.6652e+09	4.1520e+05
4.2123e+00	1.6427e+09	4.1595e+05
4.2671e+00	1.6203e+09	4.1671e+05
