Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.2919e+05
1.5000e-03	0.0000e+00	4.2929e+05
2.0000e-03	0.0000e+00	4.2936e+05
2.5000e-03	0.0000e+00	4.2942e+05
3.0000e-03	0.0000e+00	4.2946e+05
3.5000e-03	0.0000e+00	4.2950e+05
4.0000e-03	0.0000e+00	4.2953e+05
4.5000e-03	0.0000e+00	4.2956e+05
5.0000e-03	0.0000e+00	4.2958e+05
5.5000e-03	0.0000e+00	4.2961e+05
6.0000e-03	0.0000e+00	4.2963e+05
6.5000e-03	0.0000e+00	4.2965e+05
7.0000e-03	0.0000e+00	4.2967e+05
7.5000e-03	0.0000e+00	4.2968e+05
8.0000e-03	0.0000e+00	4.2970e+05
8.5000e-03	0.0000e+00	4.2971e+05
9.0000e-03	0.0000e+00	4.2973e+05
9.5000e-03	0.0000e+00	4.2974e+05
1.0000e-02	0.0000e+00	4.2975e+05
1.5000e-02	0.0000e+00	4.2985e+05
2.0000e-02	0.0000e+00	4.2993e+05
2.5000e-02	0.0000e+00	4.3000e+05
3.0000e-02	0.0000e+00	4.3006e+05
3.5000e-02	0.0000e+00	4.3011e+05
4.0000e-02	0.0000e+00	4.3017e+05
4.5000e-02	0.0000e+00	4.3024e+05
5.0000e-02	0.0000e+00	4.3031e+05
5.5000e-02	0.0000e+00	4.3037e+05
6.0000e-02	0.0000e+00	4.3044e+05
6.5000e-02	0.0000e+00	4.3052e+05
7.0000e-02	0.0000e+00	4.3060e+05
7.5000e-02	0.0000e+00	4.3067e+05
8.0000e-02	0.0000e+00	4.3075e+05
8.5000e-02	0.0000e+00	4.3082e+05
9.0000e-02	0.0000e+00	4.3089e+05
9.5000e-02	0.0000e+00	4.3097e+05
1.0000e-01	0.0000e+00	4.3104e+05
1.5000e-01	0.0000e+00	4.3184e+05
2.0000e-01	0.0000e+00	4.3265e+05
2.5000e-01	0.0000e+00	4.3345e+05
3.0000e-01	0.0000e+00	4.3426e+05
3.5000e-01	0.0000e+00	4.3507e+05
4.0000e-01	0.0000e+00	4.3588e+05
4.5000e-01	0.0000e+00	4.3669e+05
5.0000e-01	0.0000e+00	4.3741e+05
5.5000e-01	0.0000e+00	4.3811e+05
6.0000e-01	0.0000e+00	4.3890e+05
6.5000e-01	0.0000e+00	4.3971e+05
7.0000e-01	0.0000e+00	4.4052e+05
7.5000e-01	0.0000e+00	4.4132e+05
8.0000e-01	0.0000e+00	4.4213e+05
8.5000e-01	0.0000e+00	4.4294e+05
9.0000e-01	0.0000e+00	4.4375e+05
9.5000e-01	0.0000e+00	4.4456e+05
1.0000e+00	0.0000e+00	4.4537e+05
1.5000e+00	0.0000e+00	4.5349e+05
2.0000e+00	0.0000e+00	4.6139e+05
2.5000e+00	0.0000e+00	4.6959e+05
3.0000e+00	0.0000e+00	4.7746e+05
3.5000e+00	0.0000e+00	4.8574e+05
4.0000e+00	2.4111e+09	4.9402e+05
4.0520e+00	2.3693e+09	4.9489e+05
4.1048e+00	2.3281e+09	4.9577e+05
4.1582e+00	2.2877e+09	4.9665e+05
4.2123e+00	2.2486e+09	4.9755e+05
4.2671e+00	2.2117e+09	4.9845e+05
4.3226e+00	2.1740e+09	4.9938e+05
4.3788e+00	2.1369e+09	5.0031e+05
4.4358e+00	2.1003e+09	5.0126e+05
4.4935e+00	2.0649e+09	5.0221e+05
4.5520e+00	2.0301e+09	5.0318e+05
4.6112e+00	1.9946e+09	5.0417e+05
4.6712e+00	1.9598e+09	5.0517e+05
4.7320e+00	1.9259e+09	5.0619e+05
4.7936e+00	1.8936e+09	5.0721e+05
4.8559e+00	1.8612e+09	5.0825e+05
4.9191e+00	1.8279e+09	5.0930e+05
4.9831e+00	1.7966e+09	5.1036e+05
5.0480e+00	1.7666e+09	5.1144e+05
5.1136e+00	1.7367e+09	5.1253e+05
5.1802e+00	1.7065e+09	5.1364e+05
5.2476e+00	1.6762e+09	5.1475e+05
5.3159e+00	1.6488e+09	5.1586e+05
5.3850e+00	1.6210e+09	5.1699e+05
5.4551e+00	1.5934e+09	5.1815e+05
5.5261e+00	1.5663e+09	5.1933e+05
5.5980e+00	1.5392e+09	5.2052e+05
5.6708e+00	1.5132e+09	5.2173e+05
5.7446e+00	1.4869e+09	5.2295e+05
5.8193e+00	1.4623e+09	5.2420e+05
5.8950e+00	1.4367e+09	5.2545e+05
5.9717e+00	1.4117e+09	5.2672e+05
6.0494e+00	1.3876e+09	5.2801e+05
6.1281e+00	1.3637e+09	5.2931e+05
6.2079e+00	1.3397e+09	5.3064e+05
6.2887e+00	1.3174e+09	5.3200e+05
6.3705e+00	1.2956e+09	5.3338e+05
6.4534e+00	1.2730e+09	5.3477e+05
6.5373e+00	1.2507e+09	5.3616e+05
6.6224e+00	1.2295e+09	5.3755e+05
6.7085e+00	1.2084e+09	5.3896e+05
6.7958e+00	1.1874e+09	5.4041e+05
6.8843e+00	1.1668e+09	5.4187e+05
6.9738e+00	1.1472e+09	5.4334e+05
7.0646e+00	1.1281e+09	5.4484e+05
7.1565e+00	1.1095e+09	5.4636e+05
7.2496e+00	1.0894e+09	5.4791e+05
7.3439e+00	1.0707e+09	5.4947e+05
7.4395e+00	1.0523e+09	5.5103e+05
7.5363e+00	1.0334e+09	5.5263e+05
7.6343e+00	1.0165e+09	5.5425e+05
7.7337e+00	9.9934e+08	5.5588e+05
7.8343e+00	9.8157e+08	5.5753e+05
7.9362e+00	9.6501e+08	5.5922e+05
8.0395e+00	9.4826e+08	5.6091e+05
8.1441e+00	9.3234e+08	5.6263e+05
8.2500e+00	9.1607e+08	5.6436e+05
8.3574e+00	9.0048e+08	5.6612e+05
8.4661e+00	8.8415e+08	5.6791e+05
8.5763e+00	8.6876e+08	5.6972e+05
8.6879e+00	8.5363e+08	5.7157e+05
8.8009e+00	8.3867e+08	5.7344e+05
8.9154e+00	8.2446e+08	5.7532e+05
9.0314e+00	8.1017e+08	5.7722e+05
9.1489e+00	7.9631e+08	5.7917e+05
9.2680e+00	7.8268e+08	5.8114e+05
9.3885e+00	7.6952e+08	5.8312e+05
9.5107e+00	7.5649e+08	5.8511e+05
9.6344e+00	7.4336e+08	5.8712e+05
9.7598e+00	7.3082e+08	5.8916e+05
9.8868e+00	7.1845e+08	5.9122e+05
1.0015e+01	7.0572e+08	5.9332e+05
1.0146e+01	6.9302e+08	5.9546e+05
1.0278e+01	6.8131e+08	5.9761e+05
1.0411e+01	6.6974e+08	5.9975e+05
1.0547e+01	6.5837e+08	6.0192e+05
1.0684e+01	6.4707e+08	6.0410e+05
1.0823e+01	6.3620e+08	6.0629e+05
1.0964e+01	6.2538e+08	6.0854e+05
1.1107e+01	6.1500e+08	6.1083e+05
1.1251e+01	6.0465e+08	6.1312e+05
1.1398e+01	5.9424e+08	6.1544e+05
1.1546e+01	5.8434e+08	6.1779e+05
1.1696e+01	5.7438e+08	6.2029e+05
1.1848e+01	5.6418e+08	6.2277e+05
1.2002e+01	5.5443e+08	6.2520e+05
1.2159e+01	5.4482e+08	6.2767e+05
1.2317e+01	5.3540e+08	6.3013e+05
1.2477e+01	5.2660e+08	6.3264e+05
1.2639e+01	5.1797e+08	6.3517e+05
1.2804e+01	5.0853e+08	6.3776e+05
1.2970e+01	5.0006e+08	6.4035e+05
1.3139e+01	4.9162e+08	6.4301e+05
1.3310e+01	4.8318e+08	6.4566e+05
1.3483e+01	4.7484e+08	6.4834e+05
1.3659e+01	4.6695e+08	6.5106e+05
1.3836e+01	4.5883e+08	6.5377e+05
1.4016e+01	4.5083e+08	6.5645e+05
1.4199e+01	4.4302e+08	6.5927e+05
1.4384e+01	4.3516e+08	6.6209e+05
1.4571e+01	4.2749e+08	6.6500e+05
1.4760e+01	4.2021e+08	6.6788e+05
1.4952e+01	4.1288e+08	6.7078e+05
1.5147e+01	4.0522e+08	6.7369e+05
1.5344e+01	3.9813e+08	6.7662e+05
1.5544e+01	3.9073e+08	6.7959e+05
1.5746e+01	3.8358e+08	6.8258e+05
1.5951e+01	3.7697e+08	6.8569e+05
1.6158e+01	3.7024e+08	6.8870e+05
1.6369e+01	3.6344e+08	6.9179e+05
1.6581e+01	3.5705e+08	6.9493e+05
1.6797e+01	3.5072e+08	6.9803e+05
1.7016e+01	3.4404e+08	7.0126e+05
1.7237e+01	3.3765e+08	7.0454e+05
1.7461e+01	3.3132e+08	7.0782e+05
1.7689e+01	3.2534e+08	7.1107e+05
1.7919e+01	3.1927e+08	7.1437e+05
1.8152e+01	3.1319e+08	7.1767e+05
1.8388e+01	3.0708e+08	7.2101e+05
1.8627e+01	3.0098e+08	7.2448e+05
1.8870e+01	2.9485e+08	7.2789e+05
1.9115e+01	2.8934e+08	7.3132e+05
1.9364e+01	2.8368e+08	7.3475e+05
1.9616e+01	2.7795e+08	7.3826e+05
1.9871e+01	2.7235e+08	7.4186e+05
2.0130e+01	2.6686e+08	7.4548e+05
2.0392e+01	2.6127e+08	7.4896e+05
2.0657e+01	2.5534e+08	7.5255e+05
2.0926e+01	2.4944e+08	7.5612e+05
2.1198e+01	2.4365e+08	7.5987e+05
2.1474e+01	2.3789e+08	7.6353e+05
2.1753e+01	2.3219e+08	7.6716e+05
2.2036e+01	2.2602e+08	7.7082e+05
2.2323e+01	2.2013e+08	7.7448e+05
