Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.3578e+05
1.5000e-03	0.0000e+00	1.3581e+05
2.0000e-03	0.0000e+00	1.3583e+05
2.5000e-03	0.0000e+00	1.3585e+05
3.0000e-03	0.0000e+00	1.3586e+05
3.5000e-03	0.0000e+00	1.3587e+05
4.0000e-03	0.0000e+00	1.3588e+05
4.5000e-03	0.0000e+00	1.3589e+05
5.0000e-03	0.0000e+00	1.3590e+05
5.5000e-03	0.0000e+00	1.3590e+05
6.0000e-03	0.0000e+00	1.3591e+05
6.5000e-03	0.0000e+00	1.3591e+05
7.0000e-03	0.0000e+00	1.3592e+05
7.5000e-03	0.0000e+00	1.3592e+05
8.0000e-03	0.0000e+00	1.3593e+05
8.5000e-03	0.0000e+00	1.3593e+05
9.0000e-03	0.0000e+00	1.3594e+05
9.5000e-03	0.0000e+00	1.3594e+05
1.0000e-02	0.0000e+00	1.3595e+05
1.5000e-02	0.0000e+00	1.3597e+05
2.0000e-02	0.0000e+00	1.3600e+05
2.5000e-02	0.0000e+00	1.3601e+05
3.0000e-02	0.0000e+00	1.3602e+05
3.5000e-02	0.0000e+00	1.3604e+05
4.0000e-02	0.0000e+00	1.3609e+05
4.5000e-02	0.0000e+00	1.3613e+05
5.0000e-02	0.0000e+00	1.3617e+05
5.5000e-02	0.0000e+00	1.3620e+05
6.0000e-02	0.0000e+00	1.3623e+05
6.5000e-02	0.0000e+00	1.3626e+05
7.0000e-02	0.0000e+00	1.3629e+05
7.5000e-02	0.0000e+00	1.3631e+05
8.0000e-02	0.0000e+00	1.3634e+05
8.5000e-02	0.0000e+00	1.3636e+05
9.0000e-02	0.0000e+00	1.3638e+05
9.5000e-02	0.0000e+00	1.3642e+05
1.0000e-01	0.0000e+00	1.3645e+05
1.5000e-01	0.0000e+00	1.3676e+05
2.0000e-01	0.0000e+00	1.3706e+05
2.5000e-01	0.0000e+00	1.3737e+05
3.0000e-01	0.0000e+00	1.3768e+05
3.5000e-01	0.0000e+00	1.3799e+05
4.0000e-01	0.0000e+00	1.3830e+05
4.5000e-01	0.0000e+00	1.3861e+05
5.0000e-01	0.0000e+00	1.3892e+05
5.5000e-01	0.0000e+00	1.3922e+05
6.0000e-01	0.0000e+00	1.3952e+05
6.5000e-01	0.0000e+00	1.3981e+05
7.0000e-01	0.0000e+00	1.4009e+05
7.5000e-01	0.0000e+00	1.4039e+05
8.0000e-01	0.0000e+00	1.4069e+05
8.5000e-01	0.0000e+00	1.4099e+05
9.0000e-01	0.0000e+00	1.4130e+05
9.5000e-01	0.0000e+00	1.4161e+05
1.0000e+00	1.7092e+09	1.4191e+05
1.0139e+00	1.6887e+09	1.4200e+05
1.0281e+00	1.6685e+09	1.4208e+05
1.0424e+00	1.6485e+09	1.4217e+05
1.0569e+00	1.6281e+09	1.4226e+05
1.0717e+00	1.6086e+09	1.4236e+05
1.0866e+00	1.5895e+09	1.4245e+05
1.1018e+00	1.5703e+09	1.4254e+05
1.1171e+00	1.5512e+09	1.4264e+05
1.1327e+00	1.5324e+09	1.4273e+05
1.1485e+00	1.5137e+09	1.4283e+05
1.1645e+00	1.4953e+09	1.4293e+05
1.1807e+00	1.4770e+09	1.4303e+05
1.1972e+00	1.4590e+09	1.4313e+05
1.2139e+00	1.4412e+09	1.4323e+05
1.2308e+00	1.4236e+09	1.4334e+05
1.2479e+00	1.4064e+09	1.4344e+05
1.2653e+00	1.3893e+09	1.4355e+05
1.2830e+00	1.3722e+09	1.4366e+05
1.3009e+00	1.3553e+09	1.4377e+05
1.3190e+00	1.3389e+09	1.4388e+05
1.3374e+00	1.3221e+09	1.4399e+05
1.3560e+00	1.3060e+09	1.4411e+05
1.3749e+00	1.2901e+09	1.4423e+05
1.3941e+00	1.2739e+09	1.4434e+05
1.4135e+00	1.2578e+09	1.4446e+05
1.4332e+00	1.2424e+09	1.4459e+05
1.4532e+00	1.2273e+09	1.4471e+05
1.4735e+00	1.2123e+09	1.4483e+05
1.4940e+00	1.1975e+09	1.4496e+05
1.5148e+00	1.1829e+09	1.4509e+05
1.5359e+00	1.1680e+09	1.4522e+05
1.5573e+00	1.1532e+09	1.4535e+05
1.5791e+00	1.1385e+09	1.4548e+05
1.6011e+00	1.1245e+09	1.4562e+05
1.6234e+00	1.1106e+09	1.4576e+05
1.6460e+00	1.0968e+09	1.4590e+05
1.6690e+00	1.0835e+09	1.4604e+05
1.6922e+00	1.0699e+09	1.4618e+05
1.7158e+00	1.0570e+09	1.4633e+05
1.7397e+00	1.0442e+09	1.4648e+05
1.7640e+00	1.0312e+09	1.4662e+05
1.7886e+00	1.0183e+09	1.4678e+05
1.8135e+00	1.0058e+09	1.4693e+05
