Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.5023e+05
1.5000e-03	0.0000e+00	1.5026e+05
2.0000e-03	0.0000e+00	1.5028e+05
2.5000e-03	0.0000e+00	1.5030e+05
3.0000e-03	0.0000e+00	1.5032e+05
3.5000e-03	0.0000e+00	1.5033e+05
4.0000e-03	0.0000e+00	1.5034e+05
4.5000e-03	0.0000e+00	1.5035e+05
5.0000e-03	0.0000e+00	1.5036e+05
5.5000e-03	0.0000e+00	1.5036e+05
6.0000e-03	0.0000e+00	1.5037e+05
6.5000e-03	0.0000e+00	1.5038e+05
7.0000e-03	0.0000e+00	1.5038e+05
7.5000e-03	0.0000e+00	1.5039e+05
8.0000e-03	0.0000e+00	1.5039e+05
8.5000e-03	0.0000e+00	1.5040e+05
9.0000e-03	0.0000e+00	1.5040e+05
9.5000e-03	0.0000e+00	1.5041e+05
1.0000e-02	0.0000e+00	1.5041e+05
1.5000e-02	0.0000e+00	1.5044e+05
2.0000e-02	0.0000e+00	1.5047e+05
2.5000e-02	0.0000e+00	1.5048e+05
3.0000e-02	0.0000e+00	1.5050e+05
3.5000e-02	0.0000e+00	1.5052e+05
4.0000e-02	0.0000e+00	1.5057e+05
4.5000e-02	0.0000e+00	1.5062e+05
5.0000e-02	0.0000e+00	1.5066e+05
5.5000e-02	0.0000e+00	1.5070e+05
6.0000e-02	0.0000e+00	1.5073e+05
6.5000e-02	0.0000e+00	1.5076e+05
7.0000e-02	0.0000e+00	1.5079e+05
7.5000e-02	0.0000e+00	1.5082e+05
8.0000e-02	0.0000e+00	1.5085e+05
8.5000e-02	0.0000e+00	1.5087e+05
9.0000e-02	0.0000e+00	1.5089e+05
9.5000e-02	0.0000e+00	1.5094e+05
1.0000e-01	0.0000e+00	1.5098e+05
1.5000e-01	0.0000e+00	1.5131e+05
2.0000e-01	0.0000e+00	1.5165e+05
2.5000e-01	0.0000e+00	1.5200e+05
3.0000e-01	0.0000e+00	1.5235e+05
3.5000e-01	0.0000e+00	1.5269e+05
4.0000e-01	0.0000e+00	1.5304e+05
4.5000e-01	0.0000e+00	1.5338e+05
5.0000e-01	0.0000e+00	1.5372e+05
5.5000e-01	0.0000e+00	1.5406e+05
6.0000e-01	0.0000e+00	1.5439e+05
6.5000e-01	0.0000e+00	1.5472e+05
7.0000e-01	0.0000e+00	1.5504e+05
7.5000e-01	0.0000e+00	1.5536e+05
8.0000e-01	0.0000e+00	1.5570e+05
8.5000e-01	0.0000e+00	1.5604e+05
9.0000e-01	0.0000e+00	1.5638e+05
9.5000e-01	0.0000e+00	1.5672e+05
1.0000e+00	1.9599e+09	1.5706e+05
1.0139e+00	1.9342e+09	1.5716e+05
1.0281e+00	1.9089e+09	1.5725e+05
1.0424e+00	1.8838e+09	1.5735e+05
1.0569e+00	1.8591e+09	1.5745e+05
1.0717e+00	1.8347e+09	1.5756e+05
1.0866e+00	1.8107e+09	1.5766e+05
1.1018e+00	1.7869e+09	1.5776e+05
1.1171e+00	1.7636e+09	1.5787e+05
1.1327e+00	1.7405e+09	1.5797e+05
1.1485e+00	1.7178e+09	1.5808e+05
1.1645e+00	1.6952e+09	1.5819e+05
1.1807e+00	1.6729e+09	1.5831e+05
1.1972e+00	1.6509e+09	1.5842e+05
1.2139e+00	1.6291e+09	1.5853e+05
1.2308e+00	1.6076e+09	1.5865e+05
1.2479e+00	1.5864e+09	1.5877e+05
1.2653e+00	1.5656e+09	1.5889e+05
1.2830e+00	1.5454e+09	1.5901e+05
1.3009e+00	1.5257e+09	1.5913e+05
1.3190e+00	1.5056e+09	1.5926e+05
1.3374e+00	1.4861e+09	1.5938e+05
1.3560e+00	1.4668e+09	1.5951e+05
1.3749e+00	1.4473e+09	1.5964e+05
1.3941e+00	1.4283e+09	1.5977e+05
1.4135e+00	1.4097e+09	1.5991e+05
1.4332e+00	1.3910e+09	1.6004e+05
1.4532e+00	1.3729e+09	1.6018e+05
1.4735e+00	1.3549e+09	1.6032e+05
