Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.6324e+05
1.5000e-03	0.0000e+00	4.6332e+05
2.0000e-03	0.0000e+00	4.6338e+05
2.5000e-03	0.0000e+00	4.6342e+05
3.0000e-03	0.0000e+00	4.6346e+05
3.5000e-03	0.0000e+00	4.6349e+05
4.0000e-03	0.0000e+00	4.6351e+05
4.5000e-03	0.0000e+00	4.6353e+05
5.0000e-03	0.0000e+00	4.6355e+05
5.5000e-03	0.0000e+00	4.6357e+05
6.0000e-03	0.0000e+00	4.6359e+05
6.5000e-03	0.0000e+00	4.6360e+05
7.0000e-03	0.0000e+00	4.6362e+05
7.5000e-03	0.0000e+00	4.6363e+05
8.0000e-03	0.0000e+00	4.6364e+05
8.5000e-03	0.0000e+00	4.6366e+05
9.0000e-03	0.0000e+00	4.6367e+05
9.5000e-03	0.0000e+00	4.6368e+05
1.0000e-02	0.0000e+00	4.6369e+05
1.5000e-02	0.0000e+00	4.6377e+05
2.0000e-02	0.0000e+00	4.6382e+05
2.5000e-02	0.0000e+00	4.6387e+05
3.0000e-02	0.0000e+00	4.6391e+05
3.5000e-02	0.0000e+00	4.6395e+05
4.0000e-02	0.0000e+00	4.6399e+05
4.5000e-02	0.0000e+00	4.6404e+05
5.0000e-02	0.0000e+00	4.6409e+05
5.5000e-02	0.0000e+00	4.6413e+05
6.0000e-02	0.0000e+00	4.6417e+05
6.5000e-02	0.0000e+00	4.6421e+05
7.0000e-02	0.0000e+00	4.6425e+05
7.5000e-02	0.0000e+00	4.6429e+05
8.0000e-02	0.0000e+00	4.6433e+05
8.5000e-02	0.0000e+00	4.6438e+05
9.0000e-02	0.0000e+00	4.6442e+05
9.5000e-02	0.0000e+00	4.6447e+05
1.0000e-01	0.0000e+00	4.6452e+05
1.5000e-01	0.0000e+00	4.6500e+05
2.0000e-01	0.0000e+00	4.6552e+05
2.5000e-01	0.0000e+00	4.6605e+05
3.0000e-01	0.0000e+00	4.6656e+05
3.5000e-01	0.0000e+00	4.6708e+05
4.0000e-01	0.0000e+00	4.6760e+05
4.5000e-01	0.0000e+00	4.6812e+05
5.0000e-01	0.0000e+00	4.6864e+05
5.5000e-01	0.0000e+00	4.6916e+05
6.0000e-01	0.0000e+00	4.6970e+05
6.5000e-01	0.0000e+00	4.7024e+05
7.0000e-01	0.0000e+00	4.7082e+05
7.5000e-01	0.0000e+00	4.7138e+05
8.0000e-01	0.0000e+00	4.7194e+05
8.5000e-01	0.0000e+00	4.7248e+05
9.0000e-01	0.0000e+00	4.7301e+05
9.5000e-01	0.0000e+00	4.7354e+05
1.0000e+00	9.0085e+09	4.7407e+05
1.0139e+00	8.8821e+09	4.7421e+05
1.0281e+00	8.7569e+09	4.7436e+05
