Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.7212e+05
1.5000e-03	0.0000e+00	3.7218e+05
2.0000e-03	0.0000e+00	3.7223e+05
2.5000e-03	0.0000e+00	3.7226e+05
3.0000e-03	0.0000e+00	3.7229e+05
3.5000e-03	0.0000e+00	3.7231e+05
4.0000e-03	0.0000e+00	3.7233e+05
4.5000e-03	0.0000e+00	3.7235e+05
5.0000e-03	0.0000e+00	3.7237e+05
5.5000e-03	0.0000e+00	3.7238e+05
6.0000e-03	0.0000e+00	3.7239e+05
6.5000e-03	0.0000e+00	3.7240e+05
7.0000e-03	0.0000e+00	3.7242e+05
7.5000e-03	0.0000e+00	3.7243e+05
8.0000e-03	0.0000e+00	3.7244e+05
8.5000e-03	0.0000e+00	3.7245e+05
9.0000e-03	0.0000e+00	3.7245e+05
9.5000e-03	0.0000e+00	3.7246e+05
1.0000e-02	0.0000e+00	3.7247e+05
1.5000e-02	0.0000e+00	3.7253e+05
2.0000e-02	0.0000e+00	3.7258e+05
2.5000e-02	0.0000e+00	3.7261e+05
3.0000e-02	0.0000e+00	3.7264e+05
3.5000e-02	0.0000e+00	3.7268e+05
4.0000e-02	0.0000e+00	3.7271e+05
4.5000e-02	0.0000e+00	3.7275e+05
5.0000e-02	0.0000e+00	3.7278e+05
5.5000e-02	0.0000e+00	3.7282e+05
6.0000e-02	0.0000e+00	3.7285e+05
6.5000e-02	0.0000e+00	3.7288e+05
7.0000e-02	0.0000e+00	3.7291e+05
7.5000e-02	0.0000e+00	3.7294e+05
8.0000e-02	0.0000e+00	3.7297e+05
8.5000e-02	0.0000e+00	3.7301e+05
9.0000e-02	0.0000e+00	3.7305e+05
9.5000e-02	0.0000e+00	3.7309e+05
1.0000e-01	0.0000e+00	3.7312e+05
1.5000e-01	0.0000e+00	3.7351e+05
2.0000e-01	0.0000e+00	3.7392e+05
2.5000e-01	0.0000e+00	3.7434e+05
3.0000e-01	0.0000e+00	3.7474e+05
3.5000e-01	0.0000e+00	3.7516e+05
4.0000e-01	0.0000e+00	3.7556e+05
4.5000e-01	0.0000e+00	3.7597e+05
5.0000e-01	0.0000e+00	3.7638e+05
5.5000e-01	0.0000e+00	3.7679e+05
6.0000e-01	0.0000e+00	3.7722e+05
6.5000e-01	0.0000e+00	3.7765e+05
7.0000e-01	0.0000e+00	3.7811e+05
7.5000e-01	0.0000e+00	3.7856e+05
8.0000e-01	0.0000e+00	3.7900e+05
8.5000e-01	0.0000e+00	3.7942e+05
9.0000e-01	0.0000e+00	3.7984e+05
9.5000e-01	0.0000e+00	3.8026e+05
1.0000e+00	7.8397e+09	3.8067e+05
1.0139e+00	7.7369e+09	3.8079e+05
1.0281e+00	7.6355e+09	3.8091e+05
1.0424e+00	7.5353e+09	3.8102e+05
1.0569e+00	7.4364e+09	3.8114e+05
1.0717e+00	7.3387e+09	3.8126e+05
1.0866e+00	7.2427e+09	3.8139e+05
1.1018e+00	7.1475e+09	3.8151e+05
1.1171e+00	7.0543e+09	3.8164e+05
1.1327e+00	6.9622e+09	3.8176e+05
1.1485e+00	6.8712e+09	3.8189e+05
1.1645e+00	6.7809e+09	3.8202e+05
1.1807e+00	6.6917e+09	3.8215e+05
1.1972e+00	6.6035e+09	3.8229e+05
1.2139e+00	6.5163e+09	3.8242e+05
1.2308e+00	6.4302e+09	3.8256e+05
1.2479e+00	6.3457e+09	3.8270e+05
1.2653e+00	6.2622e+09	3.8284e+05
1.2830e+00	6.1818e+09	3.8299e+05
1.3009e+00	6.1028e+09	3.8314e+05
1.3190e+00	6.0224e+09	3.8328e+05
1.3374e+00	5.9445e+09	3.8344e+05
1.3560e+00	5.8673e+09	3.8359e+05
1.3749e+00	5.7890e+09	3.8374e+05
1.3941e+00	5.7134e+09	3.8390e+05
1.4135e+00	5.6388e+09	3.8406e+05
1.4332e+00	5.5639e+09	3.8421e+05
1.4532e+00	5.4916e+09	3.8437e+05
1.4735e+00	5.4197e+09	3.8453e+05
1.4940e+00	5.3472e+09	3.8470e+05
1.5148e+00	5.2769e+09	3.8487e+05
1.5359e+00	5.2078e+09	3.8504e+05
1.5573e+00	5.1378e+09	3.8522e+05
1.5791e+00	5.0691e+09	3.8539e+05
1.6011e+00	5.0026e+09	3.8557e+05
1.6234e+00	4.9365e+09	3.8576e+05
1.6460e+00	4.8714e+09	3.8594e+05
1.6690e+00	4.8078e+09	3.8613e+05
1.6922e+00	4.7436e+09	3.8632e+05
1.7158e+00	4.6801e+09	3.8652e+05
1.7397e+00	4.6175e+09	3.8671e+05
1.7640e+00	4.5546e+09	3.8691e+05
1.7886e+00	4.4935e+09	3.8712e+05
1.8135e+00	4.4345e+09	3.8732e+05
1.8388e+00	4.3757e+09	3.8753e+05
1.8644e+00	4.3174e+09	3.8774e+05
1.8904e+00	4.2587e+09	3.8795e+05
1.9167e+00	4.2022e+09	3.8817e+05
1.9435e+00	4.1467e+09	3.8839e+05
1.9706e+00	4.0902e+09	3.8861e+05
1.9980e+00	4.0336e+09	3.8884e+05
2.0259e+00	3.9788e+09	3.8907e+05
2.0541e+00	3.9254e+09	3.8930e+05
2.0828e+00	3.8727e+09	3.8954e+05
2.1118e+00	3.8200e+09	3.8978e+05
2.1412e+00	3.7686e+09	3.9002e+05
2.1711e+00	3.7166e+09	3.9026e+05
2.2013e+00	3.6646e+09	3.9050e+05
2.2320e+00	3.6139e+09	3.9075e+05
2.2631e+00	3.5644e+09	3.9100e+05
2.2947e+00	3.5157e+09	3.9125e+05
2.3267e+00	3.4686e+09	3.9151e+05
2.3591e+00	3.4208e+09	3.9177e+05
2.3920e+00	3.3743e+09	3.9203e+05
2.4253e+00	3.3278e+09	3.9230e+05
2.4591e+00	3.2811e+09	3.9257e+05
2.4934e+00	3.2360e+09	3.9285e+05
2.5282e+00	3.1921e+09	3.9313e+05
2.5634e+00	3.1481e+09	3.9341e+05
2.5991e+00	3.1048e+09	3.9370e+05
2.6354e+00	3.0613e+09	3.9399e+05
2.6721e+00	3.0184e+09	3.9429e+05
2.7094e+00	2.9771e+09	3.9459e+05
2.7471e+00	2.9350e+09	3.9490e+05
2.7854e+00	2.8939e+09	3.9520e+05
2.8242e+00	2.8542e+09	3.9551e+05
2.8636e+00	2.8134e+09	3.9582e+05
2.9035e+00	2.7731e+09	3.9614e+05
2.9440e+00	2.7328e+09	3.9647e+05
2.9850e+00	2.6940e+09	3.9681e+05
3.0266e+00	2.6564e+09	3.9717e+05
3.0688e+00	2.6187e+09	3.9752e+05
3.1116e+00	2.5813e+09	3.9789e+05
3.1550e+00	2.5441e+09	3.9825e+05
3.1990e+00	2.5079e+09	3.9861e+05
3.2436e+00	2.4719e+09	3.9897e+05
3.2888e+00	2.4369e+09	3.9934e+05
3.3346e+00	2.4025e+09	3.9971e+05
3.3811e+00	2.3689e+09	4.0009e+05
3.4282e+00	2.3345e+09	4.0047e+05
3.4760e+00	2.3006e+09	4.0086e+05
3.5245e+00	2.2670e+09	4.0124e+05
3.5736e+00	2.2346e+09	4.0163e+05
3.6234e+00	2.2026e+09	4.0202e+05
3.6739e+00	2.1711e+09	4.0243e+05
3.7251e+00	2.1396e+09	4.0284e+05
3.7771e+00	2.1087e+09	4.0325e+05
3.8297e+00	2.0780e+09	4.0368e+05
3.8831e+00	2.0479e+09	4.0410e+05
3.9372e+00	2.0177e+09	4.0454e+05
3.9921e+00	1.9887e+09	4.0500e+05
4.0478e+00	1.9592e+09	4.0552e+05
4.1042e+00	1.9298e+09	4.0605e+05
4.1614e+00	1.9011e+09	4.0656e+05
4.2194e+00	1.8730e+09	4.0702e+05
4.2782e+00	1.8453e+09	4.0748e+05
4.3379e+00	1.8177e+09	4.0796e+05
4.3983e+00	1.7909e+09	4.0844e+05
4.4596e+00	1.7641e+09	4.0894e+05
4.5218e+00	1.7378e+09	4.0943e+05
4.5848e+00	1.7114e+09	4.0994e+05
4.6487e+00	1.6852e+09	4.1045e+05
4.7135e+00	1.6602e+09	4.1097e+05
4.7792e+00	1.6353e+09	4.1148e+05
4.8459e+00	1.6105e+09	4.1200e+05
4.9134e+00	1.5856e+09	4.1253e+05
4.9819e+00	1.5613e+09	4.1307e+05
5.0513e+00	1.5371e+09	4.1362e+05
5.1218e+00	1.5137e+09	4.1416e+05
5.1932e+00	1.4903e+09	4.1473e+05
5.2655e+00	1.4669e+09	4.1529e+05
5.3389e+00	1.4444e+09	4.1586e+05
5.4134e+00	1.4219e+09	4.1644e+05
5.4888e+00	1.3999e+09	4.1702e+05
5.5653e+00	1.3782e+09	4.1762e+05
5.6429e+00	1.3568e+09	4.1820e+05
5.7216e+00	1.3357e+09	4.1881e+05
5.8013e+00	1.3151e+09	4.1944e+05
5.8822e+00	1.2942e+09	4.2007e+05
5.9642e+00	1.2737e+09	4.2070e+05
6.0473e+00	1.2535e+09	4.2133e+05
6.1316e+00	1.2341e+09	4.2198e+05
6.2171e+00	1.2148e+09	4.2265e+05
6.3038e+00	1.1954e+09	4.2332e+05
6.3916e+00	1.1766e+09	4.2400e+05
6.4807e+00	1.1572e+09	4.2468e+05
6.5711e+00	1.1386e+09	4.2537e+05
6.6627e+00	1.1205e+09	4.2606e+05
6.7555e+00	1.1025e+09	4.2676e+05
6.8497e+00	1.0846e+09	4.2746e+05
6.9452e+00	1.0671e+09	4.2817e+05
7.0420e+00	1.0495e+09	4.2884e+05
7.1402e+00	1.0324e+09	4.2956e+05
7.2397e+00	1.0154e+09	4.3030e+05
7.3406e+00	9.9846e+08	4.3107e+05
7.4429e+00	9.8176e+08	4.3185e+05
7.5467e+00	9.6556e+08	4.3262e+05
7.6519e+00	9.4949e+08	4.3340e+05
7.7585e+00	9.3356e+08	4.3419e+05
7.8667e+00	9.1791e+08	4.3498e+05
7.9763e+00	9.0257e+08	4.3579e+05
8.0875e+00	8.8731e+08	4.3659e+05
8.2003e+00	8.7254e+08	4.3741e+05
8.3146e+00	8.5786e+08	4.3823e+05
8.4305e+00	8.4321e+08	4.3899e+05
8.5480e+00	8.2895e+08	4.3985e+05
8.6671e+00	8.1491e+08	4.4071e+05
8.7880e+00	8.0094e+08	4.4159e+05
8.9105e+00	7.8696e+08	4.4247e+05
9.0347e+00	7.7331e+08	4.4336e+05
9.1606e+00	7.5980e+08	4.4427e+05
9.2883e+00	7.4654e+08	4.4518e+05
9.4178e+00	7.3318e+08	4.4612e+05
9.5490e+00	7.2026e+08	4.4708e+05
9.6822e+00	7.0768e+08	4.4801e+05
9.8171e+00	6.9520e+08	4.4900e+05
9.9540e+00	6.8267e+08	4.4999e+05
1.0093e+01	6.7061e+08	4.5098e+05
1.0233e+01	6.5838e+08	4.5197e+05
1.0376e+01	6.4641e+08	4.5296e+05
1.0521e+01	6.3474e+08	4.5398e+05
1.0667e+01	6.2330e+08	4.5500e+05
1.0816e+01	6.1194e+08	4.5599e+05
1.0967e+01	6.0069e+08	4.5699e+05
1.1120e+01	5.8966e+08	4.5803e+05
1.1275e+01	5.7872e+08	4.5907e+05
1.1432e+01	5.6783e+08	4.6013e+05
1.1591e+01	5.5715e+08	4.6122e+05
1.1753e+01	5.4654e+08	4.6233e+05
1.1917e+01	5.3615e+08	4.6343e+05
1.2083e+01	5.2587e+08	4.6452e+05
1.2251e+01	5.1574e+08	4.6566e+05
1.2422e+01	5.0581e+08	4.6681e+05
1.2595e+01	4.9609e+08	4.6797e+05
1.2771e+01	4.8638e+08	4.6916e+05
1.2949e+01	4.7691e+08	4.7032e+05
1.3129e+01	4.6759e+08	4.7148e+05
1.3312e+01	4.5838e+08	4.7257e+05
1.3498e+01	4.4931e+08	4.7373e+05
1.3686e+01	4.4034e+08	4.7488e+05
1.3877e+01	4.3149e+08	4.7610e+05
1.4070e+01	4.2271e+08	4.7730e+05
1.4266e+01	4.1419e+08	4.7851e+05
1.4465e+01	4.0573e+08	4.7965e+05
1.4667e+01	3.9739e+08	4.8087e+05
1.4871e+01	3.8923e+08	4.8220e+05
1.5078e+01	3.8111e+08	4.8345e+05
1.5289e+01	3.7326e+08	4.8469e+05
1.5502e+01	3.6544e+08	4.8595e+05
1.5718e+01	3.5775e+08	4.8711e+05
