# Energy(MeV) Phi16_Planare Phi84_Planare
1.000000e+00 1.709180e+09 2.252121e+09
1.013939e+00 1.688711e+09 2.220523e+09
1.028073e+00 1.668473e+09 2.189218e+09
1.042404e+00 1.648460e+09 2.158702e+09
1.056935e+00 1.628093e+09 2.128587e+09
1.071668e+00 1.608627e+09 2.098765e+09
1.086606e+00 1.589478e+09 2.068912e+09
1.101753e+00 1.570332e+09 2.039374e+09
1.117111e+00 1.551238e+09 2.010480e+09
1.132683e+00 1.532361e+09 1.982346e+09
1.148472e+00 1.513700e+09 1.954712e+09
1.164481e+00 1.495251e+09 1.927407e+09
1.180713e+00 1.477013e+09 1.900554e+09
1.197171e+00 1.458982e+09 1.874075e+09
1.213859e+00 1.441157e+09 1.847895e+09
1.230780e+00 1.423633e+09 1.822165e+09
1.247936e+00 1.406386e+09 1.796724e+09
1.265332e+00 1.389333e+09 1.771622e+09
1.282970e+00 1.372248e+09 1.746810e+09
1.300854e+00 1.355323e+09 1.722308e+09
1.318987e+00 1.338858e+09 1.698115e+09
1.337373e+00 1.322109e+09 1.674247e+09
1.356015e+00 1.305990e+09 1.650622e+09
1.374917e+00 1.290101e+09 1.627407e+09
1.394083e+00 1.273882e+09 1.604233e+09
1.413516e+00 1.257824e+09 1.581356e+09
1.433219e+00 1.242434e+09 1.558816e+09
1.453198e+00 1.227303e+09 1.536780e+09
1.473454e+00 1.212341e+09 1.515039e+09
1.493993e+00 1.197547e+09 1.493589e+09
1.514819e+00 1.182917e+09 1.472426e+09
1.535935e+00 1.168037e+09 1.451541e+09
1.557345e+00 1.153156e+09 1.430890e+09
1.579053e+00 1.138516e+09 1.410318e+09
1.601064e+00 1.124548e+09 1.390349e+09
1.623382e+00 1.110566e+09 1.370490e+09
1.646012e+00 1.096843e+09 1.351070e+09
1.668956e+00 1.083457e+09 1.331707e+09
1.692220e+00 1.069930e+09 1.312662e+09
1.715809e+00 1.057012e+09 1.293728e+09
1.739726e+00 1.044234e+09 1.275052e+09
1.763977e+00 1.031161e+09 1.255910e+09
1.788566e+00 1.018325e+09 1.237898e+09
1.813498e+00 1.005754e+09 1.220438e+09
1.838777e+00 9.929863e+08 1.202812e+09
1.864409e+00 9.804074e+08 1.185382e+09
1.890397e+00 9.681915e+08 1.168324e+09
1.916748e+00 9.561118e+08 1.151419e+09
1.943467e+00 9.441669e+08 1.134860e+09
1.970558e+00 9.323338e+08 1.118771e+09
1.998026e+00 9.202789e+08 1.102463e+09
2.025878e+00 9.083896e+08 1.086453e+09
2.054117e+00 8.966391e+08 1.070691e+09
2.082751e+00 8.851376e+08 1.055085e+09
2.111783e+00 8.739458e+08 1.040009e+09
2.141220e+00 8.629205e+08 1.024766e+09
2.171068e+00 8.518146e+08 1.009477e+09
2.201331e+00 8.408264e+08 9.948707e+08
2.232016e+00 8.299076e+08 9.805905e+08
2.263130e+00 8.192372e+08 9.661990e+08
2.294676e+00 8.089975e+08 9.519756e+08
2.326663e+00 7.985379e+08 9.379296e+08
2.359095e+00 7.880471e+08 9.239731e+08
2.391980e+00 7.778731e+08 9.106196e+08
2.425323e+00 7.678997e+08 8.974482e+08
2.459130e+00 7.580539e+08 8.845483e+08
2.493409e+00 7.484695e+08 8.720076e+08
2.528166e+00 7.387079e+08 8.591421e+08
2.563407e+00 7.289712e+08 8.464157e+08
2.599140e+00 7.192254e+08 8.338589e+08
2.635371e+00 7.099161e+08 8.215536e+08
2.672106e+00 7.006044e+08 8.095636e+08
2.709354e+00 6.916583e+08 7.976009e+08
2.747121e+00 6.826497e+08 7.857831e+08
2.785414e+00 6.734220e+08 7.742313e+08
2.824241e+00 6.643893e+08 7.627815e+08
2.863610e+00 6.551217e+08 7.512222e+08
2.903527e+00 6.464025e+08 7.401300e+08
2.944000e+00 6.380100e+08 7.292723e+08
2.985038e+00 6.298553e+08 7.184506e+08
3.026648e+00 6.215451e+08 7.077184e+08
3.068838e+00 6.132511e+08 6.971687e+08
3.111616e+00 6.049252e+08 6.867523e+08
3.154990e+00 5.969853e+08 6.764599e+08
3.198969e+00 5.888348e+08 6.662894e+08
3.243561e+00 5.808253e+08 6.562437e+08
3.288774e+00 5.730497e+08 6.462747e+08
3.334618e+00 5.653923e+08 6.366901e+08
3.381101e+00 5.575572e+08 6.270758e+08
3.428231e+00 5.498325e+08 6.175484e+08
3.476019e+00 5.424565e+08 6.083493e+08
3.524473e+00 5.346992e+08 5.991727e+08
3.573602e+00 5.276308e+08 5.900352e+08
3.623416e+00 5.203449e+08 5.810688e+08
3.673925e+00 5.132673e+08 5.723208e+08
3.725137e+00 5.060991e+08 5.635533e+08
3.777064e+00 4.991368e+08 5.548284e+08
3.829714e+00 4.921547e+08 5.464318e+08
3.883098e+00 4.852413e+08 5.379758e+08
3.937226e+00 4.784895e+08 5.297014e+08
3.992109e+00 4.720088e+08 5.215380e+08
