# Energy(MeV) Fluence_Planare_Median(cm^-2*MeV^-1)
1.000000e+00 1.959924e+09
1.013939e+00 1.934236e+09
1.028073e+00 1.908871e+09
1.042404e+00 1.883824e+09
1.056935e+00 1.859090e+09
1.071668e+00 1.834667e+09
1.086606e+00 1.810670e+09
1.101753e+00 1.786884e+09
1.117111e+00 1.763570e+09
1.132683e+00 1.740544e+09
1.148472e+00 1.717805e+09
1.164481e+00 1.695232e+09
1.180713e+00 1.672925e+09
1.197171e+00 1.650863e+09
1.213859e+00 1.629071e+09
1.230780e+00 1.607553e+09
1.247936e+00 1.586423e+09
1.265332e+00 1.565558e+09
1.282970e+00 1.545448e+09
1.300854e+00 1.525692e+09
1.318987e+00 1.505601e+09
1.337373e+00 1.486115e+09
1.356015e+00 1.466818e+09
1.374917e+00 1.447253e+09
1.394083e+00 1.428345e+09
1.413516e+00 1.409692e+09
1.433219e+00 1.390974e+09
1.453198e+00 1.372907e+09
1.473454e+00 1.354916e+09
1.493993e+00 1.336791e+09
1.514819e+00 1.319229e+09
1.535935e+00 1.301947e+09
1.557345e+00 1.284462e+09
1.579053e+00 1.267279e+09
1.601064e+00 1.250649e+09
1.623382e+00 1.234132e+09
1.646012e+00 1.217862e+09
1.668956e+00 1.201958e+09
1.692220e+00 1.185897e+09
1.715809e+00 1.170016e+09
1.739726e+00 1.154371e+09
1.763977e+00 1.138657e+09
1.788566e+00 1.123382e+09
1.813498e+00 1.108614e+09
1.838777e+00 1.093920e+09
1.864409e+00 1.079357e+09
1.890397e+00 1.064669e+09
1.916748e+00 1.050552e+09
1.943467e+00 1.036682e+09
1.970558e+00 1.022544e+09
1.998026e+00 1.008393e+09
2.025878e+00 9.947034e+08
2.054117e+00 9.813532e+08
2.082751e+00 9.681759e+08
2.111783e+00 9.550026e+08
2.141220e+00 9.421374e+08
2.171068e+00 9.291489e+08
2.201331e+00 9.161569e+08
2.232016e+00 9.034635e+08
2.263130e+00 8.910892e+08
2.294676e+00 8.789337e+08
2.326663e+00 8.671494e+08
2.359095e+00 8.552103e+08
2.391980e+00 8.435729e+08
2.425323e+00 8.319618e+08
2.459130e+00 8.202665e+08
2.493409e+00 8.090051e+08
2.528166e+00 7.980147e+08
2.563407e+00 7.870278e+08
2.599140e+00 7.761876e+08
2.635371e+00 7.653267e+08
2.672106e+00 7.545997e+08
2.709354e+00 7.442769e+08
2.747121e+00 7.337386e+08
2.785414e+00 7.234781e+08
2.824241e+00 7.135537e+08
2.863610e+00 7.033503e+08
2.903527e+00 6.932705e+08
2.944000e+00 6.831974e+08
2.985038e+00 6.734882e+08
3.026648e+00 6.641084e+08
3.068838e+00 6.546788e+08
3.111616e+00 6.453161e+08
3.154990e+00 6.360153e+08
3.198969e+00 6.269750e+08
3.243561e+00 6.179809e+08
3.288774e+00 6.092299e+08
3.334618e+00 6.006292e+08
3.381101e+00 5.922204e+08
3.428231e+00 5.836218e+08
3.476019e+00 5.751532e+08
3.524473e+00 5.667453e+08
3.573602e+00 5.586591e+08
3.623416e+00 5.506524e+08
3.673925e+00 5.427716e+08
3.725137e+00 5.349119e+08
3.777064e+00 5.271838e+08
3.829714e+00 5.195075e+08
3.883098e+00 5.119700e+08
3.937226e+00 5.044159e+08
3.992109e+00 4.971840e+08
4.047757e+00 4.898122e+08
4.104181e+00 4.824554e+08
4.161391e+00 4.752710e+08
4.219398e+00 4.682602e+08
4.278214e+00 4.613129e+08
4.337850e+00 4.544315e+08
4.398317e+00 4.477237e+08
4.459628e+00 4.410311e+08
4.521792e+00 4.344529e+08
4.584824e+00 4.278603e+08
4.648734e+00 4.213038e+08
4.713535e+00 4.150489e+08
4.779239e+00 4.088328e+08
4.845859e+00 4.026182e+08
4.913407e+00 3.964073e+08
4.981898e+00 3.903130e+08
5.051342e+00 3.842779e+08
5.121755e+00 3.784172e+08
5.193150e+00 3.725845e+08
5.265540e+00 3.667308e+08
5.338938e+00 3.610882e+08
5.413360e+00 3.554652e+08
5.488820e+00 3.499815e+08
5.565331e+00 3.445423e+08
5.642908e+00 3.392031e+08
5.721568e+00 3.339128e+08
5.801323e+00 3.287703e+08
5.882190e+00 3.235447e+08
5.964185e+00 3.184364e+08
6.047322e+00 3.133755e+08
6.131619e+00 3.085319e+08
6.217090e+00 3.037008e+08
6.303753e+00 2.988470e+08
6.391624e+00 2.941512e+08
6.480720e+00 2.893039e+08
6.571058e+00 2.846574e+08
6.662655e+00 2.801216e+08
6.755528e+00 2.756193e+08
6.849697e+00 2.711497e+08
6.945178e+00 2.667657e+08
7.041990e+00 2.623835e+08
7.140151e+00 2.580959e+08
7.239681e+00 2.538460e+08
7.340598e+00 2.496156e+08
7.442922e+00 2.454404e+08
7.546673e+00 2.413896e+08
7.651869e+00 2.373727e+08
7.758532e+00 2.333895e+08
