# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.000000e+00 6.836721e+09 9.008483e+09
1.013939e+00 6.754845e+09 8.882094e+09
1.028073e+00 6.673891e+09 8.756873e+09
1.042404e+00 6.593839e+09 8.634808e+09
1.056935e+00 6.512373e+09 8.514350e+09
1.071668e+00 6.434510e+09 8.395061e+09
1.086606e+00 6.357913e+09 8.275646e+09
1.101753e+00 6.281328e+09 8.157496e+09
1.117111e+00 6.204951e+09 8.041921e+09
1.132683e+00 6.129445e+09 7.929383e+09
1.148472e+00 6.054799e+09 7.818848e+09
1.164481e+00 5.981005e+09 7.709628e+09
1.180713e+00 5.908051e+09 7.602216e+09
1.197171e+00 5.835929e+09 7.496298e+09
1.213859e+00 5.764629e+09 7.391581e+09
1.230780e+00 5.694531e+09 7.288661e+09
1.247936e+00 5.625544e+09 7.186896e+09
1.265332e+00 5.557333e+09 7.086488e+09
1.282970e+00 5.488991e+09 6.987241e+09
1.300854e+00 5.421290e+09 6.889231e+09
1.318987e+00 5.355433e+09 6.792461e+09
1.337373e+00 5.288437e+09 6.696987e+09
1.356015e+00 5.223959e+09 6.602486e+09
1.374917e+00 5.160404e+09 6.509630e+09
1.394083e+00 5.095528e+09 6.416933e+09
1.413516e+00 5.031295e+09 6.325425e+09
1.433219e+00 4.969734e+09 6.235263e+09
1.453198e+00 4.909211e+09 6.147118e+09
1.473454e+00 4.849365e+09 6.060154e+09
1.493993e+00 4.790186e+09 5.974355e+09
1.514819e+00 4.731669e+09 5.889705e+09
1.535935e+00 4.672146e+09 5.806164e+09
1.557345e+00 4.612623e+09 5.723558e+09
1.579053e+00 4.554066e+09 5.641273e+09
1.601064e+00 4.498194e+09 5.561397e+09
1.623382e+00 4.442263e+09 5.481962e+09
1.646012e+00 4.387371e+09 5.404278e+09
1.668956e+00 4.333827e+09 5.326827e+09
1.692220e+00 4.279720e+09 5.250649e+09
1.715809e+00 4.228050e+09 5.174912e+09
1.739726e+00 4.176937e+09 5.100207e+09
1.763977e+00 4.124644e+09 5.023639e+09
1.788566e+00 4.073301e+09 4.951592e+09
1.813498e+00 4.023017e+09 4.881753e+09
1.838777e+00 3.971945e+09 4.811247e+09
1.864409e+00 3.921630e+09 4.741529e+09
1.890397e+00 3.872766e+09 4.673294e+09
1.916748e+00 3.824447e+09 4.605674e+09
1.943467e+00 3.776668e+09 4.539442e+09
1.970558e+00 3.729335e+09 4.475082e+09
1.998026e+00 3.681115e+09 4.409852e+09
2.025878e+00 3.633558e+09 4.345810e+09
2.054117e+00 3.586556e+09 4.282764e+09
2.082751e+00 3.540550e+09 4.220341e+09
2.111783e+00 3.495783e+09 4.160035e+09
2.141220e+00 3.451682e+09 4.099063e+09
2.171068e+00 3.407258e+09 4.037908e+09
2.201331e+00 3.363305e+09 3.979483e+09
2.232016e+00 3.319630e+09 3.922362e+09
2.263130e+00 3.276949e+09 3.864796e+09
2.294676e+00 3.235990e+09 3.807902e+09
2.326663e+00 3.194152e+09 3.751718e+09
2.359095e+00 3.152188e+09 3.695892e+09
2.391980e+00 3.111492e+09 3.642478e+09
2.425323e+00 3.071599e+09 3.589793e+09
2.459130e+00 3.032215e+09 3.538193e+09
2.493409e+00 2.993878e+09 3.488031e+09
2.528166e+00 2.954832e+09 3.436568e+09
2.563407e+00 2.915885e+09 3.385663e+09
2.599140e+00 2.876902e+09 3.335436e+09
2.635371e+00 2.839664e+09 3.286214e+09
2.672106e+00 2.802417e+09 3.238254e+09
2.709354e+00 2.766633e+09 3.190403e+09
2.747121e+00 2.730599e+09 3.143132e+09
2.785414e+00 2.693688e+09 3.096925e+09
2.824241e+00 2.657557e+09 3.051126e+09
2.863610e+00 2.620487e+09 3.004889e+09
2.903527e+00 2.585610e+09 2.960520e+09
2.944000e+00 2.552040e+09 2.917089e+09
2.985038e+00 2.519421e+09 2.873803e+09
3.026648e+00 2.486181e+09 2.830874e+09
3.068838e+00 2.453004e+09 2.788675e+09
3.111616e+00 2.419701e+09 2.747009e+09
3.154990e+00 2.387941e+09 2.705840e+09
3.198969e+00 2.355339e+09 2.665158e+09
3.243561e+00 2.323301e+09 2.624975e+09
3.288774e+00 2.292199e+09 2.585099e+09
3.334618e+00 2.261569e+09 2.546761e+09
3.381101e+00 2.230229e+09 2.508303e+09
3.428231e+00 2.199330e+09 2.470194e+09
3.476019e+00 2.169826e+09 2.433397e+09
3.524473e+00 2.138797e+09 2.396691e+09
3.573602e+00 2.110523e+09 2.360141e+09
3.623416e+00 2.081379e+09 2.324275e+09
3.673925e+00 2.053069e+09 2.289283e+09
3.725137e+00 2.024396e+09 2.254213e+09
3.777064e+00 1.996547e+09 2.219313e+09
3.829714e+00 1.968619e+09 2.185727e+09
3.883098e+00 1.940965e+09 2.151903e+09
3.937226e+00 1.913958e+09 2.118806e+09
3.992109e+00 1.888035e+09 2.086152e+09
4.047757e+00 1.862178e+09 2.054124e+09
4.104181e+00 1.836310e+09 2.022069e+09
4.161391e+00 1.811457e+09 1.991435e+09
4.219398e+00 1.786918e+09 1.961091e+09
4.278214e+00 1.761696e+09 1.930476e+09
4.337850e+00 1.735650e+09 1.900158e+09
4.398317e+00 1.710237e+09 1.871672e+09
4.459628e+00 1.685004e+09 1.843064e+09
4.521792e+00 1.659996e+09 1.814107e+09
4.584824e+00 1.636177e+09 1.785895e+09
4.648734e+00 1.612801e+09 1.758707e+09
4.713535e+00 1.590268e+09 1.731790e+09
4.779239e+00 1.567405e+09 1.704050e+09
4.845859e+00 1.544505e+09 1.677429e+09
4.913407e+00 1.522100e+09 1.651008e+09
4.981898e+00 1.500711e+09 1.625513e+09
5.051342e+00 1.478614e+09 1.600082e+09
5.121755e+00 1.456781e+09 1.575132e+09
5.193150e+00 1.435086e+09 1.550561e+09
5.265540e+00 1.414259e+09 1.526418e+09
5.338938e+00 1.393388e+09 1.501845e+09
5.413360e+00 1.372502e+09 1.477599e+09
5.488820e+00 1.352275e+09 1.454184e+09
5.565331e+00 1.331552e+09 1.430528e+09
5.642908e+00 1.311319e+09 1.407635e+09
5.721568e+00 1.291267e+09 1.385242e+09
5.801323e+00 1.271673e+09 1.362963e+09
5.882190e+00 1.252614e+09 1.340734e+09
5.964185e+00 1.233664e+09 1.318813e+09
6.047322e+00 1.215292e+09 1.297619e+09
6.131619e+00 1.196216e+09 1.275749e+09
6.217090e+00 1.177599e+09 1.254885e+09
6.303753e+00 1.159209e+09 1.234647e+09
6.391624e+00 1.140812e+09 1.214534e+09
6.480720e+00 1.122845e+09 1.194244e+09
6.571058e+00 1.105183e+09 1.174641e+09
6.662655e+00 1.087811e+09 1.155641e+09
6.755528e+00 1.070936e+09 1.136582e+09
6.849697e+00 1.053700e+09 1.117625e+09
6.945178e+00 1.036996e+09 1.099350e+09
7.041990e+00 1.020670e+09 1.081402e+09
7.140151e+00 1.004413e+09 1.063155e+09
7.239681e+00 9.883249e+08 1.045353e+09
7.340598e+00 9.722994e+08 1.027685e+09
7.442922e+00 9.563912e+08 1.010730e+09
7.546673e+00 9.408552e+08 9.938842e+08
7.651869e+00 9.252906e+08 9.772989e+08
7.758532e+00 9.100648e+08 9.598025e+08
7.866682e+00 8.951500e+08 9.431906e+08
7.976339e+00 8.800568e+08 9.272522e+08
8.087525e+00 8.652385e+08 9.115566e+08
8.200261e+00 8.505474e+08 8.958147e+08
8.314568e+00 8.363083e+08 8.802876e+08
8.430468e+00 8.224737e+08 8.650880e+08
8.547985e+00 8.084831e+08 8.501078e+08
8.667139e+00 7.947589e+08 8.355096e+08
8.787954e+00 7.810134e+08 8.208771e+08
8.910453e+00 7.674666e+08 8.064896e+08
9.034660e+00 7.539715e+08 7.923488e+08
9.160598e+00 7.408894e+08 7.784016e+08
9.288292e+00 7.278848e+08 7.645721e+08
9.417766e+00 7.151032e+08 7.508729e+08
9.549045e+00 7.024994e+08 7.376493e+08
9.682153e+00 6.899810e+08 7.243925e+08
9.817117e+00 6.776693e+08 7.113787e+08
9.953962e+00 6.655224e+08 6.987875e+08
1.009272e+01 6.534405e+08 6.864202e+08
1.023340e+01 6.416166e+08 6.740443e+08
1.037605e+01 6.299842e+08 6.617768e+08
1.052069e+01 6.184549e+08 6.498493e+08
1.066734e+01 6.071322e+08 6.381774e+08
1.081604e+01 5.958514e+08 6.264923e+08
1.096681e+01 5.848158e+08 6.147867e+08
1.111968e+01 5.740434e+08 6.034013e+08
1.127468e+01 5.631549e+08 5.922963e+08
1.143184e+01 5.525329e+08 5.813063e+08
1.159120e+01 5.419637e+08 5.704238e+08
1.175277e+01 5.318127e+08 5.595936e+08
1.191660e+01 5.218428e+08 5.487799e+08
1.208271e+01 5.117774e+08 5.382847e+08
1.225114e+01 5.018126e+08 5.278750e+08
1.242191e+01 4.920665e+08 5.178190e+08
1.259506e+01 4.824718e+08 5.077672e+08
1.277063e+01 4.730278e+08 4.978318e+08
1.294865e+01 4.636686e+08 4.880096e+08
1.312915e+01 4.544926e+08 4.783888e+08
1.331216e+01 4.454430e+08 4.690161e+08
1.349772e+01 4.366252e+08 4.598398e+08
1.368587e+01 4.277598e+08 4.506738e+08
1.387665e+01 4.191091e+08 4.414444e+08
1.407008e+01 4.107684e+08 4.327076e+08
1.426621e+01 4.022953e+08 4.239863e+08
1.446507e+01 3.940611e+08 4.153733e+08
1.466671e+01 3.859238e+08 4.067756e+08
1.487115e+01 3.778794e+08 3.985013e+08
1.507845e+01 3.700746e+08 3.902237e+08
1.528864e+01 3.622657e+08 3.820316e+08
1.550175e+01 3.547062e+08 3.741064e+08
1.571784e+01 3.471857e+08 3.663231e+08
1.593694e+01 3.398392e+08 3.585212e+08
1.615909e+01 3.324867e+08 3.509178e+08
1.638434e+01 3.252732e+08 3.433985e+08
1.661273e+01 3.182244e+08 3.360417e+08
1.684430e+01 3.113701e+08 3.287547e+08
1.707910e+01 3.046772e+08 3.215417e+08
1.731717e+01 2.980685e+08 3.144479e+08
1.755856e+01 2.915240e+08 3.074823e+08
1.780332e+01 2.849372e+08 3.006655e+08
1.805149e+01 2.785098e+08 2.939531e+08
1.830312e+01 2.722209e+08 2.873554e+08
1.855825e+01 2.660509e+08 2.808530e+08
1.881694e+01 2.599526e+08 2.744671e+08
1.907924e+01 2.540327e+08 2.681617e+08
1.934520e+01 2.481843e+08 2.619939e+08
1.961486e+01 2.424270e+08 2.558843e+08
1.988828e+01 2.367393e+08 2.499072e+08
2.016551e+01 2.311519e+08 2.439672e+08
2.044661e+01 2.256513e+08 2.381880e+08
2.073162e+01 2.202532e+08 2.325779e+08
2.102061e+01 2.149241e+08 2.269608e+08
2.131362e+01 2.097432e+08 2.215243e+08
2.161073e+01 2.046384e+08 2.161218e+08
2.191197e+01 1.996281e+08 2.108309e+08
2.221741e+01 1.946969e+08 2.056428e+08
2.252711e+01 1.898387e+08 2.006245e+08
2.284112e+01 1.850826e+08 1.956462e+08
2.315951e+01 1.803716e+08 1.907120e+08
2.348235e+01 1.758539e+08 1.858547e+08
2.380968e+01 1.714152e+08 1.811713e+08
2.414157e+01 1.669926e+08 1.765156e+08
2.447809e+01 1.625852e+08 1.719688e+08
2.481930e+01 1.583517e+08 1.675220e+08
2.516527e+01 1.541437e+08 1.631153e+08
2.551606e+01 1.500301e+08 1.588230e+08
2.587174e+01 1.460572e+08 1.545687e+08
2.623238e+01 1.420797e+08 1.504422e+08
2.659804e+01 1.381787e+08 1.464295e+08
2.696881e+01 1.344115e+08 1.424905e+08
2.734474e+01 1.307545e+08 1.386487e+08
2.772591e+01 1.271147e+08 1.348115e+08
2.811239e+01 1.234883e+08 1.311024e+08
2.850426e+01 1.199547e+08 1.274054e+08
2.890160e+01 1.164003e+08 1.238476e+08
2.930447e+01 1.130892e+08 1.203964e+08
2.971296e+01 1.098633e+08 1.169625e+08
3.012714e+01 1.066635e+08 1.135730e+08
3.054710e+01 1.034935e+08 1.102563e+08
3.097291e+01 1.003906e+08 1.070143e+08
3.140465e+01 9.739507e+07 1.038717e+08
3.184242e+01 9.449727e+07 1.008272e+08
3.228628e+01 9.168844e+07 9.777057e+07
3.273634e+01 8.887719e+07 9.480552e+07
3.319266e+01 8.608748e+07 9.191025e+07
3.365535e+01 8.340670e+07 8.910946e+07
3.412449e+01 8.077410e+07 8.635946e+07
3.460016e+01 7.820818e+07 8.369231e+07
3.508247e+01 7.566632e+07 8.108352e+07
3.557150e+01 7.323087e+07 7.855476e+07
3.606735e+01 7.088986e+07 7.607826e+07
3.657011e+01 6.856435e+07 7.366909e+07
3.707988e+01 6.628347e+07 7.131926e+07
