# Energy(MeV) Fluence_Sferica_Median(cm^-2*MeV^-1)
1.000000e+00 7.839695e+09
1.013939e+00 7.736946e+09
1.028073e+00 7.635484e+09
1.042404e+00 7.535295e+09
1.056935e+00 7.436362e+09
1.071668e+00 7.338669e+09
1.086606e+00 7.242681e+09
1.101753e+00 7.147535e+09
1.117111e+00 7.054278e+09
1.132683e+00 6.962178e+09
1.148472e+00 6.871218e+09
1.164481e+00 6.780929e+09
1.180713e+00 6.691699e+09
1.197171e+00 6.603452e+09
1.213859e+00 6.516285e+09
1.230780e+00 6.430210e+09
1.247936e+00 6.345692e+09
1.265332e+00 6.262231e+09
1.282970e+00 6.181792e+09
1.300854e+00 6.102768e+09
1.318987e+00 6.022404e+09
1.337373e+00 5.944460e+09
1.356015e+00 5.867273e+09
1.374917e+00 5.789012e+09
1.394083e+00 5.713381e+09
1.413516e+00 5.638768e+09
1.433219e+00 5.563895e+09
1.453198e+00 5.491628e+09
1.473454e+00 5.419665e+09
1.493993e+00 5.347165e+09
1.514819e+00 5.276915e+09
1.535935e+00 5.207790e+09
1.557345e+00 5.137847e+09
1.579053e+00 5.069117e+09
1.601064e+00 5.002595e+09
1.623382e+00 4.936529e+09
1.646012e+00 4.871447e+09
1.668956e+00 4.807833e+09
1.692220e+00 4.743587e+09
1.715809e+00 4.680064e+09
1.739726e+00 4.617484e+09
1.763977e+00 4.554629e+09
1.788566e+00 4.493526e+09
1.813498e+00 4.434456e+09
1.838777e+00 4.375680e+09
1.864409e+00 4.317429e+09
1.890397e+00 4.258676e+09
1.916748e+00 4.202206e+09
1.943467e+00 4.146726e+09
1.970558e+00 4.090177e+09
1.998026e+00 4.033572e+09
2.025878e+00 3.978814e+09
2.054117e+00 3.925413e+09
2.082751e+00 3.872703e+09
2.111783e+00 3.820011e+09
2.141220e+00 3.768550e+09
2.171068e+00 3.716596e+09
2.201331e+00 3.664628e+09
2.232016e+00 3.613854e+09
2.263130e+00 3.564357e+09
2.294676e+00 3.515735e+09
2.326663e+00 3.468598e+09
2.359095e+00 3.420841e+09
2.391980e+00 3.374292e+09
2.425323e+00 3.327847e+09
2.459130e+00 3.281066e+09
2.493409e+00 3.236020e+09
2.528166e+00 3.192059e+09
2.563407e+00 3.148111e+09
2.599140e+00 3.104751e+09
2.635371e+00 3.061307e+09
2.672106e+00 3.018399e+09
2.709354e+00 2.977108e+09
2.747121e+00 2.934954e+09
2.785414e+00 2.893912e+09
2.824241e+00 2.854215e+09
2.863610e+00 2.813401e+09
2.903527e+00 2.773082e+09
2.944000e+00 2.732789e+09
2.985038e+00 2.693953e+09
3.026648e+00 2.656433e+09
3.068838e+00 2.618715e+09
3.111616e+00 2.581264e+09
3.154990e+00 2.544061e+09
3.198969e+00 2.507900e+09
3.243561e+00 2.471923e+09
3.288774e+00 2.436920e+09
3.334618e+00 2.402517e+09
3.381101e+00 2.368882e+09
3.428231e+00 2.334487e+09
3.476019e+00 2.300613e+09
3.524473e+00 2.266981e+09
3.573602e+00 2.234637e+09
3.623416e+00 2.202610e+09
3.673925e+00 2.171087e+09
3.725137e+00 2.139648e+09
3.777064e+00 2.108735e+09
3.829714e+00 2.078030e+09
3.883098e+00 2.047880e+09
3.937226e+00 2.017663e+09
3.992109e+00 1.988736e+09
4.047757e+00 1.959249e+09
4.104181e+00 1.929821e+09
4.161391e+00 1.901084e+09
4.219398e+00 1.873041e+09
4.278214e+00 1.845252e+09
4.337850e+00 1.817726e+09
4.398317e+00 1.790895e+09
4.459628e+00 1.764124e+09
4.521792e+00 1.737812e+09
4.584824e+00 1.711441e+09
4.648734e+00 1.685215e+09
4.713535e+00 1.660196e+09
4.779239e+00 1.635331e+09
4.845859e+00 1.610473e+09
4.913407e+00 1.585629e+09
