# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 7.918518e+08
1.013939e+00 7.851840e+08
1.028073e+00 7.786491e+08
1.042404e+00 7.721214e+08
1.056935e+00 7.656214e+08
1.071668e+00 7.591686e+08
1.086606e+00 7.528203e+08
1.101753e+00 7.464723e+08
1.117111e+00 7.400285e+08
1.132683e+00 7.337302e+08
1.148472e+00 7.274702e+08
1.164481e+00 7.212595e+08
1.180713e+00 7.149474e+08
1.197171e+00 7.086594e+08
1.213859e+00 7.024191e+08
1.230780e+00 6.964565e+08
1.247936e+00 6.906753e+08
1.265332e+00 6.848366e+08
1.282970e+00 6.790188e+08
1.300854e+00 6.730845e+08
1.318987e+00 6.673072e+08
1.337373e+00 6.616251e+08
1.356015e+00 6.559770e+08
1.374917e+00 6.503984e+08
1.394083e+00 6.448948e+08
1.413516e+00 6.395228e+08
1.433219e+00 6.339173e+08
1.453198e+00 6.284523e+08
1.473454e+00 6.228896e+08
1.493993e+00 6.177424e+08
1.514819e+00 6.123950e+08
1.535935e+00 6.067908e+08
1.557345e+00 6.013586e+08
1.579053e+00 5.961903e+08
1.601064e+00 5.910571e+08
1.623382e+00 5.858467e+08
1.646012e+00 5.806103e+08
1.668956e+00 5.756978e+08
1.692220e+00 5.706957e+08
1.715809e+00 5.656142e+08
1.739726e+00 5.605299e+08
1.763977e+00 5.553510e+08
1.788566e+00 5.502475e+08
1.813498e+00 5.454269e+08
1.838777e+00 5.407383e+08
1.864409e+00 5.360178e+08
1.890397e+00 5.313094e+08
1.916748e+00 5.265935e+08
1.943467e+00 5.217634e+08
1.970558e+00 5.169191e+08
1.998026e+00 5.122067e+08
2.025878e+00 5.075784e+08
2.054117e+00 5.030971e+08
2.082751e+00 4.984958e+08
2.111783e+00 4.940140e+08
2.141220e+00 4.894689e+08
2.171068e+00 4.849126e+08
2.201331e+00 4.804083e+08
2.232016e+00 4.759763e+08
2.263130e+00 4.715445e+08
2.294676e+00 4.671039e+08
2.326663e+00 4.629153e+08
2.359095e+00 4.586169e+08
2.391980e+00 4.543484e+08
2.425323e+00 4.501094e+08
2.459130e+00 4.458067e+08
2.493409e+00 4.415241e+08
2.528166e+00 4.374835e+08
2.563407e+00 4.333687e+08
2.599140e+00 4.292844e+08
2.635371e+00 4.251745e+08
2.672106e+00 4.210925e+08
2.709354e+00 4.171445e+08
2.747121e+00 4.131162e+08
2.785414e+00 4.091139e+08
2.824241e+00 4.052356e+08
2.863610e+00 4.012232e+08
2.903527e+00 3.972103e+08
2.944000e+00 3.933523e+08
2.985038e+00 3.894688e+08
3.026648e+00 3.858133e+08
3.068838e+00 3.819513e+08
3.111616e+00 3.782267e+08
3.154990e+00 3.742334e+08
3.198969e+00 3.703427e+08
3.243561e+00 3.667110e+08
3.288774e+00 3.631307e+08
3.334618e+00 3.595896e+08
3.381101e+00 3.560736e+08
3.428231e+00 3.524274e+08
3.476019e+00 3.487262e+08
3.524473e+00 3.451291e+08
3.573602e+00 3.416117e+08
3.623416e+00 3.381790e+08
3.673925e+00 3.349393e+08
3.725137e+00 3.315055e+08
3.777064e+00 3.281352e+08
3.829714e+00 3.246944e+08
3.883098e+00 3.213462e+08
3.937226e+00 3.179114e+08
3.992109e+00 3.146175e+08
4.047757e+00 3.113182e+08
4.104181e+00 3.080138e+08
4.161391e+00 3.047123e+08
4.219398e+00 3.015374e+08
4.278214e+00 2.982821e+08
4.337850e+00 2.951350e+08
4.398317e+00 2.920080e+08
4.459628e+00 2.888510e+08
4.521792e+00 2.856915e+08
4.584824e+00 2.825699e+08
4.648734e+00 2.794713e+08
4.713535e+00 2.763962e+08
4.779239e+00 2.733166e+08
4.845859e+00 2.702535e+08
4.913407e+00 2.672150e+08
4.981898e+00 2.641830e+08
5.051342e+00 2.612339e+08
5.121755e+00 2.583651e+08
5.193150e+00 2.553973e+08
5.265540e+00 2.524281e+08
5.338938e+00 2.494877e+08
5.413360e+00 2.466689e+08
5.488820e+00 2.438367e+08
5.565331e+00 2.410402e+08
5.642908e+00 2.382606e+08
5.721568e+00 2.355947e+08
5.801323e+00 2.329006e+08
5.882190e+00 2.301152e+08
5.964185e+00 2.273652e+08
6.047322e+00 2.246717e+08
6.131619e+00 2.220461e+08
6.217090e+00 2.194398e+08
6.303753e+00 2.168454e+08
6.391624e+00 2.142167e+08
6.480720e+00 2.115529e+08
6.571058e+00 2.090116e+08
6.662655e+00 2.065467e+08
6.755528e+00 2.039765e+08
6.849697e+00 2.014681e+08
6.945178e+00 1.989542e+08
7.041990e+00 1.964950e+08
7.140151e+00 1.940098e+08
7.239681e+00 1.915558e+08
7.340598e+00 1.891234e+08
7.442922e+00 1.866884e+08
7.546673e+00 1.843299e+08
7.651869e+00 1.819550e+08
7.758532e+00 1.795995e+08
7.866682e+00 1.772751e+08
7.976339e+00 1.749581e+08
8.087525e+00 1.726705e+08
8.200261e+00 1.703736e+08
8.314568e+00 1.681341e+08
8.430468e+00 1.658935e+08
8.547985e+00 1.636985e+08
8.667139e+00 1.614967e+08
8.787954e+00 1.593134e+08
8.910453e+00 1.571369e+08
9.034660e+00 1.549724e+08
9.160598e+00 1.528136e+08
9.288292e+00 1.506617e+08
9.417766e+00 1.485540e+08
9.549045e+00 1.464524e+08
9.682153e+00 1.444015e+08
9.817117e+00 1.423440e+08
9.953962e+00 1.403325e+08
1.009272e+01 1.383174e+08
1.023340e+01 1.362690e+08
1.037605e+01 1.342332e+08
1.052069e+01 1.323258e+08
1.066734e+01 1.303911e+08
1.081604e+01 1.284603e+08
1.096681e+01 1.265549e+08
1.111968e+01 1.246310e+08
1.127468e+01 1.227119e+08
1.143184e+01 1.208346e+08
1.159120e+01 1.189363e+08
1.175277e+01 1.170693e+08
1.191660e+01 1.152162e+08
1.208271e+01 1.133813e+08
1.225114e+01 1.115659e+08
1.242191e+01 1.097683e+08
1.259506e+01 1.080094e+08
1.277063e+01 1.062570e+08
1.294865e+01 1.045202e+08
1.312915e+01 1.028137e+08
1.331216e+01 1.011087e+08
1.349772e+01 9.939888e+07
1.368587e+01 9.772753e+07
1.387665e+01 9.604141e+07
1.407008e+01 9.439478e+07
1.426621e+01 9.276806e+07
1.446507e+01 9.114038e+07
1.466671e+01 8.955203e+07
1.487115e+01 8.796768e+07
1.507845e+01 8.639606e+07
1.528864e+01 8.483474e+07
1.550175e+01 8.329674e+07
1.571784e+01 8.179733e+07
1.593694e+01 8.028768e+07
1.615909e+01 7.880201e+07
1.638434e+01 7.732340e+07
1.661273e+01 7.587050e+07
1.684430e+01 7.442845e+07
1.707910e+01 7.300231e+07
1.731717e+01 7.158896e+07
1.755856e+01 7.020242e+07
1.780332e+01 6.882705e+07
1.805149e+01 6.747758e+07
1.830312e+01 6.611881e+07
1.855825e+01 6.479014e+07
1.881694e+01 6.347035e+07
1.907924e+01 6.216039e+07
1.934520e+01 6.086498e+07
1.961486e+01 5.957591e+07
1.988828e+01 5.830367e+07
2.016551e+01 5.704986e+07
2.044661e+01 5.582729e+07
2.073162e+01 5.462305e+07
2.102061e+01 5.343017e+07
2.131362e+01 5.224994e+07
2.161073e+01 5.108466e+07
2.191197e+01 4.993681e+07
2.221741e+01 4.880537e+07
2.252711e+01 4.767843e+07
2.284112e+01 4.658056e+07
2.315951e+01 4.548827e+07
2.348235e+01 4.442205e+07
2.380968e+01 4.336903e+07
2.414157e+01 4.231910e+07
2.447809e+01 4.130518e+07
2.481930e+01 4.029807e+07
2.516527e+01 3.929329e+07
2.551606e+01 3.830437e+07
2.587174e+01 3.735404e+07
2.623238e+01 3.640804e+07
2.659804e+01 3.547445e+07
2.696881e+01 3.455985e+07
2.734474e+01 3.366936e+07
2.772591e+01 3.279003e+07
2.811239e+01 3.191270e+07
2.850426e+01 3.105888e+07
2.890160e+01 3.021649e+07
2.930447e+01 2.939554e+07
2.971296e+01 2.858080e+07
3.012714e+01 2.779016e+07
3.054710e+01 2.700853e+07
3.097291e+01 2.623978e+07
3.140465e+01 2.549615e+07
3.184242e+01 2.477183e+07
3.228628e+01 2.405017e+07
3.273634e+01 2.334599e+07
3.319266e+01 2.265025e+07
3.365535e+01 2.196531e+07
3.412449e+01 2.129347e+07
3.460016e+01 2.062859e+07
3.508247e+01 1.999031e+07
3.557150e+01 1.936702e+07
3.606735e+01 1.875268e+07
3.657011e+01 1.816178e+07
3.707988e+01 1.757999e+07
3.759675e+01 1.701303e+07
3.812083e+01 1.645458e+07
3.865221e+01 1.590509e+07
3.919100e+01 1.537210e+07
3.973730e+01 1.485093e+07
4.029122e+01 1.434419e+07
4.085286e+01 1.385644e+07
4.142232e+01 1.336564e+07
4.199973e+01 1.288981e+07
4.258518e+01 1.242965e+07
4.317880e+01 1.197745e+07
4.378069e+01 1.153886e+07
4.439097e+01 1.111762e+07
4.500975e+01 1.070739e+07
4.563716e+01 1.030552e+07
4.627332e+01 9.913305e+06
4.691835e+01 9.530657e+06
4.757236e+01 9.160039e+06
4.823549e+01 8.805833e+06
4.890787e+01 8.453551e+06
4.958962e+01 8.122489e+06
5.028087e+01 7.797037e+06
5.098176e+01 7.483167e+06
5.169242e+01 7.173768e+06
5.241298e+01 6.878304e+06
5.314359e+01 6.599478e+06
5.388438e+01 6.327473e+06
5.463550e+01 6.059373e+06
5.539709e+01 5.811728e+06
5.616930e+01 5.571874e+06
5.695227e+01 5.338733e+06
5.774615e+01 5.112518e+06
5.855110e+01 4.894936e+06
5.936727e+01 4.685772e+06
6.019482e+01 4.486670e+06
6.103390e+01 4.295887e+06
6.188468e+01 4.110490e+06
6.274732e+01 3.933881e+06
6.362198e+01 3.765517e+06
6.450884e+01 3.603376e+06
6.540806e+01 3.442900e+06
6.631981e+01 3.291482e+06
6.724427e+01 3.149649e+06
6.818162e+01 3.014371e+06
6.913204e+01 2.882028e+06
7.009570e+01 2.756013e+06
7.107280e+01 2.633038e+06
7.206351e+01 2.516137e+06
7.306804e+01 2.404670e+06
7.408657e+01 2.298632e+06
7.511929e+01 2.200272e+06
7.616642e+01 2.103824e+06
7.722814e+01 2.008590e+06
7.830465e+01 1.918012e+06
7.939618e+01 1.835407e+06
8.050292e+01 1.754817e+06
8.162509e+01 1.678253e+06
8.276289e+01 1.603322e+06
8.391656e+01 1.533902e+06
8.508632e+01 1.468061e+06
8.627237e+01 1.403185e+06
8.747496e+01 1.341882e+06
8.869432e+01 1.283538e+06
8.993067e+01 1.227916e+06
9.118425e+01 1.174626e+06
9.245531e+01 1.123765e+06
9.374409e+01 1.074443e+06
9.505083e+01 1.026832e+06
9.637579e+01 9.825013e+05
9.771921e+01 9.398783e+05
9.908137e+01 8.989662e+05
1.004625e+02 8.592489e+05
1.018629e+02 8.217477e+05
1.032828e+02 7.864496e+05
1.047225e+02 7.523654e+05
1.061823e+02 7.194991e+05
1.076624e+02 6.877981e+05
1.091632e+02 6.574824e+05
1.106848e+02 6.283945e+05
1.122277e+02 6.008955e+05
1.137921e+02 5.746674e+05
1.153783e+02 5.495396e+05
1.169866e+02 5.255688e+05
1.186174e+02 5.022977e+05
1.202708e+02 4.806020e+05
1.219473e+02 4.596621e+05
1.236472e+02 4.395034e+05
1.253708e+02 4.205290e+05
1.271184e+02 4.024732e+05
1.288904e+02 3.846703e+05
1.306870e+02 3.680746e+05
1.325087e+02 3.523299e+05
1.343558e+02 3.371886e+05
1.362287e+02 3.226081e+05
1.381276e+02 3.085420e+05
1.400531e+02 2.948744e+05
1.420053e+02 2.821506e+05
1.439848e+02 2.698429e+05
1.459919e+02 2.581379e+05
1.480269e+02 2.470306e+05
1.500903e+02 2.363981e+05
1.521825e+02 2.261891e+05
1.543038e+02 2.163930e+05
1.564548e+02 2.070808e+05
1.586357e+02 1.981407e+05
1.608469e+02 1.895630e+05
1.630891e+02 1.813566e+05
1.653624e+02 1.734120e+05
1.676675e+02 1.659410e+05
1.700047e+02 1.589349e+05
1.723745e+02 1.520283e+05
1.747773e+02 1.455394e+05
1.772136e+02 1.393885e+05
1.796838e+02 1.334044e+05
1.821885e+02 1.276085e+05
1.847281e+02 1.220529e+05
1.873032e+02 1.167392e+05
1.899141e+02 1.116662e+05
1.925614e+02 1.069146e+05
1.952456e+02 1.023394e+05
1.979672e+02 9.790078e+04
2.007267e+02 9.365086e+04
2.035248e+02 8.959245e+04
2.063618e+02 8.573563e+04
2.092383e+02 8.201468e+04
2.121550e+02 7.847167e+04
2.151123e+02 7.513290e+04
2.181109e+02 7.188432e+04
2.211512e+02 6.877620e+04
2.242340e+02 6.578462e+04
2.273597e+02 6.291465e+04
2.305289e+02 6.018333e+04
2.337424e+02 5.758344e+04
2.370006e+02 5.509587e+04
2.403043e+02 5.275579e+04
2.436540e+02 5.051575e+04
2.470504e+02 4.834202e+04
2.504942e+02 4.623840e+04
2.539859e+02 4.422120e+04
2.575263e+02 4.229202e+04
2.611161e+02 4.043157e+04
2.647559e+02 3.866026e+04
2.684465e+02 3.696773e+04
2.721885e+02 3.534931e+04
2.759826e+02 3.380355e+04
2.798297e+02 3.233754e+04
2.837304e+02 3.094282e+04
2.876854e+02 2.959455e+04
2.916956e+02 2.831007e+04
2.957617e+02 2.709022e+04
2.998844e+02 2.592938e+04
3.040646e+02 2.481829e+04
3.083031e+02 2.375482e+04
3.126007e+02 2.273692e+04
3.169582e+02 2.176264e+04
3.213764e+02 2.083012e+04
3.258562e+02 1.993622e+04
3.303985e+02 1.907113e+04
3.350041e+02 1.824358e+04
3.396739e+02 1.745194e+04
3.444087e+02 1.669465e+04
3.492096e+02 1.597023e+04
3.540774e+02 1.527723e+04
3.590130e+02 1.461431e+04
3.640175e+02 1.398016e+04
3.690917e+02 1.337352e+04
3.742366e+02 1.279321e+04
3.794533e+02 1.223808e+04
3.847427e+02 1.170703e+04
3.901058e+02 1.119903e+04
3.955436e+02 1.071308e+04
4.010573e+02 1.024821e+04
4.066478e+02 9.803653e+03
4.123163e+02 9.379566e+03
4.180637e+02 8.973824e+03
4.238913e+02 8.585635e+03
4.298001e+02 8.214237e+03
4.357913e+02 7.858339e+03
4.418660e+02 7.517628e+03
4.480254e+02 7.191689e+03
4.542706e+02 6.879883e+03
4.606029e+02 6.581596e+03
4.670234e+02 6.296788e+03
4.735335e+02 6.027012e+03
4.801343e+02 5.766692e+03
4.868271e+02 5.517239e+03
4.936132e+02 5.278577e+03
5.004939e+02 5.050238e+03
5.074705e+02 4.831778e+03
5.145444e+02 4.622179e+03
5.217169e+02 4.420976e+03
5.289893e+02 4.230628e+03
5.363631e+02 4.048477e+03
5.438397e+02 3.874171e+03
5.514206e+02 3.706600e+03
5.591071e+02 3.545127e+03
5.669007e+02 3.391955e+03
5.748030e+02 3.245401e+03
5.828155e+02 3.105180e+03
5.909396e+02 2.971018e+03
5.991770e+02 2.842653e+03
6.075292e+02 2.719835e+03
6.159978e+02 2.602323e+03
6.245845e+02 2.489889e+03
6.332908e+02 2.382314e+03
6.421186e+02 2.279386e+03
6.510694e+02 2.180906e+03
6.601449e+02 2.086681e+03
6.693470e+02 1.996527e+03
6.786773e+02 1.910269e+03
6.881377e+02 1.827257e+03
6.977300e+02 1.747683e+03
7.074559e+02 1.671574e+03
7.173175e+02 1.598780e+03
7.273165e+02 1.529156e+03
7.374549e+02 1.462564e+03
7.477346e+02 1.398872e+03
7.581576e+02 1.338090e+03
7.687260e+02 1.280002e+03
7.794416e+02 1.224435e+03
7.903066e+02 1.171280e+03
8.013230e+02 1.120433e+03
8.124930e+02 1.071793e+03
8.238187e+02 1.025265e+03
8.353023e+02 9.807568e+02
8.469460e+02 9.381806e+02
8.587519e+02 8.974528e+02
8.707225e+02 8.585568e+02
8.828599e+02 8.213710e+02
8.951665e+02 7.857958e+02
9.076446e+02 7.517616e+02
9.202967e+02 7.192014e+02
9.331251e+02 6.880515e+02
9.461324e+02 6.582507e+02
9.593209e+02 6.297407e+02
9.726934e+02 6.024656e+02
9.862522e+02 5.763718e+02
1.000000e+03 5.514082e+02
